LOWERTRACED_RFSMOTE_SINGLE_LSA_SUM.csv,Associated
0.05183055126946275,NO
0.04586898583251507,NO
0.11544396128489269,NO
0.22906438490671904,NO
0.12435124140833215,NO
0.0987515780614392,NO
0.04145041380277739,NO
0.04776265955954552,NO
0.15366811614532191,NO
0.26448309720858465,YES
0.07841211951185299,NO
0.32837705147987095,YES
0.16334689297236638,NO
0.14960022443540466,NO
0.14903913592369195,NO
0.08023565717491933,NO
0.1268060036470753,NO
0.07792116706410435,NO
0.12968158226960302,NO
0.15296675550568103,NO
0.15773600785523914,NO
0.14595314910927198,YES
0.14770655070837424,YES
0.2083041099733483,YES
0.25964370879506243,YES
0.14553233272548743,NO
0.1415345770795343,YES
0.11972226118670218,NO
0.08935334549025108,YES
0.185580025248983,YES
0.36919624070697155,NO
0.3774021601907701,NO
0.34717351662224716,NO
0.2113900967877683,NO
0.29099452938701076,YES
0.08128769813438068,YES
0.22906438490671904,NO
0.38981624351241406,NO
0.20220227240847244,NO
0.3899565156403423,NO
0.1261747790713985,NO
0.10716790573713005,NO
0.10892130733623229,NO
0.2113199607238042,YES
0.32038154018796466,NO
0.09314069294431196,YES
0.29057371300322626,NO
0.2525599663346893,YES
0.2955533735446767,NO
0.4007574694908122,NO
0.36968719315472015,NO
0.40237059896198624,NO
0.3720016832655351,NO
0.2668677233833637,NO
0.39423481554215184,NO
0.2040959461355029,NO
0.13241688876420254,NO
0.1778650582129331,NO
0.2758451395707673,NO
0.19406648898863793,NO
0.09917239444522373,NO
0.29934072099873754,NO
0.17302566979941086,NO
0.10597559264974048,NO
0.33588161032402863,NO
0.7487726188806284,YES
0.2949221489689999,NO
0.5692944311965213,YES
0.277177724786085,NO
0.28545378033384766,NO
0.2832094262869968,NO
0.20486744283910785,NO
0.10064525178846961,NO
0.15920886519848507,NO
0.12968158226960302,NO
0.19336512834899702,NO
0.14756627858044608,NO
0.7411277879085426,YES
0.7261888062841914,YES
0.6841773039697013,YES
0.5521812315892832,YES
0.29884976855098894,NO
0.5631224575676813,YES
0.2702342544536401,NO
0.08451395707672885,YES
0.120353485762379,YES
0.4529387010800953,NO
0.11670641043624631,NO
0.10583532052181231,NO
0.3186281385888624,NO
0.23404404544816945,YES
0.08030579323888343,YES
0.33896759713844854,NO
0.4175901248421938,NO
0.3132276616636274,NO
0.413031280684528,NO
0.15366811614532191,NO
0.13957076728853976,NO
0.13865899845700658,NO
0.12799831673446485,YES
0.06515640342263991,NO
0.050708374246037316,YES
0.02195258802076027,NO
0.20921587880488146,YES
0.02861551409734886,NO
0.43856080796745683,NO
0.414644410155702,NO
0.43358114742600645,NO
0.42467386730256695,NO
0.37193154720157107,NO
0.4455744143638659,NO
0.3107027633609202,NO
0.10001402721279282,NO
0.06634871651002945,NO
0.13367933791555617,YES
0.22794220788329356,YES
0.19911628559405248,YES
0.13550287557862253,YES
0.10716790573713005,NO
0.05835320521812316,NO
0.1827044466264553,YES
0.25929302847524194,NO
0.12813858886239304,YES
0.2626595595455183,NO
0.14497124421377472,NO
0.12876981343806984,NO
0.12876981343806984,NO
0.08935334549025108,NO
0.15570206200028053,YES
0.08823116846682563,NO
0.24624772057792116,YES
0.14861831953990742,NO
0.1719736288399495,YES
0.1980642446345911,NO
0.20893533454902508,NO
0.26237901528966195,NO
0.19610043484359657,NO
0.15549165380838828,YES
0.22906438490671902,NO
0.12940103801374667,YES
0.10141674849207462,NO
0.04446626455323328,NO
0.5454481694487305,NO
0.4337214195539346,NO
0.39128910085565993,NO
0.5262308879225698,NO
0.11123579744704726,NO
0.0790433440875298,NO
0.5091878243792959,NO
0.275634731378875,YES
0.5175340159910227,NO
0.19680179548323748,YES
0.15352784401739372,NO
0.13732641324168887,NO
0.13262729695609482,NO
0.031000140272127934,NO
0.3556599803619021,NO
0.03149109271987656,NO
0.3285173236077991,NO
0.13473137887501752,NO
0.34331603310422215,NO
0.2664469069995792,YES
0.24645812876981343,YES
0.18887642025529527,YES
0.19610043484359657,YES
0.5630523215037172,NO
0.1160751858605695,YES
0.47559264974049653,NO
0.1393603590966475,NO
0.12456164960022442,NO
0.11719736288399495,YES
0.26294010380137467,YES
0.18466825641744986,YES
0.13557301164258662,YES
0.13234675270023846,NO
0.11263851872632907,NO
0.1872632907841212,YES
0.20339458549586192,NO
0.11656613830831812,YES
0.12350960864076307,NO
0.1510730817786506,NO
0.1734464861831954,NO
0.15969981764623367,NO
0.1721840370318418,NO
0.16460934212372,YES
0.16916818628138588,NO
0.19112077430214616,YES
0.1698695469210268,NO
0.18635152195258803,YES
0.16488988637957638,NO
0.17590124842193855,NO
0.17744424182914853,NO
0.0935615093280965,NO
0.14469069995791836,YES
0.0994529387010801,NO
0.13522233132276615,YES
0.09236919624070696,NO
0.045378033384766446,NO
0.1741478468228363,NO
0.1544396128489269,NO
0.12968158226960302,NO
0.14721559826062558,NO
0.10906157946416047,NO
0.10085565998036189,NO
0.14735587038855377,NO
0.13964090335250384,YES
0.15058212933090193,NO
0.1717632206480572,YES
0.1697994108570627,NO
0.13592369196240706,NO
0.1357132837705148,NO
0.0305091878243793,NO
0.09482395847945012,NO
0.032402861551409735,NO
0.09924253050918781,NO
