LOWERTRACED_MAX_MULTI_VSM_MEDIAN.csv,Associated
0.17945,NO
0.1752,NO
0.17335,NO
0.2484,NO
0.17375,NO
0.16145,NO
0.17205,NO
0.17655,NO
0.2006,NO
0.5073000000000001,YES
0.14695,NO
0.5528500000000001,YES
0.2991,NO
0.2893,NO
0.2889,NO
0.1997,NO
0.1755,NO
0.19805,NO
0.17754999999999999,NO
0.25155,NO
0.19755,NO
0.4228,YES
0.42405000000000004,YES
0.46725000000000005,YES
0.50385,YES
0.1948,NO
0.41965,YES
0.1764,NO
0.3993,YES
0.4679,YES
0.3198,NO
0.21875,NO
0.19720000000000001,NO
0.20729999999999998,NO
0.54305,YES
0.39355,YES
0.21989999999999998,NO
0.17404999999999998,NO
0.20075,NO
0.17415,NO
0.24725000000000003,NO
0.23370000000000002,NO
0.23495,NO
0.48625,YES
0.1781,NO
0.402,YES
0.15685000000000002,NO
0.5156499999999999,YES
0.16040000000000001,NO
0.18185,NO
0.1597,NO
0.183,NO
0.16135,NO
0.24685,NO
0.1772,NO
0.2021,NO
0.1913,NO
0.2237,NO
0.2542,NO
0.3315,NO
0.26385000000000003,NO
0.27095,NO
0.22025,NO
0.17245,NO
0.29700000000000004,NO
0.7287,YES
0.26780000000000004,NO
0.60075,YES
0.2389,NO
0.2448,NO
0.2432,NO
0.24295,NO
0.2649,NO
0.21039999999999998,NO
0.2856,NO
0.23475,NO
0.29835,NO
0.72325,YES
0.7126,YES
0.68265,YES
0.58855,YES
0.2706,NO
0.59635,YES
0.2502,NO
0.3232,YES
0.34875,YES
0.34575,NO
0.26105,NO
0.25329999999999997,NO
0.25,NO
0.4298,YES
0.3202,YES
0.2645,NO
0.2056,NO
0.24614999999999998,NO
0.20235,NO
0.3067,NO
0.29665,NO
0.296,NO
0.3542,YES
0.2243,NO
0.29910000000000003,YES
0.1935,NO
0.4121,YES
0.19824999999999998,NO
0.22055,NO
0.20350000000000001,NO
0.217,NO
0.21065,NO
0.288,NO
0.22555,NO
0.24435,NO
0.16085,NO
0.13685,NO
0.37975,YES
0.56325,YES
0.5427,YES
0.38105,YES
0.16595,NO
0.13115,NO
0.41469999999999996,YES
0.19675,NO
0.3758,YES
0.19915,NO
0.3021,NO
0.29055,NO
0.29055,NO
0.15325,NO
0.5117499999999999,YES
0.15245,NO
0.5763,YES
0.1955,NO
0.52335,YES
0.1531,NO
0.16085,NO
0.19895000000000002,NO
0.1517,NO
0.3953,YES
0.1752,NO
0.3767,YES
0.24375000000000002,NO
0.20315,NO
0.32515,NO
0.3555,NO
0.32525,NO
0.31145,NO
0.25075000000000003,NO
0.2278,NO
0.2993,NO
0.67545,YES
0.30525,NO
0.6192500000000001,YES
0.25765,NO
0.24609999999999999,NO
0.24275,NO
0.19355,NO
0.29985,NO
0.19390000000000002,NO
0.28049999999999997,NO
0.2675,NO
0.29105,NO
0.6689,YES
0.6546500000000001,YES
0.6136,YES
0.61875,YES
0.3377,NO
0.5617000000000001,YES
0.27535,NO
0.13624999999999998,NO
0.12569999999999998,NO
0.3161,YES
0.48810000000000003,YES
0.4323,YES
0.3292,YES
0.13124999999999998,NO
0.1172,NO
0.36605,YES
0.36029999999999995,NO
0.31565,YES
0.30335,NO
0.27935,NO
0.2953,NO
0.2855,NO
0.15965000000000001,NO
0.41800000000000004,YES
0.15749999999999997,NO
0.4369,YES
0.15799999999999997,NO
0.4335,YES
0.33285,NO
0.3407,NO
0.3418,NO
0.282,NO
0.3357,YES
0.2862,NO
0.32894999999999996,YES
0.22554999999999997,NO
0.19205,NO
0.33255,NO
0.3085,NO
0.29085000000000005,NO
0.31335,NO
0.23745,NO
0.23159999999999997,NO
0.31345,NO
0.4798,YES
0.31575000000000003,NO
0.5027,YES
0.34175,NO
0.3176,NO
0.31745,NO
0.18145,NO
0.266,NO
0.1828,NO
0.26915,NO
0.2676,NO
0.26295,NO
0.47430000000000005,YES
0.4526,YES
0.47540000000000004,YES
0.5357500000000001,YES
0.33375,NO
0.4632,YES
0.28005,NO
0.141,NO
0.16049999999999998,NO
0.30725,NO
0.30615000000000003,NO
0.2796,NO
0.2992,NO
0.16049999999999998,NO
0.1419,NO
0.30515000000000003,NO
0.6313500000000001,YES
0.31245,NO
0.5467500000000001,YES
0.12,NO
0.0902,NO
0.08579999999999999,NO
0.19555,NO
0.27415,NO
0.1763,NO
0.3628,NO
0.15899999999999997,NO
0.34875,NO
0.66205,YES
0.62475,YES
0.7070000000000001,YES
0.5491,YES
0.29175,NO
0.5936,YES
0.28155,NO
0.22544999999999998,NO
0.19195,NO
0.3381,NO
0.35755,NO
0.3428,NO
0.3316,NO
0.2377,NO
0.2137,NO
0.328,NO
0.6287,YES
0.33185,NO
0.5539,YES
0.29505000000000003,NO
0.2845,NO
0.2828,NO
0.1784,NO
0.3112,NO
0.17925,NO
0.3008,NO
0.2491,NO
0.31045,NO
0.65165,YES
0.62445,YES
0.5897,YES
0.5835,YES
0.35075,NO
0.5498999999999999,YES
0.29885,NO
0.16444999999999999,NO
0.1638,NO
0.23645,NO
0.33665,NO
0.2637,NO
0.2252,NO
0.15835,NO
0.1547,NO
0.2535,NO
0.6936,YES
0.2128,NO
0.5911,YES
0.27765,NO
0.27415,NO
0.274,NO
0.17054999999999998,NO
0.24409999999999998,NO
0.1693,NO
0.24109999999999998,NO
0.2132,NO
0.26825,NO
0.64235,YES
0.6389,YES
0.63075,YES
0.5366,YES
0.2512,NO
0.53015,YES
0.23195,NO
0.19014999999999999,NO
0.15925,NO
0.59425,YES
0.3246,YES
0.3144,YES
0.48185,YES
0.24855,NO
0.18994999999999998,NO
0.5028,YES
0.31660000000000005,NO
0.50395,YES
0.32085,NO
0.3008,NO
0.26905,NO
0.26795,NO
0.1818,NO
0.30269999999999997,YES
0.18045,NO
0.3715,YES
0.24314999999999998,NO
0.3191,YES
0.33145,NO
0.3079,NO
0.41915,NO
0.3279,NO
0.50945,YES
0.39370000000000005,NO
0.44355,YES
0.137,NO
0.12440000000000001,NO
0.6311,YES
0.42755,NO
0.39649999999999996,NO
0.6593,YES
0.1384,NO
0.1019,NO
0.7237499999999999,YES
0.34375,NO
0.6704,YES
0.32465,NO
0.42475,NO
0.42169999999999996,NO
0.39395,NO
0.13255,NO
0.42924999999999996,NO
0.11695,NO
0.5034,NO
0.11960000000000001,NO
0.4516,NO
0.3478,NO
0.33745,NO
0.4366,NO
0.3441,NO
0.64105,YES
0.4162,NO
0.59505,YES
0.1906,NO
0.1689,NO
0.45840000000000003,YES
0.47835,YES
0.45025000000000004,YES
0.44530000000000003,YES
0.21235,NO
0.1744,NO
0.4746,YES
0.42795,NO
0.46504999999999996,YES
0.3663,NO
0.3508,NO
0.3356,NO
0.33495,NO
0.1735,NO
0.4284,YES
0.1728,NO
0.47365,YES
0.2119,NO
0.4343,YES
0.4314,NO
0.4171,NO
0.4583,NO
0.3693,NO
0.45615,YES
0.4095,NO
0.43365,YES
0.0927,NO
0.0932,NO
0.62175,YES
0.3658,NO
0.36014999999999997,NO
0.6375500000000001,YES
0.09495,NO
0.0874,NO
0.6646000000000001,YES
0.33835000000000004,NO
0.6742,YES
0.33165,NO
0.2571,NO
0.222,NO
0.20875,NO
0.09964999999999999,NO
0.383,NO
0.09359999999999999,NO
0.45555,NO
0.056,NO
0.41085,NO
0.36975,NO
0.34705,NO
0.4539,NO
0.36685,NO
0.6287,YES
0.43805000000000005,NO
0.58965,YES
0.08265,NO
0.0685,NO
0.14945,YES
0.2826,YES
0.2468,YES
0.14855,YES
0.07875,NO
0.0642,NO
0.18245,YES
0.14895,NO
0.14395,YES
0.14105,NO
0.23560000000000003,NO
0.23675000000000002,NO
0.23935,NO
0.09090000000000001,NO
0.26685000000000003,YES
0.09,NO
0.2609,YES
0.12664999999999998,NO
0.24485,YES
0.09885,NO
0.12705,NO
0.12625,NO
0.10885,NO
0.15585,YES
0.11025,NO
0.15410000000000001,YES
0.48795,YES
0.36085,YES
0.35114999999999996,NO
0.24684999999999999,NO
0.2424,NO
0.24475,NO
0.45645,YES
0.5214,YES
0.23964999999999997,NO
0.17830000000000001,NO
0.2453,NO
0.1739,NO
0.31795,NO
0.2914,NO
0.2837,NO
0.37895,YES
0.21694999999999998,NO
0.4577,YES
0.18245,NO
0.486,YES
0.1883,NO
0.1914,NO
0.18675,NO
0.20335,NO
0.20005,NO
0.2783,NO
0.21539999999999998,NO
0.21925,NO
0.0852,NO
0.07685,NO
0.60555,YES
0.3328,YES
0.31520000000000004,YES
0.6104499999999999,YES
0.08665,NO
0.0771,NO
0.72495,YES
0.28585,NO
0.6407,YES
0.2772,NO
0.40395000000000003,NO
0.3452,NO
0.35305000000000003,NO
0.08524999999999999,NO
0.33145,YES
0.0819,NO
0.4252,YES
0.0843,NO
0.37355,YES
0.3066,NO
0.28605,NO
0.3901,NO
0.2978,NO
0.6004499999999999,YES
0.37,NO
0.6336999999999999,YES
0.22595,NO
0.19075,NO
0.5331,YES
0.42995,YES
0.4196,YES
0.4426,YES
0.27665,NO
0.2253,NO
0.471,YES
0.37329999999999997,NO
0.46535,YES
0.3334,NO
0.30710000000000004,NO
0.2814,NO
0.28045,NO
0.21445,NO
0.39525,YES
0.21115,NO
0.4326,YES
0.26545,NO
0.39794999999999997,YES
0.3857,NO
0.37129999999999996,NO
0.42919999999999997,NO
0.34509999999999996,NO
0.47119999999999995,YES
0.39604999999999996,NO
0.4261,YES
0.15935,NO
0.1472,NO
0.627,YES
0.3431,YES
0.36175,YES
0.52885,YES
0.20575,NO
0.17335,NO
0.5326,YES
0.31955,NO
0.55905,YES
0.31555,NO
0.1805,NO
0.14945,NO
0.1378,NO
0.19395,NO
0.34605,YES
0.191,NO
0.43305000000000005,YES
0.1809,NO
0.38765000000000005,YES
0.35215,NO
0.3295,NO
0.4454,NO
0.3502,NO
0.5366,YES
0.4274,NO
0.493,YES
0.054900000000000004,NO
0.05605,NO
0.6371,YES
0.33635,YES
0.31505,YES
0.62945,YES
0.05265,NO
0.04725,NO
0.74385,YES
0.27325,NO
0.6626,YES
0.2671,NO
0.36355,NO
0.28375,NO
0.29545,NO
0.0718,NO
0.33335,YES
0.07024999999999999,NO
0.4351,YES
0.0514,NO
0.38915,YES
0.28695,NO
0.26375,NO
0.37985,NO
0.27785,NO
0.6334,YES
0.34155,NO
0.69555,YES
0.1573,NO
0.14500000000000002,NO
0.2729,YES
0.47639999999999993,YES
0.43065,YES
0.2986,YES
0.14675,NO
0.12745,NO
0.32334999999999997,YES
0.30605,NO
0.2778,YES
0.2784,NO
0.30315,NO
0.3153,NO
0.3049,NO
0.18465,NO
0.4114,YES
0.18215,NO
0.43535,YES
0.17515,NO
0.43074999999999997,YES
0.2678,NO
0.28815,NO
0.28805,NO
0.25839999999999996,NO
0.2975,YES
0.2668,NO
0.28185,YES
0.13075,NO
0.1222,NO
0.43245,YES
0.5649,YES
0.58185,YES
0.4351,YES
0.11975,NO
0.11030000000000001,NO
0.45130000000000003,YES
0.291,NO
0.45740000000000003,YES
0.2663,NO
0.15300000000000002,NO
0.13240000000000002,NO
0.1157,NO
0.16194999999999998,NO
0.5475,YES
