LOWERTRACED_MAX_SINGLE_LSA_SUM.csv,Associated
0.49457210486555575,NO
0.4889704648412235,NO
0.5766129870646939,NO
0.6438326673566812,NO
0.5454415078704683,NO
0.5609283949965634,NO
0.484818661058483,NO
0.49074980931954076,NO
0.6125293848677655,NO
0.8036789925589898,YES
0.5418169172664886,NO
0.8637153932903628,YES
0.6157861821228873,NO
0.6028694592432504,NO
0.6023422460644898,NO
0.5212622720403154,NO
0.5477480655275463,NO
0.5190875176779275,NO
0.5504500330686948,NO
0.5896022803371692,NO
0.5768106920067291,NO
0.6923052085457949,YES
0.693952749729422,YES
0.7508917730355761,YES
0.7991317788921788,YES
0.6048847937757356,NO
0.6881534047630545,YES
0.5806329875527441,NO
0.22413051151196442,YES
0.31454757166942193,YES
0.8106375453075595,NO
0.7450265264218634,NO
0.7166229164161315,NO
0.6623588387811166,NO
0.4135977476290858,YES
0.21655182206727955,YES
0.6789660539120782,NO
0.16198131486890324,NO
0.6537257229789104,NO
0.16211311816359344,NO
0.3225973350659423,NO
0.3047379886354241,NO
0.30638552981905126,NO
0.33873347624506844,YES
0.6914484871303087,NO
0.22768920046859906,YES
0.6634402870086473,NO
0.3774836448839788,YES
0.6681193039701484,NO
0.17226197185473666,NO
0.14306754208086367,NO
0.1737777097436736,NO
0.14524229644325148,NO
0.7144870418310794,NO
0.16613311865164368,NO
0.6555050674572277,NO
0.6023696219018819,NO
0.6450738893814975,NO
0.28728559142565835,NO
0.3918475988052695,NO
0.30268266994736853,NO
0.3093626432862621,NO
0.6405266757146865,NO
0.5775247008527846,NO
0.3436974015530517,NO
0.9424019602203951,YES
0.3052108395035217,NO
0.7737596446643208,YES
0.2122669548659659,NO
0.220043349252686,NO
0.2179344965376433,NO
0.6704460236093555,NO
0.3040666045416153,NO
0.6275440511877046,NO
0.3313498865424808,NO
0.6596381534447614,NO
0.3481548066154777,NO
0.9352186806597808,YES
0.9211816297752775,YES
0.8817065430155712,YES
0.75767964271212,YES
0.30890133175484646,NO
0.7679602996979533,YES
0.2820134596380515,NO
0.24940646572254555,YES
0.2830822075158843,YES
0.8532845691820153,NO
0.7504963631515055,NO
0.7402816078130173,NO
0.7270829145161761,NO
0.38990877786226824,YES
0.2454523668818404,YES
0.7461943922462511,NO
0.24786699786026012,NO
0.7220084876706047,NO
0.24358339078282953,NO
0.441105813076777,NO
0.42785958196041485,NO
0.4270028605449287,NO
0.29026548707649863,YES
0.7020586523528676,NO
0.21764187170221425,YES
0.6614632375882947,NO
0.3665795947021079,YES
0.6677238940860779,NO
0.26757159041644074,NO
0.24509912867176653,NO
0.26289257345493966,NO
0.2545230642421138,NO
0.7771681664984413,NO
0.2741617551509493,NO
0.7196360283661816,NO
0.05076060051076219,NO
0.019127809785121054,NO
0.6527183813626601,YES
0.6686235234277171,YES
0.6415379463688868,YES
0.6544318241936324,YES
0.05748256853996093,NO
0.011615021987781287,NO
0.6987836328568751,YES
0.7329006233103676,NO
0.6475121512223984,YES
0.7360639023829318,NO
0.34755707605469904,NO
0.33233379551798425,NO
0.33233379551798425,NO
0.040743550114309156,NO
0.6007448266622788,YES
0.03968912375678779,NO
0.6858238533847846,YES
0.09643044212090657,NO
0.6160340088463387,YES
0.6753684851781079,NO
0.6855832405165962,NO
0.7358002957935513,NO
0.6735232390524454,NO
0.6732137936869819,YES
0.7044970133046358,NO
0.64869838087461,YES
0.38754909678036725,NO
0.3340369591361577,NO
0.5143556392274667,NO
0.8111258787089843,NO
0.7712553820652075,NO
0.4962985878549134,NO
0.39677532740867927,NO
0.36652647127728494,NO
0.48028448755005754,NO
0.6961630353377035,YES
0.4881267835841227,NO
0.6220895837218272,YES
0.43210571097134576,NO
0.416882430434631,NO
0.41246702006251024,NO
0.32138384284590127,NO
0.737777345213904,NO
0.3218451543773168,NO
0.7122734076913559,NO
0.4188523792692829,NO
0.7261786552811689,NO
0.6875299195354974,YES
0.6687479500421479,YES
0.6146426975718325,YES
0.6214305672483763,YES
0.5308969527110833,NO
0.5462367876276336,YES
0.4487175984717614,NO
0.37718683615408405,NO
0.36328158856427095,NO
0.5545383421822937,YES
0.6690722903550833,YES
0.5955260519179676,YES
0.5718045737867061,YES
0.3705966714195755,NO
0.3520783085156064,NO
0.6203740878800343,YES
0.8121803050665057,NO
0.5539452273561879,YES
0.7371183287404531,NO
0.4005097682502627,NO
0.42153239375334506,NO
0.4086156708737082,NO
0.4080288071115841,NO
0.5766781807772732,YES
0.4051950362757455,NO
0.6015890034737155,YES
0.40585405274919634,NO
0.5971076914542497,YES
0.7760003006740538,NO
0.7863468593072321,NO
0.787796695548824,NO
0.7089783253241015,NO
0.5803717879415673,YES
0.7145140637010887,NO
0.5714750655499807,YES
0.2694594825323928,NO
0.22530537881118545,NO
0.5861363591522404,NO
0.7661809552196359,NO
0.7429176737068207,NO
0.5608301265717275,NO
0.28514407460052327,NO
0.2774335818611482,NO
0.5609619298664177,NO
0.5805498476938525,YES
0.5639934056442917,NO
0.6107328021779018,YES
0.440334659736429,NO
0.40850416406875256,NO
0.40830645912671737,NO
0.2113342295740273,NO
0.710164554976313,NO
0.2131135740523446,NO
0.7143163587590534,NO
0.32488276794960996,NO
0.7061445544882629,NO
0.5733006664858932,YES
0.544699351538126,YES
0.5747505027274851,YES
0.6542937910730035,YES
0.5877179986885225,NO
0.5586705007752841,YES
0.5169396294399005,NO
0.7035084885944595,NO
0.7292101310590428,NO
0.44502677349109676,NO
0.3272168217929902,NO
0.2922230470527497,NO
0.43441660826853795,NO
0.7292101310590428,NO
0.704694718246671,NO
0.4422589043026032,NO
0.5586438753487437,YES
0.45188054481498563,NO
0.44713828804085876,YES
0.24410157071397903,NO
0.204824188896308,NO
0.19902484392994044,NO
0.7754071858479479,NO
0.28503976749213533,NO
0.75003505162009,NO
0.4018833882349723,NO
0.7272330816386903,NO
0.3833650253310032,NO
0.5991074868186264,YES
0.5499448578991925,YES
0.6583530677818584,YES
0.4502356654660778,YES
0.42459726281412025,NO
0.508888131603204,YES
0.4111533267557227,NO
0.3702227827523843,NO
0.3260686790311768,NO
0.4392805873462905,NO
0.7953094833461638,NO
0.7758684973793635,NO
0.4307133731914294,NO
0.3863686863519303,NO
