LOWERTRACED_RFSMOTE_RAW_VSM_SUM.csv,Associated
0.048500948766603415,NO
0.042049335863377606,NO
0.07939278937381405,NO
0.15681214421252374,NO
0.04349146110056926,NO
0.06132827324478179,NO
0.03726755218216319,NO
0.04409867172675522,NO
0.12075901328273245,NO
0.21791271347248575,YES
0.0393168880455408,NO
0.28705882352941176,YES
0.17677419354838708,NO
0.16189753320683112,NO
0.16129032258064516,NO
0.07924098671726756,NO
0.04614800759013282,NO
0.07673624288425049,NO
0.049259962049335866,NO
0.1579506641366224,NO
0.07962049335863378,NO
0.0896394686907021,YES
0.09153700189753322,YES
0.1571157495256167,YES
0.21267552182163185,YES
0.11195445920303604,NO
0.08485768500948768,YES
0.08402277039848197,NO
0.4610246679316888,YES
0.5651612903225807,YES
0.24774193548387097,NO
0.11240986717267554,NO
0.07969639468690703,NO
0.07696394686907021,NO
0.6792409867172676,YES
0.4522960151802657,YES
0.0960910815939279,NO
0.07271347248576851,NO
0.06702087286527514,NO
0.072865275142315,NO
0.12895635673624287,NO
0.10838709677419356,NO
0.11028462998102467,NO
0.5930170777988615,YES
0.05070208728652752,NO
0.46512333965844405,YES
0.018444022770398482,NO
0.6376470588235295,YES
0.023833017077798863,NO
0.0845540796963947,NO
0.050929791271347245,NO
0.08629981024667932,NO
0.05343453510436432,NO
0.13700189753320682,NO
0.07749525616698291,NO
0.06907020872865274,NO
0.059810246679316885,NO
0.10899430740037952,NO
0.09358633776091083,NO
0.2100189753320683,NO
0.10732447817836813,NO
0.11901328273244782,NO
0.10375711574952562,NO
0.031195445920303606,NO
0.15855787476280836,NO
0.33973434535104363,YES
0.11423149905123339,NO
0.14550284629981025,YES
0.1481593927893738,NO
0.1571157495256167,NO
0.15468690702087287,NO
0.13821631878557875,NO
0.10891840607210626,NO
0.0888045540796964,NO
0.1403415559772296,NO
0.1257685009487666,NO
0.15969639468690702,NO
0.33146110056926,YES
0.31529411764705884,YES
0.2698292220113852,YES
0.12698292220113852,YES
0.11848197343453509,NO
0.1388235294117647,YES
0.08751423149905121,NO
0.09146110056925996,YES
0.13024667931688805,YES
0.24728652751423152,NO
0.11870967741935481,NO
0.10694497153700189,NO
0.10193548387096774,NO
0.25328273244781785,YES
0.08690702087286528,YES
0.12394686907020872,NO
0.06481973434535104,NO
0.0960910815939279,NO
0.05988614800759013,NO
0.1662998102466793,NO
0.15104364326375713,NO
0.15005692599620493,NO
0.13851992409867173,YES
0.06292220113851993,NO
0.054876660341555986,YES
0.016166982922201138,NO
0.22641366223908918,YES
0.023377609108159392,NO
0.08751423149905121,NO
0.06163187855787477,NO
0.08212523719165085,NO
0.07248576850094876,NO
0.15962049335863376,NO
0.0951043643263757,NO
0.09335863377609108,NO
0.04751423149905124,NO
0.011081593927893738,NO
0.09912713472485768,YES
0.2466793168880455,YES
0.21548387096774194,YES
0.10110056925996205,YES
0.055256166982922204,NO
0.002428842504743834,NO
0.15218216318785577,YES
0.09844402277039849,NO
0.09313092979127136,YES
0.10208728652751425,NO
0.15688804554079697,NO
0.1393548387096774,NO
0.1393548387096774,NO
0.03597722960151803,NO
0.1685009487666034,YES
0.03476280834914611,NO
0.2664895635673624,YES
0.10011385199240985,NO
0.1861100569259962,YES
0.03218216318785579,NO
0.04394686907020873,NO
0.10178368121442125,NO
0.030056925996204936,NO
0.12273244781783682,YES
0.06573055028462998,NO
0.09449715370018977,YES
0.10975332068311197,NO
0.048121442125237196,NO
0.14246679316888045,NO
0.18853889943074004,NO
0.14261859582542694,NO
0.12166982922201139,NO
0.12037950664136621,NO
0.08554079696394687,NO
0.10322580645161292,NO
0.298292220113852,YES
0.11225806451612905,NO
0.21297912713472486,YES
0.1433776091081594,NO
0.12584440227703986,NO
0.12075901328273245,NO
0.0335483870967742,NO
0.1040607210626186,NO
0.03407969639468691,NO
0.07468690702087288,NO
0.14580645161290323,NO
0.09070208728652751,NO
0.2883491461100569,YES
0.26671726755218217,YES
0.2044022770398482,YES
0.2122201138519924,YES
0.16151802656546488,NO
0.1256166982922201,YES
0.06686907020872865,NO
0.06732447817836812,NO
0.05130929791271347,NO
0.07370018975332068,YES
0.26937381404174576,YES
0.18466793168880455,YES
0.09358633776091083,YES
