UPPERTRACED_MAX_MULTI_VSM_MEDIAN.csv,Associated
0.21165,NO
0.10724999999999998,NO
0.34330000000000005,NO
0.3904,NO
0.18855,NO
0.36195,NO
0.23765,NO
0.0933,NO
0.3221,NO
0.59655,YES
0.279,NO
0.46645,YES
0.27655,NO
0.30275,NO
0.16505,NO
0.2212,NO
0.25165,NO
0.21445,NO
0.22955,NO
0.19175,NO
0.27625,NO
0.45394999999999996,YES
0.5402,YES
0.4952,YES
0.37965,YES
0.31655,NO
0.4236,YES
0.2228,NO
0.53305,YES
0.3262,YES
0.32565,NO
0.20775,NO
0.13105,NO
0.17495,NO
0.5759,YES
0.4145,YES
0.13255,NO
0.1336,NO
0.11285,NO
0.1137,NO
0.18785000000000002,NO
0.24695,NO
0.11535,NO
0.554,YES
0.1522,NO
0.5083,YES
0.0685,NO
0.46185,YES
0.10095000000000001,NO
0.14905000000000002,NO
0.16125,NO
0.13785,NO
0.09545000000000001,NO
0.2288,NO
0.16305,NO
0.12385,NO
0.21910000000000002,NO
0.15134999999999998,NO
0.35265,NO
0.42545,NO
0.2306,NO
0.39994999999999997,NO
0.28145,NO
0.0848,NO
0.347,NO
0.7018,YES
0.32835000000000003,NO
0.3982,YES
0.2577,NO
0.2996,NO
0.1607,NO
0.26005,NO
0.293,NO
0.2224,NO
0.28955000000000003,NO
0.17054999999999998,NO
0.329,NO
0.63825,YES
0.7126,YES
0.59445,YES
0.3482,YES
0.32084999999999997,NO
0.48414999999999997,YES
0.2251,NO
0.5446,YES
0.29469999999999996,YES
0.32535000000000003,NO
0.21189999999999998,NO
0.149,NO
0.19140000000000001,NO
0.5503,YES
0.42879999999999996,YES
0.1509,NO
0.12840000000000001,NO
0.132,NO
0.10515,NO
0.21245,NO
0.27505,NO
0.14155,NO
0.5095999999999999,YES
0.16025,NO
0.49305,YES
0.067,NO
0.44594999999999996,YES
0.10065,NO
0.151,NO
0.1683,NO
0.1351,NO
0.10800000000000001,NO
0.24369999999999997,NO
0.17465,NO
0.13985,NO
0.19765000000000002,NO
0.0702,NO
0.32184999999999997,YES
0.5628500000000001,YES
0.49385,YES
0.3906,YES
0.2133,NO
0.07285000000000001,NO
0.36650000000000005,YES
0.26055,NO
0.2908,YES
0.17325000000000002,NO
0.2598,NO
0.3067,NO
0.1848,NO
0.11505,NO
0.4129,YES
0.11124999999999999,NO
0.5784499999999999,YES
0.22285,NO
0.5214,YES
0.19455,NO
0.30119999999999997,NO
0.31475,NO
0.13615,NO
0.37675000000000003,YES
0.27040000000000003,NO
0.2855,YES
0.252,NO
0.11124999999999999,NO
0.38485,NO
0.4113,NO
0.25385,NO
0.4017,NO
0.2924,NO
0.1206,NO
0.31055,NO
0.6745,YES
0.32705,NO
0.44265,YES
0.25455,NO
0.279,NO
0.13835,NO
0.1911,NO
0.2898,NO
0.18635000000000002,NO
0.24630000000000002,NO
0.18375,NO
0.28355,NO
0.60985,YES
0.6806,YES
0.55135,YES
0.40435,YES
0.3492,NO
0.47545,YES
0.2115,NO
0.2107,NO
0.0967,NO
0.3051,YES
0.5778000000000001,YES
0.47355,YES
0.38565,YES
0.21625,NO
0.09655000000000001,NO
0.36475,YES
0.3207,NO
0.27755,YES
0.17404999999999998,NO
0.26415,NO
0.33855,NO
0.20684999999999998,NO
0.15910000000000002,NO
0.40925,YES
0.15394999999999998,NO
0.52915,YES
0.22299999999999998,NO
0.52165,YES
0.2709,NO
0.37765,NO
0.35419999999999996,NO
0.16305,NO
0.36405000000000004,YES
0.278,NO
0.28464999999999996,YES
0.24555,NO
0.1119,NO
0.40515,NO
0.3772,NO
0.23235,NO
0.4165,NO
0.29085,NO
0.13615,NO
0.3376,NO
0.57255,YES
0.35045,NO
0.4198,YES
0.28115,NO
0.29300000000000004,NO
0.15555000000000002,NO
0.19075,NO
0.26885,NO
0.187,NO
0.24785000000000001,NO
0.1956,NO
0.26835000000000003,NO
0.50895,YES
0.57225,YES
0.50685,YES
0.41505000000000003,YES
0.35814999999999997,NO
0.47064999999999996,YES
0.2291,NO
0.22225,NO
0.1416,NO
0.3981,NO
0.38055,NO
0.2268,NO
0.4206,NO
0.27515,NO
0.10769999999999999,NO
0.34755,NO
0.6445000000000001,YES
0.3654,NO
0.38425,YES
0.22175,NO
0.22795,NO
0.08625,NO
0.2661,NO
0.2827,NO
0.24175000000000002,NO
0.3472,NO
0.14825,NO
0.35985,NO
0.6171,YES
0.6648000000000001,YES
0.6588499999999999,YES
0.3488,YES
0.33440000000000003,NO
0.52145,YES
0.24885000000000002,NO
0.24675000000000002,NO
0.11309999999999999,NO
0.38375000000000004,NO
0.3993,NO
0.25734999999999997,NO
0.4078,NO
0.2924,NO
0.11954999999999999,NO
0.3252,NO
0.65205,YES
0.3396,NO
0.4016,YES
0.26780000000000004,NO
0.29325,NO
0.15425,NO
0.189,NO
0.28709999999999997,NO
0.18475,NO
0.25255,NO
0.1784,NO
0.28890000000000005,NO
0.6169,YES
0.6747,YES
0.55175,YES
0.39339999999999997,YES
0.3482,NO
0.48795,YES
0.22095,NO
0.21115,NO
0.11035,NO
0.3401,NO
0.4265,NO
0.22635,NO
0.3594,NO
0.23845,NO
0.08595,NO
0.3087,NO
0.69295,YES
0.27855,NO
0.4148,YES
0.2611,NO
0.2936,NO
0.15615,NO
0.20655,NO
0.2681,NO
0.2002,NO
0.24095,NO
0.1679,NO
0.2948,NO
0.5836,YES
0.66515,YES
0.5688,YES
0.3225,YES
0.30665,NO
0.4442,YES
0.21205000000000002,NO
0.23435,NO
0.09910000000000001,NO
0.64665,YES
0.3919,YES
0.3408,YES
0.5649,YES
0.3165,NO
0.12115000000000001,NO
0.62695,YES
0.20005,NO
0.4998,YES
0.1386,NO
0.37355000000000005,NO
0.31179999999999997,NO
0.18170000000000003,NO
0.18365,NO
0.29674999999999996,YES
0.17785,NO
0.42025,YES
0.26045,NO
0.29315,YES
0.23199999999999998,NO
0.271,NO
0.4547,NO
0.181,NO
0.54375,YES
0.41479999999999995,NO
0.4427,YES
0.27085000000000004,NO
0.1539,NO
0.43084999999999996,YES
0.24725,NO
0.19065,NO
0.6305,YES
0.296,NO
0.12129999999999999,NO
0.73605,YES
0.2144,NO
0.52205,YES
0.16205,NO
0.3894,NO
0.39715,NO
0.22485,NO
0.1775,NO
0.31194999999999995,NO
0.14045000000000002,NO
0.4132,NO
0.12965,NO
0.3234,NO
0.22755,NO
0.26655,NO
0.44735,NO
0.21585,NO
0.53315,YES
0.44605,NO
0.47525,YES
0.20135,NO
0.07619999999999999,NO
0.37539999999999996,YES
0.53515,YES
0.4586,YES
0.42974999999999997,YES
0.23365,NO
0.09005,NO
0.4013,YES
0.30720000000000003,NO
0.35495,YES
0.15585,NO
0.2698,NO
0.31305,NO
0.1905,NO
0.10925,NO
0.38675,YES
0.10555,NO
0.5329999999999999,YES
0.2132,NO
0.48955,YES
0.2883,NO
0.3729,NO
0.38954999999999995,NO
0.1692,NO
0.41250000000000003,YES
0.32015,NO
0.31735,YES
0.23845,NO
0.1575,NO
0.4856,YES
0.2309,NO
0.19755,NO
0.5262,YES
0.2557,NO
0.1444,NO
0.6427,YES
0.16394999999999998,NO
0.58185,YES
0.1446,NO
0.3792,NO
0.26990000000000003,NO
0.17185,NO
0.14755,NO
0.26895,NO
0.13935,NO
0.43585,NO
0.1101,NO
0.30069999999999997,NO
0.23399999999999999,NO
0.2233,NO
0.4595,NO
0.229,NO
0.4782,YES
0.43765,NO
0.5006,YES
0.18480000000000002,NO
0.0672,NO
0.27885,YES
0.4938,YES
0.40955,YES
0.3454,YES
0.19144999999999998,NO
0.07125000000000001,NO
0.32155,YES
0.2484,NO
0.24625,YES
0.1508,NO
0.23704999999999998,NO
0.29664999999999997,NO
0.17735,NO
0.11805,NO
0.3796,YES
0.11415,NO
0.47464999999999996,YES
0.21935,NO
0.45449999999999996,YES
0.17595,NO
0.30305,NO
0.2777,NO
0.12895,NO
0.32460000000000006,YES
0.2411,NO
0.2502,YES
0.6306499999999999,YES
0.2281,YES
0.33925,NO
0.2062,NO
0.1466,NO
0.19465,NO
0.49824999999999997,YES
0.5513,YES
0.13455,NO
0.1187,NO
0.13965,NO
0.0943,NO
0.20455,NO
0.25065,NO
0.1101,NO
0.45565,YES
0.1614,NO
0.5729500000000001,YES
0.06445000000000001,NO
0.44115,YES
0.09920000000000001,NO
0.13945,NO
0.16915000000000002,NO
0.13905,NO
0.115,NO
0.2425,NO
0.18209999999999998,NO
0.12325,NO
0.22285,NO
0.11015,NO
0.5453,YES
0.37805,YES
0.31955,YES
0.58085,YES
0.24805,NO
0.10175000000000001,NO
0.73645,YES
0.19825,NO
0.5239,YES
0.12390000000000001,NO
0.41910000000000003,NO
0.33035,NO
0.2092,NO
0.18055000000000002,NO
0.30345,YES
0.17275,NO
0.4519,YES
0.19505,NO
0.32555,YES
0.23609999999999998,NO
0.2781,NO
0.4546,NO
0.17985,NO
0.5221,YES
0.42005,NO
0.5202,YES
0.2398,NO
0.10025,NO
0.60575,YES
0.43105000000000004,YES
0.37979999999999997,YES
0.5458999999999999,YES
0.31425000000000003,NO
0.12615,NO
0.6154,YES
0.24565,NO
0.48145,YES
0.14005,NO
0.38085,NO
0.32515,NO
0.1952,NO
0.18595,NO
0.3231,YES
0.1782,NO
0.41515,YES
0.2524,NO
0.3058,YES
0.27515,NO
0.32330000000000003,NO
0.45365,NO
0.1871,NO
0.52575,YES
0.40604999999999997,NO
0.4455,YES
0.248,NO
0.1315,NO
0.6549,YES
0.4015,YES
0.37925,YES
0.5873999999999999,YES
0.31815,NO
0.14900000000000002,NO
0.63225,YES
0.20645000000000002,NO
0.5304,YES
0.13675,NO
0.34115,NO
0.2801,NO
0.13945000000000002,NO
0.24025000000000002,NO
0.3312,YES
0.23285,NO
0.4729,YES
0.24265,NO
0.3528,YES
0.25615,NO
0.29605000000000004,NO
0.4844,NO
0.20675,NO
0.5464,YES
0.45194999999999996,NO
0.46765,YES
0.21635000000000001,NO
0.11315,NO
0.5466,YES
0.3749,YES
0.3127,YES
0.5696,YES
0.23785,NO
0.09570000000000001,NO
0.7251000000000001,YES
0.2015,NO
0.51555,YES
0.12965000000000002,NO
0.40995000000000004,NO
0.30015,NO
0.18285,NO
0.19090000000000001,NO
0.29864999999999997,YES
0.1849,NO
0.4551,YES
0.18595,NO
0.33445,YES
0.2323,NO
0.27165,NO
0.4602,NO
0.17575,NO
0.5248,YES
0.40745,NO
0.5518000000000001,YES
0.219,NO
0.10325,NO
0.30305,YES
0.57375,YES
0.47955000000000003,YES
0.3962,YES
0.21899999999999997,NO
0.09405000000000001,NO
0.3632,YES
0.28935,NO
0.28085,YES
0.172,NO
0.27595,NO
0.34655,NO
0.21425,NO
0.17135,NO
0.4103,YES
0.16585,NO
0.53525,YES
0.2274,NO
0.52655,YES
0.22874999999999998,NO
0.348,NO
0.32334999999999997,NO
0.16235,NO
0.36700000000000005,YES
0.28150000000000003,NO
0.2787,YES
0.2215,NO
0.1095,NO
0.37865,YES
0.5597000000000001,YES
0.5282,YES
0.44875,YES
0.22105,NO
0.10595000000000002,NO
0.4072,YES
0.2826,NO
0.3765,YES
0.16820000000000002,NO
0.22394999999999998,NO
0.2618,NO
0.1232,NO
0.1777,NO
0.44384999999999997,YES
0.17204999999999998,NO
0.6843999999999999,YES
0.1966,NO
0.6235999999999999,YES
0.25229999999999997,NO
0.3404,NO
0.39205,NO
0.17885,NO
0.41495000000000004,YES
0.3371,NO
0.3356,YES
0.2466,NO
0.1147,NO
0.24795,NO
0.30284999999999995,NO
0.15914999999999999,NO
0.2792,NO
0.26595,NO
0.08995,NO
0.4488,NO
0.20135,NO
0.19405,NO
0.1567,NO
0.6216999999999999,YES
0.5474,YES
0.5079,YES
0.12075,NO
0.22855,NO
0.1195,NO
0.15475,NO
0.19645,NO
0.16515000000000002,NO
0.1085,NO
0.22615000000000002,NO
0.21015,NO
0.13495,NO
0.2666,NO
0.19695,NO
0.34445,NO
0.5414,YES
0.3485,YES
0.29515,NO
0.21145,NO
0.11435,NO
0.1505,NO
0.54305,YES
0.4291,YES
0.11275,NO
0.15675,NO
0.09045,NO
0.15,NO
0.18105,NO
0.24585,NO
0.1159,NO
0.5671999999999999,YES
0.14375,NO
0.5427500000000001,YES
0.06825,NO
0.47865,YES
0.1242,NO
0.1466,NO
0.1437,NO
0.14379999999999998,NO
0.10275000000000001,NO
0.204,NO
0.14815,NO
0.11815,NO
0.18225000000000002,NO
0.06455,NO
0.31179999999999997,YES
0.5397500000000001,YES
0.49095,YES
0.3838,YES
0.1969,NO
0.0733,NO
0.3613,YES
0.24625,NO
0.294,YES
0.15089999999999998,NO
0.25039999999999996,NO
0.2963,NO
0.17835,NO
0.09665,NO
0.40315,YES
0.09335,NO
0.5748,YES
0.20395,NO
0.53525,YES
0.18974999999999997,NO
0.28669999999999995,NO
0.30419999999999997,NO
0.1301,NO
0.35895000000000005,YES
0.2626,NO
0.2743,YES
0.65235,YES
0.21719999999999998,YES
0.3312,NO
0.20655,NO
0.11895,NO
0.17285,NO
0.49155,YES
0.57585,YES
0.1199,NO
0.13165,NO
0.11229999999999998,NO
0.1137,NO
0.18505,NO
0.2393,NO
0.1038,NO
0.47035,YES
0.1522,NO
0.6141,YES
0.0663,NO
0.46225,YES
0.09970000000000001,NO
0.1195,NO
0.1608,NO
0.1394,NO
0.09165000000000001,NO
0.22965,NO
0.1635,NO
0.11410000000000001,NO
0.23670000000000002,NO
0.1076,NO
0.33565,NO
0.3906,NO
0.20205,NO
0.37795,NO
0.24805,NO
0.1028,NO
0.3337,NO
0.5790500000000001,YES
0.29045,NO
0.3956,YES
0.2757,NO
0.3227,NO
0.1791,NO
0.2348,NO
0.26549999999999996,NO
0.2419,NO
0.25885,NO
0.1864,NO
0.29485,NO
0.47635,YES
0.5662,YES
0.49085,YES
0.356,YES
0.3068,NO
0.43629999999999997,YES
0.22205,NO
0.66005,YES
0.2284,YES
0.29869999999999997,NO
0.20800000000000002,NO
0.10615,NO
0.15325,NO
0.46115,YES
0.5916,YES
0.11170000000000001,NO
0.13474999999999998,NO
0.09605,NO
0.11555,NO
0.18125000000000002,NO
0.24425,NO
0.11095000000000001,NO
0.4765,YES
0.1403,NO
0.6415500000000001,YES
0.0679,NO
0.47075,YES
0.11135,NO
0.1123,NO
0.14565,NO
0.1398,NO
0.08940000000000001,NO
0.205,NO
0.1473,NO
0.1119,NO
0.2459,NO
0.10529999999999999,NO
0.3603,NO
0.3711,NO
0.20625,NO
0.3939,NO
0.28465,NO
0.11424999999999999,NO
0.32530000000000003,NO
0.56345,YES
0.31520000000000004,NO
0.43835,YES
0.2771,NO
0.31045,NO
0.1627,NO
0.20445,NO
0.26494999999999996,NO
0.2021,NO
0.23295000000000002,NO
0.1971,NO
0.2591,NO
0.46359999999999996,YES
0.5525,YES
0.47365,YES
0.3962,YES
0.33475,NO
0.44534999999999997,YES
0.21515,NO
