NONETRACED_RFNONE_MULTI_LSA_MAX.csv,Associated
0.0737,NO
0.1764705882352941,NO
0.1144,NO
0.4411764705882352,NO
0.0671,NO
0.0906,NO
0.0589,NO
0.14705882352941174,NO
0.1689,NO
0.2469,YES
0.0616,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.0706,NO
0.14705882352941174,NO
0.2352941176470588,NO
0.2179,NO
0.1147,NO
0.1176470588235294,YES
0.0804,YES
0.1668,YES
0.24,YES
0.1573,NO
0.0716,YES
0.1205,NO
0.1072,YES
0.2444,YES
0.3362,NO
0.38235294117647056,NO
0.1148,NO
0.1112,NO
0.3947,YES
0.0957,YES
0.1364,NO
0.38235294117647056,NO
0.0981,NO
0.29411764705882354,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.08823529411764705,NO
0.1764705882352941,YES
0.38235294117647056,NO
0.38235294117647056,YES
0.8529411764705881,NO
0.1764705882352941,NO
0.2352941176470588,NO
0.7647058823529411,NO
0.2058823529411765,NO
0.4411764705882352,NO
0.1119,NO
0.6470588235294117,NO
0.32352941176470584,NO
0.1534,NO
0.14705882352941174,NO
0.2865,NO
0.1764705882352941,NO
0.1764705882352941,NO
0.1465,NO
0.1764705882352941,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2352941176470588,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.9117647058823528,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.32352941176470584,YES
0.1659,NO
0.1927,YES
0.1251,NO
0.1303,YES
0.1814,YES
0.3356,NO
0.2058823529411765,NO
0.1507,NO
0.1441,NO
0.3435,YES
0.1243,YES
0.2058823529411765,NO
0.6176470588235293,NO
0.14705882352941174,NO
0.2058823529411765,NO
0.2352941176470588,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.4705882352941176,NO
0.0821,YES
0.32352941176470584,NO
0.38235294117647056,YES
0.4411764705882352,NO
0.5294117647058822,NO
0.5,NO
0.11800000000000001,NO
0.1764705882352941,NO
0.2352941176470588,NO
0.32352941176470584,NO
0.1328,NO
0.2647058823529411,NO
0.0244,NO
0.1404,YES
0.3348,YES
0.2937,YES
0.1764705882352941,YES
0.32352941176470584,NO
0.013000000000000001,NO
0.2103,YES
0.1395,NO
0.14705882352941174,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.05882352941176471,NO
0.2318,YES
0.14705882352941174,NO
0.3609,YES
0.7941176470588235,NO
0.255,YES
0.0522,NO
0.0677,NO
0.1439,NO
0.1764705882352941,NO
0.1715,YES
0.1176470588235294,NO
0.1764705882352941,YES
0.1544,NO
0.0732,NO
0.1975,NO
0.2647058823529411,NO
0.4411764705882352,NO
0.8529411764705881,NO
0.1684,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.7352941176470588,NO
0.1756,NO
0.1689,NO
0.054000000000000006,NO
0.1469,NO
0.0547,NO
0.14705882352941174,NO
0.2019,NO
0.8235294117647058,NO
0.9117647058823528,YES
0.3612,YES
0.3529411764705882,YES
0.2894,YES
0.5294117647058822,NO
0.1753,YES
0.0979,NO
0.0985,NO
0.0774,NO
0.1069,YES
0.3647,YES
0.2531,YES
0.1331,YES
0.0885,NO
0.0604,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.7352941176470588,NO
0.1453,NO
0.3529411764705882,YES
0.141,NO
0.2623,YES
0.4117647058823529,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.1415,NO
0.0745,NO
