LOWERTRACED_RFUNDER_SINGLE_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.07942222222222223,NO
0.1470888888888889,NO
0.0724388888888889,NO
0.06752222222222223,NO
0.02945,NO
0.03395,NO
0.10667222222222222,NO
0.17900555555555556,YES
0.05302222222222223,NO
0.22455555555555554,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.07418888888888889,NO
0.05545,NO
0.0762388888888889,NO
0.10895,NO
0.0962388888888889,NO
0.09450555555555556,YES
0.09575555555555557,YES
0.13895555555555555,YES
0.17555555555555555,YES
0.10087222222222222,NO
0.09135555555555555,YES
0.08247222222222222,NO
0.0536,YES
0.1222,YES
0.19032222222222223,NO
0.45672777777777784,NO
0.43517777777777783,NO
0.07782222222222222,NO
0.19735,YES
0.04785,YES
0.09042222222222222,NO
0.4361333333333333,NO
0.07127222222222224,NO
0.4362333333333333,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.4160777777777778,NO
0.0563,YES
0.39482777777777783,NO
0.16995,YES
0.39837777777777783,NO
0.4439333333333333,NO
0.4217833333333333,NO
0.4450833333333333,NO
0.42343333333333333,NO
0.11737222222222223,NO
0.4392833333333333,NO
0.07262222222222223,NO
0.06652222222222223,NO
0.09892222222222223,NO
0.09432777777777777,NO
0.14325,NO
0.0756,NO
0.11107777777777778,NO
0.09547222222222222,NO
0.04767222222222223,NO
0.1371277777777778,NO
0.3620333333333333,YES
0.10792777777777778,NO
0.23408333333333334,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.11817222222222222,NO
0.07665,NO
0.08562222222222222,NO
0.09735,NO
0.10997222222222222,NO
0.1101,NO
0.35658333333333336,YES
0.3459333333333333,YES
0.31598333333333334,YES
0.22188333333333332,YES
0.11072777777777777,NO
0.22968333333333335,YES
0.09032777777777777,NO
0.06515,YES
0.0907,YES
0.20113333333333333,NO
0.3331,NO
0.32535000000000003,NO
0.10538333333333334,NO
0.17175,YES
0.06215,YES
0.11988333333333334,NO
0.0976,NO
0.10153333333333334,NO
0.09435,NO
0.11445,NO
0.1044,NO
