UPPERTRACED_MAX_MULTI_VSM_SUM.csv,Associated
0.21904761904761902,NO
0.06369047619047616,NO
0.41495535714285714,NO
0.48504464285714277,NO
0.18467261904761903,NO
0.44270833333333326,NO
0.2577380952380952,NO
0.042931547619047605,NO
0.3834077380952381,NO
0.7918154761904761,YES
0.3192708333333333,NO
0.5982142857142856,YES
0.31562499999999993,NO
0.35461309523809526,NO
0.14970238095238092,NO
0.23325892857142858,NO
0.27857142857142847,NO
0.22321428571428567,NO
0.2456845238095238,NO
0.18943452380952377,NO
0.3151785714285714,NO
0.5796130952380951,YES
0.7079613095238094,YES
0.6409970238095236,YES
0.46904761904761894,YES
0.37514880952380947,NO
0.5344494047619046,YES
0.2356398809523809,NO
0.6973214285714285,YES
0.3895089285714285,YES
0.38869047619047614,NO
0.21324404761904756,NO
0.09910714285714284,NO
0.16443452380952375,NO
0.7610863095238094,YES
0.5209077380952379,YES
0.10133928571428569,NO
0.10290178571428568,NO
0.07202380952380952,NO
0.07328869047619047,NO
0.18363095238095237,NO
0.27157738095238093,NO
0.0757440476190476,NO
0.7284970238095237,YES
0.13058035714285712,NO
0.6604910714285713,YES
0.006026785714285721,NO
0.5913690476190475,YES
0.05431547619047619,NO
0.12589285714285714,NO
0.14404761904761904,NO
0.10922619047619045,NO
0.046130952380952384,NO
0.24456845238095234,NO
0.14672619047619045,NO
0.08839285714285713,NO
0.2301339285714286,NO
0.12931547619047615,NO
0.42886904761904754,NO
0.5372023809523808,NO
0.24724702380952376,NO
0.4992559523809522,NO
0.32291666666666663,NO
0.0302827380952381,NO
0.42046130952380945,NO
0.9484374999999999,YES
0.3927083333333333,NO
0.4966517857142856,YES
0.28757440476190466,NO
0.3499255952380952,NO
0.14322916666666666,NO
0.29107142857142854,NO
0.34010416666666654,NO
0.2350446428571428,NO
0.33497023809523807,NO
0.15788690476190473,NO
0.39367559523809526,NO
0.8538690476190475,YES
0.9645089285714284,YES
0.7886904761904762,YES
0.4222470238095237,YES
0.3815476190476189,NO
0.6245535714285713,YES
0.23906249999999998,NO
0.7145089285714284,YES
0.3426339285714285,YES
0.3882440476190476,NO
0.2194196428571428,NO
0.12581845238095235,NO
0.18891369047619047,NO
0.7229910714285713,YES
0.5421874999999998,YES
0.12864583333333332,NO
0.09516369047619047,NO
0.10052083333333334,NO
0.06056547619047617,NO
0.2202380952380952,NO
0.31339285714285714,NO
0.11473214285714287,NO
0.6624255952380951,YES
0.1425595238095238,NO
0.6377976190476189,YES
0.0037946428571428575,NO
0.5677083333333331,YES
0.05386904761904762,NO
0.12879464285714284,NO
0.15453869047619048,NO
0.10513392857142856,NO
0.06480654761904764,NO
0.2667410714285714,NO
0.16398809523809524,NO
0.11220238095238094,NO
0.1982142857142857,NO
0.008556547619047616,NO
0.38303571428571415,YES
0.7416666666666667,YES
0.6389880952380952,YES
0.4853422619047618,YES
0.22150297619047613,NO
0.012500000000000011,NO
0.44947916666666665,YES
0.2918154761904762,NO
0.33683035714285714,YES
0.1619047619047619,NO
0.2906994047619047,NO
0.3604910714285713,NO
0.17909226190476188,NO
0.07529761904761903,NO
0.5185267857142856,YES
0.06964285714285712,NO
0.7648809523809521,YES
0.23571428571428568,NO
0.6799851190476189,YES
0.19360119047619043,NO
0.35230654761904756,NO
0.37247023809523805,NO
0.10669642857142855,NO
0.4647321428571428,YES
0.3064732142857143,NO
0.32894345238095235,YES
0.2790922619047619,NO
0.06964285714285712,NO
0.47678571428571426,NO
0.5161458333333332,NO
0.2818452380952381,NO
0.501860119047619,NO
0.3392113095238095,NO
0.0835565476190476,NO
0.36622023809523807,NO
0.9078124999999998,YES
0.39077380952380947,NO
0.5627976190476189,YES
0.2828869047619047,NO
0.3192708333333333,NO
0.10997023809523807,NO
0.18846726190476185,NO
0.3353422619047619,NO
0.18139880952380952,NO
0.270610119047619,NO
0.17752976190476186,NO
0.3260416666666667,NO
0.8116071428571427,YES
0.9168898809523808,YES
0.7245535714285714,YES
0.5058035714285714,YES
0.42373511904761896,NO
0.6116071428571427,YES
