NONETRACED_MEDIAN_SINGLE_VSM_MEDIAN.csv,Associated
0.04925,NO
0.0438,NO
0.0759,NO
0.12890000000000001,NO
0.05045,NO
0.0654,NO
0.0503,NO
0.040350000000000004,NO
0.10464999999999999,NO
0.12825,YES
0.0508,NO
0.17704999999999999,YES
0.1318,NO
0.12775,NO
0.12445,NO
0.0653,NO
0.07314999999999999,NO
0.06295,NO
0.06685,NO
0.12255,NO
0.07794999999999999,NO
0.05125,YES
0.05265,YES
0.1015,YES
0.1325,YES
0.0982,NO
0.0544,YES
0.08954999999999999,NO
0.0769,YES
0.1402,YES
0.20600000000000002,NO
0.10545,NO
0.0826,NO
0.09,NO
0.2392,YES
0.06135,YES
0.1043,NO
0.06415,NO
0.07215,NO
0.0722,NO
0.10925,NO
0.1058,NO
0.10205,NO
0.15515,YES
0.09275,NO
0.06575,YES
0.0641,NO
0.19165,YES
0.05265,NO
0.0905,NO
0.0669,NO
0.10250000000000001,NO
0.0778,NO
0.1293,NO
0.09325,NO
0.08954999999999999,NO
0.060149999999999995,NO
0.0995,NO
0.09855,NO
0.16135,NO
0.09335,NO
0.1275,NO
0.10114999999999999,NO
0.0346,NO
0.15215,NO
0.23634999999999998,YES
0.12655,NO
0.11220000000000001,YES
0.12605,NO
0.1334,NO
0.12715,NO
0.10565,NO
0.11829999999999999,NO
0.0723,NO
0.13955,NO
0.1086,NO
0.1344,NO
0.24115,YES
0.22955,YES
0.22325,YES
0.11305000000000001,YES
0.12375,NO
0.13570000000000002,YES
0.10974999999999999,NO
0.10375000000000001,YES
0.12225,YES
0.2378,NO
0.12179999999999999,NO
0.12065000000000001,NO
0.1285,NO
0.23850000000000002,YES
0.08355,YES
0.1477,NO
0.06470000000000001,NO
0.10999999999999999,NO
0.07205,NO
0.14075,NO
0.1489,NO
0.14434999999999998,NO
0.12455,YES
0.13305,NO
0.05895,YES
0.09845,NO
0.19465,YES
0.08180000000000001,NO
0.1182,NO
0.09775,NO
0.13935,NO
0.10435,NO
0.16525,NO
0.12675,NO
0.1286,NO
0.0627,NO
0.04535,NO
0.1196,YES
0.1881,YES
0.17255,YES
0.14915,YES
0.092,NO
0.01895,NO
0.18905,YES
0.0795,NO
0.13425,YES
0.08915000000000001,NO
0.13385,NO
0.12405,NO
0.12555,NO
0.045899999999999996,NO
0.1736,YES
0.04,NO
0.25035,YES
0.10005,NO
0.1689,YES
0.0566,NO
0.06384999999999999,NO
0.14305,NO
0.0728,NO
