LOWERTRACED_SUM_MULTI_VSM_SUM.csv,Associated
0.12107084581039645,NO
0.11954670157255823,NO
0.21416916207929138,NO
0.21182018684215245,NO
0.18504904158224103,NO
0.20990155821334433,NO
0.1184170417256899,NO
0.12003084150693036,NO
0.22394161631013645,NO
0.3200882210547078,YES
0.20470153669601393,NO
0.3364234610625975,YES
0.1453316358550449,NO
0.14181713855367675,NO
0.14167368968423316,NO
0.12833294482597857,NO
0.18567663038605678,NO
0.12774121823952375,NO
0.1864118058419552,NO
0.14692750452760495,NO
0.1935842493141351,NO
0.2897846473847478,YES
0.290232925101759,YES
0.30572540300166756,YES
0.3188509745557568,YES
0.2218616077032043,NO
0.2886549875378795,YES
0.2152629597087988,NO
0.22460506733131308,YES
0.24920654844089007,YES
0.3166633792967419,NO
0.16397998888271262,NO
0.1562516810414388,NO
0.27631838476573006,NO
0.276157004787606,YES
0.22254298983306134,YES
0.2808370241532034,NO
0.11511771772848714,NO
0.27396940952859117,NO
0.11515357994584804,NO
0.1205867058760243,NO
0.11572737542362244,NO
0.11617565314063369,NO
0.25578726532661517,YES
0.149401997525507,NO
0.22557334720005737,YES
0.14178127633631588,NO
0.26633075723071953,YES
0.1430543850526278,NO
0.11791497068263729,NO
0.10997148953719807,NO
0.11832738618228764,NO
0.11056321612365291,NO
0.2905018917319657,NO
0.11624737757535547,NO
0.2744535494629633,NO
0.08798795029496673,NO
0.09960730871989815,NO
0.32919722426437625,NO
0.2820922017608348,NO
0.2578314117161864,NO
0.3352041456723269,NO
0.0983700622209471,NO
0.0812279223224372,NO
0.34454625329484123,NO
0.6458606035611182,YES
0.33407448582545857,NO
0.5999748964478474,YES
0.1074611343219351,NO
0.10957700514622817,NO
0.10900320966845378,NO
0.10651078556187127,NO
0.2582079649984758,NO
0.09483763381089852,NO
0.265631443992182,NO
0.10357008373827753,NO
0.2702038767056967,NO
0.6439061127149492,YES
0.6400867865660135,YES
0.629346052466424,YES
0.5955997059298177,YES
0.3350786279115638,NO
0.5983969588839678,YES
0.3277627355699403,NO
0.20002151733041657,YES
0.20918431386612635,YES
0.3471821262708673,NO
0.17079381018128348,NO
0.1680144883358138,NO
0.3128440531478061,NO
0.23825064103713534,YES
0.19894565080958956,YES
0.3180440746651365,NO
0.13606125266725239,NO
0.3114633577794115,NO
0.13489573060302318,NO
0.15368753250013448,NO
0.15008337965536409,NO
0.14985027524251823,NO
0.21113880471229535,YES
0.15761444530115296,NO
0.1913787229464398,YES
0.14656888235399593,NO
0.23190302856425615,YES
0.14827233767863865,NO
0.14142265416270686,NO
0.1353081461026735,NO
0.14014954544639494,NO
0.13787229464397782,NO
0.3264716957449479,NO
0.14321576503075184,NO
0.3108178378669153,NO
0.10131076404454087,NO
0.09270383187792502,NO
0.4988255123814305,YES
0.6688662159981352,YES
0.6614965303304704,YES
0.4992917212071221,YES
0.10313973712994673,NO
0.09065968548835376,NO
0.5113593573490649,YES
0.1443633559863006,NO
0.497408954795675,YES
0.1452240492029622,NO
0.14999372411196182,NO
0.14585163800677794,NO
0.14585163800677794,NO
0.09858523552511253,NO
0.650397174057272,YES
0.09829833778622532,NO
0.6735462353637326,YES
0.11373702236009253,NO
0.6545571912711363,YES
0.128709498108268,NO
0.1314888199537377,NO
0.14515232476824041,NO
0.12820742706521543,NO
0.5044020871810504,YES
0.1366350481450268,NO
0.49773171475192307,YES
0.1655220642292313,NO
0.15096200398070614,NO
0.3594828668256558,NO
0.275601140418512,NO
0.26475281966683994,NO
0.3545697430472126,NO
0.16803241944449424,NO
0.15980204056016784,NO
0.3502124836378633,NO
0.6181929028671843,YES
0.35234628557083686,NO
0.5980383367103589,YES
0.12600190069752013,NO
0.12185981459233622,NO
0.1206584303107461,NO
0.1475192311140598,NO
0.25564381645717155,NO
0.14764474887482293,NO
0.24870447739783752,NO
0.1740393408524449,NO
0.2524879413294124,NO
0.6158439276300454,YES
0.6107335616561173,YES
0.596012121429468,YES
0.5978590256235544,YES
0.3639835751044487,NO
0.5773996306191612,YES
0.3416234825799279,NO
0.0778030805644713,NO
0.07401961663289641,NO
0.2763542469830909,YES
0.48984202693252527,YES
0.4698309096451433,YES
0.28105219745736876,YES
0.07600996969642632,NO
0.07097132815721996,NO
