NONETRACED_RFNONE_RAW_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.09720000000000001,NO
0.1082,NO
0.03855,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.16845,YES
0.0408,NO
0.174,YES
0.13635,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.1003,NO
0.10045,NO
0.03735,NO
0.13895000000000002,NO
0.062349999999999996,NO
0.043949999999999996,YES
0.0952,YES
0.0834,YES
0.13,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0786,YES
0.1272,YES
0.1881,NO
0.16895,NO
0.0624,NO
0.0556,NO
0.35235,YES
0.04785,YES
0.0732,NO
0.0578,NO
0.06405,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.17055,YES
0.0483,NO
0.0713,YES
0.01705,NO
0.19494999999999998,YES
0.0406,NO
0.0756,NO
0.03845,NO
0.07675,NO
0.045099999999999994,NO
0.12015,NO
0.07095,NO
0.0804,NO
0.0443,NO
0.0767,NO
0.07155,NO
0.15325,NO
0.0756,NO
0.0833,NO
0.10325,NO
0.02545,NO
0.10935,NO
0.2787,YES
0.10015,NO
0.14075000000000001,YES
0.1025,NO
0.15839999999999999,NO
0.1218,NO
0.10594999999999999,NO
0.20665,NO
0.0884,NO
0.10235000000000001,NO
0.12775,NO
0.1951,NO
0.33825,YES
0.2426,YES
0.22265000000000001,YES
0.10855000000000001,YES
0.09294999999999999,NO
0.18635000000000002,YES
0.06755,NO
0.07015,YES
0.0907,YES
0.2228,NO
0.1431,NO
0.07535,NO
0.07205,NO
0.19675,YES
0.06215,YES
0.12655,NO
0.0526,NO
0.0882,NO
0.04935,NO
0.11445,NO
0.10940000000000001,NO
0.10375,NO
0.10615,YES
0.04635,NO
0.07605,YES
0.04055,NO
0.18405,YES
0.0203,NO
0.09255,NO
0.0455,NO
0.069,NO
0.05265,NO
0.13005,NO
0.10255,NO
0.0814,NO
0.0362,NO
0.0122,NO
0.0702,YES
0.2324,YES
0.23185,YES
0.0965,YES
0.0413,NO
0.006500000000000001,NO
0.11015,YES
