NONETRACED_MEDIAN_SINGLE_LSA_MEDIAN.csv,Associated
0.19668272133822928,NO
0.42652084863321094,NO
0.24467450020399836,NO
0.16429955120359038,NO
0.10841740106079151,NO
0.24542239902080787,NO
0.31086574867401057,NO
0.12319928600571198,NO
0.28243041615667075,NO
0.19087146062831498,YES
0.2577481844145247,NO
0.25488331293349653,YES
0.3428922276621787,NO
0.4958829253365972,NO
0.3137203794369645,NO
0.287006160750714,NO
0.265206160750714,NO
0.20967276621787026,NO
0.11731736026111789,NO
0.22798304773561812,NO
0.2048408200734394,NO
0.1725689310485516,YES
0.2541942880456956,YES
0.28617437780497756,YES
0.3405222358221134,YES
0.28326036311709507,NO
0.3141557731538147,YES
0.22793665850673195,NO
0.17977299061607505,YES
0.3286463484292126,YES
0.2784631170950632,NO
0.0960858629130967,NO
0.093915707874337,NO
0.14811325989392082,NO
0.32352299061607503,YES
0.14107725418196654,YES
0.194168992248062,NO
0.06259192166462668,NO
0.15084518563851493,NO
0.10410359037127702,NO
0.22316293349653205,NO
0.2501066095471236,NO
0.18138516931864546,NO
0.26305101999184005,YES
0.1371372093023256,NO
0.18022900856793145,YES
0.04571177070583435,NO
0.26521723786209705,YES
0.06303166054671562,NO
0.14709530803753568,NO
0.15462707058343533,NO
0.14844930640554876,NO
0.12455532435740513,NO
0.20377913096695222,NO
0.1752890452876377,NO
0.15015520195838436,NO
0.13303929008567933,NO
0.22357882496940024,NO
0.10102572419420644,NO
0.19751356589147284,NO
0.13659551203590373,NO
0.11287976336189309,NO
0.16290728274173805,NO
0.047481823745410046,NO
0.16646954304365566,NO
0.24277588739290085,YES
0.14124751121991022,NO
0.10319798041615667,YES
0.17145144838841286,NO
0.2701707058343533,NO
0.249190860873113,NO
0.21447305181558546,NO
0.18864510403916768,NO
0.14673333333333333,NO
0.13549769481844146,NO
0.1300796613627091,NO
0.18925136678906568,NO
0.34320104039167687,YES
0.3757986944104447,YES
0.3118829661362709,YES
0.1567874541003672,YES
0.1391515503875969,NO
0.17142139942880458,YES
