UPPERTRACED_RFNONE_SINGLE_LSA_SUM.csv,Associated
0.09717301047174036,NO
0.03156736702586774,NO
0.10185296260427121,NO
0.3039437996120278,NO
0.41351670826299025,NO
0.06737726646322018,NO
0.18723758474092755,NO
0.03381883508837634,NO
0.1326698402759694,NO
0.2269710951877979,YES
0.05782425382632536,NO
0.2736784511538225,YES
0.17958054520930317,NO
0.17786597693817902,NO
0.1771988752900283,NO
0.0724273429750978,NO
0.15310568001942787,NO
0.06967554867647618,NO
0.039489199097657246,NO
0.17352981622519947,NO
0.08747370361375985,NO
0.04215760569026002,YES
0.16127767520927389,YES
0.11628927634100598,YES
0.235846765581066,YES
0.1522557105949201,NO
0.18319840129675202,YES
0.07768076845428452,NO
0.09584904777091496,YES
0.4296983120572771,YES
0.4916188040740015,NO
0.13812661472246524,NO
0.5410691766853827,NO
0.06992571179453269,NO
0.320959280466503,YES
0.3057007932072668,YES
0.09093941371127957,NO
0.06525600025747783,NO
0.3369609423688546,NO
0.06542277566951551,NO
0.12704629041743593,NO
0.1629659105206026,NO
0.19430944738820927,NO
0.2262308464291044,YES
0.041073565512015145,NO
0.08572256178736429,YES
0.13729858943112033,NO
0.2752628175681804,YES
0.07007200601561839,NO
0.07826448239641638,NO
0.8752007888184401,NO
0.21184719861196044,NO
0.04407552292869327,NO
0.15051480936400052,NO
0.12902711417093604,NO
0.14902992301998086,NO
0.10959777866854704,NO
0.10511532373448186,NO
0.1174464636297937,NO
0.36239858153123233,NO
0.48364576902483203,NO
0.1307519230375362,NO
0.2602852152134286,NO
0.019642925065174073,NO
0.17419691787335018,NO
0.4025022163574494,YES
0.14012791966691734,NO
0.15985423243811026,YES
0.14814338004020167,NO
0.1726125514589923,NO
0.16994414486638948,NO
0.137219590551734,NO
0.22206731289700593,NO
0.08293419393347123,NO
0.13955444632026148,NO
0.13817342887321266,NO
0.17544773346363274,NO
0.34952469007569265,YES
0.44879848556222335,YES
0.28181387278839715,YES
0.1833958984952177,YES
0.15942705331254003,NO
0.28418091328556344,YES
