LOWERTRACED_RFUNDER_RAW_LSA_MEDIAN.csv,Associated
0.05185,NO
0.047599999999999996,NO
0.3972,NO
0.5482,NO
0.47355,NO
0.38530000000000003,NO
0.04445,NO
0.04895,NO
0.42445,NO
0.48845,YES
0.3708,NO
0.534,YES
0.30135,NO
0.29155,NO
0.29115,NO
0.0721,NO
0.4753,NO
0.07045,NO
0.47735,NO
0.12395,NO
0.49735,NO
0.40395,YES
0.4052,YES
0.4484,YES
0.485,YES
0.41865,NO
0.4008,YES
0.40025,NO
0.0536,YES
0.1222,YES
0.3331,NO
0.52395,NO
0.5024,NO
0.22060000000000002,NO
0.19735,YES
0.04785,YES
0.23320000000000002,NO
0.0528,NO
0.21405000000000002,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.4833,NO
0.0563,YES
0.46205,NO
0.16995,YES
0.4656,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.26015,NO
0.05595,NO
0.2154,NO
0.3143,NO
0.3467,NO
0.39655,NO
0.39825,NO
0.3306,NO
0.4133,NO
0.34325,NO
0.29545,NO
0.43935,NO
0.5887,YES
0.41015,NO
0.46075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.36595,NO
0.33165,NO
0.33340000000000003,NO
0.35235,NO
0.35775,NO
0.3651,NO
0.58325,YES
0.5726,YES
0.54265,YES
0.44855,YES
0.41295000000000004,NO
0.45635,YES
0.39255,NO
0.07015,YES
0.09570000000000001,YES
0.5028,NO
0.5530999999999999,NO
0.54535,NO
0.40705,NO
0.17675000000000002,YES
0.06715,YES
0.42155000000000004,NO
0.0476,NO
0.4032,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.10115,YES
0.51635,NO
0.04605,YES
0.48555,NO
0.15905,YES
0.49029999999999996,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.44505,NO
0.06755,NO
0.40140000000000003,NO
0.0362,NO
0.0122,NO
0.5702,YES
0.33240000000000003,YES
0.31185,YES
0.5715,YES
0.0413,NO
0.006500000000000001,NO
0.60515,YES
0.29475,NO
0.56625,YES
0.29715,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.28090000000000004,YES
0.0278,NO
0.34545000000000003,YES
0.07085,NO
0.2925,YES
0.2511,NO
0.25885,NO
0.29695,NO
0.2497,NO
0.58575,YES
0.2732,NO
0.56715,YES
0.1172,NO
0.0766,NO
0.58875,NO
0.5991,NO
0.56885,NO
0.57505,NO
0.1242,NO
0.10125,NO
0.5629,NO
0.5814,YES
0.56885,NO
0.5252,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.067,NO
0.54345,NO
0.06735,NO
0.5241,NO
0.14095,NO
0.53465,NO
0.57485,YES
0.5606,YES
0.51955,YES
0.5246999999999999,YES
0.6013,NO
0.46765,YES
0.53895,NO
0.07425000000000001,NO
0.0637,NO
0.50345,YES
0.20735,YES
0.15155,YES
0.5165500000000001,YES
0.06925,NO
0.0552,NO
0.5534,YES
0.5099,NO
0.503,YES
0.45295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.09765000000000001,NO
0.13725,YES
0.0955,NO
0.15614999999999998,YES
0.096,NO
0.15275,YES
0.48245,NO
0.4903,NO
0.4914,NO
0.4316,NO
0.52305,YES
0.4358,NO
0.5163,YES
0.07575,NO
0.042249999999999996,NO
0.61905,NO
0.565,NO
0.54735,NO
0.59985,NO
0.08765,NO
0.0818,NO
0.59995,NO
0.31445,YES
0.60225,NO
0.33735,YES
0.31595,NO
0.2918,NO
0.29165,NO
0.03165,NO
0.5225,NO
0.032999999999999995,NO
0.52565,NO
0.1178,NO
0.51945,NO
0.30895,YES
0.28725,YES
0.31005,YES
0.3704,YES
0.62025,NO
0.29785,YES
0.56655,NO
0.31745,NO
0.33695,NO
0.192,NO
0.09835,NO
0.0718,NO
0.18395,NO
0.33695,NO
0.31835,NO
0.1899,NO
0.1764,YES
0.1972,NO
0.0918,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.372,NO
0.06635,NO
0.35275,NO
0.155,NO
0.33545,NO
0.14095,NO
0.2071,YES
0.1698,YES
0.25205,YES
0.09415,YES
0.1765,NO
0.13865,YES
0.1663,NO
0.40695000000000003,NO
0.37345,NO
0.59765,NO
0.5871,NO
0.5723499999999999,NO
0.59115,NO
0.4192,NO
0.3952,NO
0.58755,NO
0.5439499999999999,YES
0.5914,NO
0.46915,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.3599,NO
0.54075,NO
0.36075,NO
0.53035,NO
0.43060000000000004,NO
0.54,NO
0.5669,YES
0.5397,YES
0.50495,YES
0.49875,YES
0.6103,NO
0.46515,YES
0.5584,NO
0.09634999999999999,NO
0.09570000000000001,NO
0.11900000000000001,NO
0.5993,NO
0.52635,NO
0.10775000000000001,NO
0.09025,NO
0.0866,NO
0.13605,NO
0.57985,YES
0.09535,NO
0.47735,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.10245,NO
0.50675,NO
0.1012,NO
0.50375,NO
0.1451,NO
0.5309,NO
0.5286,YES
0.52515,YES
0.517,YES
0.42285,YES
0.13375,NO
0.4164,YES
0.1145,NO
0.08345,NO
0.05255,NO
0.74475,YES
0.54155,YES
0.53135,YES
0.63235,YES
0.14185,NO
0.08324999999999999,NO
0.6533,YES
0.1137,NO
0.65445,YES
0.11795,NO
0.11155000000000001,NO
0.07980000000000001,NO
0.0787,NO
0.0751,NO
0.51965,YES
0.07375,NO
0.5884499999999999,YES
0.13645000000000002,NO
0.5360499999999999,YES
0.12855,NO
0.10500000000000001,NO
0.21625,NO
0.125,NO
0.65995,YES
0.1908,NO
0.59405,YES
0.18995,NO
0.17735,NO
0.67975,YES
0.11280000000000001,NO
0.08175,NO
0.70795,YES
0.19135000000000002,NO
0.15485000000000002,NO
0.7724,YES
0.1005,NO
0.71905,YES
0.0814,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.1855,NO
0.11449999999999999,NO
0.1699,NO
0.18865,NO
0.17255,NO
0.13685,NO
0.10455,NO
0.0942,NO
0.19335,NO
0.10085000000000001,NO
0.6897,YES
0.17295,NO
0.6436999999999999,YES
0.0649,NO
0.0432,NO
0.61375,YES
0.5547,YES
0.5266,YES
0.60065,YES
0.08665,NO
0.0487,NO
0.62995,YES
0.4214,NO
0.6204,YES
0.35975,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0478,NO
0.50475,YES
0.0471,NO
0.55,YES
0.0862,NO
0.5106499999999999,YES
0.42485,NO
0.41054999999999997,NO
0.45175,NO
0.36275,NO
0.6114999999999999,YES
0.40295,NO
0.589,YES
0.14179999999999998,NO
0.14229999999999998,NO
0.52405,YES
0.0881,NO
0.08245,NO
0.53985,YES
0.14405,NO
0.1365,NO
0.5669,YES
0.0795,NO
0.5765,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.14875,NO
0.1053,NO
0.1427,NO
0.17785,NO
0.1051,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.531,YES
0.1792,NO
0.49195,YES
0.12835,NO
0.1142,NO
0.2322,YES
0.09835,YES
0.06255,YES
0.23129999999999998,YES
0.12444999999999999,NO
0.1099,NO
0.2652,YES
0.0576,NO
0.22669999999999998,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.1366,NO
0.0826,YES
0.1357,NO
0.07665,YES
0.17235,NO
0.0606,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.23859999999999998,YES
0.0189,NO
0.23685,YES
0.2212,YES
0.0941,YES
0.41669999999999996,NO
0.5524,NO
0.5479499999999999,NO
0.3103,NO
0.1897,YES
0.25465000000000004,YES
0.30519999999999997,NO
0.0429,NO
0.31084999999999996,NO
0.0385,NO
0.20155,NO
0.175,NO
0.1673,NO
0.11220000000000001,YES
0.5225,NO
0.19095,YES
0.488,NO
0.21925,YES
0.49384999999999996,NO
0.055999999999999994,NO
0.05135,NO
0.06795000000000001,NO
0.06465,NO
0.34385,NO
0.08,NO
0.2848,NO
0.18195,NO
0.1736,NO
0.6534,YES
0.0627,YES
0.045099999999999994,YES
0.6583,YES
0.1834,NO
0.17385,NO
0.7727999999999999,YES
0.1669,NO
0.68855,YES
0.15825,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.18200000000000002,NO
0.061349999999999995,YES
0.17865,NO
0.15510000000000002,YES
0.18105000000000002,NO
0.10345,YES
0.18764999999999998,NO
0.1671,NO
0.27115,NO
0.17885,NO
0.6483,YES
0.25105,NO
0.68155,YES
0.0689,NO
0.0337,NO
0.70385,YES
0.5807,YES
0.5703499999999999,YES
0.61335,YES
0.1196,NO
0.06825,NO
0.64175,YES
0.0943,NO
0.6361,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0574,NO
0.5459999999999999,YES
0.0541,NO
0.58335,YES
0.1084,NO
0.5487,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.64195,YES
0.11705,NO
0.59685,YES
0.2621,NO
0.24995,NO
0.6930000000000001,YES
0.12115000000000001,YES
0.1398,YES
0.59485,YES
0.3085,NO
0.2761,NO
0.5986,YES
0.0551,NO
0.62505,YES
0.0511,NO
0.15415,NO
0.1231,NO
0.11145,NO
0.2967,NO
0.12409999999999999,YES
0.29375,NO
0.2111,YES
0.28365,NO
0.16570000000000001,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.6026,YES
0.16295,NO
0.5589999999999999,YES
0.12545,NO
0.1266,NO
0.6247,YES
0.05955,YES
0.03825,YES
0.61705,YES
0.1232,NO
0.11779999999999999,NO
0.7314499999999999,YES
0.05015,NO
0.6502,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.14235,NO
0.056549999999999996,YES
0.14079999999999998,NO
0.1583,YES
0.12195,NO
0.11235,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.621,YES
0.11845,NO
0.6831499999999999,YES
0.06755,NO
0.05525,NO
0.5514,YES
0.1883,YES
0.14255,YES
0.5771,YES
0.057,NO
0.0377,NO
0.60185,YES
0.46355,NO
0.5563,YES
0.4359,NO
0.1294,NO
0.14155,NO
0.13115000000000002,NO
0.0949,NO
0.12329999999999999,YES
0.0924,NO
0.14725000000000002,YES
0.08539999999999999,NO
0.14265,YES
0.4253,NO
0.44565,NO
0.44555,NO
0.4159,NO
0.576,YES
0.4243,NO
0.56035,YES
0.07005,NO
0.061500000000000006,NO
0.562,YES
0.58925,YES
0.6062,YES
0.56465,YES
0.059050000000000005,NO
0.049600000000000005,NO
0.58085,YES
0.1018,NO
0.58695,YES
0.0771,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.10124999999999999,NO
0.57185,YES
0.0986,NO
0.7114,YES
0.0546,NO
0.6547,YES
0.09384999999999999,NO
0.08305,NO
0.15925,NO
0.0774,NO
0.5589500000000001,YES
0.1249,NO
0.55225,YES
0.14450000000000002,NO
0.1197,NO
0.50905,NO
0.15039999999999998,NO
0.0788,NO
0.48785,NO
0.14815,NO
0.12175,NO
0.5696,NO
0.06455,NO
0.47925,NO
0.0526,NO
0.21125,YES
0.1684,YES
0.1969,YES
0.1383,NO
0.08055,NO
0.13985,NO
0.07155,NO
