NONETRACED_RFNONE_SINGLE_LSA_MEDIAN.csv,Associated
0.08401981132075473,NO
0.07033584905660377,NO
0.08550188679245282,NO
0.2685773584905661,NO
0.05241792452830189,NO
0.28114905660377354,NO
0.02945,NO
0.2320632075471698,NO
0.10331792452830188,NO
0.20835566037735848,YES
0.21947924528301885,NO
0.25390566037735846,YES
0.13078396226415095,NO
0.14928584905660378,NO
0.12058396226415094,NO
0.1231377358490566,NO
0.0353,NO
0.14035566037735847,NO
0.1788594339622641,NO
0.13725188679245282,NO
0.2365952830188679,NO
0.21819528301886792,YES
0.0402,YES
0.18717358490566038,YES
0.12943396226415094,YES
0.10695188679245282,NO
0.0358,YES
0.10741981132075472,NO
0.3271849056603773,YES
0.19767169811320756,YES
0.22470377358490567,NO
0.19215754716981132,NO
0.2083433962264151,NO
0.0556,NO
0.21621792452830188,YES
0.05728396226415094,YES
0.16253962264150942,NO
0.10940377358490566,NO
0.058483962264150945,NO
0.10006981132075472,NO
0.18418962264150943,NO
0.15177169811320756,NO
0.16245566037735848,NO
0.2065877358490566,YES
0.07603584905660377,NO
0.09403584905660378,YES
0.15855943396226413,NO
0.22655377358490564,YES
0.11493962264150942,NO
0.15493962264150943,NO
0.09505377358490566,NO
0.18439150943396226,NO
0.20047735849056605,NO
0.19892358490566037,NO
0.06538396226415094,NO
0.16360754716981132,NO
0.06316792452830189,NO
0.1427377358490566,NO
0.06655,NO
0.14325,NO
0.18880754716981132,NO
0.10216792452830188,NO
0.07325,NO
0.1763933962264151,NO
0.10935,NO
0.2287,YES
0.08015,NO
0.10075,YES
0.1025,NO
0.3065132075471698,NO
0.1068,NO
0.09595,NO
0.18042358490566035,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.13840188679245283,NO
0.33645754716981136,YES
0.31637358490566037,YES
0.18265,YES
0.14515377358490567,YES
0.08295,NO
0.09635,YES
0.06255,NO
0.06515,YES
0.16617169811320753,YES
0.2149698113207547,NO
0.20574150943396224,NO
0.14138773584905662,NO
0.07205,NO
0.18118396226415096,YES
0.07158396226415094,YES
0.13371981132075472,NO
0.1985433962264151,NO
0.1342377358490566,NO
0.10095377358490566,NO
0.17105377358490564,NO
0.1704377358490566,NO
0.17922169811320754,NO
0.1621877358490566,YES
0.14068962264150942,NO
0.1070877358490566,YES
0.0815877358490566,NO
0.23895566037735846,YES
0.06746981132075472,NO
0.10971981132075471,NO
0.13983962264150943,NO
0.10616981132075473,NO
0.12812169811320756,NO
0.1760877358490566,NO
0.09585188679245282,NO
0.10413584905660378,NO
0.0362,NO
0.08767169811320755,NO
0.12680377358490566,YES
0.18626792452830188,YES
0.1657179245283019,YES
0.12810377358490566,YES
0.050733962264150945,NO
0.11027358490566037,NO
0.16175377358490567,YES
0.08861792452830189,NO
0.07568396226415094,YES
0.09101792452830189,NO
0.15541981132075472,NO
0.10613396226415094,NO
0.13443584905660377,NO
0.22671320754716978,NO
0.19137169811320753,YES
0.10327169811320755,NO
0.30309150943396224,YES
0.09915188679245282,NO
0.3256132075471698,YES
0.04496792452830189,NO
0.06215188679245282,NO
0.08138396226415094,NO
0.26998301886792453,NO
0.11405188679245283,YES
0.05763396226415094,NO
0.4728103773584905,YES
0.1432377358490566,NO
0.05546792452830189,NO
0.10818396226415095,NO
0.38381698113207546,NO
0.29696320754716976,NO
0.16052169811320754,NO
0.15967169811320753,NO
0.08955188679245282,NO
0.26157924528301885,NO
0.27687169811320755,YES
0.12601981132075474,NO
0.3244452830188679,YES
0.2502933962264151,NO
0.11610188679245283,NO
0.19765754716981132,NO
