UPPERTRACED_RFUNDER_SINGLE_LSA_MEDIAN.csv,Associated
0.09381202531645569,NO
0.0326,NO
0.07618734177215189,NO
0.16516202531645569,NO
0.12848670886075947,NO
0.09593291139240506,NO
0.21299430379746837,NO
0.03395,NO
0.08445,NO
0.2373740506329114,YES
0.043458227848101265,NO
0.16899999999999998,YES
0.12135,NO
0.16851202531645568,NO
0.11747911392405064,NO
0.06975822784810126,NO
0.08593291139240505,NO
0.05545,NO
0.03735,NO
0.13426645569620255,NO
0.05735,NO
0.03895,YES
0.09083291139240507,YES
0.11504556962025317,YES
0.15164556962025316,YES
0.09763734177215189,NO
0.2636481012658227,YES
0.06025,NO
0.09157468354430379,YES
0.17283291139240506,YES
0.35164430379746836,NO
0.10426645569620253,NO
0.3865139240506329,NO
0.0556,NO
0.2163373417721519,YES
0.09848291139240506,YES
0.0682,NO
0.0528,NO
0.2642398734177215,NO
0.0529,NO
0.08985,NO
0.1332620253164557,NO
0.1408411392405063,NO
0.1595373417721519,YES
0.10792025316455696,NO
0.0563,YES
0.11831582278481012,NO
0.17627911392405063,YES
0.08389113924050631,NO
0.0606,NO
0.38022215189873415,NO
0.15668670886075947,NO
0.0401,NO
0.09515,NO
0.08126645569620253,NO
0.07571645569620253,NO
0.10126202531645569,NO
0.0767,NO
0.08553734177215189,NO
0.20021202531645568,NO
0.17053670886075947,NO
0.13393291139240507,NO
0.25679430379746837,NO
0.02545,NO
0.10935,NO
0.34262405063291135,YES
0.09280822784810126,NO
0.10075,YES
0.1025,NO
0.1653620253164557,NO
0.11312911392405064,NO
0.10860822784810126,NO
0.12728291139240505,NO
0.0634,NO
0.09735,NO
0.11306645569620252,NO
0.1101,NO
0.22325,YES
0.26323291139240507,YES
0.21429556962025317,YES
0.12019556962025316,YES
0.10193734177215188,NO
0.32419810126582277,YES
0.06255,NO
0.10312468354430379,YES
0.14133291139240506,YES
0.3513443037974684,NO
0.10841645569620252,NO
0.4044639240506329,NO
0.07205,NO
0.1907373417721519,YES
0.11278291139240507,YES
0.08655,NO
0.0476,NO
0.2833898734177215,NO
0.04435,NO
0.11445,NO
0.1613620253164557,NO
0.16704113924050631,NO
0.11513734177215189,YES
0.11597025316455696,NO
0.04105,YES
0.11681582278481012,NO
0.16037911392405063,YES
0.08359113924050632,NO
0.06255,NO
0.38727215189873415,NO
0.15393670886075947,NO
0.05265,NO
0.11005,NO
0.09286645569620253,NO
0.09171645569620253,NO
0.23240253164556962,NO
0.09447848101265822,NO
0.07652911392405062,YES
0.23069113924050633,YES
0.18482468354430379,YES
0.07150000000000001,YES
0.05395822784810127,NO
0.03181645569620253,NO
0.15578291139240505,YES
0.12038291139240506,NO
0.09156645569620253,YES
0.12278291139240508,NO
0.15888291139240507,NO
0.18530759493670884,NO
0.1599911392405063,NO
0.12986582278481013,NO
0.12855822784810128,YES
0.12273670886075946,NO
0.23108291139240505,YES
0.1341411392405063,NO
0.19079113924050634,YES
0.07673291139240507,NO
0.08448291139240506,NO
0.12258291139240507,NO
0.04368734177215189,NO
0.1427120253164557,YES
0.0671873417721519,NO
0.12411202531645568,YES
0.13416202531645569,NO
0.0366,NO
0.1177373417721519,NO
0.1860620253164557,NO
0.19378670886075947,NO
0.13568291139240507,NO
0.2677443037974684,NO
0.06125,NO
0.0729,NO
0.31532405063291136,YES
0.09150822784810127,NO
0.1452,YES
0.09935,NO
0.14476202531645568,NO
0.09077911392405064,NO
0.03965822784810127,NO
0.12408291139240507,NO
0.02735,NO
0.0541,NO
0.12626645569620254,NO
0.06465,NO
0.19485,YES
0.23123291139240507,YES
0.17119556962025317,YES
0.17634556962025316,YES
0.1302873417721519,NO
0.3154981012658228,YES
0.04895,NO
0.24545253164556963,NO
0.12097848101265822,NO
0.05977911392405063,YES
0.24564113924050635,YES
0.16452468354430377,YES
0.06655,YES
0.05690822784810126,NO
0.05551645569620253,NO
