DIRECT_NA_NA_LSA_SUM.csv,Associated
0.45311791909264354,NO
0.4812049561333368,NO
0.3927933762029523,NO
0.722008225122755,NO
0.5629137652016367,NO
0.5583411813561252,NO
0.5293186994855514,NO
0.20403740463089284,NO
0.5043234872730408,NO
0.5179931964059018,YES
0.4481049246096226,NO
0.607394976344052,YES
0.6931542207225974,NO
0.7645714255629025,NO
0.6635075824733415,NO
0.5123950059592324,NO
0.6457783560415956,NO
0.42551025310449353,NO
0.4583545410930372,NO
0.4152429991358949,NO
0.5742025454576567,NO
0.3534756046597183,YES
0.4682048133223561,YES
0.3674867439162194,YES
0.5798949779893399,YES
0.5571693415755672,NO
0.4742288042508972,YES
0.3709934445153015,NO
0.2054178669041146,YES
0.640761281244838,YES
0.7148173960885588,NO
0.6281136248914934,NO
0.5499399469954085,NO
0.3872735014554216,NO
0.5756569798702329,YES
0.3306617808200246,YES
0.5261794903688144,NO
0.6381244772098026,NO
0.523454498907858,NO
0.6580432526418387,NO
0.5708000902933943,NO
0.26306730345885576,NO
0.44352575961292307,NO
0.5803031409860276,YES
0.33464916870188777,NO
0.2973518105734092,YES
0.47821040071971477,NO
0.7531877451067495,YES
0.43137379556706823,NO
0.605896053349444,NO
0.3284132647050888,NO
0.6220617298819144,NO
0.5457693398644679,NO
0.6422017636168955,NO
0.3938924284513696,NO
0.5970623057326434,NO
0.5743570708875539,NO
0.6296805969893866,NO
0.2779742690150847,NO
0.6736355792827993,NO
0.7171734482139085,NO
0.6044796579907351,NO
0.5751782669328085,NO
0.4604430036110776,NO
0.3423176576893183,NO
0.7187255469101167,YES
0.6410763867637255,NO
0.4385436965404863,YES
0.3688078442057242,NO
0.5274745292996141,NO
0.3630198533587893,NO
0.3601212511294901,NO
0.7013274840061574,NO
0.3459137303215354,NO
0.3281069779287934,NO
0.155138266695887,NO
0.4267196054468241,NO
0.9264307587211773,YES
0.9248699729054006,YES
0.5135238050110201,YES
0.6820457640091322,YES
0.5574689155776509,NO
0.5740518370954484,YES
0.2350118559438655,NO
0.3337629508828943,YES
0.5235075429864343,YES
0.6857456872070977,NO
0.6101343147145986,NO
0.557964871131188,NO
0.4639095591879123,NO
0.5387542275669945,YES
0.4176778934524785,YES
0.731270800550974,NO
0.6916109407689812,NO
0.5715894335668985,NO
0.6344154720231974,NO
0.7253152535947893,NO
0.49454837179029043,NO
0.5930309557608437,NO
0.44750761932778804,YES
0.40034235148480646,NO
0.32581463134694455,YES
0.447034829426433,NO
0.6613921372354296,YES
0.49098309894563386,NO
0.6575217622216913,NO
0.45874059142173274,NO
0.6065460078407836,NO
0.5416121582819512,NO
0.6481699463833613,NO
0.4977281207983464,NO
0.7110800919518446,NO
0.4219518246570727,NO
0.4193614835494255,NO
0.7233363014325194,YES
0.5869852470333816,YES
0.5944744654624476,YES
0.6857172566339651,YES
0.5501766051921334,NO
0.20979472731329116,NO
0.449877491870633,YES
0.22303797784916138,NO
0.6831762741602287,YES
0.289602110180317,NO
0.4616468277864101,NO
0.4111238566072455,NO
0.3069771390551179,NO
0.5309545104248726,NO
0.6225590016656894,YES
0.45263473097241125,NO
0.7094869268722225,YES
0.23385107249730339,NO
0.654989203621476,YES
0.3600683386739376,NO
0.3584368712944006,NO
0.6254660277685095,NO
0.4147053190838248,NO
0.7172817739624652,YES
0.6431397092842275,NO
0.4853452899688119,YES
0.6623935252002151,NO
0.5231801965263368,NO
0.4966532871863013,NO
0.7690980729731207,NO
0.6109293177781244,NO
0.6765676137601343,NO
0.7366111414940926,NO
0.38327650509282396,NO
0.3667647916308817,NO
0.9534408561814451,YES
0.5529954438690324,NO
0.8312178222839095,YES
0.5209037763303633,NO
0.6512801984348707,NO
0.4155602106231626,NO
0.46924805740869824,NO
0.7653128580557569,NO
0.4181996471186733,NO
0.25902595013724994,NO
0.4888288249157121,NO
0.49420681004362643,NO
0.7893568306755355,YES
0.9807288098448759,YES
0.637698018612812,YES
0.7263590241732264,YES
0.7234945123070818,NO
0.7080264378005531,YES
0.339336001332025,NO
0.3754001833508722,NO
0.5085169968101161,NO
0.3395748971201541,YES
0.657125050428071,YES
0.6624549931523123,YES
0.5970778372494474,YES
0.420435000931233,NO
0.36931314499394874,NO
0.3648740268945324,YES
0.3335944734124783,NO
0.5762832422172952,YES
0.14153028876117066,NO
0.5407610838103024,NO
0.582709867975526,NO
0.5044881476757679,NO
0.3975046907155093,NO
0.6802437131907988,YES
0.32356374601758087,NO
0.4339274138510857,YES
0.03519876063760824,NO
0.5507049400095163,YES
0.6616636755334517,NO
0.6180058980276949,NO
0.5670384358972842,NO
0.4830088496740027,NO
0.5340244858311106,YES
0.5679476877454359,NO
0.33939878551435976,YES
0.6449154354978082,NO
0.5446390929594187,NO
0.49366162747920195,NO
0.6504942773599844,NO
0.5010892463331471,NO
0.6152327325400415,NO
0.7199087062707182,NO
0.40733074430845595,NO
0.7003871691243977,NO
0.7083128495002605,YES
0.5731256058772313,NO
0.6986093369424367,YES
0.7602848585480271,NO
0.7473130146871553,NO
0.6208564578533208,NO
0.5075454872717245,NO
0.6516657222714713,NO
0.4139920539180555,NO
0.40430762669867737,NO
0.5100980525715519,NO
0.5766404671037868,NO
0.6068630877050275,YES
0.6969861618133968,YES
0.52011061598917,YES
0.6804586535886031,YES
0.6680271222402766,NO
0.6198145299972162,YES
0.5479659965080412,NO
0.5266546494845973,NO
0.5646265756098588,NO
0.28213934797902707,NO
0.35338781210286874,NO
0.5864565173469274,NO
0.35547298404531513,NO
0.49429052228673953,NO
0.5695292699989668,NO
0.009782091503009877,NO
0.5137903416341393,YES
0.45817053210581704,NO
0.3296830320153262,YES
0.11871041026238391,NO
0.2619246839895729,NO
0.1777046392509071,NO
0.4701858714530063,NO
0.5031925822528729,NO
