NONETRACED_RFUNDER_RAW_LSA_MAX.csv,Associated
0.0737,NO
0.0652,NO
0.1144,NO
0.2164,NO
0.0671,NO
0.0906,NO
0.0589,NO
0.7424242424242424,NO
0.1689,NO
0.2575757575757576,YES
0.0616,NO
0.33799999999999997,YES
0.5,NO
0.2575757575757576,NO
0.2223,NO
0.1142,NO
0.0706,NO
0.1109,NO
0.0747,NO
0.4090909090909091,NO
0.5151515151515151,NO
0.0779,YES
0.0804,YES
0.18181818181818185,YES
0.24,YES
0.16666666666666666,NO
0.0716,YES
0.7424242424242424,NO
0.8333333333333334,YES
0.42424242424242425,YES
0.3362,NO
0.2575757575757576,NO
0.3939393939393939,NO
0.2727272727272727,NO
0.7424242424242424,YES
0.0957,YES
0.3181818181818182,NO
0.24242424242424246,NO
0.3484848484848485,NO
0.2575757575757576,NO
0.2575757575757576,NO
0.8333333333333334,NO
0.4090909090909091,NO
0.3787878787878788,YES
0.2575757575757576,NO
0.2727272727272727,YES
0.13636363636363635,NO
0.5,YES
0.2575757575757576,NO
0.2575757575757576,NO
0.2878787878787879,NO
0.2878787878787879,NO
0.3333333333333333,NO
0.24242424242424246,NO
0.24242424242424246,NO
0.4090909090909091,NO
0.0886,NO
0.1534,NO
0.1331,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.3181818181818182,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2727272727272727,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3939393939393939,NO
0.1533,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.1771,YES
0.1659,NO
0.1927,YES
0.1251,NO
0.696969696969697,YES
0.3787878787878788,YES
0.3356,NO
0.24242424242424246,NO
0.2727272727272727,NO
0.1441,NO
0.8333333333333334,YES
0.1243,YES
0.2878787878787879,NO
0.2878787878787879,NO
0.16666666666666666,NO
0.2878787878787879,NO
0.2575757575757576,NO
0.43939393939393934,NO
0.21212121212121213,NO
0.30303030303030304,YES
0.8484848484848485,NO
0.2727272727272727,YES
0.12121212121212123,NO
0.5909090909090909,YES
0.2727272727272727,NO
0.2575757575757576,NO
0.30303030303030304,NO
0.2575757575757576,NO
0.24242424242424246,NO
0.2201,NO
0.1351,NO
0.3484848484848485,NO
0.0724,NO
0.0244,NO
0.1404,YES
0.3348,YES
0.2937,YES
0.14300000000000002,YES
0.0826,NO
0.7727272727272727,NO
0.3333333333333333,YES
0.1395,NO
0.1325,YES
0.1443,NO
0.3939393939393939,NO
0.1934,NO
0.1934,NO
0.13636363636363635,NO
0.2318,YES
0.24242424242424246,NO
0.3609,YES
0.1417,NO
0.4545454545454545,YES
0.12121212121212123,NO
0.0677,NO
0.3787878787878788,NO
0.0494,NO
0.1715,YES
0.0964,NO
0.2878787878787879,YES
0.1544,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.8787878787878787,NO
0.054000000000000006,NO
0.1469,NO
0.0547,NO
0.6818181818181819,NO
0.4090909090909091,NO
0.1293,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.2226,NO
0.1753,YES
0.5606060606060606,NO
0.0985,NO
0.0774,NO
0.1069,YES
0.4090909090909091,YES
0.2531,YES
0.1331,YES
0.0885,NO
0.060606060606060615,NO
0.2575757575757576,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.2245,YES
0.141,NO
0.2623,YES
0.142,NO
0.7272727272727273,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.1415,NO
0.0745,NO
0.2381,NO
0.6363636363636364,NO
0.3484848484848485,NO
0.1997,NO
0.1653,NO
0.1536,NO
0.1999,NO
0.2272727272727273,YES
0.2045,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0533,NO
0.105,NO
0.055999999999999994,NO
0.13636363636363635,NO
0.2272727272727273,NO
0.7424242424242424,NO
0.1879,YES
0.1445,YES
0.5151515151515151,YES
0.3108,YES
0.2405,NO
0.1657,YES
0.21212121212121213,NO
0.18181818181818185,NO
0.4848484848484849,NO
0.22399999999999998,NO
0.1967,NO
0.5,NO
0.2079,NO
0.1339,NO
0.2575757575757576,NO
0.2198,NO
0.3428,YES
0.5303030303030303,NO
0.1736,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.1327,NO
0.4090909090909091,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
1.0,YES
0.4941,YES
0.3333333333333333,YES
0.193,NO
0.2673,YES
0.1726,NO
0.1439,NO
0.0769,NO
0.1953,NO
0.2342,NO
0.2047,NO
0.1823,NO
0.1684,NO
0.1204,NO
0.1751,NO
0.3579,YES
0.1828,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0498,NO
0.1415,NO
0.0515,NO
0.1207,NO
0.3636363636363637,NO
0.14,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.2675,YES
0.2206,NO
0.2003,YES
0.8030303030303031,NO
0.07575757575757576,NO
0.0714,NO
0.10800000000000001,NO
0.2886,NO
0.1427,NO
0.0855,NO
0.0605,NO
0.5151515151515151,NO
0.1421,NO
0.4397,YES
0.0607,NO
0.3939393939393939,YES
0.2118,NO
0.2575757575757576,NO
0.2045,NO
0.0849,NO
0.1035,NO
0.0824,NO
0.0975,NO
0.3787878787878788,NO
0.1518,NO
0.3372,YES
0.3303,YES
0.314,YES
0.1257,YES
0.1375,NO
0.1128,YES
0.3939393939393939,NO
0.1069,NO
0.0451,NO
0.5095,YES
0.24242424242424246,YES
0.2272727272727273,YES
