UPPERTRACED_SUM_SINGLE_VSM_SUM.csv,Associated
0.1036278976282996,NO
0.09923958193755861,NO
0.16037451427040061,NO
0.2929619455982848,NO
0.1854482111751306,NO
0.20494439233552192,NO
0.1789662334181964,NO
0.059794988610478356,NO
0.15332306043146188,NO
0.5152921077314753,YES
0.19405734959131715,NO
0.42804502210907136,YES
0.09585622403859037,NO
0.1526698378668096,NO
0.07575706820313546,NO
0.10237170038858366,NO
0.2984724641565054,NO
0.09243936754656304,NO
0.17637009245611684,NO
0.10664277100361784,NO
0.2100696770735629,NO
0.4832339541739246,YES
0.5102338201795524,YES
0.5159118317030684,YES
0.44008776631381474,YES
0.1687826611282326,NO
0.355051587833311,YES
0.16338938764571886,NO
0.3398264772879539,YES
0.20514538389387643,YES
0.1458026262896958,NO
0.030249229532359638,NO
0.012327482245745678,NO
0.015493099289829823,NO
0.2933806780115235,YES
0.32572356961007637,YES
0.009178614498191073,NO
0.009831837062843362,NO
0.015811335923891195,NO
0.026748626557684584,NO
0.019395685381213994,NO
0.06468578319710572,NO
0.06560699450623074,NO
0.27614565188262086,YES
0.013952164009111617,NO
0.37092992094332033,YES
0.0015911831703068514,NO
0.5119422484255661,YES
0.0005862253785341026,NO
0.04393340479699853,NO
0.044050649872705336,NO
0.015828085220420743,NO
0.022042074232882215,NO
0.06219013801420341,NO
0.022762293983652683,NO
0.02365000669971861,NO
0.10612354281120193,NO
0.11401246147661796,NO
0.16350663272142568,NO
0.3047032024654964,NO
0.19953436955647863,NO
0.2176738576979767,NO
0.1936386171780785,NO
0.05694760820045558,NO
0.1616642101031756,NO
0.5505493769261691,YES
0.2105889052659788,NO
0.4051822323462414,YES
0.08954173924695162,NO
0.15161463218544818,NO
0.074299879405065,NO
0.11538590379204071,NO
0.31232413238643975,NO
0.09510250569476082,NO
0.19646924829157175,NO
0.09954106927509043,NO
0.22774018491223363,NO
0.5449718611818303,YES
0.5679853946134262,YES
0.5491591853142167,YES
0.42955245879673043,YES
0.17022310062977353,NO
0.37533498593059084,YES
0.16415985528607796,NO
0.34369556478627894,YES
0.1945933270802626,YES
0.14570213051051856,NO
0.03163942114431193,NO
0.018340479699852606,NO
0.021003617848050382,NO
0.2848050381883961,YES
0.33051386841752645,YES
0.01532560632453437,NO
0.008089910223770605,NO
0.022226316494707223,NO
0.023884496851132253,NO
0.027636339273750504,NO
0.07409888784671043,NO
0.07438362588771272,NO
0.26127227656438423,YES
0.016648800750368488,NO
0.36582138550180887,YES
0.0010887042744204753,NO
0.5066159721291706,YES
0.00048572959935682877,NO
0.04458662736165081,NO
0.046412300683371294,NO
0.014906873911295727,NO
0.02624614766179821,NO
0.06718142838000803,NO
0.0266481307785073,NO
0.02900978158917325,NO
0.07610880343025592,NO
0.09300884362856758,NO
0.1926671579793649,YES
0.6331234088168296,YES
0.6507604180624413,YES
0.25698445665282055,YES
0.14757805172182764,NO
0.014303899236232077,NO
0.2413741122872839,YES
0.11876926169100895,NO
0.261908749832507,YES
0.10468310330966098,NO
0.10294117647058823,NO
0.1523516012327482,NO
0.17204877395149404,NO
0.04994640225110544,NO
0.748006833712984,YES
0.043581669569878065,NO
0.6979766849792308,YES
0.15523248023583008,NO
0.5982848720353744,YES
0.16199919603376656,NO
0.21395551386841755,NO
0.26145651882620924,NO
0.12471526195899772,NO
0.24432198847648395,YES
0.20058957523784,NO
0.21963352539193354,YES
0.11714457992764303,NO
0.10057952565992227,NO
0.17429317968645314,NO
0.299963151547635,NO
0.2073227924427174,NO
0.21826008307651074,NO
0.19730671311804904,NO
0.06894010451561035,NO
0.14945397293313678,NO
0.5414042610210371,YES
0.21015342355621064,NO
0.4200723569610076,YES
0.08848653356559025,NO
0.14471392201527533,NO
0.06681294385635803,NO
0.09228862387779713,NO
0.3112521774085488,NO
0.08302626289695832,NO
0.18198110679351465,NO
0.10396288355889051,NO
0.21251507436687656,NO
0.5354582607530484,YES
0.5572658448345169,YES
0.5347212917057483,YES
0.44836191879941034,YES
0.179719951762026,NO
0.3724206083344499,YES
0.15960404663004152,NO
0.08048036982446737,NO
0.10188597078922684,NO
0.18705614364196704,YES
0.6381314484791638,YES
0.6439602036714458,YES
0.25532627629639554,YES
0.14856626021707087,NO
0.02224306579123677,NO
0.24078788690874986,YES
0.13891866541605252,NO
0.2574701862521774,YES
0.10495109205413372,NO
0.10439836526865871,NO
0.16302090312206885,NO
0.17943521372102367,NO
0.06470253249363526,NO
0.7467841350663272,YES
0.057885568806110135,NO
0.6814618786010986,YES
0.1552827281254187,NO
0.5983686185180221,YES
0.18757537183438294,NO
0.23956518826209294,NO
0.27467171378802085,NO
0.1337263834918933,NO
0.24006766715797934,YES
0.2031354683103309,NO
0.21934878735093122,YES
0.11498392067533163,NO
0.10079726651480636,NO
0.18109339407744873,NO
0.28854013131448475,NO
0.20012059493501272,NO
0.22321787484925631,NO
0.19678748492563308,NO
0.07414913573629905,NO
0.15851534235562104,NO
0.5072524453972933,YES
0.21799209433203803,NO
0.41241792844700514,YES
0.09739715931930858,NO
0.14940372504354815,NO
0.07257470186252177,NO
0.0921713788020903,NO
0.30423422216266915,NO
0.0832440037518424,NO
0.18250033498593055,NO
0.10793246683639286,NO
0.20742328822189465,NO
0.501658180356425,YES
0.5209701192549913,YES
0.5198144177944526,YES
0.4519462682567331,YES
0.18271807584081468,NO
0.3708126758676136,YES
0.16549979900844158,NO
0.1071787484925633,NO
0.11074634865335654,NO
0.17873174326678276,NO
0.28966233418196435,NO
0.19826142302023314,NO
0.22459131716467906,NO
0.19152820581535568,NO
0.06461878601098753,NO
0.16184845236500067,NO
0.5313546831033097,YES
0.22300013399437218,NO
0.40050917861449814,YES
0.07749899504220821,NO
0.1276128902586091,NO
0.04936017687257134,NO
0.11741256867211573,NO
0.3088737773013533,NO
0.10158448345169502,NO
0.215781187190138,NO
0.09207088302291304,NO
0.23807450087096338,NO
0.5378869087498325,YES
0.5519730671311804,YES
0.5707322792442717,YES
0.429753450355085,YES
0.1747621599892804,NO
0.38782996114163204,YES
0.17211577113761217,NO
0.11538590379204074,NO
0.10119924963151546,NO
0.17392469516280318,NO
0.29594332038054394,NO
0.20849524319978563,NO
0.22030349725311532,NO
0.19730671311804904,NO
0.06858836928848987,NO
0.15436151681629373,NO
0.533883826879271,YES
0.21435749698512663,NO
0.4063211845102505,YES
0.09292509714591987,NO
0.14948747152619585,NO
0.07213922015275356,NO
0.09158515342355619,NO
0.31034771539595335,NO
0.08249028540801286,NO
0.18407476885970786,NO
0.10217070883022913,NO
0.214307249095538,NO
0.5378199115637143,YES
0.5552894278440306,YES
0.5348552860779847,YES
0.4446938228594398,YES
0.17938496583143504,NO
0.3766079324668363,YES
0.16276966367412565,NO
0.10346040466300414,NO
0.10027803832239045,NO
0.1593025592925097,NO
0.3050549376926169,NO
