UPPERTRACED_SUM_SINGLE_LSA_MAX.csv,Associated
0.21824163772619265,NO
0.4005483458234326,NO
0.20122463900566626,NO
0.32284774264302685,NO
0.402083714129044,NO
0.3315116066532626,NO
0.4288064339243283,NO
0.0679,NO
0.1689,NO
0.2469,YES
0.2461341619447999,NO
0.33799999999999997,YES
0.2427,NO
0.483951745567538,NO
0.2223,NO
0.3084445256808627,NO
0.6532078230670809,NO
0.17413635532809355,NO
0.3214951562785597,NO
0.2179,NO
0.34368488393346736,NO
0.3669164686528971,YES
0.6216962164138182,YES
0.2942240906598428,YES
0.24,YES
0.2273259002010601,NO
0.4400292451105831,YES
0.1574849204898556,NO
0.388813745201974,YES
0.448309267044416,YES
0.3362,NO
0.1579,NO
0.3253335770425882,NO
0.1112,NO
0.3947,YES
0.4942423688539572,YES
0.1364,NO
0.10743922500456954,NO
0.15863644671906416,NO
0.14697495887406326,NO
0.1797,NO
0.16949369402303052,NO
0.19053189544872967,NO
0.2811,YES
0.1979528422591848,NO
0.3342533357704259,YES
0.09250594041308717,NO
0.3399,YES
0.09804423322975687,NO
0.3284774264302687,NO
0.2642295741180771,NO
0.1235,NO
0.3864558581612137,NO
0.1903,NO
0.1119,NO
0.1008,NO
0.21824163772619265,NO
0.4005483458234326,NO
0.20122463900566626,NO
0.32284774264302685,NO
0.402083714129044,NO
0.3315116066532626,NO
0.4288064339243283,NO
0.0509,NO
0.2187,NO
0.4574,YES
0.2461341619447999,NO
0.2015,YES
0.205,NO
0.483951745567538,NO
0.2136,NO
0.3084445256808627,NO
0.6532078230670809,NO
0.17413635532809355,NO
0.3214951562785597,NO
0.1755,NO
0.34368488393346736,NO
0.4465,YES
0.6216962164138182,YES
0.3653,YES
0.20106013525863645,YES
0.2273259002010601,NO
0.4400292451105831,YES
0.1574849204898556,NO
0.388813745201974,YES
0.448309267044416,YES
0.3356,NO
0.1662,NO
0.3253335770425882,NO
0.1441,NO
0.3435,YES
0.4942423688539572,YES
0.1731,NO
0.10743922500456954,NO
0.15863644671906416,NO
0.14697495887406326,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.21001645037470296,YES
0.1979528422591848,NO
0.3342533357704259,YES
0.09250594041308717,NO
0.3081,YES
0.09804423322975687,NO
0.3284774264302687,NO
0.2642295741180771,NO
0.11800000000000001,NO
0.3864558581612137,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.4906598428075306,NO
0.5083348565161762,NO
0.5015719246938402,YES
0.6538658380552002,YES
0.3883202339608847,YES
0.3759276183513069,YES
0.3768780844452568,NO
0.461231950283312,NO
0.6343081703527691,YES
0.6572655821604825,NO
0.3463352220800585,YES
0.6845366477791993,NO
0.6756168890513616,NO
0.7131968561506122,NO
0.6135806982270151,NO
0.5433924328276366,NO
0.5217144946079326,YES
0.5692926338877718,NO
0.4538110034728569,YES
0.6612685066715408,NO
0.5526229208554194,YES
0.6203984646316943,NO
0.7551818680314385,NO
0.675068543227929,NO
0.4967282032535186,NO
0.6208919758727838,YES
0.5411807713397916,NO
0.6326814110765856,YES
0.21824163772619265,NO
0.4005483458234326,NO
0.20122463900566626,NO
0.32284774264302685,NO
0.402083714129044,NO
0.3315116066532626,NO
0.4288064339243283,NO
0.1225,NO
0.1527874246024493,NO
0.4028,YES
0.2461341619447999,NO
0.2904,YES
0.2026320599524767,NO
0.483951745567538,NO
0.1736428440870042,NO
0.3084445256808627,NO
0.6532078230670809,NO
0.17413635532809355,NO
0.3214951562785597,NO
0.2019,NO
0.34368488393346736,NO
0.3897,YES
0.6216962164138182,YES
0.2942240906598428,YES
0.2894,YES
0.2273259002010601,NO
0.4400292451105831,YES
0.1574849204898556,NO
0.4906598428075306,NO
0.5083348565161762,NO
0.5015719246938402,YES
0.6538658380552002,YES
0.3883202339608847,YES
0.3759276183513069,YES
0.3768780844452568,NO
0.461231950283312,NO
0.6343081703527691,YES
0.6572655821604825,NO
0.3463352220800585,YES
0.6845366477791993,NO
0.6756168890513616,NO
0.7131968561506122,NO
0.6135806982270151,NO
0.5433924328276366,NO
0.5217144946079326,YES
0.5692926338877718,NO
0.4538110034728569,YES
0.6612685066715408,NO
0.5526229208554194,YES
0.6203984646316943,NO
0.7551818680314385,NO
0.675068543227929,NO
0.4967282032535186,NO
0.6208919758727838,YES
0.5411807713397916,NO
0.6326814110765856,YES
0.21824163772619265,NO
0.4005483458234326,NO
0.2381,NO
0.32284774264302685,NO
0.402083714129044,NO
0.3315116066532626,NO
0.4288064339243283,NO
0.1536,NO
0.1999,NO
0.1989,YES
0.2461341619447999,NO
0.2447,YES
0.2519,NO
0.483951745567538,NO
0.2033,NO
0.3084445256808627,NO
0.6532078230670809,NO
0.17413635532809355,NO
0.3214951562785597,NO
0.2256,NO
0.34368488393346736,NO
