LOWERTRACED_RFSMOTE_MULTI_LSA_MEDIAN.csv,Associated
0.08685000000000001,NO
0.0826,NO
0.1272,NO
0.4682,NO
0.39355,NO
0.11530000000000001,NO
0.07945,NO
0.08395,NO
0.15445,NO
0.35345000000000004,YES
0.1008,NO
0.399,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.1071,NO
0.3953,NO
0.10545,NO
0.39735,NO
0.15895,NO
0.41735,NO
0.26895,YES
0.2702,YES
0.3134,YES
0.35,YES
0.14865,NO
0.26580000000000004,YES
0.13025,NO
0.0536,YES
0.1222,YES
0.3131,NO
0.32895,NO
0.3074,NO
0.2006,NO
0.19735,YES
0.04785,YES
0.2132,NO
0.19280000000000003,NO
0.19405,NO
0.19290000000000002,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.2883,NO
0.0563,YES
0.26705,NO
0.16995,YES
0.2706,NO
0.2006,NO
0.17845,NO
0.20175,NO
0.1801,NO
0.24014999999999997,NO
0.19595,NO
0.1954,NO
0.0443,NO
0.0767,NO
0.11655,NO
0.15325,NO
0.0856,NO
0.1333,NO
0.07325,NO
0.02545,NO
0.15935,NO
0.4637,YES
0.13015,NO
0.33575,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.08664999999999999,NO
0.0634,NO
0.10735,NO
0.08775,NO
0.1201,NO
0.45825,YES
0.4476,YES
0.41764999999999997,YES
0.32355,YES
0.13295,NO
0.33135,YES
0.11255,NO
0.06515,YES
0.0907,YES
0.5928,NO
0.3781,NO
0.37034999999999996,NO
0.49705,NO
0.17175,YES
0.06215,YES
0.51155,NO
0.2676,NO
0.49319999999999997,NO
0.26435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.09615,YES
0.34135,NO
0.04105,YES
0.31055,NO
0.15405,YES
0.31529999999999997,NO
0.28254999999999997,NO
0.2655,NO
0.279,NO
0.27265,NO
0.53505,NO
0.28755,NO
0.4914,NO
0.0362,NO
0.0122,NO
0.4652,YES
0.1724,YES
0.15185,YES
0.4665,YES
0.0413,NO
0.006500000000000001,NO
0.50015,YES
0.41974999999999996,NO
0.46125000000000005,YES
0.42214999999999997,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.12090000000000001,YES
0.0278,NO
0.18545,YES
0.07085,NO
0.1325,YES
0.3761,NO
0.38384999999999997,NO
0.42195,NO
0.3747,NO
0.48075,YES
0.3982,NO
0.46215,YES
0.5372,NO
0.49660000000000004,NO
0.19375,NO
0.2691,NO
0.23885,NO
0.18005,NO
0.5442,NO
0.52125,NO
0.1679,NO
0.3064,YES
0.17385,NO
0.2502,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.48700000000000004,NO
0.21345000000000003,NO
0.48735,NO
0.19410000000000002,NO
0.5609500000000001,NO
0.20465,NO
0.29985,YES
0.2856,YES
0.24455,YES
0.24969999999999998,YES
0.20629999999999998,NO
0.19265,YES
0.14395,NO
0.15425,NO
0.1437,NO
0.10345,YES
0.29735,YES
0.24155,YES
0.11655,YES
0.14925,NO
0.1352,NO
0.1534,YES
0.14489999999999997,NO
0.10300000000000001,YES
0.08795,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.17765,NO
0.22725,YES
0.1755,NO
0.24614999999999998,YES
0.176,NO
0.24275000000000002,YES
0.11745,NO
0.1253,NO
0.1264,NO
0.06659999999999999,NO
0.12305,YES
0.0708,NO
0.1163,YES
0.49074999999999996,NO
0.45725,NO
0.46904999999999997,NO
0.215,NO
0.19735,NO
0.44984999999999997,NO
0.50265,NO
0.49679999999999996,NO
0.44994999999999996,NO
0.29945,YES
0.45225,NO
0.32235,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.44665,NO
0.1725,NO
0.44799999999999995,NO
0.17565,NO
0.5327999999999999,NO
0.16945,NO
0.29395000000000004,YES
0.27225,YES
0.29505000000000003,YES
0.35540000000000005,YES
0.47024999999999995,NO
0.28285,YES
0.41655,NO
0.04745,NO
0.06695,NO
0.182,NO
0.43335,NO
0.40680000000000005,NO
0.17395,NO
0.06695,NO
0.04835,NO
0.1799,NO
0.1714,YES
0.1872,NO
0.0868,YES
0.30155,NO
0.27175,NO
0.26735,NO
0.102,NO
0.40135000000000004,NO
0.08275,NO
0.49,NO
0.06545,NO
0.47595,NO
0.2021,YES
0.1648,YES
0.24705,YES
0.08915,YES
0.1665,NO
0.13365,YES
0.1563,NO
0.07195,NO
0.03845,NO
0.33765,NO
0.2471,NO
0.23235,NO
0.33115,NO
0.0842,NO
0.0602,NO
0.32755,NO
0.38395,YES
0.3314,NO
0.30915,YES
0.36760000000000004,NO
0.35705,NO
0.35535,NO
0.0249,NO
0.20074999999999998,NO
0.02575,NO
0.19035000000000002,NO
