LOWERTRACED_RFSMOTE_RAW_LSA_MEDIAN.csv,Associated
0.27185,NO
0.2676,NO
0.31220000000000003,NO
0.5582,NO
0.48355000000000004,NO
0.3003,NO
0.26444999999999996,NO
0.26894999999999997,NO
0.33945000000000003,NO
0.22345,YES
0.2858,NO
0.269,YES
0.13135,NO
0.12154999999999999,NO
0.12115,NO
0.29209999999999997,NO
0.4853,NO
0.29045,NO
0.48735,NO
0.34395,NO
0.50735,NO
0.13895000000000002,YES
0.1402,YES
0.1834,YES
0.22,YES
0.33365,NO
0.1358,YES
0.31525000000000003,NO
0.0536,YES
0.1222,YES
0.4931,NO
0.30395,NO
0.2824,NO
0.3806,NO
0.19735,YES
0.04785,YES
0.3932,NO
0.0528,NO
0.37405,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14055,YES
0.2633,NO
0.0563,YES
0.24205000000000002,NO
0.16995,YES
0.2456,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.42015,NO
0.05595,NO
0.3754,NO
0.1393,NO
0.17170000000000002,NO
0.29655,NO
0.23825,NO
0.1706,NO
0.3133,NO
0.16825,NO
0.12045,NO
0.33935000000000004,NO
0.3187,YES
0.31015000000000004,NO
0.19075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.19095,NO
0.17165,NO
0.15839999999999999,NO
0.19235000000000002,NO
0.18275,NO
0.2051,NO
0.31325000000000003,YES
0.3026,YES
0.27265,YES
0.17855,YES
0.31295,NO
0.18635000000000002,YES
0.29255,NO
0.06515,YES
0.0907,YES
0.4128,NO
0.22310000000000002,NO
0.21535,NO
0.31705,NO
0.17175,YES
0.06215,YES
0.33155,NO
0.0476,NO
0.3132,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.09615,YES
0.18635000000000002,NO
0.04105,YES
0.15555000000000002,NO
0.15405,YES
0.1603,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.35505,NO
0.06755,NO
0.3114,NO
0.0362,NO
0.0122,NO
0.5502,YES
0.2974,YES
0.27685000000000004,YES
0.5515,YES
0.0413,NO
0.006500000000000001,NO
0.58515,YES
0.11475,NO
0.54625,YES
0.11715,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.2459,YES
0.0278,NO
0.31045,YES
0.07085,NO
0.2575,YES
0.0711,NO
0.07885,NO
0.11695,NO
0.0697,NO
0.56575,YES
0.0932,NO
0.54715,YES
0.1372,NO
0.09659999999999999,NO
0.32375,NO
0.2591,NO
0.22885,NO
0.31005,NO
0.1442,NO
0.12125,NO
0.2979,NO
0.2864,YES
0.30385,NO
0.23020000000000002,YES
0.10934999999999999,NO
0.0978,NO
0.09444999999999999,NO
0.087,NO
0.20345000000000002,NO
0.08735,NO
0.1841,NO
0.16094999999999998,NO
0.19465,NO
0.27985,YES
0.2656,YES
0.22455000000000003,YES
0.22970000000000002,YES
0.3363,NO
0.17265000000000003,YES
0.27395,NO
0.32925000000000004,NO
0.31870000000000004,NO
0.29845,YES
0.26235,YES
0.20655,YES
0.31155,YES
0.32425000000000004,NO
0.31020000000000003,NO
0.3484,YES
0.20989999999999998,NO
0.298,YES
0.15295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.35265,NO
0.19225,YES
0.35050000000000003,NO
0.21115,YES
0.35100000000000003,NO
0.20775,YES
0.18245,NO
0.1903,NO
0.19140000000000001,NO
0.1316,NO
0.31805,YES
0.1358,NO
0.3113,YES
0.28575,NO
0.25225,NO
0.59405,NO
0.225,NO
0.20735,NO
0.57485,NO
0.29764999999999997,NO
0.2918,NO
0.57495,NO
0.36945,YES
0.5772499999999999,NO
0.39235000000000003,YES
0.13595000000000002,NO
0.1118,NO
0.11165,NO
0.24165,NO
0.1825,NO
0.243,NO
0.18565,NO
0.3278,NO
0.17945,NO
0.36395,YES
0.34225,YES
0.36505,YES
0.4254,YES
0.59525,NO
0.35285,YES
0.54155,NO
0.10744999999999999,NO
0.12695,NO
0.362,NO
0.09835,NO
0.0718,NO
0.35395,NO
0.12695,NO
0.10835,NO
0.3599,NO
0.2014,YES
0.36719999999999997,NO
0.1168,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.16199999999999998,NO
0.06635,NO
0.14275,NO
0.155,NO
0.12545,NO
0.14095,NO
0.2321,YES
0.1948,YES
0.27705,YES
0.11914999999999999,YES
0.34650000000000003,NO
0.16365,YES
0.3363,NO
0.12695,NO
0.09345,NO
0.52765,NO
0.2471,NO
0.23235,NO
0.52115,NO
0.1392,NO
0.1152,NO
0.51755,NO
0.26395,YES
0.5214,NO
0.18915,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0799,NO
0.20074999999999998,NO
0.08075,NO
0.19035000000000002,NO
0.1506,NO
0.2,NO
0.2869,YES
0.2597,YES
0.22494999999999998,YES
0.21875,YES
0.5403,NO
0.18515,YES
0.4884,NO
0.08135,NO
0.0807,NO
0.504,NO
0.24430000000000002,NO
0.17135,NO
0.49275,NO
0.07525,NO
