UPPERTRACED_RFUNDER_SINGLE_LSA_SUM.csv,Associated
0.10609057830909926,NO
0.015973500184026497,NO
0.08014330772491995,NO
0.21113290440405694,NO
0.15713906346817735,NO
0.10921297223762247,NO
0.28155215870072636,NO
0.01796098638203901,NO
0.09230769230769231,NO
0.3174443145129354,YES
0.031959113504749746,NO
0.21678321678321674,YES
0.14663231505336768,NO
0.21606481459912502,NO
0.14093355012742087,NO
0.07067828906603058,NO
0.09449085225234458,NO
0.04961354435038646,NO
0.02296650717703349,NO
0.16564807610776966,NO
0.05241074714758925,NO
0.02532204637467795,YES
0.10170469104513075,YES
0.1373508570044213,YES
0.1912338161505383,YES
0.111722255093341,NO
0.3561252871046341,YES
0.05668016194331984,NO
0.10279673690732982,YES
0.22242607492440933,YES
0.48567435229660416,NO
0.12148171615193601,NO
0.5370098256174205,NO
0.04983437615016562,NO
0.28647381931858945,YES
0.11296711283386832,YES
0.06838424733161574,NO
0.04571218255428782,NO
0.35699650116705406,NO
0.0458594037541406,NO
0.10025763709974236,NO
0.1641693416510205,NO
0.17532740410821687,NO
0.2028521778022111,YES
0.12686088062503784,NO
0.05086492454913507,YES
0.1421653629515055,NO
0.22749961564085477,YES
0.09148493079205935,NO
0.057195436142804555,NO
0.5277470031633922,NO
0.19865544182666098,NO
0.027015090172984903,NO
0.10806036069193964,NO
0.08762084018579688,NO
0.07945006359396764,NO
0.11705855769813128,NO
0.08089804931910194,NO
0.09390848991115477,NO
0.26273393495245595,NO
0.2190455780062708,NO
0.1651570281816784,NO
0.3460350442362435,NO
0.005447184394552815,NO
0.1289657710710342,NO
0.4723946273579851,YES
0.10461277563209606,NO
0.11630474788369524,YES
0.11888111888111885,NO
0.2114273468037625,NO
0.134529427933825,NO
0.1278737252088351,NO
0.1553668183914686,NO
0.06131762973868237,NO
0.11129922708870077,NO
0.1344371817389805,NO
0.13006993006993006,NO
0.2966507177033493,YES
0.35551403959132144,YES
0.2834678978583043,YES
0.14493274879683937,YES
0.11805276668701048,NO
0.4452677236154918,YES
0.060066249539933746,NO
0.11980078549032577,YES
0.17605139697078404,YES
0.48523268869704583,NO
0.1275913959458263,NO
0.5634360309909944,NO
0.07405226352594774,NO
0.24878519215627806,YES
0.1340197444128157,YES
0.09539933750460064,NO
0.03805668016194332,NO
0.38518936093886125,NO
0.033271991166728,NO
0.13647405226352594,NO
0.20553849880965133,NO
0.21389935846964492,NO
0.1374859650675773,YES
0.13871218721318654,NO
0.02841369157158631,YES
0.1399570449537138,NO
0.20409144486426298,YES
0.09104326719250103,NO
0.060066249539933746,NO
0.5381260977530131,NO
0.19460685883070955,NO
0.04549135075450864,NO
0.12999631947000367,NO
0.1046984993687192,NO
