UPPERTRACED_RFSMOTE_MULTI_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.2822,NO
0.1832,NO
0.52855,NO
0.0553,NO
0.05945,NO
0.04895,NO
0.08445,NO
0.12345,YES
0.0308,NO
0.249,YES
0.12135,NO
0.15655,NO
0.11615,NO
0.062099999999999995,NO
0.0353,NO
0.08545,NO
0.08735000000000001,NO
0.10895,NO
0.05735,NO
0.03895,YES
0.0402,YES
0.1084,YES
0.12,YES
0.35865,NO
0.0508,YES
0.06025,NO
0.0536,YES
0.3872,YES
0.6431,NO
0.37395,NO
0.1674,NO
0.0706,NO
0.34735,YES
0.04785,YES
0.0682,NO
0.0878,NO
0.04905,NO
0.0679,NO
0.11985,NO
0.25129999999999997,NO
0.32755,NO
0.16555,YES
0.17830000000000001,NO
0.4263,YES
0.06705,NO
0.49995,YES
0.0256,NO
0.08560000000000001,NO
0.043449999999999996,NO
0.13674999999999998,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.4904,NO
0.0443,NO
0.0767,NO
0.29155,NO
0.21825,NO
0.5706,NO
0.0933,NO
0.10325,NO
0.04045,NO
0.10935,NO
0.2287,YES
0.08015,NO
0.18075000000000002,YES
0.1025,NO
0.15339999999999998,NO
0.11180000000000001,NO
0.10095,NO
0.07665,NO
0.0934,NO
0.14735,NO
0.08775,NO
0.1101,NO
0.22325,YES
0.2126,YES
0.20765,YES
0.08855,YES
0.36295,NO
0.11135,YES
0.06255,NO
0.06515,YES
0.3557,YES
0.6428,NO
0.3781,NO
0.18535000000000001,NO
0.08705,NO
0.32175,YES
0.06215,YES
0.08655,NO
0.0826,NO
0.0682,NO
0.05935,NO
0.14445,NO
0.2794,NO
0.35375,NO
0.12115000000000001,YES
0.18635000000000002,NO
0.41105,YES
0.06555,NO
0.48405,YES
0.0253,NO
0.08754999999999999,NO
0.050499999999999996,NO
0.134,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.5064,NO
0.061200000000000004,NO
0.18719999999999998,NO
0.19519999999999998,YES
0.1674,YES
0.63185,YES
0.1965,YES
0.2463,NO
0.3415,NO
