UPPERTRACED_RFSMOTE_SINGLE_VSM_MEDIAN.csv,Associated
0.07185,NO
0.1626,NO
0.4972,NO
0.1582,NO
0.45355,NO
0.2653,NO
0.35945,NO
0.03395,NO
0.52445,NO
0.57845,YES
0.4258,NO
0.19399999999999998,YES
0.13135,NO
0.16155,NO
0.11115,NO
0.1671,NO
0.1353,NO
0.16044999999999998,NO
0.40735,NO
0.10895,NO
0.36235,NO
0.49395,YES
0.5052,YES
0.5784,YES
0.16,YES
0.44365,NO
0.4708,YES
0.33025000000000004,NO
0.12360000000000002,YES
0.5882807008093707,YES
0.1781,NO
0.08895,NO
0.1424,NO
0.29059999999999997,NO
0.3921659865989954,YES
0.10285,YES
0.2832,NO
0.0528,NO
0.31405,NO
0.0529,NO
0.30985,NO
0.0863,NO
0.07755,NO
0.34465857633954744,YES
0.1883,NO
0.5463,YES
0.042050000000000004,NO
0.61995,YES
0.0256,NO
0.2056,NO
0.03845,NO
0.07675,NO
0.0401,NO
0.21515,NO
0.16094999999999998,NO
0.0504,NO
0.07930000000000001,NO
0.2067,NO
0.5065500000000001,NO
0.19324999999999998,NO
0.4956,NO
0.3033,NO
0.40325,NO
0.02545,NO
0.54935,NO
0.6837,YES
0.47515,NO
0.12575,YES
0.11249999999999999,NO
0.15839999999999999,NO
0.1068,NO
0.20595,NO
0.17665,NO
0.1684,NO
0.46735,NO
0.08775,NO
0.4151,NO
0.67825,YES
0.6776,YES
0.67765,YES
0.12855,YES
0.44794999999999996,NO
0.53135,YES
0.33255,NO
0.13515,YES
0.5567807008093707,YES
0.1778,NO
0.09309999999999999,NO
0.16035,NO
0.30705,NO
0.36656598659899536,YES
0.11715,YES
0.30155,NO
0.0476,NO
0.3332,NO
0.04435,NO
0.33445,NO
0.1144,NO
0.10375,NO
0.3002585763395474,YES
0.19635,NO
0.53105,YES
0.04055,NO
0.60405,YES
0.0253,NO
0.20754999999999998,NO
0.0455,NO
0.07400000000000001,NO
0.05265,NO
0.23004999999999998,NO
0.17254999999999998,NO
0.0664,NO
0.0512,NO
0.0572,NO
0.5252,YES
0.6624,YES
0.60185,YES
0.2715,YES
0.4963,NO
0.5065,NO
0.43515000000000004,YES
0.51975,NO
0.26625,YES
0.09215000000000001,NO
0.12325,NO
0.5667,NO
0.2917,NO
0.0286,NO
0.6159,YES
0.0278,NO
0.5904499999999999,YES
0.44084999999999996,NO
0.5425,YES
0.4761,NO
0.16885,NO
0.41195000000000004,NO
0.4697,NO
0.18075000000000002,YES
0.3982,NO
0.56715,YES
0.11220000000000001,NO
0.1666,NO
0.5387500000000001,NO
0.17909999999999998,NO
0.51885,NO
0.30505,NO
0.4142,NO
0.06125,NO
0.5129,NO
0.6564,YES
0.47385,NO
0.1702,YES
0.10934999999999999,NO
0.1378,NO
0.08445,NO
0.137,NO
0.17345,NO
0.13235,NO
0.4241,NO
0.10095,NO
0.36965,NO
0.64985,YES
0.6456000000000001,YES
0.63455,YES
0.1847,YES
0.4763,NO
0.5226500000000001,YES
0.31895,NO
0.06425,NO
0.0837,NO
0.5084500000000001,YES
0.67735,YES
0.58155,YES
0.26655,YES
0.49925,NO
0.5302,NO
0.4334,YES
0.5799,NO
0.253,YES
0.09295,NO
0.1276,NO
0.5985499999999999,NO
0.31375,NO
0.07265,NO
0.61225,YES
0.0705,NO
0.54115,YES
0.441,NO
0.54275,YES
0.55245,NO
0.24530000000000002,NO
0.4514,NO
0.4966,NO
0.16805,YES
0.4058,NO
0.5663,YES
0.10575,NO
0.16725,NO
0.55905,NO
0.14500000000000002,NO
0.49734999999999996,NO
0.31984999999999997,NO
0.41265,NO
0.0768,NO
0.53995,NO
0.55445,YES
0.49725,NO
0.14735,YES
0.13595000000000002,NO
0.1518,NO
0.10165,NO
0.13665,NO
0.1525,NO
0.133,NO
0.42565,NO
0.1128,NO
0.35445,NO
0.54895,YES
0.53725,YES
0.59005,YES
0.19540000000000002,YES
0.48524999999999996,NO
0.51785,YES
0.33655,NO
0.08245,NO
0.19695000000000001,NO
0.552,NO
0.14835,NO
0.4918,NO
0.32395,NO
0.39695,NO
0.04835,NO
0.5499,NO
0.6264000000000001,YES
0.5122,NO
0.11180000000000001,YES
0.07654999999999999,NO
0.08675,NO
0.03235,NO
0.212,NO
0.16635,NO
0.18775,NO
0.525,NO
0.06545,NO
0.44594999999999996,NO
0.6571,YES
0.6298,YES
0.74205,YES
0.12915,YES
0.4615,NO
0.56865,YES
0.3563,NO
0.10695,NO
0.16845,NO
0.53765,NO
0.1671,NO
0.52235,NO
0.31115,NO
0.4142,NO
0.0602,NO
0.52755,NO
0.63395,YES
0.4864,NO
0.12915000000000001,YES
0.1226,NO
0.15205000000000002,NO
0.10035,NO
0.1349,NO
0.17075,NO
0.13075,NO
0.43035,NO
0.0956,NO
0.375,NO
0.6569,YES
0.6397,YES
0.63495,YES
0.17375000000000002,YES
0.4753,NO
0.53515,YES
0.3284,NO
0.07135,NO
0.16570000000000001,NO
0.494,NO
0.19430000000000003,NO
0.49134999999999995,NO
0.26275,NO
0.36025,NO
0.0266,NO
0.51105,NO
0.67485,YES
0.42535,NO
0.14235,YES
0.11589999999999999,NO
0.1524,NO
0.10225,NO
0.15245,NO
0.15175,NO
0.1462,NO
0.41875,NO
0.0851,NO
0.3809,NO
0.6236,YES
0.63015,YES
0.652,YES
0.10285,YES
0.43374999999999997,NO
0.4914,YES
0.3195,NO
0.09345,NO
0.47255,NO
0.66475,YES
0.24655,YES
0.22135,YES
0.64235,YES
0.17685,NO
0.06325,NO
0.6633,YES
0.0637,NO
0.66445,YES
0.08295,NO
0.18655,NO
0.4448,NO
0.5287000000000001,NO
0.1401,NO
0.06965,YES
0.05875,NO
0.35845,YES
0.21145,NO
0.15605,YES
0.43855,NO
0.41,NO
0.27125,NO
0.19,NO
0.65995,YES
0.14579999999999999,NO
0.60405,YES
0.09495,NO
0.12235,NO
0.22475,YES
0.1078,NO
0.07675,NO
0.66295,YES
0.59135,NO
0.05485,NO
0.3024,YES
0.0955,NO
0.71905,YES
0.0764,NO
0.6632,NO
0.65515,NO
0.1324,NO
0.0855,NO
0.5395,NO
0.0699,NO
0.24865,NO
0.08255,NO
0.16685,NO
0.10455,NO
0.0892,NO
0.58335,NO
0.32085,NO
0.6897,YES
0.61295,NO
0.6436999999999999,YES
0.0549,NO
0.0632,NO
0.57875,YES
0.6347,YES
0.5666,YES
0.31065,YES
0.51665,NO
0.5237,NO
0.46995,YES
0.5664,NO
0.3304,YES
0.07475,NO
0.13324999999999998,NO
0.57305,NO
0.2974,NO
0.0228,NO
0.58975,YES
0.0221,NO
0.5449999999999999,YES
0.43119999999999997,NO
0.5106499999999999,YES
0.56985,NO
0.24055,NO
0.48675,NO
0.50275,NO
0.2165,YES
0.44794999999999996,NO
0.599,YES
0.12179999999999999,NO
0.2573,NO
0.23904999999999998,YES
0.49310000000000004,NO
0.08245,NO
0.23485,YES
0.10905000000000001,NO
0.0765,NO
0.7369,YES
0.34950000000000003,NO
0.27649999999999997,YES
0.1178,NO
0.2772,NO
0.2371,NO
0.52885,NO
0.08875,NO
0.1603,NO
0.0827,NO
0.60285,NO
0.2051,NO
0.21315,NO
0.1109,NO
0.0882,NO
0.26505,NO
0.333,NO
0.251,YES
0.31920000000000004,NO
0.21195000000000003,YES
0.038349999999999995,NO
0.0542,NO
0.4822,YES
0.59335,YES
0.51755,YES
0.2263,YES
0.47445000000000004,NO
0.5049,NO
0.3902,YES
0.5076,NO
0.2217,YES
0.0697,NO
0.1005,NO
0.55665,NO
0.28425,NO
0.0316,NO
0.5826,YES
0.0307,NO
0.48664999999999997,YES
0.43735,NO
0.47559999999999997,YES
0.4575,NO
0.17070000000000002,NO
0.3749,NO
0.4625,NO
0.1286,YES
0.3689,NO
0.53185,YES
0.2212,YES
0.4901807008093707,YES
0.1917,NO
0.08739999999999999,NO
0.15795,NO
0.3103,NO
0.3145159865989954,YES
0.23965,YES
0.2852,NO
0.0379,NO
0.34085,NO
0.0335,NO
0.32655,NO
0.09,NO
0.0723,NO
0.2463085763395474,YES
0.1975,NO
0.61095,YES
0.038000000000000006,NO
0.5992500000000001,YES
0.02385,NO
0.19599999999999998,NO
0.04635,NO
0.07795,NO
0.05965,NO
0.22885,NO
0.18,NO
0.0498,NO
0.08195,NO
0.48360000000000003,NO
0.5634,YES
0.2327,YES
0.2001,YES
0.6583,YES
0.1084,NO
0.04385,NO
0.7727999999999999,YES
0.0619,NO
0.68855,YES
0.06825,NO
0.23210000000000003,NO
0.46335,NO
0.5562,NO
0.137,NO
0.07635,YES
0.053649999999999996,NO
0.3901,YES
0.14605,NO
0.18845,YES
0.44265,NO
0.4171,NO
0.27115,NO
0.18885000000000002,NO
0.6383,YES
0.15105,NO
0.68155,YES
0.0989,NO
0.4737,NO
0.62385,YES
0.2857,YES
0.26034999999999997,YES
0.62335,YES
0.1746,NO
0.06825,NO
0.65175,YES
0.1093,NO
0.6461,YES
0.0844,NO
0.19385000000000002,NO
0.45815,NO
0.5422,NO
0.1424,NO
0.096,YES
0.0591,NO
0.35335,YES
0.2034,NO
0.16870000000000002,YES
0.4817,NO
0.4623,NO
0.2702,NO
0.1961,NO
0.64195,YES
0.13705,NO
0.60685,YES
0.1071,NO
0.50495,NO
0.673,YES
0.25615,YES
0.25980000000000003,YES
0.6648499999999999,YES
0.1785,NO
0.0911,NO
0.6686,YES
0.0701,NO
0.69505,YES
0.0811,NO
0.15415,NO
0.4131,NO
0.48645,NO
0.19669999999999999,NO
0.1041,YES
0.11375,NO
0.4111,YES
0.19365,NO
0.2157,YES
0.4627,NO
0.43505,NO
0.30095,NO
0.21575,NO
0.6626,YES
0.18295,NO
0.629,YES
0.07545,NO
0.48660000000000003,NO
0.5647,YES
0.22954999999999998,YES
0.19325,YES
0.64705,YES
0.09820000000000001,NO
0.0378,NO
0.76145,YES
0.06515,NO
0.6802,YES
0.07400000000000001,NO
0.22294999999999998,NO
0.43315,NO
0.52985,NO
0.14735,NO
0.07155,YES
0.0658,NO
0.3933,YES
0.13695,NO
0.19735,YES
0.43885,NO
0.41065,NO
0.27675,NO
0.18475,NO
0.641,YES
0.13845,NO
0.71315,YES
0.07255,NO
0.09025,NO
0.5064,YES
0.6733,YES
0.58755,YES
0.2771,YES
0.502,NO
0.5277,NO
0.43185,YES
0.54855,NO
0.25630000000000003,YES
0.09090000000000001,NO
0.1394,NO
0.6065499999999999,NO
0.32115000000000005,NO
0.0849,NO
0.6133,YES
0.0824,NO
0.54725,YES
0.4454,NO
0.54765,YES
0.5103,NO
0.21565,NO
0.42055000000000003,NO
0.4959,NO
0.17099999999999999,YES
0.4093,NO
0.56035,YES
0.07505,NO
0.0965,NO
0.5820000000000001,YES
0.65925,YES
0.6362,YES
0.32965,YES
0.50405,NO
0.5396,NO
0.47585,YES
0.5418000000000001,NO
0.35195,YES
0.08710000000000001,NO
0.0874,NO
0.5217999999999999,NO
0.2301,NO
0.09125,NO
0.64685,YES
0.0886,NO
0.6963999999999999,YES
0.41459999999999997,NO
0.6446999999999999,YES
0.53385,NO
0.20805,NO
0.48925,NO
0.5124,NO
0.21895,YES
0.4649,NO
0.61725,YES
0.10950000000000001,NO
0.0797,NO
0.44905,NO
0.1854,NO
0.4838,NO
0.09284999999999999,NO
0.25815,NO
0.51175,NO
0.17459999999999998,NO
0.32955,NO
0.20925000000000002,NO
0.0676,NO
0.24125,YES
0.1984,YES
0.2269,YES
0.0383,NO
0.20055,NO
0.03985,NO
0.05155,NO
0.33755,NO
0.4785,NO
0.35315,NO
0.06225,NO
0.4907,NO
0.35705000000000003,NO
0.11425,NO
0.49205000000000004,NO
0.15525,NO
0.13195,YES
0.6105807008093707,YES
0.1476,NO
0.09265,NO
0.1257,NO
0.26615,NO
0.35931598659899533,YES
0.11745,YES
0.26339999999999997,NO
0.07595,NO
0.29165,NO
0.0892,NO
0.30305,NO
0.0852,NO
0.0781,NO
0.35785857633954743,YES
0.17985,NO
0.58075,YES
0.041800000000000004,NO
0.63675,YES
0.04885,NO
0.20315,NO
0.0209,NO
0.0827,NO
0.0474,NO
0.19035,NO
0.14605,NO
0.0447,NO
0.0358,NO
0.05155,NO
0.51515,YES
0.6393,YES
0.59895,YES
0.2647,YES
0.4799,NO
0.50695,NO
0.42995,YES
0.50545,NO
0.26945,YES
0.0698,NO
0.11384999999999999,NO
0.5563,NO
0.28525,NO
0.0102,NO
0.60615,YES
0.0099,NO
0.5868,YES
0.42195,NO
0.55635,YES
0.4713,NO
0.15435000000000001,NO
0.40140000000000003,NO
0.46365,NO
0.16294999999999998,YES
0.39039999999999997,NO
0.5559499999999999,YES
0.2429,YES
0.4792807008093707,YES
0.18365,NO
0.08775,NO
0.1303,NO
0.2885,NO
0.30781598659899534,YES
0.2642,YES
0.27055,NO
0.05085,NO
0.3135,NO
0.0529,NO
0.30705,NO
0.07865,NO
0.066,NO
0.2610085763395474,YES
0.1883,NO
0.6521,YES
0.039850000000000003,NO
0.62035,YES
0.02435,NO
0.17604999999999998,NO
0.038,NO
0.0783,NO
0.0363,NO
0.216,NO
0.1614,NO
0.04065,NO
0.0969,NO
0.16295,NO
0.48955,NO
0.15839999999999999,NO
0.46704999999999997,NO
0.2813,NO
0.36985,NO
0.04345,NO
0.53605,NO
0.5609500000000001,YES
0.43725,NO
0.12315000000000001,YES
0.1305,NO
0.1815,NO
0.1252,NO
0.1807,NO
0.14915,NO
0.1879,NO
0.43665,NO
0.1036,NO
0.38095,NO
0.51635,YES
0.5312,YES
0.57405,YES
0.13635,YES
0.4339,NO
0.4835,YES
0.3295,NO
0.25060000000000004,YES
0.4904807008093707,YES
0.15115,NO
0.0892,NO
0.11750000000000001,NO
0.2689,NO
0.27741598659899536,YES
0.27995000000000003,YES
0.26234999999999997,NO
0.05395,NO
0.29725,NO
0.05475,NO
0.30325,NO
0.0836,NO
0.07315,NO
0.2671585763395474,YES
0.1764,NO
0.67955,YES
0.04145,NO
0.62885,YES
0.036,NO
0.16885,NO
0.02285,NO
0.0787,NO
0.03405,NO
0.19135,NO
0.1452,NO
0.03845,NO
0.1061,NO
0.16065000000000002,NO
0.5142,NO
0.13890000000000002,NO
0.47125,NO
0.29725,NO
0.40645000000000003,NO
0.0549,NO
0.52765,NO
0.54535,YES
0.462,NO
0.1659,YES
0.1319,NO
0.16925,NO
0.1088,NO
0.15034999999999998,NO
0.1486,NO
0.1481,NO
0.41075,NO
0.1143,NO
0.3452,NO
0.5036,YES
0.5175000000000001,YES
0.55685,YES
0.17655,YES
0.46185,NO
0.49255,YES
0.3226,NO
