LOWERTRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
0.33055,NO
0.32630000000000003,NO
0.3702,NO
0.5064,NO
0.43175,NO
0.3583,NO
0.32315,NO
0.32765,NO
0.39744999999999997,NO
1.0463,YES
0.3438,NO
1.09185,YES
0.47595000000000004,NO
0.46615,NO
0.46575,NO
0.3508,NO
0.4335,NO
0.34915,NO
0.43555,NO
0.40265,NO
0.45555,NO
0.9618,YES
0.96305,YES
1.0062499999999999,YES
1.04285,YES
0.39165,NO
0.95865,YES
0.37324999999999997,NO
0.9312,YES
0.9998,YES
1.1293,NO
0.5882499999999999,NO
0.5667,NO
1.0168000000000001,NO
1.07495,YES
0.92545,YES
1.0294,NO
0.4259,NO
1.01025,NO
0.426,NO
0.4975,NO
0.48395,NO
0.4852,NO
1.01815,YES
0.5476,NO
0.9339000000000001,YES
0.52635,NO
1.04755,YES
0.5298999999999999,NO
0.4337,NO
0.41154999999999997,NO
0.43484999999999996,NO
0.4132,NO
1.0563500000000001,NO
0.42905,NO
1.0116,NO
0.1701,NO
0.2025,NO
0.69355,NO
0.6496999999999999,NO
0.58205,NO
0.7103,NO
0.19905,NO
0.15125,NO
0.7363500000000001,NO
1.8218999999999999,YES
0.70715,NO
1.69395,YES
0.2792,NO
0.2851,NO
0.2835,NO
0.22175,NO
0.5831,NO
0.18919999999999998,NO
0.6038,NO
0.21355,NO
0.6165499999999999,NO
1.81645,YES
1.8058,YES
1.77585,YES
1.6817499999999999,YES
0.70995,NO
1.6895499999999999,YES
0.68955,NO
1.12625,YES
1.1518,YES
1.7842,NO
0.91675,NO
0.909,NO
1.68845,NO
1.23285,YES
1.1232499999999999,YES
1.70295,NO
0.7736,NO
1.6846,NO
0.77035,NO
0.8343,NO
0.82425,NO
0.8236,NO
1.15725,YES
0.88,NO
1.10215,YES
0.8492,NO
1.21515,YES
0.85395,NO
0.78855,NO
0.7715,NO
0.785,NO
0.77865,NO
1.72645,NO
0.79355,NO
1.6828,NO
0.18385,NO
0.15985,NO
1.4354,YES
2.3289999999999997,YES
2.30845,YES
1.4367,YES
0.18895,NO
0.15415,NO
1.47035,YES
0.2417,NO
1.43145,YES
0.24409999999999998,NO
0.4623,NO
0.45075,NO
0.45075,NO
0.17625000000000002,NO
2.2775,YES
0.17545,NO
2.34205,YES
0.2185,NO
2.2891,YES
0.19805,NO
0.20579999999999998,NO
0.2439,NO
0.19665,NO
1.45095,YES
0.22014999999999998,NO
1.43235,YES
0.4214,NO
0.3808,NO
0.8131,NO
0.6531,NO
0.62285,NO
0.7994,NO
0.4284,NO
0.40545,NO
0.78725,NO
1.83165,YES
0.7932,NO
1.77545,YES
0.34814999999999996,NO
0.3366,NO
0.33325,NO
0.37120000000000003,NO
0.59745,NO
0.37155,NO
0.5781000000000001,NO
0.44515,NO
0.58865,NO
1.8251,YES
1.81085,YES
1.7698,YES
1.77495,YES
0.82565,NO
1.7179,YES
0.7633000000000001,NO
0.1642,NO
0.15365,NO
0.8125,YES
2.11135,YES
2.05555,YES
0.8256,YES
0.1592,NO
0.14515,NO
0.86245,YES
1.22145,NO
0.81205,YES
1.1645,NO
0.53015,NO
0.5461,NO
0.5363,NO
0.1876,NO
2.0412500000000002,YES
0.18545,NO
2.06015,YES
0.18595,NO
2.05675,YES
1.194,NO
1.20185,NO
1.20295,NO
1.14315,NO
0.8321000000000001,YES
1.14735,NO
0.82535,YES
