NONETRACED_MAX_MULTI_LSA_MAX.csv,Associated
0.4721456994184266,NO
0.3809305172941535,NO
0.4621977349250076,NO
0.5474441383532291,NO
0.4732170186715641,NO
0.4527089072543618,NO
0.3810835629017446,NO
0.33868992959902045,NO
0.3767982858891949,NO
0.6233547597183959,YES
0.4909703091521274,NO
0.5352004897459441,YES
0.4805632078359351,NO
0.497857361493725,NO
0.3373125191307009,NO
0.3292011019283746,NO
0.6646770737679828,NO
0.35277012549739817,NO
0.3922558922558923,NO
0.32644628099173545,NO
0.4935720844811753,NO
0.4429139883685337,YES
0.6068258340985613,YES
0.5084175084175084,YES
0.4253137434955616,YES
0.534741352923171,NO
0.4683195592286501,YES
0.4695439240893786,NO
0.4536271808999081,YES
0.529537802265075,YES
0.6244260789715335,NO
0.7943067033976123,NO
0.6374349556167735,NO
0.5708601163146616,NO
0.4265381083562901,YES
0.4801040710131618,YES
0.5246403428221609,NO
0.8614937251300887,NO
0.6580961126415672,NO
0.8239975512702784,NO
0.6458524640342822,NO
0.4046525864707683,NO
0.4787266605448424,NO
0.4690847872666053,YES
0.5658096112641566,NO
0.4967860422405877,YES
0.5428527701254973,NO
0.4211815120906029,YES
0.6611570247933884,NO
0.6020814202632385,NO
0.6152433425160697,NO
0.6784511784511784,NO
0.5814202632384449,NO
0.7092133455769818,NO
0.6316192225283135,NO
0.6331496786042241,NO
0.4981634527089072,NO
0.5456075910621365,NO
0.3650137741046832,NO
0.473063973063973,NO
0.5589225589225588,NO
0.5466789103152738,NO
0.4799510254055706,NO
0.6029996939087847,NO
0.28818487909396995,NO
0.4574,YES
0.4317416590143862,NO
0.4023569023569023,YES
0.3815426997245179,NO
0.4525558616467708,NO
0.2528313437404346,NO
0.24533210896847255,NO
0.7127333945515761,NO
0.2667584940312212,NO
0.30211202938475656,NO
0.19222528313437395,NO
0.3933272115090296,NO
0.5599938781756961,YES
0.6342209978573614,YES
0.406642179369452,YES
0.608509335782063,YES
0.4302112029384756,NO
0.5540250994796447,YES
0.37174778083868976,NO
0.4914294459749005,YES
0.5704009794918885,YES
0.6691153963881236,NO
0.7800734618916436,NO
0.6824303642485461,NO
0.6134067952249769,NO
0.4710743801652893,YES
0.5189776553412917,YES
0.5653504744413835,NO
0.8464952555861647,NO
0.7040097949188857,NO
0.8094582185491275,NO
0.6913070094888276,NO
0.4793388429752066,NO
0.5174471992653811,NO
0.507499234771962,YES
0.5850933578206305,NO
0.5362718089990817,YES
0.5841750841750841,NO
0.4498010407101316,YES
0.7072237526782981,NO
0.6456994184266911,NO
0.6029996939087847,NO
0.7251300887664522,NO
0.6242730333639424,NO
0.7571166207529842,NO
0.6764615855524947,NO
0.6779920416284053,NO
0.5586164677073766,NO
0.41444750535659625,NO
0.5007652280379553,YES
0.5736149372513009,YES
0.497551270278543,YES
0.7092133455769818,YES
0.6258034894398531,NO
0.3595041322314049,NO
0.3986838077747168,YES
0.3683807774716865,NO
0.6118763391490663,YES
0.34527089072543604,NO
0.5048974594429141,NO
0.4067952249770431,NO
0.35827976737067624,NO
