UPPERTRACED_RFSMOTE_SINGLE_VSM_SUM.csv,Associated
0.08120330318521432,NO
0.20015729453401496,NO
0.6387468868790143,NO
0.19438982828680038,NO
0.5815310001310788,NO
0.334775199895137,NO
0.45818586970769437,NO
0.03152444619216149,NO
0.6744658539782409,NO
0.7452483942849654,YES
0.5451566391401232,NO
0.24131603093459167,YES
0.15919517630095686,NO
0.1987809673613842,NO
0.13271726307510814,NO
0.20605583955957532,NO
0.16437278804561542,NO
0.19733910079958053,NO
0.5209726045353257,NO
0.12983352995150085,NO
0.4619871542797222,NO
0.6344868265827762,YES
0.6492331891466772,YES
0.7451828548957924,YES
0.19674924629702453,YES
0.568554201074846,NO
0.6041420893957269,YES
0.419910866430725,NO
0.1490365709791585,YES
0.7581343568087177,YES
0.22047450517761177,NO
0.1036177742823437,NO
0.1736793813081662,NO
0.3679381308166208,NO
0.5010695852654284,YES
0.12183772447240794,YES
0.3582383012190327,NO
0.056232795910342116,NO
0.3986761043387076,NO
0.056363874688687914,NO
0.39317079564818463,NO
0.10014418665618038,NO
0.08867479355092411,NO
0.43879745227362366,YES
0.2338445405688819,NO
0.7031065670467952,YES
0.04214182723817014,NO
0.7996460872984664,YES
0.020579368200288377,NO
0.2565211692227029,NO
0.03742299121772185,NO
0.08762616332415783,NO
0.03958579106042731,NO
0.2690391925547254,NO
0.19799449469130945,NO
0.05308690523004326,NO
0.09096867217197538,NO
0.2579630357845065,NO
0.6510027526543454,NO
0.24033294009699827,NO
0.6366496264254817,NO
0.3845851356665357,NO
0.5155983746231485,NO
0.020382750032769695,NO
0.7071044697863417,NO
0.8832088084939048,YES
0.6098440162537686,NO
0.15185476471359288,YES
0.13448682658277625,NO
0.19465198584349191,NO
0.12701533621706645,NO
0.2569799449469131,NO
0.21857386289159786,NO
0.20775986367807053,NO
0.5996198715427972,NO
0.10204482894219427,NO
0.5311312098571241,NO
0.8760650150740595,YES
0.8752130030148119,YES
0.8752785424039848,YES
0.15552497050727487,YES
0.5741905885437147,NO
0.6835102896841001,YES
0.422925678332678,NO
0.16417616987809672,YES
0.7168445416297952,YES
0.22008126884257442,NO
0.1090575435836938,NO
0.19720802202123475,NO
0.3895005898545026,NO
0.46751341800890733,YES
0.1405819897758553,YES
0.3822912570454844,NO
0.04941669943636126,NO
0.4237776903919256,NO
0.04515663914012322,NO
0.42541617512124796,NO
0.1369773233713462,NO
0.12301743347751999,NO
0.38059847468809466,YES
0.24439638222571766,NO
0.6831170533490628,YES
0.04017564556298336,NO
0.7788045615414865,YES
0.020186131865251013,NO
0.2590772054004457,NO
0.04666404509109975,NO
0.08402149691964873,NO
0.05603617774282344,NO
0.2885699305282475,NO
0.21319963297942063,NO
0.074059509765369,NO
0.054135535456809554,NO
0.0620002621575567,NO
0.6754489448158343,YES
0.8552890287062525,YES
0.7759208284178791,YES
0.3429020841525758,YES
0.6375671778739023,NO
0.6509372132651723,NO
0.5574125049154542,YES
0.6683051513959891,NO
0.33602044828942196,YES
0.10781229518940887,NO
0.14857779525494821,NO
0.7298466378293355,NO
0.36937999737842453,NO
0.02451173155066195,NO
0.7943373967754621,YES
0.02346310132389566,NO
0.7609778476864595,YES
0.564883995281164,NO
