UPPERTRACED_RFNONE_RAW_VSM_MAX.csv,Associated
0.35,NO
0.07,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.26,YES
0.08,NO
0.33799999999999997,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.2179,NO
0.47,NO
0.36,YES
0.26,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.16,YES
0.2444,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.3947,YES
0.54,YES
0.48,NO
0.59,NO
0.0981,NO
0.47,NO
0.25,NO
0.27,NO
0.1551,NO
0.3,YES
0.54,NO
0.16,YES
0.11,NO
0.46,YES
0.52,NO
0.1212,NO
0.4,NO
0.48,NO
0.09,NO
0.46,NO
0.24,NO
0.49,NO
0.35,NO
0.1534,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.4574,YES
0.1603,NO
0.2015,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.1755,NO
0.47,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.16,YES
0.1814,YES
0.51,NO
0.47,NO
0.48,NO
0.29,NO
0.36,YES
0.54,YES
0.48,NO
0.59,NO
0.1364,NO
0.47,NO
0.25,NO
0.27,NO
0.2075,NO
0.3,YES
0.54,NO
0.16,YES
0.11,NO
0.46,YES
0.52,NO
0.1251,NO
0.4,NO
0.48,NO
0.1053,NO
0.46,NO
0.24,NO
0.49,NO
0.55,NO
0.14,NO
0.22,YES
0.3348,YES
0.82,YES
0.4,YES
0.36,NO
0.06,NO
0.3,YES
0.27,NO
0.1325,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.35,NO
0.0732,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.2019,NO
0.47,NO
0.3897,YES
0.3612,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.55,NO
0.14,NO
0.22,YES
0.3647,YES
0.82,YES
0.4,YES
0.36,NO
0.0604,NO
0.3,YES
0.27,NO
0.106,YES
0.25,NO
0.47,NO
0.36,NO
0.42,NO
0.52,NO
0.91,YES
0.56,NO
0.43,YES
0.49,NO
0.42,YES
0.36,NO
0.41,NO
0.43,NO
0.21,NO
0.29,YES
0.31,NO
0.21,YES
0.35,NO
0.0745,NO
0.2381,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.26,YES
0.2045,NO
0.2447,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.2256,NO
0.47,NO
0.36,YES
0.26,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.35,NO
0.1339,NO
0.22399999999999998,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.3428,YES
0.2344,NO
0.2,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.31,NO
0.14,NO
0.47,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.35,NO
0.0769,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.3579,YES
0.1828,NO
0.2083,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.1912,NO
0.47,NO
0.4038,YES
0.3494,YES
0.32,YES
0.41,YES
0.45,NO
0.35,YES
0.38,NO
0.35,NO
0.0714,NO
0.2,NO
0.36,NO
0.55,NO
0.27,NO
0.35,NO
0.53,NO
0.39,NO
0.4397,YES
0.08,NO
0.2347,YES
0.46,NO
0.37,NO
0.45,NO
0.22,NO
0.31,NO
0.3,NO
0.26,NO
0.1702,NO
0.47,NO
0.36,YES
