ALLTRACED_SUM_SINGLE_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.4091642857142857,YES
0.0308,NO
0.4547142857142857,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.3246642857142857,YES
0.3259142857142857,YES
0.36911428571428573,YES
0.4057142857142857,YES
0.07865,NO
0.3215142857142857,YES
0.06025,NO
0.2678857142857143,YES
0.3364857142857143,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.41163571428571427,YES
0.26213571428571425,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.35483571428571425,YES
0.0383,NO
0.27058571428571426,YES
0.01705,NO
0.38423571428571424,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.5144142857142857,YES
0.08015,NO
0.3864642857142857,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.5089642857142858,YES
0.4983142857142857,YES
0.4683642857142857,YES
0.3742642857142857,YES
0.08295,NO
0.3820642857142857,YES
0.06255,NO
0.2794357142857143,YES
0.3049857142857143,YES
0.1678,NO
0.0831,NO
0.07535,NO
0.07205,NO
0.38603571428571426,YES
0.2764357142857143,YES
0.08655,NO
0.0476,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.31043571428571426,YES
0.04635,NO
0.2553357142857143,YES
0.01555,NO
0.36833571428571427,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0362,NO
0.0122,NO
