UPPERTRACED_RFNONE_MULTI_LSA_MEDIAN.csv,Associated
0.04610925925925926,NO
0.08815555555555554,NO
0.0572,NO
0.17301481481481482,NO
0.41317962962962956,NO
0.05455925925925926,NO
0.03870925925925926,NO
0.04320925925925926,NO
0.09370925925925926,NO
0.32715370370370367,YES
0.04005925925925926,NO
0.6227037037037035,YES
0.12135,NO
0.12080925925925926,NO
0.11115,NO
0.0571,NO
0.04455925925925926,NO
0.15730185185185186,NO
0.03735,NO
0.10895,NO
0.4647574074074074,NO
0.12228333333333333,YES
0.04945925925925926,YES
0.09265925925925926,YES
0.23111111111111107,YES
0.4860574074074074,NO
0.04505925925925926,YES
0.06025,NO
0.16471111111111109,YES
0.23331111111111108,YES
0.31624814814814817,NO
0.13450555555555554,NO
0.19628888888888885,NO
0.36115555555555545,NO
0.3177203703703704,YES
0.15896111111111108,YES
0.0682,NO
0.0528,NO
0.05830925925925926,NO
0.09919629629629631,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.14980925925925925,YES
0.15867037037037038,NO
0.3896333333333333,YES
0.4707537037037036,NO
0.2810611111111111,YES
0.13171111111111108,NO
0.0606,NO
0.14030185185185184,NO
0.06175,NO
0.15121111111111107,NO
0.09515,NO
0.14854259259259261,NO
0.5504,NO
0.05355925925925926,NO
0.13225555555555554,NO
0.06655,NO
0.2080648148148148,NO
0.45522962962962954,NO
0.09255925925925926,NO
0.08250925925925925,NO
0.03470925925925926,NO
0.11860925925925926,NO
0.4324037037037037,YES
0.08940925925925926,NO
0.5544537037037036,YES
0.1025,NO
0.11765925925925926,NO
0.1068,NO
0.09595,NO
0.08590925925925925,NO
0.16525185185185184,NO
0.09735,NO
0.08775,NO
0.5175074074074074,NO
0.3065833333333333,YES
0.22185925925925926,YES
0.19190925925925928,YES
0.19966111111111107,YES
0.4903574074074074,NO
0.10560925925925926,YES
0.06255,NO
0.1762611111111111,YES
0.20181111111111108,YES
0.31594814814814814,NO
0.13865555555555553,NO
0.21423888888888884,NO
0.37760555555555547,NO
0.2921203703703704,YES
0.1732611111111111,YES
0.08655,NO
0.0476,NO
0.07745925925925926,NO
0.09064629629629631,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.10540925925925926,YES
0.16672037037037038,NO
0.3743833333333333,YES
0.4692537037037036,NO
0.26516111111111107,YES
0.1314111111111111,NO
0.06255,NO
0.14735185185185184,NO
0.059000000000000004,NO
0.16376111111111108,NO
0.11005,NO
0.16014259259259261,NO
0.5664,NO
0.04545925925925926,NO
0.03071851851851852,NO
0.31094074074074074,YES
0.17665925925925924,YES
0.2672203703703704,YES
0.08075925925925927,YES
0.05055925925925926,NO
0.07131481481481482,NO
0.12366851851851851,YES
0.07900925925925927,NO
0.1310648148148148,YES
0.08140925925925926,NO
0.11750925925925926,NO
0.17077407407407408,NO
0.2263296296296296,NO
0.05637777777777778,NO
0.14367777777777777,YES
0.17594814814814813,NO
0.33785740740740744,YES
0.21899814814814814,NO
0.3126851851851852,YES
0.053877777777777774,NO
0.04310925925925926,NO
0.08120925925925926,NO
0.03395925925925926,NO
0.09500925925925927,YES
0.05745925925925926,NO
0.07640925925925926,YES
0.08645925925925926,NO
0.09215555555555555,NO
0.09875,NO
