UPPERTRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.16185,NO
0.047599999999999996,NO
0.1372,NO
0.5182,NO
0.27355,NO
0.2653,NO
0.33945,NO
0.07395,NO
0.09444999999999999,NO
0.23345,YES
0.31579999999999997,NO
0.579,YES
0.23135,NO
0.12154999999999999,NO
0.22615000000000002,NO
0.1071,NO
0.0353,NO
0.22045,NO
0.10235,NO
0.29895,NO
0.08235,NO
0.51395,YES
0.0402,YES
0.4034,YES
0.48,YES
0.20365,NO
0.3308,YES
0.06025,NO
0.0536,YES
0.1222,YES
0.5231,NO
0.09895000000000001,NO
0.22740000000000002,NO
0.0556,NO
0.47735000000000005,YES
0.04785,YES
0.0682,NO
0.0878,NO
0.49905,NO
0.13790000000000002,NO
0.08985,NO
0.1213,NO
0.48255000000000003,NO
0.30055,YES
0.2583,NO
0.25630000000000003,YES
0.37205,NO
0.42995,YES
0.2456,NO
0.0606,NO
0.14345,NO
0.12675,NO
0.0401,NO
0.50515,NO
0.09095,NO
0.5404,NO
0.1693,NO
0.0917,NO
0.14655,NO
0.55325,NO
0.3156,NO
0.3033,NO
0.38325,NO
0.06545000000000001,NO
0.11935,NO
0.3387,YES
0.36515,NO
0.51075,YES
0.2125,NO
0.11839999999999999,NO
0.2218,NO
0.14595,NO
0.07665,NO
0.2284,NO
0.16235,NO
0.27775,NO
0.1351,NO
0.69825,YES
0.2126,YES
0.50265,YES
0.44855,YES
0.20795,NO
0.39135,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.5227999999999999,NO
0.1031,NO
0.24535,NO
0.07205,NO
0.45175000000000004,YES
0.06215,YES
0.08655,NO
0.0826,NO
0.5182,NO
0.12935000000000002,NO
0.11445,NO
0.1494,NO
0.50875,NO
0.25615,YES
0.26635,NO
0.24105000000000001,YES
0.37055,NO
0.41405000000000003,YES
0.24530000000000002,NO
0.06255,NO
0.1505,NO
0.124,NO
0.05265,NO
0.52005,NO
0.10255,NO
0.5564,NO
0.046200000000000005,NO
0.0772,NO
0.0752,YES
0.1674,YES
0.14685,YES
0.41150000000000003,YES
0.2613,NO
0.2115,NO
0.14515,YES
0.06975,NO
0.10125,YES
0.07215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0686,NO
0.1259,YES
0.1628,NO
0.18045,YES
0.07085,NO
0.1275,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0997,NO
0.08575,YES
