UPPERTRACED_RFNONE_SINGLE_LSA_MEDIAN.csv,Associated
0.07193771929824562,NO
0.0326,NO
0.0747438596491228,NO
0.19591929824561405,NO
0.2616201754385965,NO
0.0540719298245614,NO
0.12594122807017544,NO
0.03395,NO
0.0932219298245614,NO
0.1497657894736842,YES
0.048343859649122814,NO
0.1777719298245614,YES
0.12135,NO
0.1203219298245614,NO
0.1199219298245614,NO
0.0571,NO
0.10547543859649124,NO
0.05545,NO
0.03735,NO
0.11772192982456141,NO
0.0661219298245614,NO
0.03895,YES
0.11037543859649124,YES
0.0834,YES
0.1550877192982456,YES
0.1049657894736842,NO
0.12351929824561404,YES
0.06025,NO
0.07114385964912281,YES
0.27132280701754385,YES
0.3084508771929825,NO
0.09649385964912281,NO
0.33810175438596496,NO
0.0556,NO
0.2061219298245614,YES
0.19697280701754388,YES
0.0682,NO
0.0528,NO
0.2157166666666667,NO
0.0529,NO
0.08985,NO
0.11138771929824562,NO
0.13018157894736843,NO
0.1493219298245614,YES
0.0383,NO
0.0650719298245614,YES
0.09599736842105264,NO
0.1787219298245614,YES
0.05568771929824562,NO
0.0606,NO
0.53845,NO
0.14069736842105263,NO
0.0401,NO
0.1039219298245614,NO
0.09103771929824561,NO
0.10303157894736842,NO
0.07938771929824562,NO
0.0767,NO
0.0840938596491228,NO
0.23096929824561402,NO
0.30367017543859653,NO
0.0920719298245614,NO
0.16974122807017544,NO
0.02545,NO
0.1181219298245614,NO
0.2550157894736842,YES
0.0976938596491228,NO
0.10952192982456141,YES
0.1025,NO
0.1171719298245614,NO
0.11557192982456141,NO
0.09595,NO
0.14682543859649122,NO
0.0634,NO
0.09735,NO
0.0965219298245614,NO
0.1188719298245614,NO
0.22325,YES
0.28277543859649124,YES
0.18265,YES
0.12363771929824563,YES
0.1092657894736842,NO
0.18406929824561405,YES
0.06255,NO
0.0826938596491228,YES
0.23982280701754388,YES
0.30815087719298245,NO
0.1006438596491228,NO
0.3560517543859649,NO
0.07205,NO
0.18052192982456142,YES
0.21127280701754386,YES
0.08655,NO
0.0476,NO
0.23486666666666667,NO
0.04435,NO
0.11445,NO
0.13948771929824563,NO
0.15638157894736843,NO
0.1049219298245614,YES
0.04635,NO
0.049821929824561406,YES
0.09449736842105264,NO
0.1628219298245614,YES
0.05538771929824562,NO
0.06255,NO
0.5455,NO
0.13794736842105265,NO
0.05265,NO
0.1188219298245614,NO
0.10263771929824561,NO
0.11903157894736842,NO
0.11514736842105264,NO
0.20518245614035088,NO
0.0702,YES
0.3165228070175439,YES
0.14685,YES
0.07150000000000001,YES
0.07638771929824562,NO
0.015271929824561405,NO
0.17532543859649125,YES
0.13992543859649126,NO
0.0750219298245614,YES
0.14232543859649124,NO
0.17842543859649124,NO
0.21950701754385965,NO
0.2458228070175439,NO
0.09877543859649124,NO
0.1159,YES
0.06288771929824562,NO
0.1979938596491228,YES
0.21997280701754388,NO
0.2766228070175439,YES
0.13136315789473685,NO
0.10402543859649124,NO
0.14212543859649124,NO
0.0247,NO
0.18224122807017545,YES
0.0482,NO
0.16364122807017545,YES
0.11228771929824563,NO
0.0366,NO
0.11629385964912281,NO
0.21681929824561402,NO
0.3269201754385965,NO
0.0938219298245614,NO
0.18069122807017546,NO
0.06125,NO
0.08167192982456141,NO
0.2277157894736842,YES
0.09639385964912281,NO
0.1539719298245614,YES
0.09935,NO
0.0965719298245614,NO
0.0932219298245614,NO
0.027000000000000003,NO
0.14362543859649124,NO
0.02735,NO
0.0541,NO
0.1097219298245614,NO
0.0734219298245614,NO
0.19485,YES
0.25077543859649126,YES
0.13955,YES
0.1797877192982456,YES
0.13761578947368422,NO
0.17536929824561404,YES
0.04895,NO
0.12819736842105264,NO
0.23168245614035088,NO
0.05345,YES
0.3314728070175439,YES
0.12655,YES
