LOWERTRACED_RFUNDER_MULTI_LSA_SUM.csv,Associated
0.0478370697821282,NO
0.04112724976318282,NO
0.13038676091129903,NO
0.2106546337799508,NO
0.09279861862365141,NO
0.11159926485825197,NO
0.036154089043258605,NO
0.043258604357436066,NO
0.17340854809159584,NO
0.20050680470636267,YES
0.08870693773479128,NO
0.27242028749764774,YES
0.18124407957057154,NO
0.16577202399747393,NO
0.16514051152510262,NO
0.07980738869592674,NO
0.09556148569027598,NO
0.07720239974739501,NO
0.09879798711117903,NO
0.16166719292706033,NO
0.13037361072974551,NO
0.06709979491791933,YES
0.06907327139407973,YES
0.1372766184101833,YES
0.19506000963215997,YES
0.16425161724221155,NO
0.062126634197995106,YES
0.13520204351313037,NO
0.07428165456267762,YES
0.1825860435743606,YES
0.6776551431587746,NO
0.6166432241582228,NO
0.5826204897092174,NO
0.5000422603043381,NO
0.3012314493211241,YES
0.06520366277233976,YES
0.519934903184035,NO
0.0889659142737766,NO
0.48970124356925754,NO
0.08912379239186943,NO
0.13151247237132935,NO
0.11011998736975057,NO
0.11209346384591096,NO
0.21155667824439534,YES
0.5524657691534864,NO
0.0785443637511841,YES
0.5189166690587595,NO
0.257972844963688,YES
0.5245213422510551,NO
0.10128040748501753,NO
0.06631040432745516,NO
0.10309600584308509,NO
0.0689153932759869,NO
0.5624830560100533,NO
0.09393907499370081,NO
0.4918325981635108,NO
0.19515090915469824,NO
0.24630341941677591,NO
0.0947268708556994,NO
0.2158193874329018,NO
0.10901484054310073,NO
0.12117145563624883,NO
0.2408566243425732,NO
0.16539088389419937,NO
0.16229870539943164,NO
0.7653556403951101,YES
0.1161982949163246,NO
0.563350588295331,YES
0.1514840543100726,NO
0.16079886327754972,NO
0.15827281338806443,NO
0.27669495714964615,NO
0.11067256078307547,NO
0.22530562971042922,NO
0.1433533312282918,NO
0.2637489514660339,NO
0.16348279128512788,NO
0.7567512829590507,YES
0.739937263382164,YES
0.6926527670133608,YES
0.5440894578880056,YES
0.1206188822229239,NO
0.5564039510992465,YES
0.0884117461319861,NO
0.09251657720239975,YES
0.1328544363751184,YES
0.8446279976908333,NO
0.8464571512408583,NO
0.8342215970886638,NO
0.6934596996169463,NO
0.26081465108935903,YES
0.08778023365961478,YES
0.7163520267404071,NO
0.06480896747710768,NO
0.6873813920703723,NO
0.05967792863909063,NO
0.17035048942216607,NO
0.15448373855383646,NO
0.15345753078623303,NO
0.14145879381117776,YES
0.7884369428417426,NO
0.05446795074202716,YES
0.7398104824691502,NO
0.2328702241869277,YES
0.7473096930785597,NO
0.0884117461319861,NO
0.061493526997158196,NO
0.08280707293969057,NO
0.0727818124407957,NO
0.7534533844922225,NO
0.09630565203662772,NO
0.6845395859447013,NO
0.05478450434244561,NO
0.016893756000165853,NO
0.8659590856464869,YES
0.2539469529523208,YES
0.2215029996842438,YES
0.8680115011816938,YES
0.06283628836518007,NO
0.007894703268874408,NO
0.9211374879199319,YES
0.6180657219495239,NO
0.85972289998182,YES
0.6218547967837518,NO
0.16056204610041047,NO
0.14232712346068832,NO
0.14232712346068832,NO
0.04278576736739036,NO
0.17263972213451217,YES
0.04152274242264769,NO
0.2745500473634354,YES
0.10948927226161202,NO
0.1909535838332807,YES
0.5491519234020025,NO
0.561387477554197,NO
0.6215390405475661,NO
0.5469416297487029,NO
0.8905091330099225,YES
0.5840429875005185,NO
0.8611438030446555,YES
0.3666974449260525,NO
0.30259892898036256,NO
0.16151090953743308,NO
0.966922939531086,NO
0.9191648088080044,NO
0.13988160735871502,NO
0.3777489131925508,NO
0.3415158850902458,NO
0.12069941601043592,NO
0.4750720019902211,YES
0.13009316403695942,NO
0.38634449962204936,YES
0.1544845359180692,NO
0.13624961327834711,NO
0.13096069632223722,NO
0.2874426296434507,NO
0.8790637668124248,NO
0.28799520305677556,NO
0.8485143509614619,NO
0.40419349797310017,NO
0.8651704924202558,NO
0.4647309852551406,YES
0.442233353426912,YES
0.3774243859498044,YES
0.38555510903158524,YES
0.18132461335808353,NO
0.2954856426596244,YES
0.08288760672720256,NO
0.06741395642563941,NO
0.050757814966845595,NO
0.07404483738553837,YES
0.7240737019707656,YES
0.6359777120749651,YES
0.0947268708556994,YES
0.05952005052099779,NO
0.03733817492895485,NO
0.15290495737290816,YES
0.19474265866750867,NO
0.07333438585412062,YES
0.10483107041364068,NO
0.16742974423744872,NO
0.19261130407325544,NO
0.1771392485001579,NO
0.1043574360593622,NO
0.6134011411876902,YES
0.10096305652036627,NO
0.6432401055072354,YES
0.10175244711083044,NO
0.6378722494920792,YES
0.15140511525102623,NO
0.16379854752131356,NO
0.16553520682033473,NO
0.07112409220082097,NO
0.10498894853173352,YES
0.07775497316071993,NO
0.09433217556046732,YES
0.10933139414351918,NO
0.05644222458242035,NO
0.6879259918413693,NO
0.9051128589335095,NO
0.8772473710901245,NO
0.6576133931675455,NO
0.12811889019656625,NO
0.11888302028813554,NO
0.6577712712856383,NO
0.15464241403616208,YES
0.6614024680017735,NO
0.19079650307942064,YES
0.18850647300284185,NO
0.1503789074834228,NO
0.15014209030628356,NO
0.039707144064580126,NO
0.8380146587440558,NO
0.04183849865883336,NO
0.8429878194639799,NO
0.1757191428015552,NO
0.8331993761422244,NO
0.14595911754105628,YES
0.11169956591491167,YES
0.14769577684007745,YES
0.2429752211091018,YES
0.6898205292584834,NO
0.12843464643275188,YES
0.6050399798426324,NO
0.16025585823501837,NO
0.19104209126312066,NO
0.21432432949641667,NO
0.1449321124092201,NO
0.10301547205557311,NO
0.20161514098994365,NO
0.19104209126312066,NO
0.16167676129785385,NO
0.2110088890164672,NO
0.2602620776760341,YES
0.2225339916372439,NO
0.12669718976949795,YES
0.0947268708556994,NO
0.047679191664035364,NO
0.04073255446795074,NO
0.24637837165465837,NO
0.09441111461951375,NO
0.2159868339217882,NO
0.23437006630880963,NO
0.18867391949172818,NO
0.21218819071676664,NO
0.3087306599305336,YES
0.2498421218819072,YES
0.37969687401326174,YES
0.1304073255446795,YES
0.18985322119202763,NO
0.20066308809598987,YES
0.17374965314655877,NO
0.162593504648408,NO
0.10970433508730913,NO
0.37506259309227413,NO
0.9479775653599463,NO
0.9246905429412534,NO
0.36480051541624003,NO
0.18193357411477995,NO
0.14404282577250016,NO
0.3591169031648981,NO
0.36786558352709287,YES
0.36519521071147215,NO
