NONETRACED_RFNONE_SINGLE_LSA_SUM.csv,Associated
0.12304878105543085,NO
0.10054411488628201,NO
0.12548620474048652,NO
0.42657241754883,NO
0.0710762676232249,NO
0.44724785232098274,NO
0.03330318230408684,NO
0.3665211866576265,NO
0.15478648882213944,NO
0.32753171676236903,YES
0.3458255822432676,NO
0.4024433194266236,YES
0.19995717829808562,NO
0.2303854108323391,NO
0.1831822420263974,NO
0.18738218213807517,NO
0.04292410163637858,NO
0.2156988082844478,NO
0.27902217574585003,NO
0.2105943372953751,NO
0.373974645208236,NO
0.34371397585538677,YES
0.05098264945316998,YES
0.29269564165062145,YES
0.1977369661444798,YES
0.16076290895888962,NO
0.04374640243401036,YES
0.16153245838459787,NO
0.5229584831187851,YES
0.30996085537901086,YES
0.3544178498230502,NO
0.3008922739409774,NO
0.32751154712016295,NO
0.0763095140202286,NO
0.3404620089273939,YES
0.07907896104621485,YES
0.25218258801333676,NO
0.16479528588916317,NO
0.08105248296053112,NO
0.1494446366594108,NO
0.28778821255079257,NO
0.23447364215641409,NO
0.2520445035397722,NO
0.32462418526281817,YES
0.10991834397928424,NO
0.1395211726940281,YES
0.24563676336200005,NO
0.3574603627742877,YES
0.17389955207879193,NO
0.23968361588933382,NO
0.14119525299713126,NO
0.28812023589172314,NO
0.3145750489113824,NO
0.3120197103949681,NO
0.0924002339678496,NO
0.25393889839620315,NO
0.08875573477230803,NO
0.21961637340524073,NO
0.09431790148836446,NO
0.22045884384507852,NO
0.29538285859684454,NO
0.15289519698758636,NO
0.10533673217663021,NO
0.27496652615149264,NO
0.1647068497656443,NO
0.36099005016034863,YES
0.1166844831839487,NO
0.1505632760463778,YES
0.15344132883808898,NO
0.48896177542499764,NO
0.16051311569772225,NO
0.14266918838911274,NO
0.2815945808825925,NO
0.08913740646328427,NO
0.14497163062248172,NO
0.12918345530795167,NO
0.2124856291299282,NO
0.5382082841375074,YES
0.5051781677586717,YES
0.28525614669846233,YES
0.22358979291983502,YES
0.12128936765068662,NO
0.14332702902721817,YES
0.08773949510731026,NO
0.09201545925499549,YES
0.2581559051282091,YES
0.33840935995519233,NO
0.32323247995059984,NO
0.21739616125163494,NO
0.10336321026231397,NO
0.2828450986993684,YES
0.10259676385848358,YES
0.20478548034002916,NO
0.3113944514865802,NO
0.20563725984550055,NO
0.1508984024091862,NO
0.2661849742371608,NO
0.26517183759404095,NO
0.2796179559463984,NO
0.25160387443311666,YES
0.21624804315682827,NO
0.16098632653409525,YES
0.11904898585487478,NO
0.37785652557743354,YES
0.09583062465381914,NO
0.165315042053704,NO
0.21485013180085427,NO
0.15947670639051845,NO
0.19557881442843117,NO
0.27446383660727997,NO
0.14250783125146424,NO
0.15613164880618993,NO
0.044404243072115795,NO
0.12905467990002065,NO
0.1934113536467489,YES
0.29120619114925067,YES
0.2574096283665848,YES
0.19554933572059152,YES
0.06830682059723864,NO
0.1662257789748547,NO
0.2508901794012099,YES
0.13061084537176532,NO
0.10933963039906415,YES
0.13455788920039782,NO
0.24047333495724812,NO
0.15941774897483915,NO
0.20596307714267542,NO
0.3577225681229665,NO
0.29959986532885047,YES
0.15471046478613198,NO
0.4833344452495062,YES
0.14793501651583393,NO
0.5203736658945314,YES
0.058823985738511456,NO
0.08708475749108269,NO
0.11871385949206636,NO
0.4288841688478325,NO
0.17243958028526082,YES
0.0796545716045571,NO
0.7624543661845088,YES
0.2204386742028725,NO
0.07609230248877871,NO
0.16278918224512945,NO
0.6160956847826256,NO
0.4732558301902307,NO
0.24886390611497008,NO
0.24746599475899603,NO
0.1321468412013039,NO
0.41506330940386293,NO
0.44021330172388384,YES
0.19212204805649988,NO
0.5184528953521387,YES
0.3965025840414688,NO
0.1758110135555511,NO
0.30993758271492694,NO
0.060304127174248656,NO
0.3539074027241429,NO
0.02984951895403339,NO
0.21347859613084202,NO
0.2750130714796605,NO
0.2463442523501512,NO
0.36738072371779257,YES
0.2973998228174508,YES
0.24540403672116093,YES
0.23835862554748946,YES
0.21445915104424446,NO
0.23762476087337656,YES
0.2825844448616285,NO
0.11241162205814131,NO
0.1571215127852259,NO
0.10380383936896947,YES
0.6105800633947369,YES
0.31711487231840724,YES
0.09431790148836446,YES
0.08867350469254484,NO
0.18968772739332201,NO
0.4031632205022862,YES
0.19850341254831017,NO
0.08754865926182213,YES
0.15138867986588742,NO
0.18556691433952957,NO
0.2273134191732619,NO
0.47495318315741786,NO
0.2284708463337021,NO
0.44874816339892604,YES
0.2404500622931642,NO
0.20055916454238962,YES
0.10163637858728723,NO
0.33460350362200225,YES
0.21541953631544083,NO
0.3834807527310471,NO
0.16807828303593456,NO
0.08524621702845317,NO
0.136038030636135,YES
0.16972909067495381,NO
0.09390675108954856,YES
0.17880077513486511,NO
0.10819151230425751,NO
0.24271992279681573,NO
0.2341974732092849,NO
0.32929113016711326,NO
