NONETRACED_MEDIAN_MULTI_LSA_SUM.csv,Associated
0.5801341645930067,NO
0.6224520226559009,NO
0.45641446402881936,NO
0.442410956936246,NO
0.41294350597372925,NO
0.6518422595676704,NO
0.6599536025051055,NO
0.3354252954059021,NO
0.4597150539082534,NO
0.48418873103058657,YES
0.5954870528336107,NO
0.5661807982883068,YES
0.542168057279289,NO
0.7386666279905768,NO
0.47880501932768516,NO
0.47039835681869824,NO
0.6689426164236636,NO
0.39155120817888805,NO
0.1638565034190354,NO
0.27399247059408544,NO
0.4801578536980212,NO
0.4156229302248807,YES
0.5378013886097535,YES
0.44994229665527796,YES
0.7003895925404873,YES
0.6253735868551021,NO
0.6686055819266634,YES
0.37453732000942047,NO
0.40386581330637067,YES
0.5325994545290048,YES
0.49796473983768474,NO
0.24984063379060906,NO
0.28203005270307885,NO
0.401136386396238,NO
0.6623913011948841,YES
0.2529510201854657,YES
0.2780652009809914,NO
0.1966592146129318,NO
0.3648553134386289,NO
0.23032978963660355,NO
0.3703661037223665,NO
0.40614134867669077,NO
0.26691087854809964,NO
0.4482133373114455,YES
0.3607922520741781,NO
0.29116285879843057,YES
0.022455890264882872,NO
0.3311184365466948,YES
0.18421186762003233,NO
0.3003851724159365,NO
0.33152867935656805,NO
0.2433397356074874,NO
0.31230431452501267,NO
0.44901476114406635,NO
0.4186672910092595,NO
0.22735311200940939,NO
0.6368041670724203,NO
0.6513267625419307,NO
0.49895774844380547,NO
0.6112501838840877,NO
0.5613520884743182,NO
0.7695363634668418,NO
0.7366504986798332,NO
0.3080039477237395,NO
0.5136527287707979,NO
0.6835439453617355,YES
0.6597580119937319,NO
0.4567046728313592,YES
0.5395246846690053,NO
0.687593055708073,NO
0.5428765203674506,NO
0.6320488037001969,NO
0.7448219276853811,NO
0.484488332597797,NO
0.3468358469338494,NO
0.29315177671740833,NO
0.5917943150291831,NO
0.8341004321362393,YES
0.9721391261828151,YES
0.6308959799657855,YES
0.6333074341660433,YES
0.6677468346037738,NO
0.7757094817887414,YES
0.37561141027527006,NO
0.5039417151326417,YES
0.5334586162385706,YES
0.5844629859460759,NO
0.3068012594592392,NO
0.400341454621551,NO
0.5544731315132089,NO
0.7384558433010596,YES
0.33934594588248124,YES
0.38498759947870154,NO
0.24871667899467031,NO
0.49026571164350596,NO
0.2485764781690739,NO
0.5230609638772229,NO
0.5868653236394478,NO
0.43120055417311565,NO
0.42554942493488945,YES
0.46219142868785146,NO
0.30929849170156154,YES
0.06438767807404124,NO
0.3564087316797925,YES
0.25465263000864,NO
0.4153234667865625,NO
0.4011416352941421,NO
0.32332257999907454,NO
0.4436484536815839,NO
0.5754770108631468,NO
0.5899667316563105,NO
0.32810708856755505,NO
0.4688433017501622,NO
0.48087709083977537,NO
0.4835650790822439,YES
0.6127727786629539,YES
0.6810649461331855,YES
0.7282474275220437,YES
0.6110279344965167,NO
0.3407544461963792,NO
0.5047773949305314,YES
0.39714073193118704,NO
0.5839020445147982,YES
0.3930366462857487,NO
0.5761378194834946,NO
0.6337015158955275,NO
0.49591794591286964,NO
0.389293215177879,NO
0.7648968902351851,YES
0.30951051955110875,NO
0.5051622220242377,YES
0.26006603942336715,NO
0.591219422579792,YES
0.45399969473514823,NO
0.5866455605719365,NO
0.4598531828004666,NO
0.49714176789787856,NO
0.6840233907466075,YES
0.6499910561542291,NO
0.37568765742377186,YES
0.7654640474666126,NO
0.6929640595528908,NO
0.6182823257866614,NO
0.6808570621504044,NO
0.7213626691474616,NO
0.8856799705509203,NO
0.8346445218426674,NO
0.5377186494033178,NO
0.5058831167126981,NO
0.7019114966748923,YES
0.7455490381739914,NO
0.5972106251506468,YES
0.5960189871975238,NO
0.8008626149318713,NO
0.5829950902085262,NO
0.46368363511043076,NO
0.9153580680740621,NO
0.47361745065172667,NO
0.2614286809450503,NO
0.37244936367472586,NO
0.5674727178171767,NO
0.8861186679125894,YES
0.9843856337664366,YES
0.6001385432788899,YES
0.8449710378245251,YES
0.8095398719407041,NO
0.8895216113011534,YES
0.44306914110764184,NO
0.5704980168144302,NO
0.5312154030290285,NO
