NONETRACED_MAX_SINGLE_VSM_MEDIAN.csv,Associated
0.14065,NO
0.1639,NO
0.12125,NO
0.2774,NO
0.1318,NO
0.1283,NO
0.16075,NO
0.13520000000000001,NO
0.19524999999999998,NO
0.46755,YES
0.0996,NO
0.669,YES
0.3064,NO
0.29025,NO
0.29569999999999996,NO
0.1884,NO
0.1824,NO
0.16549999999999998,NO
0.12179999999999999,NO
0.23435,NO
0.185,NO
0.298,YES
0.33790000000000003,YES
0.26555,YES
0.62,YES
0.16695,NO
0.14145,YES
0.18195,NO
0.2446,YES
0.6222,YES
0.31074999999999997,NO
0.2143,NO
0.1969,NO
0.24385,NO
0.69735,YES
0.2342,YES
0.19615,NO
0.1583,NO
0.19905,NO
0.2062,NO
0.299,NO
0.2783,NO
0.2862,NO
0.64055,YES
0.17505,NO
0.25880000000000003,YES
0.15085,NO
0.5985,YES
0.1109,NO
0.1647,NO
0.14255,NO
0.17745,NO
0.1934,NO
0.2955,NO
0.17165,NO
0.18795,NO
0.12459999999999999,NO
0.22725,NO
0.2282,NO
0.4502,NO
0.24405,NO
0.24974999999999997,NO
0.2076,NO
0.07425000000000001,NO
0.2272,NO
0.7287,YES
0.25370000000000004,NO
0.4682,YES
0.19115,NO
0.2046,NO
0.203,NO
0.2521,NO
0.36425,NO
0.2021,NO
0.2852,NO
0.1803,NO
0.33665,NO
0.72325,YES
0.7126,YES
0.6195,YES
0.456,YES
0.21015,NO
0.41495,YES
0.18619999999999998,NO
0.37345,YES
0.5907,YES
0.35435,NO
0.3362,NO
0.33620000000000005,NO
0.3265,NO
0.6717500000000001,YES
0.37045,YES
0.32395,NO
0.2544,NO
0.29,NO
0.34485,NO
0.48325,NO
0.4606,NO
0.47165,NO
0.59615,YES
0.3021,NO
0.33720000000000006,YES
0.2658,NO
0.5826,YES
0.18914999999999998,NO
0.266,NO
0.24895,NO
0.26885000000000003,NO
0.35314999999999996,NO
0.38079999999999997,NO
0.2774,NO
0.309,NO
0.12165000000000001,NO
0.11325,NO
0.2716,YES
0.65815,YES
0.6376000000000001,YES
0.323,YES
0.1698,NO
0.083,NO
0.28959999999999997,YES
0.2179,NO
0.29700000000000004,YES
0.18205,NO
0.2829,NO
0.2862,NO
0.2862,NO
0.07465,NO
0.60665,YES
0.11095,NO
0.56975,YES
0.25405,NO
0.54175,YES
0.1932,NO
0.2581,NO
0.2653,NO
0.14615,NO
0.34535,YES
0.2241,NO
0.28235,YES
0.20545000000000002,NO
0.14315,NO
0.30155,NO
0.43605,NO
0.2673,NO
0.2934,NO
0.21855,NO
0.18635,NO
0.20945000000000003,NO
0.7014,YES
0.29655,NO
0.62775,YES
0.2219,NO
0.21405000000000002,NO
0.2107,NO
0.1375,NO
0.28225,NO
0.1633,NO
0.20625000000000002,NO
0.2369,NO
0.22499999999999998,NO
0.69485,YES
0.6806,YES
0.5156499999999999,YES
0.62725,YES
0.28995,NO
0.39525,YES
0.17015,NO
0.12225,NO
0.14784999999999998,NO
0.28005,YES
0.68235,YES
0.6265499999999999,YES
0.34955,YES
0.16804999999999998,NO
0.08545,NO
0.31095,YES
0.47505,NO
0.31265,YES
0.3667,NO
0.3155,NO
0.3487,NO
0.3389,NO
0.18585000000000002,NO
0.61225,YES
0.17104999999999998,NO
0.5076,YES
0.27715,NO
0.44165,YES
0.4476,NO
0.45545,NO
0.4281,NO
0.34535,NO
0.3652,YES
0.2868,NO
0.30845,YES
0.18735,NO
0.13005,NO
0.28895,NO
0.2642,NO
0.24325,NO
0.29905,NO
0.1915,NO
0.1934,NO
0.2569,NO
0.44355,YES
0.28465,NO
0.62235,YES
0.32895,NO
0.3221,NO
0.32195,NO
0.11945,NO
0.21514999999999998,NO
0.13999999999999999,NO
0.21480000000000002,NO
0.23820000000000002,NO
0.15685,NO
0.353,YES
0.36995,YES
0.3528,YES
0.6554,YES
0.3322,NO
0.34059999999999996,YES
0.24955,NO
0.131,NO
0.22360000000000002,NO
0.36865,NO
0.34005,NO
0.23755,NO
0.3676,NO
0.2314,NO
0.09914999999999999,NO
0.30035,NO
0.59365,YES
0.39270000000000005,NO
0.35579999999999995,YES
0.16104999999999997,NO
0.1298,NO
0.09115,NO
0.26445,NO
0.36560000000000004,NO
0.22705000000000003,NO
0.37370000000000003,NO
0.15089999999999998,NO
0.3767,NO
0.6099,YES
0.61205,YES
0.7016,YES
0.354,YES
0.29845,NO
0.52295,YES
0.26285000000000003,NO
0.1766,NO
0.14024999999999999,NO
0.29345,NO
0.42405,NO
0.27154999999999996,NO
0.2923,NO
0.21855,NO
0.16485,NO
0.21939999999999998,NO
0.6789499999999999,YES
0.30155,NO
0.55325,YES
0.24905,NO
0.24535,NO
0.24365,NO
0.13045,NO
0.27955,NO
0.1263,NO
0.22265000000000001,NO
0.20825,NO
0.2232,NO
0.7019,YES
0.6747,YES
0.51605,YES
0.58285,YES
0.26625,NO
0.39715,YES
0.1877,NO
0.11149999999999999,NO
0.15395,NO
0.19890000000000002,NO
0.45125000000000004,NO
0.23979999999999999,NO
0.19160000000000002,NO
0.1646,NO
0.08879999999999999,NO
0.1686,NO
0.71985,YES
0.18585,NO
0.4895,YES
0.2482,NO
0.23985,NO
0.24419999999999997,NO
0.1651,NO
0.27765,NO
0.15015,NO
0.19635000000000002,NO
0.17845,NO
0.2539,NO
0.6686,YES
0.66515,YES
0.5331,YES
0.435,YES
0.18275000000000002,NO
0.30670000000000003,YES
0.1522,NO
0.15689999999999998,NO
0.15744999999999998,NO
0.75475,YES
0.31975,YES
0.31715000000000004,YES
0.5905,YES
0.31115000000000004,NO
0.15415,NO
0.5569,YES
0.19685,NO
0.602,YES
0.15095,NO
0.36260000000000003,NO
0.2953,NO
0.2942,NO
0.17295,NO
0.30045,YES
0.15785,NO
0.4509,YES
0.34775,NO
0.24459999999999998,YES
0.2757,NO
0.25305,NO
0.51345,NO
0.25880000000000003,NO
0.6468,YES
0.488,NO
0.5630000000000001,YES
0.1948,NO
0.239,NO
0.5624,YES
0.25465000000000004,NO
0.25905,NO
0.70795,YES
0.27995,NO
0.12185000000000001,NO
0.75875,YES
0.20645,NO
0.6648,YES
0.15785,NO
0.4121,NO
0.43025,NO
0.40249999999999997,NO
0.18335,NO
0.36974999999999997,NO
0.15725,NO
0.5242,NO
0.22865,NO
0.38039999999999996,NO
0.2483,NO
0.23855,NO
0.47429999999999994,NO
0.2805,NO
0.636,YES
0.48974999999999996,NO
0.5402,YES
0.13015,NO
0.154,NO
0.51755,YES
0.5601,YES
0.532,YES
0.5306,YES
0.24705000000000002,NO
0.10055,NO
0.54845,YES
0.5386500000000001,NO
0.54005,YES
0.3683,NO
0.3588,NO
0.3641,NO
0.36345,NO
0.13815,NO
0.51015,YES
0.12459999999999999,NO
0.635,YES
0.3061,NO
0.4606,YES
0.5421,NO
0.5278,NO
0.58565,NO
0.3713,NO
0.49635,YES
0.53685,NO
0.52865,YES
0.1636,NO
0.2404,NO
0.59335,YES
0.27875,NO
0.27895,NO
0.6,YES
0.24325000000000002,NO
0.1394,NO
0.6487499999999999,YES
0.26485,NO
0.7464999999999999,YES
0.19090000000000001,NO
0.36629999999999996,NO
0.24525,NO
0.23199999999999998,NO
0.19085,NO
0.34915,NO
0.17385,NO
0.5018,NO
0.2009,NO
0.3696,NO
0.28995,NO
0.28454999999999997,NO
0.49695,NO
0.29490000000000005,NO
0.5492,YES
0.48109999999999997,NO
0.6174000000000001,YES
0.1279,NO
0.15699999999999997,NO
0.20785,YES
0.55915,YES
0.48514999999999997,YES
0.2364,YES
0.179,NO
0.10945,NO
0.29585,YES
0.20234999999999997,NO
0.2707,YES
0.26005,NO
0.47905000000000003,NO
0.46675,NO
0.48185,NO
0.14175,NO
0.57125,YES
0.1412,NO
0.51515,YES
0.22039999999999998,NO
0.49505,YES
0.1514,NO
0.2288,NO
0.24214999999999998,NO
0.22785,NO
0.25045,YES
0.217,NO
0.2907,YES
0.6512,YES
0.1966,YES
0.3216,NO
0.26155,NO
0.26275,NO
0.26270000000000004,NO
0.2922,YES
0.68465,YES
0.26084999999999997,NO
0.20135000000000003,NO
0.26925,NO
0.2373,NO
0.41745,NO
0.38025000000000003,NO
0.38239999999999996,NO
0.2147,YES
0.23359999999999997,NO
0.6012500000000001,YES
0.19510000000000002,NO
0.6351,YES
0.14175,NO
0.21445,NO
0.20980000000000001,NO
0.2403,NO
0.26345,NO
0.30825,NO
0.25235,NO
0.25429999999999997,NO
0.1421,NO
0.19065,NO
0.4918,YES
0.27005,YES
0.259,YES
0.6225,YES
0.22885,NO
0.10289999999999999,NO
0.72475,YES
0.1602,NO
0.6851499999999999,YES
0.1139,NO
0.43105,NO
0.3507,NO
0.35855000000000004,NO
0.12260000000000001,NO
0.29795,YES
0.1106,NO
0.4556,YES
0.18345,NO
0.27899999999999997,YES
0.2092,NO
0.18925,NO
0.44275000000000003,NO
0.2445,NO
0.56265,YES
0.4298,NO
0.68155,YES
0.17585,NO
0.1361,NO
0.5044,YES
0.48260000000000003,YES
0.4837,YES
0.46935000000000004,YES
0.278,NO
0.1752,NO
0.501,YES
0.398,NO
0.5344,YES
0.2951,NO
0.34105,NO
0.2711,NO
0.27015,NO
0.1217,NO
0.45185000000000003,YES
0.15645,NO
0.4811,YES
0.3478,NO
0.32685000000000003,YES
0.41040000000000004,NO
0.396,NO
0.5488999999999999,NO
0.3068,NO
0.50535,YES
0.51575,NO
0.5141,YES
0.1481,NO
0.19335,NO
0.763,YES
0.28625,YES
0.31120000000000003,YES
0.55105,YES
0.31279999999999997,NO
0.14295000000000002,NO
0.5442,YES
0.2757,NO
0.6327499999999999,YES
0.19165000000000001,NO
0.2993,NO
0.1848,NO
0.1716,NO
0.22954999999999998,NO
0.33665,YES
0.21284999999999998,NO
0.5065999999999999,YES
0.2837,NO
0.37055000000000005,YES
0.30074999999999996,NO
0.29869999999999997,NO
0.5292,NO
0.2721,NO
0.53505,YES
0.5024500000000001,NO
0.5326,YES
0.1326,NO
0.19469999999999998,NO
0.48065,YES
0.2663,YES
0.2515,YES
0.52225,YES
0.2131,NO
0.09434999999999999,NO
0.6998500000000001,YES
0.16225,NO
0.6802,YES
0.11545,NO
0.41164999999999996,NO
0.28214999999999996,NO
0.29384999999999994,NO
0.1288,NO
0.2836,YES
0.11905,NO
0.46085,YES
0.17395,NO
0.27975,YES
0.19369999999999998,NO
0.17104999999999998,NO
0.45035000000000003,NO
0.24165,NO
0.4859,YES
0.40825,NO
0.69475,YES
0.143,NO
0.14795,NO
0.2354,YES
0.6452,YES
0.59945,YES
0.30685,YES
0.1755,NO
0.08465,NO
0.27035,YES
0.35650000000000004,NO
0.2671,YES
0.30865,NO
0.3675,NO
0.38029999999999997,NO
0.3699,NO
0.18415,NO
0.60195,YES
0.17055,NO
0.5215,YES
0.2428,NO
0.5085999999999999,YES
0.30945,NO
0.35385,NO
0.35825,NO
0.28864999999999996,NO
0.31315,YES
0.26185,NO
0.25695,YES
0.12764999999999999,NO
0.14425,NO
0.40775,YES
0.5757,YES
0.59265,YES
0.38434999999999997,YES
0.16095,NO
0.09615000000000001,NO
0.39145,YES
0.28535,NO
0.44520000000000004,YES
0.1904,NO
0.21275,NO
0.17645,NO
0.15165,NO
0.16570000000000001,NO
0.5583,YES
0.15475,NO
0.7864,YES
0.23015,NO
0.6275499999999999,YES
0.2708,NO
0.27805,NO
0.38555,NO
0.1906,NO
0.3869,YES
0.3408,NO
0.37360000000000004,YES
0.17355,NO
0.216,NO
0.21605,NO
0.2942,NO
0.2226,NO
0.24355000000000002,NO
0.2601,NO
0.14934999999999998,NO
0.43,NO
0.17095,NO
0.24630000000000002,NO
0.20625000000000002,NO
0.7112499999999999,YES
0.6513,YES
0.69565,YES
0.1598,NO
0.2603,NO
0.16615,NO
0.1687,NO
0.2575,NO
0.15935,NO
0.12955,NO
0.16485,NO
0.18725,NO
0.1807,NO
0.25895,NO
0.16305,NO
0.4341,NO
0.25865,YES
0.6445,YES
0.2602,NO
0.16975,NO
0.12764999999999999,NO
0.11395,NO
0.6645,YES
0.25434999999999997,YES
0.14495,NO
0.18785000000000002,NO
0.11199999999999999,NO
0.2518,NO
0.24435,NO
0.23099999999999998,NO
0.239,NO
0.65375,YES
0.12325,NO
0.2993,YES
0.1002,NO
0.6153,YES
0.15185,NO
0.14255,NO
0.1177,NO
0.1414,NO
0.21,NO
0.1585,NO
0.1129,NO
0.1508,NO
0.1,NO
0.1095,NO
0.27265,YES
0.6443,YES
0.64395,YES
0.3301,YES
0.144,NO
0.05875,NO
0.2951,YES
0.2064,NO
0.31295,YES
0.1618,NO
0.29495,NO
0.2991,NO
0.30305,NO
0.05765,NO
0.60615,YES
0.05345,NO
0.59055,YES
0.2453,NO
0.6184,YES
0.19155,NO
0.24785000000000001,NO
0.26545,NO
0.14679999999999999,NO
0.34190000000000004,YES
0.22735,NO
0.28300000000000003,YES
0.6599,YES
0.1712,YES
0.29615,NO
0.1921,NO
0.16315,NO
0.21045,NO
0.271,YES
0.6962,YES
0.1627,NO
0.14305,NO
0.17354999999999998,NO
0.1782,NO
0.2615,NO
0.23715000000000003,NO
0.24005,NO
0.2149,YES
0.15385,NO
0.6621,YES
0.12789999999999999,NO
0.67035,YES
0.09565000000000001,NO
0.12325,NO
0.1302,NO
0.16799999999999998,NO
0.1616,NO
0.263,NO
0.1611,NO
0.1554,NO
0.19540000000000002,NO
0.14745,NO
0.13485,NO
0.27759999999999996,NO
0.18725,NO
0.1747,NO
0.16344999999999998,NO
0.17370000000000002,NO
0.27125,NO
0.45005,YES
0.15055,NO
0.59815,YES
0.40249999999999997,NO
0.40385,NO
0.4065,NO
0.16870000000000002,NO
0.2297,NO
0.22445,NO
0.20005,NO
0.24515,NO
0.2182,NO
0.3204,YES
0.3639,YES
0.3533,YES
0.59635,YES
0.15639999999999998,NO
0.2485,YES
0.245,NO
0.67375,YES
0.18875,YES
0.24159999999999998,NO
0.16660000000000003,NO
0.12025,NO
0.12575,NO
0.24695,YES
0.7181,YES
0.13019999999999998,NO
0.13045,NO
0.10545,NO
0.1659,NO
0.21505000000000002,NO
0.2021,NO
0.20465,NO
0.2274,YES
0.125,NO
0.68955,YES
0.10064999999999999,NO
0.67885,YES
0.1451,NO
0.0954,NO
0.0944,NO
0.12395,NO
0.1452,NO
0.1691,NO
0.09555,NO
0.12514999999999998,NO
0.26825,NO
0.1645,NO
0.21939999999999998,NO
0.2581,NO
0.15084999999999998,NO
0.3054,NO
0.2103,NO
0.2472,NO
0.2189,NO
0.43445,YES
0.24875,NO
0.6409,YES
0.3161,NO
0.32284999999999997,NO
0.3124,NO
0.1742,NO
0.1957,NO
0.2521,NO
0.14635,NO
0.3233,NO
0.12795,NO
0.30765,YES
0.3502,YES
0.244,YES
0.63655,YES
0.3396,NO
0.20875,YES
0.1836,NO
