UPPERTRACED_SUM_SINGLE_VSM_MAX.csv,Associated
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
2.0339,YES
1.0926,YES
0.6465,NO
0.1579,NO
0.1148,NO
0.1112,NO
1.4691,YES
1.9612,YES
0.1364,NO
0.1056,NO
0.1085,NO
0.1661,NO
0.1797,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0745,NO
0.2533,NO
0.2983,NO
0.1235,NO
0.1636,NO
0.2932,NO
0.1362,NO
0.1526,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
2.0339,YES
1.0926,YES
0.6465,NO
0.1662,NO
0.1507,NO
0.1441,NO
1.4691,YES
1.9612,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.1661,NO
0.2289,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0745,NO
0.2533,NO
0.2983,NO
0.11800000000000001,NO
0.1636,NO
0.2932,NO
0.1362,NO
0.1526,NO
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
0.6572,NO
0.6395,NO
0.9553,NO
1.6449,NO
1.1523,NO
1.2452,NO
1.1218,NO
0.4013,NO
0.8587,NO
2.9418,YES
1.2092,NO
2.3298,YES
0.4418,NO
0.8006,NO
0.3422,NO
0.6092,NO
1.8236,NO
0.5532,NO
1.0905,NO
0.531,NO
1.2517,NO
2.9194,YES
3.0781,YES
3.0256,YES
2.4997,YES
0.9626,NO
2.1604,YES
0.9672,NO
1.1106,NO
1.679,NO
4.34,YES
1.3076,YES
1.7721,YES
5.5557,YES
2.2482,NO
0.7766,NO
5.1876,YES
0.4946,NO
5.6925,YES
0.7417,NO
2.2851,NO
1.6286,NO
1.5801,NO
0.8051,NO
3.0979,YES
0.6507,NO
3.842,YES
2.0147,NO
2.3277,YES
1.7908,NO
1.4452,NO
3.7962,NO
2.3046,NO
5.3082,YES
4.0162,NO
5.0891,YES
0.4313,NO
0.6277,NO
0.8718,YES
0.2455,NO
0.3825,NO
1.8507,YES
0.7875,NO
0.2619,NO
1.9727,YES
0.2146,NO
1.5552,YES
0.299,NO
0.8473,NO
0.7916,NO
0.5866,NO
0.2467,NO
1.0498,NO
0.14300000000000002,NO
0.8522,NO
0.3121,NO
0.6412,NO
0.5003,NO
0.4834,NO
0.9321,NO
0.7035,NO
1.5821,YES
1.1824,NO
1.6891,YES
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
0.2732,NO
0.5758,NO
1.3218,YES
0.1762,NO
0.3976,NO
1.3434,YES
0.526,NO
0.2596,NO
1.6813,YES
0.159,NO
1.9534,YES
0.1559,NO
0.9459,NO
0.3562,NO
0.5952,NO
0.1775,NO
0.6438,NO
0.1654,NO
1.1545,NO
0.3077,NO
0.5909,NO
0.5071,NO
0.2852,NO
1.1601,NO
0.7290000000000001,NO
1.2944,YES
1.1488,NO
1.8742,YES
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
2.0339,YES
1.0926,YES
0.6465,NO
0.1548,NO
0.1459,NO
0.1506,NO
1.4691,YES
1.9612,YES
0.1404,NO
0.0758,NO
0.1517,NO
0.1661,NO
0.2131,NO
0.3458,NO
0.3488,NO
1.4798,YES
0.1189,NO
2.2142,YES
0.0876,NO
2.8288,YES
0.0745,NO
0.2533,NO
0.2983,NO
0.1259,NO
0.1636,NO
0.2932,NO
0.15,NO
0.1526,NO
1.1106,NO
1.679,NO
4.34,YES
1.3076,YES
1.7721,YES
5.5557,YES
2.2482,NO
0.7766,NO
5.1876,YES
0.4946,NO
5.6925,YES
0.7417,NO
2.2851,NO
1.6286,NO
1.5801,NO
0.8051,NO
3.0979,YES
0.6507,NO
3.842,YES
2.0147,NO
2.3277,YES
1.7908,NO
1.4452,NO
3.7962,NO
2.3046,NO
5.3082,YES
4.0162,NO
5.0891,YES
1.1106,NO
1.679,NO
4.34,YES
1.3076,YES
1.7721,YES
5.5557,YES
2.2482,NO
0.7766,NO
5.1876,YES
0.4946,NO
5.6925,YES
0.7417,NO
2.2851,NO
1.6286,NO
1.5801,NO
0.8051,NO
3.0979,YES
0.6507,NO
3.842,YES
2.0147,NO
2.3277,YES
1.7908,NO
1.4452,NO
3.7962,NO
2.3046,NO
5.3082,YES
4.0162,NO
5.0891,YES
1.1106,NO
1.679,NO
4.34,YES
1.3076,YES
1.7721,YES
5.5557,YES
2.2482,NO
0.7766,NO
5.1876,YES
0.4946,NO
5.6925,YES
0.7417,NO
2.2851,NO
1.6286,NO
1.5801,NO
0.8051,NO
3.0979,YES
0.6507,NO
3.842,YES
2.0147,NO
2.3277,YES
1.7908,NO
1.4452,NO
3.7962,NO
2.3046,NO
5.3082,YES
4.0162,NO
5.0891,YES
1.1106,NO
1.679,NO
4.34,YES
1.3076,YES
1.7721,YES
5.5557,YES
2.2482,NO
0.7766,NO
5.1876,YES
0.4946,NO
5.6925,YES
0.7417,NO
2.2851,NO
1.6286,NO
1.5801,NO
0.8051,NO
3.0979,YES
0.6507,NO
3.842,YES
2.0147,NO
2.3277,YES
1.7908,NO
1.4452,NO
3.7962,NO
2.3046,NO
5.3082,YES
4.0162,NO
5.0891,YES
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
0.4942,NO
0.6431,NO
1.1221,YES
3.5574,YES
3.7038,YES
1.5035,YES
0.9107,NO
0.1846,NO
1.3430000000000002,YES
0.6818,NO
1.5434,YES
0.5929,NO
0.5103,NO
0.8284,NO
0.946,NO
0.3532,NO
4.3463,YES
0.3168,NO
3.9185,YES
0.8973,NO
3.4292,YES
1.0272,NO
1.3219,NO
1.5293,NO
0.8074,NO
1.3994,YES
1.2134,NO
1.2892,YES
