DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_31,Associated
0.0737,1.5087,NO
0.0652,0.5967,NO
0.1144,2.1711,NO
0.2164,1.0609,NO
0.0671,0.7411,NO
0.0906,1.2656,NO
0.0589,1.396,NO
0.0679,0.6678,NO
0.1689,0.9994,NO
0.2469,2.7338,YES
0.0616,1.6688,NO
0.33799999999999997,2.6783,YES
0.2427,0.7929999999999999,NO
0.2231,1.2539,NO
0.2223,0.3317,NO
0.1142,0.8653,NO
0.0706,1.2823,NO
0.1109,1.2045,NO
0.0747,1.0042,NO
0.2179,0.7904,NO
0.1147,1.1513,NO
0.0779,1.9219,YES
0.0804,3.0855,YES
0.1668,3.0431,YES
0.24,2.3938,YES
0.1573,1.5545,NO
0.0716,2.3511,YES
0.1205,1.2174,NO
0.1072,1.8169,YES
0.2444,2.12,YES
0.3362,1.8298,NO
0.1579,1.1254,NO
0.1148,0.9715,NO
0.1112,1.2724,NO
0.3947,1.4807,YES
0.0957,1.1879,YES
0.1364,1.0991,NO
0.1056,0.8318,NO
0.0981,1.0209,NO
0.1058,0.7763,NO
0.1797,0.3716,NO
0.1526,0.5927,NO
0.1551,0.3747,NO
0.2811,2.4541,YES
0.0766,0.978,NO
0.1126,2.345,YES
0.0341,0.8116,NO
0.3399,2.0482,YES
0.0412,0.8273,NO
0.1212,0.613,NO
0.0769,1.0388,NO
0.1235,0.6478,NO
0.0802,0.6627,NO
0.1903,1.5061,NO
0.1119,1.1926,NO
0.1008,1.2498,NO
0.0886,1.2012,NO
0.1534,0.5162,NO
0.1331,1.733,NO
0.2865,0.7863,NO
0.1512,0.8395,NO
0.1666,0.8269,NO
0.1465,1.0969,NO
0.0509,0.4767,NO
0.2187,0.5699,NO
0.4574,3.1384,YES
0.1603,0.9456,NO
0.2015,2.7803,YES
0.205,0.6723,NO
0.2168,0.8152,NO
0.2136,0.1978,NO
0.1919,0.6429,NO
0.1533,1.1566,NO
0.1268,0.9554,NO
0.1947,0.885,NO
0.1755,0.6494,NO
0.2202,1.0756,NO
0.4465,2.2264,YES
0.4252,3.2702,YES
0.3653,3.1287,YES
0.1771,2.3128,YES
0.1659,1.0881,NO
0.1927,2.4907,YES
0.1251,0.7799,NO
0.1303,1.7262,YES
0.1814,1.6007,YES
0.3356,0.9274,NO
0.1662,0.9166,NO
0.1507,0.6058,NO
0.1441,0.7474,NO
0.3435,1.166,YES
0.1243,1.1307,YES
0.1731,0.2858,NO
0.0952,0.7089,NO
0.1364,0.515,NO
0.0887,0.5914,NO
0.2289,0.652,NO
0.2088,0.7171,NO
0.2075,0.7055,NO
0.1923,1.89,YES
0.0927,0.7201,NO
