DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_76,Associated
0.0737,0.8485,NO
0.0652,0.4247,NO
0.1144,0.7841,NO
0.2164,1.0893,NO
0.0671,0.8555,NO
0.0906,1.4841,NO
0.0589,1.0698,NO
0.0679,0.7008,NO
0.1689,1.1089,NO
0.2469,2.5961,YES
0.0616,0.4864,NO
0.33799999999999997,2.1663,YES
0.2427,0.6204,NO
0.2231,1.0587,NO
0.2223,0.6807,NO
0.1142,0.7893,NO
0.0706,0.9253,NO
0.1109,0.8614,NO
0.0747,1.6234,NO
0.2179,0.5556,NO
0.1147,1.2845,NO
0.0779,1.6974,YES
0.0804,2.4557,YES
0.1668,1.9253,YES
0.24,1.933,YES
0.1573,1.3141,NO
0.0716,1.7987,YES
0.1205,0.5086,NO
0.1072,1.1491,YES
0.2444,0.7752,YES
0.3362,0.713,NO
0.1579,0.7324,NO
0.1148,0.3711,NO
0.1112,0.7351,NO
0.3947,1.7033,YES
0.0957,1.6379,YES
0.1364,0.779,NO
0.1056,0.7205,NO
0.0981,0.6437,NO
0.1058,0.5841,NO
0.1797,0.3973,NO
0.1526,0.7704,NO
0.1551,0.4175,NO
0.2811,1.0998,YES
0.0766,0.5929,NO
0.1126,1.7109,YES
0.0341,0.6924,NO
0.3399,1.4902,YES
0.0412,0.7034,NO
0.1212,0.4596,NO
0.0769,0.7379,NO
0.1235,0.7371,NO
0.0802,0.3842,NO
0.1903,0.9856,NO
0.1119,0.8439,NO
0.1008,0.5739,NO
0.0886,0.6181,NO
0.1534,0.3472,NO
0.1331,1.3114,NO
0.2865,1.0421,NO
0.1512,0.8512,NO
0.1666,2.0239,NO
0.1465,1.5784,NO
0.0509,0.6402,NO
0.2187,1.3713,NO
0.4574,3.9297,YES
0.1603,0.9711,NO
0.2015,2.8213,YES
0.205,0.3799,NO
0.2168,0.9879,NO
0.2136,0.3033,NO
0.1919,0.9167,NO
0.1533,0.5101,NO
0.1268,0.9063,NO
0.1947,1.6295,NO
0.1755,0.4978,NO
0.2202,1.1057,NO
0.4465,3.1057,YES
0.4252,3.9258,YES
0.3653,2.928,YES
0.1771,2.8461,YES
0.1659,1.4139,NO
0.1927,2.4318,YES
0.1251,1.0513,NO
0.1303,1.7211,YES
0.1814,0.8275,YES
0.3356,0.7803,NO
0.1662,0.7145,NO
0.1507,0.547,NO
0.1441,0.7359,NO
0.3435,2.3909,YES
0.1243,2.3891,YES
0.1731,1.0578,NO
0.0952,0.5606,NO
0.1364,0.9107,NO
0.0887,0.3971,NO
0.2289,0.3365,NO
0.2088,1.0786,NO
0.2075,0.2697,NO
0.1923,1.367,YES
0.0927,0.6578,NO
0.0821,2.4725,YES
0.0311,0.7675,NO
0.3081,1.9044,YES
0.0406,1.1343,NO
0.1251,0.4635,NO
0.091,0.4471,NO
0.11800000000000001,0.6335,NO
0.1053,0.4057,NO
0.2201,1.1467,NO
0.1351,0.8959999999999999,NO
0.1328,1.1276,NO
0.0724,1.6369999999999998,NO
0.0244,0.3726,NO
0.1404,2.4937,YES
0.3348,4.0307,YES
0.2937,3.7392,YES
0.14300000000000002,2.9934,YES
0.0826,1.5028,NO
0.013000000000000001,0.4809,NO
0.2103,3.7416,YES
0.1395,1.4399,NO
0.1325,2.4978,YES
0.1443,0.7020000000000001,NO
0.2165,0.8370000000000001,NO
0.1934,1.1767,NO
0.1934,0.7897,NO
0.0572,0.7325,NO
0.2318,3.8826,YES
0.0556,0.6824,NO
0.3609,4.4510000000000005,YES
0.1417,0.6799,NO
0.255,4.7342,YES
0.0522,0.8683,NO
0.0677,1.7408,NO
0.1439,0.9817,NO
0.0494,0.6571,NO
0.1715,2.5917,YES
0.0964,1.8709,NO
0.1343,2.838,YES
0.1544,1.3937,NO
0.0732,0.6549,NO
0.1975,1.5966,NO
0.2582,1.1233,NO
0.1977,0.9893,NO
0.1701,2.4618,NO
0.1684,2.0097,NO
