DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_2,Associated
0.0737,0.7457,NO
0.0652,0.0669,NO
0.1144,0.9155,NO
0.2164,0.6259,NO
0.0671,0.4645,NO
0.0906,1.1998,NO
0.0589,0.9987,NO
0.0679,0.1003,NO
0.1689,1.3028,NO
0.2469,2.0989,YES
0.0616,0.9119,NO
0.33799999999999997,1.6106,YES
0.2427,0.8255,NO
0.2231,0.49700000000000005,NO
0.2223,0.3586,NO
0.1142,0.384,NO
0.0706,1.4629,NO
0.1109,0.5093,NO
0.0747,0.6487,NO
0.2179,0.1165,NO
0.1147,0.7584,NO
0.0779,1.8711,YES
0.0804,2.3975,YES
0.1668,2.1543,YES
0.24,1.8216,YES
0.1573,0.6774,NO
0.0716,1.7128,YES
0.1205,1.0099,NO
0.1072,2.4003,YES
0.2444,1.1031,YES
0.3362,0.6289,NO
0.1579,0.3544,NO
0.1148,0.1588,NO
0.1112,0.4573,NO
0.3947,1.4895,YES
0.0957,2.3398,YES
0.1364,0.534,NO
0.1056,0.5871,NO
0.0981,0.3879,NO
0.1058,0.3472,NO
0.1797,0.3372,NO
0.1526,0.7527,NO
0.1551,0.0821,NO
0.2811,2.1533,YES
0.0766,0.2879,NO
0.1126,1.5017,YES
0.0341,0.1133,NO
0.3399,1.6839,YES
0.0412,0.2047,NO
0.1212,0.4837,NO
0.0769,0.8190000000000001,NO
0.1235,0.5595,NO
0.0802,0.4605,NO
0.1903,0.4924,NO
0.1119,0.3194,NO
0.1008,0.2902,NO
0.0886,1.5439,NO
0.1534,0.4126,NO
0.1331,1.0981,NO
0.2865,1.1488,NO
0.1512,0.5307,NO
0.1666,1.8166,NO
0.1465,1.7514,NO
0.0509,0.7209,NO
0.2187,1.7475,NO
0.4574,3.1352,YES
0.1603,1.3669,NO
0.2015,2.4868,YES
0.205,0.7638,NO
0.2168,0.8599,NO
0.2136,0.3239,NO
0.1919,1.1409,NO
0.1533,2.0475,NO
0.1268,1.0484,NO
0.1947,0.8757,NO
0.1755,0.4774,NO
0.2202,0.8712,NO
0.4465,2.9544,YES
0.4252,3.6169,YES
0.3653,3.2349,YES
0.1771,2.5484,YES
0.1659,1.2024,NO
0.1927,2.8038,YES
0.1251,1.6149,NO
0.1303,1.4537,YES
0.1814,0.6178,YES
0.3356,1.1594,NO
0.1662,0.5062,NO
0.1507,0.3774,NO
0.1441,0.8732,NO
0.3435,1.1271,YES
0.1243,1.1774,YES
0.1731,1.2327,NO
0.0952,0.6452,NO
0.1364,0.7023,NO
0.0887,0.5303,NO
0.2289,0.7355,NO
0.2088,0.867,NO
0.2075,0.4434,NO
0.1923,1.127,YES
0.0927,0.6177,NO
0.0821,0.871,YES
0.0311,0.3262,NO
0.3081,0.8574,YES
0.0406,0.4793,NO
0.1251,0.3856,NO
0.091,0.701,NO
0.11800000000000001,0.8398,NO
0.1053,0.534,NO
0.2201,0.7981,NO
0.1351,0.7443,NO
0.1328,1.0063,NO
0.0724,0.5256,NO
0.0244,0.1965,NO
0.1404,2.1179,YES
0.3348,3.2459,YES
0.2937,2.9625,YES
0.14300000000000002,1.9336,YES
0.0826,1.8453,NO
0.013000000000000001,0.1508,NO
0.2103,3.2201,YES
0.1395,0.8851,NO
0.1325,2.1167,YES
0.1443,0.7565,NO
0.2165,1.6966,NO
0.1934,1.483,NO
0.1934,0.9733,NO
0.0572,0.5676,NO
0.2318,4.151,YES
0.0556,0.525,NO
0.3609,3.3937,YES
0.1417,0.4682,NO
0.255,4.5863,YES
0.0522,0.6970000000000001,NO
0.0677,1.2588,NO
0.1439,1.2202,NO
0.0494,0.6605,NO
0.1715,3.0632,YES
0.0964,1.5645,NO
0.1343,2.5201,YES
0.1544,0.8561,NO
0.0732,0.0383,NO
0.1975,1.4969999999999999,NO
0.2582,1.5724,NO
0.1977,1.0746,NO
0.1701,1.8062,NO
0.1684,1.2547,NO
0.1225,0.2336,NO
0.1458,2.3069,NO
0.4028,2.8634,YES
0.1577,1.6022,NO
0.2904,2.7497,YES
0.1987,0.9785,NO
0.1756,0.7758,NO
0.1689,0.5584,NO
0.054000000000000006,0.6936,NO
0.1469,2.5078,NO
0.0547,0.7154,NO
0.1082,0.8668,NO
0.2019,0.4686,NO
0.1293,1.1597,NO
0.3897,2.7358,YES
0.3612,3.4010000000000002,YES
0.2791,3.1317,YES
0.2894,2.8122,YES
0.2226,1.3916,NO
0.1753,2.8324,YES
0.0979,2.1859,NO
0.0985,0.3841,NO
0.0774,0.046,NO
0.1069,0.8490000000000001,YES
0.3647,2.7955,YES
0.2531,2.4238,YES
0.1331,1.0106,YES
0.0885,1.3885,NO
0.0604,0.1331,NO
0.2068,1.8238,YES
0.2598,0.9946,NO
0.106,1.0781,YES
0.1459,0.5605,NO
0.2252,0.8958,NO
0.2571,0.6589,NO
0.2375,0.5909,NO
0.1453,0.5045,NO
0.2245,3.497,YES
0.141,0.4158,NO
0.2623,2.9533,YES
0.142,0.3246,NO
0.2555,3.6945,YES
0.2049,0.7688,NO
0.2206,0.9828,NO
0.2228,0.7326,NO
0.1032,0.391,NO
0.1461,1.9779,YES
0.1116,1.1319,NO
0.1326,1.368,YES
0.1415,2.01,NO
0.0745,0.4614,NO
0.2381,1.7724,NO
0.19,1.2885,NO
0.1547,0.5424,NO
0.1997,2.2177,NO
0.1653,2.0068,NO
0.1536,1.0664,NO
0.1999,2.2593,NO
0.1989,3.2518,YES
0.2045,1.672,NO
0.2447,2.5389,YES
0.2519,1.1664,NO
0.2036,1.3533,NO
0.2033,0.621,NO
0.0533,1.4588,NO
0.105,2.0977,NO
0.055999999999999994,1.379,NO
0.1113,0.6405,NO
0.2256,0.9326,NO
0.0989,0.7978,NO
0.1879,3.1398,YES
0.1445,3.5984,YES
0.1901,3.4523,YES
0.3108,2.6944,YES
0.2405,1.7282,NO
0.1657,2.9281,YES
0.1331,2.3772,NO
0.0949,1.2026,NO
0.1339,0.1698,NO
0.22399999999999998,1.8684,NO
0.1967,1.1223,NO
0.1436,0.3715,NO
0.2079,2.1935,NO
0.1339,1.1015,NO
0.0967,0.509,NO
0.2198,2.4619,NO
0.3428,2.6706,YES
0.2344,1.9503,NO
0.1736,2.2474,YES
0.1331,0.6157,NO
0.0735,0.882,NO
0.0647,0.3068,NO
0.204,0.9531,NO
0.1327,1.5234,NO
0.1655,0.8626,NO
0.31,0.4667,NO
0.1309,0.4331,NO
0.2819,0.5515,NO
0.4042,2.5763,YES
0.3296,2.9385,YES
0.4941,3.1313,YES
0.1783,2.6103,YES
0.193,1.7514,NO
0.2673,2.6782,YES
0.1726,2.4457,NO
0.1439,1.3536,NO
0.0769,0.3076,NO
0.1953,1.1866,NO
0.2342,1.5602,NO
0.2047,1.0487,NO
0.1823,1.4877,NO
0.1684,1.4207,NO
0.1204,0.7472,NO
0.1751,1.8975,NO
0.3579,2.7534,YES
0.1828,1.3754,NO
0.2083,2.5926,YES
0.2252,0.8093,NO
0.2041,0.529,NO
0.2007,0.3034,NO
0.0498,0.9665,NO
0.1415,2.1709,NO
0.0515,1.0126,NO
0.1207,0.7906,NO
0.1912,0.5271,NO
0.14,0.96,NO
0.4038,2.5997,YES
0.3494,3.5209,YES
0.2799,3.0010000000000003,YES
0.2675,2.7861,YES
0.2206,1.1857,NO
0.2003,2.7067,YES
0.1168,1.8616,NO
0.0727,1.1908,NO
0.0714,0.3227,NO
0.10800000000000001,0.6408,NO
0.2886,0.8666,NO
0.1427,0.3635,NO
0.0855,1.3589,NO
0.0605,1.349,NO
0.0532,0.4903,NO
0.1421,1.4111,NO
0.4397,3.1685,YES
0.0607,1.1181,NO
0.2347,2.8102,YES
0.2118,0.7891,NO
0.2048,0.7881,NO
0.2045,0.3256,NO
0.0849,0.889,NO
0.1035,1.7482,NO
0.0824,0.7262,NO
0.0975,0.4971,NO
0.1702,0.2972,NO
0.1518,0.2448,NO
0.3372,3.0171,YES
0.3303,3.8234,YES
0.314,3.4511,YES
0.1257,2.8112,YES
0.1375,0.6666,NO
0.1128,2.7875,YES
0.099,1.2417,NO
0.1069,1.7618,NO
0.0451,0.7374,NO
0.5095,4.658,YES
0.1431,1.6543,YES
0.1227,1.0582,YES
0.2847,4.2146,YES
0.2237,1.8429,NO
0.1065,1.0006,NO
0.3266,5.4771,YES
0.0974,0.9459,NO
0.3289,4.0833,YES
0.1059,0.6164,NO
0.2131,1.4703,NO
0.1496,1.8758,NO
0.1474,0.804,NO
0.0902,1.5174,NO
0.0993,2.0472,YES
0.0875,1.1531,NO
0.2369,1.1493,YES
0.2129,1.1436,NO
0.1321,2.206,YES
0.1271,0.9905,NO
0.08,1.3026,NO
0.3025,2.154,NO
0.12,1.179,NO
0.3399,4.8629,YES
0.2516,2.0757,NO
0.2081,5.2485,YES
0.1799,1.0015,NO
0.1547,0.3178,NO
0.3595,2.5437,YES
0.2156,1.1133,NO
0.1535,0.556,NO
0.4159,2.8184,YES
0.1827,0.8079,NO
0.1097,0.4553,NO
0.5448,3.5738,YES
0.191,0.7978,NO
0.4381,2.5069,YES
0.1528,0.9411,NO
0.3264,0.7290000000000001,NO
0.3203,0.8328,NO
0.2648,0.4189,NO
0.171,0.6509,NO
0.21899999999999997,1.4726,NO
0.1398,0.3592,NO
0.3673,0.9919,NO
0.1451,0.45799999999999996,NO
0.2637,1.8802,NO
0.1991,0.6845,NO
0.1784,0.9814,NO
0.3767,1.9806,NO
0.1917,1.1272,NO
0.3794,2.9175,YES
