DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_VSM_95,Associated
0.0737,0.3071,NO
0.0652,0.2852,NO
0.1144,0.2289,NO
0.2164,0.5644,NO
0.0671,0.31,NO
0.0906,0.2707,NO
0.0589,0.2173,NO
0.0679,0.2852,NO
0.1689,0.1898,NO
0.2469,0.9462,YES
0.0616,0.2289,NO
0.33799999999999997,0.7677,YES
0.2427,0.2582,NO
0.2231,0.35200000000000004,NO
0.2223,0.2085,NO
0.1142,0.2852,NO
0.0706,0.36,NO
0.1109,0.2852,NO
0.0747,0.1542,NO
0.2179,0.2852,NO
0.1147,0.2804,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1711,NO
0.0716,1.0,YES
0.1205,0.2289,NO
0.1072,0.3062,YES
0.2444,0.6914,YES
0.3362,0.1865,NO
0.1579,0.1781,NO
0.1148,0.1261,NO
0.1112,0.2069,NO
0.3947,0.5234,YES
0.0957,0.6914,YES
0.1364,0.1873,NO
0.1056,0.1092,NO
0.0981,0.1865,NO
0.1058,0.0374,NO
0.1797,0.1355,NO
0.1526,0.23600000000000002,NO
0.1551,0.0345,NO
0.2811,0.6914,YES
0.0766,0.2165,NO
0.1126,0.6914,YES
0.0341,0.1359,NO
0.3399,0.6914,YES
0.0412,0.1134,NO
0.1212,0.1223,NO
0.0769,0.0401,NO
0.1235,0.1072,NO
0.0802,0.0497,NO
0.1903,0.1513,NO
0.1119,0.0917,NO
0.1008,0.1236,NO
0.0886,0.32,NO
0.1534,0.0713,NO
0.1331,0.1629,NO
0.2865,0.5644,NO
0.1512,0.31,NO
0.1666,0.2866,NO
0.1465,0.3056,NO
0.0509,0.1316,NO
0.2187,0.3138,NO
0.4574,1.0,YES
0.1603,0.1737,NO
0.2015,1.0,YES
0.205,0.2244,NO
0.2168,0.3673,NO
0.2136,0.1697,NO
0.1919,0.1596,NO
0.1533,0.4327,NO
0.1268,0.188,NO
0.1947,0.1316,NO
0.1755,0.1656,NO
0.2202,0.2418,NO
0.4465,1.0,YES
