DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_85,Associated
0.0737,0.2176,NO
0.0652,0.5224,NO
0.1144,0.7225,NO
0.2164,0.92,NO
0.0671,0.725,NO
0.0906,0.6514,NO
0.0589,0.5628,NO
0.0679,0.0494,NO
0.1689,0.3145,NO
0.2469,2.076,YES
0.0616,0.7862,NO
0.33799999999999997,2.5582,YES
0.2427,0.1676,NO
0.2231,0.4615,NO
0.2223,0.2091,NO
0.1142,0.4496,NO
0.0706,0.894,NO
0.1109,0.2241,NO
0.0747,0.9666,NO
0.2179,0.7196,NO
0.1147,0.6803,NO
0.0779,2.6167,YES
0.0804,2.2179,YES
0.1668,2.6662,YES
0.24,2.2611,YES
0.1573,0.6268,NO
0.0716,1.875,YES
0.1205,0.7902,NO
0.1072,1.7552,YES
0.2444,2.7883,YES
0.3362,1.7025,NO
0.1579,1.0862,NO
0.1148,1.0825,NO
0.1112,1.2974,NO
0.3947,2.6097,YES
0.0957,1.5923,YES
0.1364,1.0157,NO
0.1056,0.6965,NO
0.0981,1.2723,NO
0.1058,0.9209,NO
0.1797,0.4698,NO
0.1526,0.7239,NO
0.1551,0.7608,NO
0.2811,2.545,YES
0.0766,1.5327,NO
0.1126,1.7443,YES
0.0341,1.1462,NO
0.3399,2.5386,YES
0.0412,1.0854,NO
0.1212,1.1107,NO
0.0769,1.0285,NO
0.1235,1.1166,NO
0.0802,0.8319,NO
0.1903,1.1955,NO
0.1119,0.8358,NO
0.1008,1.2713,NO
0.0886,0.3555,NO
0.1534,0.8226,NO
0.1331,1.1611,NO
0.2865,0.8296,NO
0.1512,0.9079999999999999,NO
0.1666,0.823,NO
0.1465,0.7951,NO
0.0509,0.0944,NO
0.2187,0.6565,NO
0.4574,2.8099,YES
0.1603,1.2853,NO
0.2015,3.5416,YES
0.205,0.33899999999999997,NO
0.2168,0.7687,NO
0.2136,0.4506,NO
0.1919,0.446,NO
0.1533,0.907,NO
0.1268,0.2346,NO
0.1947,1.2255,NO
0.1755,0.672,NO
0.2202,0.8905,NO
0.4465,3.488,YES
0.4252,3.1773,YES
0.3653,3.7094,YES
0.1771,2.8359,YES
0.1659,1.0276,NO
0.1927,2.9203,YES
0.1251,1.0619,NO
0.1303,1.8269,YES
0.1814,2.8897,YES
0.3356,1.9240000000000002,NO
0.1662,0.0656,NO
0.1507,0.2076,NO
0.1441,1.5942,NO
0.3435,2.121,YES
0.1243,1.7378,YES
0.1731,1.3054,NO
0.0952,0.4871,NO
0.1364,1.6201,NO
0.0887,0.536,NO
0.2289,0.124,NO
0.2088,0.2688,NO
0.2075,0.3715,NO
0.1923,2.7072,YES
0.0927,0.6073,NO
0.0821,1.9688,YES
0.0311,0.6023,NO
0.3081,2.7442,YES
0.0406,0.2453,NO
0.1251,0.8345,NO
0.091,0.7483,NO
0.11800000000000001,0.6536,NO
0.1053,0.5026,NO
0.2201,1.6314,NO
0.1351,0.2179,NO
0.1328,1.6762,NO
0.0724,0.5635,NO
0.0244,0.7864,NO
0.1404,2.026,YES
0.3348,4.532,YES
0.2937,4.5419,YES
0.14300000000000002,1.9472,YES
0.0826,1.0093,NO
0.013000000000000001,0.4118,NO
0.2103,1.7087,YES
0.1395,0.2829,NO
0.1325,1.8529,YES
0.1443,0.3803,NO
0.2165,0.1961,NO
0.1934,0.0598,NO
0.1934,0.7748,NO
0.0572,0.4106,NO
0.2318,4.662,YES
0.0556,0.4546,NO
0.3609,4.6082,YES
0.1417,0.2986,NO
0.255,4.032,YES
0.0522,0.6772,NO
0.0677,0.7674,NO
0.1439,1.5777,NO
0.0494,0.5012,NO
0.1715,1.9581,YES
0.0964,0.7724,NO
0.1343,1.4577,YES
0.1544,0.5428,NO
0.0732,0.765,NO
0.1975,0.5579999999999999,NO
0.2582,0.4769,NO
0.1977,0.5131,NO
0.1701,0.2891,NO
0.1684,0.8701,NO
0.1225,0.252,NO
0.1458,0.4051,NO
0.4028,2.5602,YES
0.1577,0.8267,NO
0.2904,3.2745,YES
0.1987,0.6412,NO
0.1756,1.0453,NO
0.1689,0.635,NO
0.054000000000000006,0.414,NO
0.1469,0.5816,NO
0.0547,0.3618,NO
0.1082,0.833,NO
0.2019,0.6396,NO
0.1293,0.4058,NO
0.3897,3.2846,YES
0.3612,2.9899,YES
0.2791,3.3107,YES
0.2894,2.7424,YES
0.2226,0.3198,NO
0.1753,2.6851,YES
0.0979,0.5118,NO
0.0985,0.2562,NO
0.0774,0.8167,NO
0.1069,1.8334,YES
0.3647,4.453,YES
0.2531,4.5395,YES
0.1331,1.7014,YES
0.0885,0.7728,NO
0.0604,0.2289,NO
0.2068,1.2904,YES
0.2598,1.5026,NO
0.106,1.4759,YES
0.1459,1.6197,NO
0.2252,0.267,NO
0.2571,0.2361,NO
0.2375,0.7348,NO
0.1453,0.2708,NO
0.2245,4.362,YES
0.141,0.1847,NO
0.2623,4.5465,YES
0.142,0.3198,NO
0.2555,4.1476,YES
0.2049,1.7678,NO
0.2206,1.9081,NO
0.2228,2.7664,NO
0.1032,1.3126,NO
0.1461,1.9197,YES
0.1116,1.5258,NO
0.1326,1.3796,YES
0.1415,0.5251,NO
0.0745,0.5153,NO
0.2381,2.49,NO
0.19,1.0141,NO
0.1547,1.063,NO
0.1997,2.0722,NO
0.1653,0.8225,NO
0.1536,0.1672,NO
0.1999,1.4831,NO
0.1989,2.4369,YES
0.2045,2.6207,NO
0.2447,3.3818,YES
0.2519,0.3483,NO
0.2036,0.8242,NO
0.2033,0.4785,NO
0.0533,0.2623,NO
0.105,1.2502,NO
0.055999999999999994,0.2637,NO
0.1113,1.5654,NO
0.2256,0.5735,NO
0.0989,0.8027,NO
0.1879,3.3852,YES
0.1445,2.9786,YES
0.1901,3.7034,YES
0.3108,2.764,YES
0.2405,2.015,NO
0.1657,2.5399,YES
0.1331,2.1413,NO
0.0949,0.5332,NO
0.1339,0.8026,NO
0.22399999999999998,1.9503,NO
0.1967,1.5462,NO
0.1436,1.7401,NO
0.2079,1.3017,NO
0.1339,0.9844,NO
