DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_68,Associated
0.0737,0.9177,NO
0.0652,0.3297,NO
0.1144,0.7341,NO
0.2164,0.9319,NO
0.0671,0.6593,NO
0.0906,0.5695,NO
0.0589,0.44,NO
0.0679,0.1937,NO
0.1689,0.4068,NO
0.2469,1.7285,YES
0.0616,0.3318,NO
0.33799999999999997,1.5659999999999998,YES
0.2427,0.4111,NO
0.2231,0.7561,NO
0.2223,0.0751,NO
0.1142,0.5985,NO
0.0706,0.6632,NO
0.1109,0.607,NO
0.0747,0.8847,NO
0.2179,0.2472,NO
0.1147,0.9626,NO
0.0779,1.9214,YES
0.0804,1.9269,YES
0.1668,1.9165,YES
0.24,1.6033,YES
0.1573,1.0489,NO
0.0716,1.3775,YES
0.1205,0.5638,NO
0.1072,3.0901,YES
0.2444,1.8785,YES
0.3362,1.3216,NO
0.1579,0.993,NO
0.1148,0.7966,NO
0.1112,1.2373,NO
0.3947,2.8367,YES
0.0957,1.8075,YES
0.1364,0.8085,NO
0.1056,0.5352,NO
0.0981,0.8506,NO
0.1058,0.3478,NO
0.1797,0.7174,NO
0.1526,0.5035,NO
0.1551,0.4345,NO
0.2811,2.8288,YES
0.0766,0.7528,NO
0.1126,2.595,YES
0.0341,0.6949,NO
0.3399,2.5143,YES
0.0412,0.6743,NO
0.1212,0.4318,NO
0.0769,0.5546,NO
0.1235,0.7043,NO
0.0802,0.4811,NO
0.1903,1.1356,NO
0.1119,0.873,NO
0.1008,0.7525,NO
0.0886,1.2893,NO
0.1534,0.397,NO
0.1331,2.0067,NO
0.2865,2.1085,NO
0.1512,1.3413,NO
0.1666,1.6976,NO
0.1465,0.6886,NO
0.0509,0.2615,NO
0.2187,1.6583,NO
0.4574,2.9342,YES
0.1603,1.1984,NO
0.2015,2.4037,YES
0.205,1.0967,NO
0.2168,1.7932,NO
0.2136,0.3609,NO
0.1919,0.9359999999999999,NO
0.1533,1.3619,NO
0.1268,0.7731,NO
0.1947,1.4943,NO
0.1755,0.4942,NO
0.2202,1.5599,NO
0.4465,3.5359,YES
0.4252,3.2965,YES
0.3653,3.0718,YES
0.1771,2.4609,YES
0.1659,2.3693,NO
0.1927,3.5492,YES
0.1251,1.1725,NO
0.1303,2.6977,YES
0.1814,2.1059,YES
0.3356,1.4518,NO
0.1662,0.6725,NO
0.1507,0.6435,NO
0.1441,0.9897,NO
0.3435,2.3239,YES
0.1243,1.1554,YES
0.1731,0.9919,NO
0.0952,0.6558,NO
0.1364,0.8876,NO
0.0887,0.6319,NO
0.2289,1.0572,NO
0.2088,0.7678,NO
0.2075,0.6775,NO
0.1923,2.5102,YES
0.0927,0.5760000000000001,NO
0.0821,2.3751,YES
0.0311,0.4321,NO
0.3081,2.1036,YES
0.0406,0.682,NO
0.1251,0.5124,NO
0.091,0.6596,NO
0.11800000000000001,0.7522,NO
0.1053,0.715,NO
0.2201,1.12,NO
0.1351,0.8329,NO
0.1328,0.7,NO
0.0724,1.9307,NO
0.0244,0.7762,NO
0.1404,1.945,YES
0.3348,2.9888,YES
0.2937,3.4534,YES
0.14300000000000002,2.97,YES
0.0826,1.2884,NO
0.013000000000000001,0.5156,NO
0.2103,2.0913,YES
0.1395,1.0573,NO
0.1325,1.4522,YES
0.1443,0.6883,NO
0.2165,1.3828,NO
0.1934,1.1424,NO
0.1934,0.733,NO
0.0572,1.1206,NO
