DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_43,Associated
0.0737,0.1355,NO
0.0652,0.0637,NO
0.1144,0.5722,NO
0.2164,0.1995,NO
0.0671,0.2383,NO
0.0906,0.6333,NO
0.0589,0.4164,NO
0.0679,0.1187,NO
0.1689,0.4753,NO
0.2469,1.0,YES
0.0616,0.1038,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.2635,NO
0.2223,0.3353,NO
0.1142,0.1207,NO
0.0706,0.3984,NO
0.1109,0.188,NO
0.0747,0.3844,NO
0.2179,0.0805,NO
0.1147,0.1995,NO
0.0779,0.5044,YES
0.0804,0.6533,YES
0.1668,1.0,YES
0.24,0.5193,YES
0.1573,0.4758,NO
0.0716,0.7756,YES
0.1205,0.1082,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.3151,NO
0.1579,0.2796,NO
0.1148,0.1563,NO
0.1112,0.2796,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2796,NO
0.1056,0.1789,NO
0.0981,0.2796,NO
0.1058,0.1189,NO
0.1797,0.301,NO
0.1526,0.3144,NO
0.1551,0.301,NO
0.2811,1.0,YES
0.0766,0.2044,NO
0.1126,1.0,YES
0.0341,0.2796,NO
0.3399,1.0,YES
0.0412,0.1398,NO
0.1212,0.1789,NO
0.0769,0.2456,NO
0.1235,0.1789,NO
0.0802,0.1087,NO
0.1903,0.2673,NO
0.1119,0.2142,NO
0.1008,0.2796,NO
0.0886,0.32,NO
0.1534,0.0995,NO
0.1331,0.5722,NO
0.2865,0.5644,NO
0.1512,0.3765,NO
0.1666,0.6333,NO
0.1465,0.4164,NO
0.0509,0.1187,NO
0.2187,0.4753,NO
0.4574,1.0,YES
0.1603,0.3753,NO
0.2015,1.0,YES
0.205,0.3104,NO
0.2168,0.3511,NO
0.2136,0.2728,NO
0.1919,0.1207,NO
0.1533,0.4327,NO
0.1268,0.318,NO
0.1947,0.3844,NO
0.1755,0.1276,NO
0.2202,0.4378,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,0.5193,YES
0.1659,0.4758,NO
0.1927,1.0,YES
0.1251,0.3753,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.2455,NO
0.1662,0.3559,NO
0.1507,0.2013,NO
0.1441,0.3559,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.3559,NO
0.0952,0.316,NO
0.1364,0.3559,NO
0.0887,0.316,NO
0.2289,0.3667,NO
0.2088,0.3144,NO
0.2075,0.3667,NO
0.1923,0.4268,YES
0.0927,0.1759,NO
0.0821,1.0,YES
0.0311,0.3559,NO
0.3081,1.0,YES
0.0406,0.1617,NO
0.1251,0.2187,NO
0.091,0.2456,NO
0.11800000000000001,0.316,NO
0.1053,0.1641,NO
0.2201,0.2862,NO
0.1351,0.1746,NO
0.1328,0.3559,NO
0.0724,0.3229,NO
0.0244,0.2493,NO
0.1404,0.5033,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.3189,NO
0.013000000000000001,0.2011,NO
0.2103,1.0,YES
0.1395,0.3027,NO
0.1325,1.0,YES
0.1443,0.1702,NO
0.2165,0.3877,NO
0.1934,0.3376,NO
0.1934,0.3877,NO
0.0572,0.2493,NO
0.2318,0.594,YES
0.0556,0.2254,NO
0.3609,1.0,YES
0.1417,0.2011,NO
0.255,1.0,YES
0.0522,0.1371,NO
0.0677,0.5347,NO
0.1439,0.3056,NO
0.0494,0.2229,NO
0.1715,0.5820000000000001,YES
0.0964,0.4444,NO
0.1343,1.0,YES
0.1544,0.3071,NO
0.0732,0.0602,NO
0.1975,0.3565,NO
0.2582,0.5644,NO
0.1977,0.3613,NO
0.1701,0.4528,NO
0.1684,0.3258,NO
0.1225,0.1133,NO
0.1458,0.4528,NO
0.4028,1.0,YES
0.1577,0.4528,NO
0.2904,1.0,YES
0.1987,0.3166,NO
0.1756,0.24,NO
0.1689,0.3166,NO
0.054000000000000006,0.0774,NO
0.1469,0.36,NO
0.0547,0.2156,NO
0.1082,0.4528,NO
0.2019,0.1276,NO
0.1293,0.3613,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,0.5193,YES
0.2226,0.4052,NO
0.1753,0.6779,YES
0.0979,0.4528,NO
0.0985,0.1741,NO
0.0774,0.174,NO
0.1069,0.4187,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.5253,YES
0.0885,0.1719,NO
0.0604,0.11800000000000001,NO
0.2068,0.5253,YES
0.2598,0.4066,NO
0.106,0.5253,YES
0.1459,0.4066,NO
0.2252,0.1816,NO
0.2571,0.2064,NO
0.2375,0.0787,NO
0.1453,0.174,NO
0.2245,0.5396,YES
0.141,0.1669,NO
0.2623,1.0,YES
0.142,0.1168,NO
0.2555,1.0,YES
0.2049,0.1835,NO
0.2206,0.3269,NO
0.2228,0.4471,NO
0.1032,0.2111,NO
0.1461,0.3057,YES
0.1116,0.2335,NO
0.1326,0.5253,YES
0.1415,0.32,NO
0.0745,0.3096,NO
0.2381,0.2809,NO
0.19,0.5644,NO
0.1547,0.3069,NO
0.1997,0.42700000000000005,NO
0.1653,0.3258,NO
0.1536,0.3096,NO
0.1999,0.42700000000000005,NO
0.1989,1.0,YES
0.2045,0.42700000000000005,NO
0.2447,0.7607,YES
0.2519,0.4316,NO
0.2036,0.3511,NO
0.2033,0.4316,NO
0.0533,0.2988,NO
0.105,0.4327,NO
0.055999999999999994,0.318,NO
0.1113,0.42700000000000005,NO
0.2256,0.3096,NO
0.0989,0.4378,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,0.395,YES
0.2405,0.4218,NO
0.1657,1.0,YES
0.1331,0.42700000000000005,NO
0.0949,0.32,NO
0.1339,0.0573,NO
0.22399999999999998,0.5722,NO
0.1967,0.5644,NO
0.1436,0.4156,NO
0.2079,0.6333,NO
0.1339,0.4164,NO
0.0967,0.1187,NO
0.2198,0.4753,NO
0.3428,1.0,YES
0.2344,0.2887,NO
0.1736,1.0,YES
0.1331,0.3104,NO
0.0735,0.3511,NO
0.0647,0.1078,NO
0.204,0.1207,NO
0.1327,0.4327,NO
0.1655,0.318,NO
0.31,0.4156,NO
0.1309,0.1276,NO
0.2819,0.4378,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,0.5193,YES
0.193,0.4758,NO
0.2673,1.0,YES
0.1726,0.3271,NO
0.1439,0.2762,NO
0.0769,0.0454,NO
0.1953,0.5722,NO
0.2342,0.5077,NO
0.2047,0.2694,NO
0.1823,0.6333,NO
0.1684,0.4164,NO
