DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_28,Associated
0.0737,0.6742,NO
0.0652,0.684,NO
0.1144,1.3818,NO
0.2164,0.9144,NO
0.0671,0.8544,NO
0.0906,1.2189,NO
0.0589,0.7909999999999999,NO
0.0679,0.5347,NO
0.1689,0.3278,NO
0.2469,3.2517,YES
0.0616,0.7093,NO
0.33799999999999997,2.7560000000000002,YES
0.2427,0.6472,NO
0.2231,0.6186,NO
0.2223,0.636,NO
0.1142,0.8973,NO
0.0706,0.5445,NO
0.1109,0.7848,NO
0.0747,1.0186,NO
0.2179,0.4714,NO
0.1147,0.8438,NO
0.0779,2.4409,YES
0.0804,3.3449,YES
0.1668,3.594,YES
0.24,2.4015,YES
0.1573,0.6528,NO
0.0716,2.3702,YES
0.1205,1.1351,NO
0.1072,2.3626,YES
0.2444,2.4907,YES
0.3362,1.4808,NO
0.1579,0.505,NO
0.1148,0.5627,NO
0.1112,1.0552,NO
0.3947,2.2591,YES
0.0957,2.3999,YES
0.1364,0.8964,NO
0.1056,0.6211,NO
0.0981,0.8526,NO
0.1058,0.512,NO
0.1797,0.23399999999999999,NO
0.1526,0.2866,NO
0.1551,0.2654,NO
0.2811,2.2046,YES
0.0766,0.8607,NO
0.1126,2.4118,YES
0.0341,0.5888,NO
0.3399,2.2715,YES
0.0412,0.6135,NO
0.1212,0.5057,NO
0.0769,0.7538,NO
0.1235,0.8252,NO
0.0802,0.6706,NO
0.1903,1.0054,NO
0.1119,0.7748,NO
0.1008,0.8609,NO
0.0886,0.2483,NO
0.1534,0.3348,NO
0.1331,1.2606,NO
0.2865,1.2257,NO
0.1512,0.5554,NO
0.1666,1.1093,NO
0.1465,0.5786,NO
0.0509,0.1535,NO
0.2187,0.3218,NO
0.4574,3.5969,YES
0.1603,0.6692,NO
0.2015,3.0552,YES
0.205,0.7002,NO
0.2168,0.7111,NO
0.2136,0.6905,NO
0.1919,0.508,NO
0.1533,0.3045,NO
0.1268,0.4516,NO
0.1947,0.7448,NO
0.1755,0.0942,NO
0.2202,0.6365,NO
0.4465,2.853,YES
0.4252,3.6489,YES
0.3653,3.7769,YES
0.1771,2.3741,YES
0.1659,0.5602,NO
0.1927,2.521,YES
0.1251,1.2348,NO
0.1303,2.96,YES
0.1814,3.0836,YES
0.3356,3.0333,NO
0.1662,1.8814,NO
0.1507,2.1575,NO
0.1441,2.9318,NO
0.3435,2.8471,YES
0.1243,2.8236,YES
0.1731,2.3823,NO
0.0952,1.5115,NO
0.1364,2.4802,NO
0.0887,1.4464,NO
0.2289,1.6861,NO
0.2088,2.0025,NO
0.2075,1.7109999999999999,NO
0.1923,2.1965,YES
0.0927,2.1873,NO
0.0821,2.7115,YES
0.0311,2.3169999999999997,NO
0.3081,3.0668,YES
0.0406,1.8857,NO
0.1251,1.1655,NO
0.091,1.8419,NO
0.11800000000000001,2.4216,NO
0.1053,1.5255,NO
0.2201,2.7912,NO
0.1351,1.4427,NO
0.1328,3.1895,NO
0.0724,0.4256,NO
0.0244,0.4724,NO
0.1404,2.2001,YES
0.3348,4.3206,YES
0.2937,4.3879,YES
0.14300000000000002,2.0013,YES
0.0826,0.8461,NO
0.013000000000000001,0.28300000000000003,NO
0.2103,1.964,YES
0.1395,0.569,NO
0.1325,1.6605,YES
0.1443,0.7063,NO
0.2165,0.7328,NO
0.1934,1.0409,NO
0.1934,0.4173,NO
0.0572,0.4204,NO
0.2318,4.7603,YES
0.0556,0.4282,NO
0.3609,4.7466,YES
0.1417,0.7286,NO
0.255,4.2792,YES
0.0522,0.8388,NO
0.0677,1.0232,NO
0.1439,1.4227,NO
0.0494,0.4702,NO
0.1715,2.2161,YES
0.0964,0.7835,NO
0.1343,2.0626,YES
0.1544,0.6001,NO
0.0732,0.7956,NO
0.1975,1.1769,NO
0.2582,1.1959,NO
0.1977,0.586,NO
0.1701,1.1315,NO
0.1684,0.9646,NO
0.1225,0.6004,NO
0.1458,0.1811,NO
0.4028,3.6894,YES
0.1577,0.5011,NO
0.2904,3.1005,YES
0.1987,0.8657,NO
0.1756,0.8864,NO
0.1689,0.826,NO
0.054000000000000006,0.7069,NO
0.1469,0.3306,NO
0.0547,0.769,NO
0.1082,0.5649,NO
0.2019,0.52,NO
0.1293,0.7089,NO
0.3897,2.6992,YES
0.3612,3.705,YES
0.2791,3.6679,YES
0.2894,2.4395,YES
0.2226,0.3855,NO
0.1753,2.2529,YES
0.0979,1.1526,NO
0.0985,0.4522,NO
0.0774,0.5799,NO
0.1069,1.4487,YES
0.3647,3.9299,YES
0.2531,4.1939,YES
0.1331,1.5624,YES
0.0885,0.8835,NO
0.0604,0.3824,NO
0.2068,1.6341,YES
0.2598,0.9856,NO
0.106,1.2245,YES
0.1459,1.2243,NO
0.2252,0.7712,NO
0.2571,1.0075,NO
0.2375,0.6002,NO
0.1453,0.5429,NO
0.2245,4.4304,YES
0.141,0.2905,NO
0.2623,4.2843,YES
0.142,0.8276,NO
0.2555,3.9461,YES
0.2049,0.8784,NO
0.2206,1.5044,NO
0.2228,1.3945,NO
0.1032,0.8379,NO
0.1461,1.8236,YES
0.1116,0.6348,NO
0.1326,1.6723,YES
0.1415,0.3977,NO
0.0745,0.4853,NO
0.2381,2.0733,NO
0.19,0.9461,NO
0.1547,0.7467,NO
0.1997,1.9894,NO
0.1653,0.7286,NO
0.1536,0.2474,NO
0.1999,0.8914,NO
0.1989,3.4565,YES
0.2045,1.4541,NO
0.2447,3.0066,YES
0.2519,1.1367,NO
0.2036,1.1529,NO
0.2033,1.1408,NO
0.0533,0.6974,NO
0.105,0.4817,NO
0.055999999999999994,0.5029,NO
0.1113,0.9027,NO
0.2256,0.1697,NO
0.0989,0.731,NO
0.1879,2.6766,YES
0.1445,3.4901,YES
0.1901,4.1291,YES
0.3108,2.5818,YES
0.2405,1.3185,NO
0.1657,2.6436,YES
0.1331,2.0568,NO
0.0949,0.3338,NO
0.1339,0.4947,NO
0.22399999999999998,1.8437,NO
0.1967,1.5761,NO
0.1436,0.9852,NO
0.2079,1.7986,NO
0.1339,0.6724,NO
0.0967,0.212,NO
0.2198,1.0202,NO
0.3428,3.9549,YES
0.2344,1.181,NO
0.1736,3.3713,YES
0.1331,0.6463,NO
0.0735,0.6525,NO
0.0647,0.517,NO
0.204,0.6118,NO
0.1327,0.8065,NO
0.1655,0.6143,NO
0.31,1.0558,NO
0.1309,0.3223,NO
0.2819,0.8328,NO
0.4042,3.0782,YES
0.3296,4.098,YES
0.4941,3.7795,YES
0.1783,2.529,YES
0.193,1.1617,NO
0.2673,2.8009,YES
0.1726,1.7155,NO
0.1439,0.3964,NO
0.0769,0.5672,NO
0.1953,1.1446,NO
0.2342,1.0139,NO
0.2047,0.4246,NO
0.1823,1.1461,NO
0.1684,0.6176,NO
0.1204,0.3043,NO
0.1751,0.3388,NO
0.3579,3.0997,YES
0.1828,0.6516,NO
0.2083,2.7949,YES
0.2252,0.2702,NO
0.2041,0.3887,NO
0.2007,0.3381,NO
0.0498,0.4799,NO
0.1415,0.276,NO
0.0515,0.5408,NO
0.1207,0.5213,NO
0.1912,0.2323,NO
0.14,0.3552,NO
0.4038,2.4622,YES
0.3494,3.0984,YES
0.2799,3.1547,YES
0.2675,2.1479,YES
0.2206,0.6798,NO
0.2003,1.8788,YES
0.1168,1.0552,NO
0.0727,0.3804,NO
0.0714,0.5635,NO
0.10800000000000001,0.8709,NO
0.2886,1.2451,NO
0.1427,0.5876,NO
0.0855,0.8324,NO
0.0605,0.7317,NO
0.0532,0.3292,NO
0.1421,0.4388,NO
0.4397,3.1429,YES
0.0607,0.5771,NO
0.2347,2.9237,YES
0.2118,0.2458,NO
0.2048,0.3891,NO
0.2045,0.3642,NO
0.0849,0.5979,NO
0.1035,0.3133,NO
0.0824,0.5475,NO
0.0975,0.6455,NO
0.1702,0.3704,NO
0.1518,0.3413,NO
0.3372,2.4112,YES
0.3303,3.2535,YES
0.314,2.9867,YES
0.1257,2.0798,YES
0.1375,0.6068,NO
0.1128,1.706,YES
0.099,1.0017,NO
0.1069,0.5003,NO
0.0451,0.8089,NO
0.5095,6.2163,YES
0.1431,0.9914,YES
0.1227,1.5391,YES
0.2847,5.9121,YES
0.2237,0.938,NO
0.1065,0.2535,NO
0.3266,5.5401,YES
0.0974,0.9722,NO
0.3289,5.4781,YES
0.1059,0.6581,NO
0.2131,0.7894,NO
