DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_VSM_18,Associated
0.0737,0.7665,NO
0.0652,0.6348,NO
0.1144,0.4191,NO
0.2164,0.9793,NO
0.0671,0.9354,NO
0.0906,0.6595,NO
0.0589,1.2006,NO
0.0679,0.4054,NO
0.1689,0.9189,NO
0.2469,2.4675,YES
0.0616,0.6533,NO
0.33799999999999997,1.8479,YES
0.2427,0.7041,NO
0.2231,0.4931,NO
0.2223,0.6963,NO
0.1142,0.649,NO
0.0706,0.8656,NO
0.1109,0.6713,NO
0.0747,0.6094,NO
0.2179,1.2405,NO
0.1147,0.8395,NO
0.0779,2.1821,YES
0.0804,2.8094,YES
0.1668,2.6792,YES
0.24,2.4282,YES
0.1573,0.7829999999999999,NO
0.0716,1.7817,YES
0.1205,0.8919,NO
0.1072,1.5758,YES
0.2444,1.5938,YES
0.3362,0.3888,NO
0.1579,0.2448,NO
0.1148,0.4603,NO
0.1112,0.8605,NO
0.3947,1.6775,YES
0.0957,1.5375,YES
0.1364,0.7864,NO
0.1056,0.4149,NO
0.0981,0.7656,NO
0.1058,0.2722,NO
0.1797,0.2207,NO
0.1526,0.3182,NO
0.1551,0.3931,NO
0.2811,1.7236,YES
0.0766,0.2868,NO
0.1126,1.6664,YES
0.0341,0.2534,NO
0.3399,2.443,YES
0.0412,0.3293,NO
0.1212,0.7095,NO
0.0769,0.7519,NO
0.1235,0.4508,NO
0.0802,0.5254,NO
0.1903,0.9996,NO
0.1119,0.32,NO
0.1008,0.7846,NO
0.0886,0.565,NO
0.1534,0.5104,NO
0.1331,0.6049,NO
0.2865,1.6836,NO
0.1512,1.7523,NO
0.1666,1.7467,NO
0.1465,1.0763,NO
0.0509,0.2529,NO
0.2187,1.1116,NO
0.4574,3.3129,YES
0.1603,1.2162,NO
0.2015,2.0716,YES
0.205,0.6006,NO
0.2168,0.4603,NO
0.2136,0.3449,NO
0.1919,0.1913,NO
0.1533,1.6167,NO
0.1268,0.4452,NO
0.1947,1.0128,NO
0.1755,0.5821,NO
0.2202,1.1256,NO
0.4465,3.4354,YES
0.4252,3.9682,YES
0.3653,3.8052,YES
0.1771,2.8774,YES
0.1659,1.6029,NO
0.1927,2.7919,YES
0.1251,1.1054,NO
0.1303,2.4512,YES
0.1814,2.4657,YES
0.3356,1.0855,NO
0.1662,1.2898,NO
0.1507,1.3715,NO
0.1441,1.4955,NO
0.3435,2.249,YES
0.1243,2.028,YES
0.1731,2.3337,NO
0.0952,0.8325,NO
0.1364,1.5995,NO
0.0887,1.0484,NO
0.2289,1.7666,NO
0.2088,1.7011,NO
0.2075,2.3378,NO
0.1923,2.3056,YES
