DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_VSM_20,Associated
0.0737,0.3071,NO
0.0652,0.0713,NO
0.1144,0.2323,NO
0.2164,0.5644,NO
0.0671,0.2383,NO
0.0906,0.1938,NO
0.0589,0.3258,NO
0.0679,0.0958,NO
0.1689,0.2323,NO
0.2469,0.9462,YES
0.0616,0.1632,NO
0.33799999999999997,0.4567,YES
0.2427,0.2582,NO
0.2231,0.2541,NO
0.2223,0.3353,NO
0.1142,0.1596,NO
0.0706,0.36,NO
0.1109,0.1542,NO
0.0747,0.2323,NO
0.2179,0.0797,NO
0.1147,0.2323,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,0.7677,YES
0.24,0.7677,YES
0.1573,0.2323,NO
0.0716,1.0,YES
0.1205,0.2323,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.2113,NO
0.1579,0.2165,NO
0.1148,0.2165,NO
0.1112,0.2444,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2113,NO
0.1056,0.1939,NO
0.0981,0.1865,NO
0.1058,0.1939,NO
0.1797,0.196,NO
0.1526,0.3413,NO
0.1551,0.0756,NO
0.2811,1.0,YES
0.0766,0.2278,NO
0.1126,0.904,YES
0.0341,0.1359,NO
0.3399,1.0,YES
0.0412,0.1652,NO
0.1212,0.1939,NO
0.0769,0.2456,NO
0.1235,0.1939,NO
0.0802,0.1939,NO
0.1903,0.3034,NO
0.1119,0.2142,NO
0.1008,0.2113,NO
0.0886,0.3496,NO
0.1534,0.294,NO
0.1331,0.2297,NO
0.2865,0.5644,NO
0.1512,0.1741,NO
0.1666,0.2223,NO
0.1465,0.3258,NO
0.0509,0.1187,NO
0.2187,0.4753,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,1.0,YES
0.205,0.18100000000000002,NO
0.2168,0.3388,NO
0.2136,0.08199999999999999,NO
0.1919,0.3167,NO
0.1533,0.36,NO
0.1268,0.3069,NO
0.1947,0.3405,NO
0.1755,0.294,NO
0.2202,0.4224,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2381,NO
0.1927,1.0,YES
0.1251,0.2381,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.3559,NO
0.1662,0.228,NO
0.1507,0.2013,NO
0.1441,0.2271,NO
0.3435,1.0,YES
0.1243,0.6779999999999999,YES
0.1731,0.3559,NO
0.0952,0.2069,NO
0.1364,0.2528,NO
0.0887,0.1189,NO
0.2289,0.196,NO
0.2088,0.3413,NO
0.2075,0.07200000000000001,NO
0.1923,1.0,YES
0.0927,0.2044,NO
0.0821,0.904,YES
0.0311,0.3559,NO
0.3081,1.0,YES
0.0406,0.3559,NO
0.1251,0.2187,NO
0.091,0.2187,NO
0.11800000000000001,0.1728,NO
0.1053,0.1107,NO
0.2201,0.3559,NO
0.1351,0.2187,NO
0.1328,0.3559,NO
0.0724,0.2282,NO
0.0244,0.2493,NO
0.1404,0.6191,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.3951,YES
0.0826,0.2493,NO
0.013000000000000001,0.1691,NO
0.2103,0.6191,YES
0.1395,0.2975,NO
0.1325,0.3413,YES
0.1443,0.1729,NO
0.2165,0.3553,NO
0.1934,0.2644,NO
0.1934,0.2204,NO
0.0572,0.2493,NO
0.2318,1.0,YES
0.0556,0.2254,NO
0.3609,0.6276,YES
0.1417,0.2011,NO
0.255,0.7878,YES
0.0522,0.2086,NO
0.0677,0.4291,NO
0.1439,0.3006,NO
0.0494,0.1787,NO
0.1715,0.6191,YES
0.0964,0.2838,NO
0.1343,0.6191,YES
0.1544,0.32,NO
0.0732,0.272,NO
0.1975,0.4528,NO
0.2582,0.5352,NO
0.1977,0.3132,NO
0.1701,0.289,NO
0.1684,0.3089,NO
0.1225,0.2866,NO
0.1458,0.4528,NO
0.4028,1.0,YES
0.1577,0.3093,NO
0.2904,0.6231,YES
0.1987,0.3104,NO
0.1756,0.3511,NO
0.1689,0.1926,NO
0.054000000000000006,0.3282,NO
0.1469,0.3413,NO
0.0547,0.318,NO
0.1082,0.4528,NO
0.2019,0.272,NO
0.1293,0.4528,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.4528,NO
0.1753,1.0,YES
0.0979,0.4528,NO
0.0985,0.3011,NO
0.0774,0.11599999999999999,NO
0.1069,1.0,YES
0.3647,1.0,YES
0.2531,0.5589,YES
0.1331,0.6382,YES
0.0885,0.344,NO
0.0604,0.0509,NO
0.2068,1.0,YES
0.2598,0.4608,NO
0.106,0.4491,YES
0.1459,0.2419,NO
0.2252,0.3108,NO
0.2571,0.3569,NO
0.2375,0.3335,NO
0.1453,0.1729,NO
0.2245,0.6115,YES
0.141,0.1465,NO
0.2623,1.0,YES
0.142,0.304,NO
0.2555,1.0,YES
0.2049,0.4608,NO
0.2206,0.4192,NO
0.2228,0.4856,NO
0.1032,0.4608,NO
0.1461,1.0,YES
0.1116,0.4608,NO
0.1326,1.0,YES
0.1415,0.32,NO
0.0745,0.2988,NO
0.2381,0.42700000000000005,NO
0.19,0.5644,NO
0.1547,0.2405,NO
0.1997,0.3398,NO
0.1653,0.3258,NO
0.1536,0.2026,NO
0.1999,0.42700000000000005,NO
0.1989,1.0,YES
0.2045,0.3327,NO
0.2447,0.5949,YES
0.2519,0.4018,NO
0.2036,0.3511,NO
0.2033,0.4316,NO
0.0533,0.3282,NO
0.105,0.36,NO
0.055999999999999994,0.318,NO
0.1113,0.42700000000000005,NO
0.2256,0.1744,NO
0.0989,0.4378,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.42700000000000005,NO
0.1657,1.0,YES
0.1331,0.42700000000000005,NO
0.0949,0.3496,NO
0.1339,0.1374,NO
0.22399999999999998,0.3745,NO
0.1967,0.5644,NO
0.1436,0.2287,NO
0.2079,0.3905,NO
0.1339,0.3258,NO
0.0967,0.1187,NO
0.2198,0.4753,NO
0.3428,1.0,YES
0.2344,0.4964,NO
0.1736,1.0,YES
0.1331,0.1725,NO
0.0735,0.32299999999999995,NO
0.0647,0.1078,NO
0.204,0.3019,NO
0.1327,0.36,NO
0.1655,0.2925,NO
0.31,0.3246,NO
0.1309,0.095,NO
0.2819,0.4027,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.3905,NO
0.2673,1.0,YES
0.1726,0.3855,NO
0.1439,0.3496,NO
0.0769,0.2636,NO
0.1953,0.2964,NO
0.2342,0.5077,NO
0.2047,0.2694,NO
0.1823,0.209,NO
0.1684,0.307,NO
0.1204,0.307,NO
0.1751,0.4753,NO
0.3579,1.0,YES
0.1828,0.4964,NO
0.2083,1.0,YES
0.2252,0.3547,NO
0.2041,0.2766,NO
0.2007,0.3649,NO
0.0498,0.307,NO
0.1415,0.3238,NO
0.0515,0.2676,NO
0.1207,0.2248,NO
0.1912,0.1744,NO
0.14,0.3438,NO
0.4038,1.0,YES
0.3494,0.8995,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.2964,NO
0.2003,0.8995,YES
0.1168,0.2964,NO
0.0727,0.3496,NO
0.0714,0.2562,NO
0.10800000000000001,0.15,NO
0.2886,0.5644,NO
0.1427,0.263,NO
0.0855,0.1847,NO
0.0605,0.3258,NO
0.0532,0.1187,NO
0.1421,0.4753,NO
0.4397,1.0,YES
0.0607,0.4964,NO
0.2347,1.0,YES
0.2118,0.3435,NO
0.2048,0.3511,NO
0.2045,0.3221,NO
0.0849,0.3282,NO
0.1035,0.36,NO
0.0824,0.318,NO
0.0975,0.3529,NO
0.1702,0.2562,NO
0.1518,0.4378,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.15,NO
0.1128,1.0,YES
0.099,0.2458,NO
0.1069,0.3133,NO
0.0451,0.2734,NO
0.5095,1.0,YES
0.1431,0.4136,YES
0.1227,0.2829,YES
0.2847,1.0,YES
0.2237,0.4024,NO
0.1065,0.1854,NO
0.3266,1.0,YES
0.0974,0.5358,NO
0.3289,1.0,YES
0.1059,0.5358,NO
0.2131,0.2942,NO
0.1496,0.3856,NO
0.1474,0.21600000000000003,NO
0.0902,0.2734,NO
0.0993,0.4013,YES
0.0875,0.2682,NO
0.2369,0.516,YES
0.2129,0.2465,NO
0.1321,0.5061,YES
0.1271,0.5358,NO
0.08,0.3467,NO
0.3025,0.5358,NO
0.12,0.5358,NO
0.3399,1.0,YES
0.2516,0.5562,NO
0.2081,1.0,YES
0.1799,0.3618,NO
0.1547,0.0929,NO
0.3595,1.0,YES
0.2156,0.2789,NO
0.1535,0.2253,NO
0.4159,1.0,YES
0.1827,0.4093,NO
0.1097,0.1287,NO
0.5448,1.0,YES
0.191,0.4965,NO
0.4381,1.0,YES
0.1528,0.4965,NO
0.3264,0.2086,NO
0.3203,0.2642,NO
0.2648,0.1849,NO
0.171,0.1121,NO
0.21899999999999997,0.4049,NO
0.1398,0.1902,NO
0.3673,0.4591,NO
0.1451,0.1807,NO
0.2637,0.4032,NO
0.1991,0.4965,NO
0.1784,0.3547,NO
0.3767,0.4965,NO
0.1917,0.4965,NO
0.3794,1.0,YES
0.3359,0.5562,NO
0.2874,1.0,YES
0.0798,0.27,NO
0.0364,0.2331,NO
0.2475,0.6693,YES
0.2794,1.0,YES
0.2232,1.0,YES
0.2213,0.6062,YES
0.1233,0.2346,NO
0.0474,0.0739,NO
0.2799,0.6693,YES
0.2328,0.6231,NO
0.2608,0.6062,YES
0.1095,0.6231,NO
0.2365,0.4308,NO
0.2061,0.3569,NO
0.2048,0.2673,NO
0.0456,0.2331,NO
0.1795,1.0,YES
0.0442,0.1564,NO
0.27,0.7959999999999999,YES
0.1224,0.2331,NO
0.1913,1.0,YES
0.2397,0.6231,NO
0.2111,0.5347,NO
0.2935,0.6231,NO
0.1155,0.6231,NO
0.243,0.6693,YES
0.1959,0.4832,NO
0.198,0.6693,YES
0.1636,0.2442,NO
0.1646,0.0447,NO
0.3881,0.7795,YES
0.1762,0.5554,NO
0.1649,0.23600000000000002,NO
0.4197,0.6838,YES
0.1681,0.2752,NO
0.153,0.0521,NO
0.4738,0.8554,YES
0.159,0.1445,NO
0.493,0.8554,YES
0.1456,0.0687,NO
0.2244,0.2012,NO
0.1542,0.3005,NO
0.1277,0.1684,NO
0.1775,0.0975,NO
0.2106,0.2747,NO
0.1654,0.1834,NO
0.3557,0.4421,NO
0.0902,0.1664,NO
0.2663,0.3382,NO
0.2218,0.1101,NO
0.1764,0.2106,NO
0.3901,0.4524,NO
0.21600000000000003,0.207,NO
0.402,0.8554,YES
0.3584,0.3716,NO
0.3239,0.8554,YES
0.0467,0.3011,NO
0.0184,0.1184,NO
0.0544,1.0,YES
0.1967,1.0,YES
0.1251,0.6940000000000001,YES
0.0526,0.6382,YES
0.0389,0.344,NO
0.0098,0.1148,NO
0.1204,1.0,YES
0.1152,0.3816,NO
0.0434,0.4491,YES
0.0994,0.2022,NO
0.171,0.3031,NO
0.1733,0.3376,NO
0.1785,0.1762,NO
0.0632,0.1567,NO
0.1652,1.0,YES
0.0614,0.1216,NO
0.1533,1.0,YES
0.1347,0.304,NO
0.1212,1.0,YES
0.015,0.3369,NO
0.0714,0.5347,NO
0.0698,0.4856,NO
0.035,0.1827,NO
0.0672,1.0,YES
0.0378,0.4444,NO
0.0637,1.0,YES
0.3024,0.6735,YES
0.0482,0.6145,YES
0.3634,0.3389,NO
0.1548,0.2171,NO
0.1459,0.1894,NO
0.1506,0.2219,NO
0.2394,0.6735,YES
0.3693,0.6735,YES
0.1404,0.3389,NO
0.0758,0.2808,NO
0.1517,0.2437,NO
0.067,0.2457,NO
0.2131,0.1208,NO
0.16,0.2118,NO
0.1446,0.0581,NO
0.0844,0.6735,YES
0.095,0.1675,NO
0.2419,0.5870000000000001,YES
0.026000000000000002,0.3389,NO
0.2985,0.3826,YES
0.0377,0.3389,NO
0.102,0.2808,NO
0.0927,0.2808,NO
0.1259,0.2808,NO
0.1193,0.2808,NO
0.2177,0.3389,NO
0.15,0.2808,NO
0.0996,0.3389,NO
0.0839,0.3618,NO
0.0672,0.11599999999999999,NO
0.3068,1.0,YES
0.1154,0.6407,YES
0.0802,0.5589,YES
0.3166,1.0,YES
0.0868,0.4093,NO
0.0677,0.1287,NO
0.5456,1.0,YES
0.0938,0.4779,NO
0.3771,1.0,YES
0.0765,0.4779,NO
0.3042,0.3879,NO
0.1867,0.3818,NO
0.2024,0.5037,NO
0.084,0.1567,NO
0.1127,0.4942,YES
0.0773,0.2682,NO
0.3002,1.0,YES
0.0821,0.304,NO
0.1969,1.0,YES
0.1353,0.4779,NO
0.0942,0.3547,NO
0.3023,0.5289,NO
0.1177,0.4779,NO
0.2966,1.0,YES
0.2621,0.4701,NO
0.3631,1.0,YES
0.1178,0.3618,NO
0.0474,0.2411,NO
0.4277,1.0,YES
0.2214,0.6407,YES
0.2007,0.5589,YES
0.2467,1.0,YES
0.2192,0.4093,NO
0.1165,0.1287,NO
0.3035,1.0,YES
0.1886,0.5579999999999999,NO
0.2922,1.0,YES
0.1088,0.5579999999999999,NO
0.2277,0.3031,NO
0.1763,0.3856,NO
0.1744,0.21600000000000003,NO
0.0948,0.2411,NO
0.152,0.4942,YES
0.0882,0.1411,NO
0.2267,1.0,YES
0.1968,0.308,NO
0.1574,1.0,YES
0.2134,0.5579999999999999,NO
0.1846,0.4825,NO
0.3004,0.5579999999999999,NO
0.1322,0.5579999999999999,NO
0.3039,1.0,YES
0.2341,0.5562,NO
0.2137,1.0,YES
0.1342,0.3618,NO
0.1099,0.1392,NO
0.526,1.0,YES
0.1623,0.2882,YES
0.1996,0.2514,YES
0.3297,1.0,YES
0.22699999999999998,0.4093,NO
0.1622,0.1845,NO
0.3372,1.0,YES
0.1102,0.2104,NO
0.3901,1.0,YES
0.1022,0.1578,NO
0.1483,0.2142,NO
0.0862,0.3856,NO
0.0629,0.21600000000000003,NO
0.2034,0.1845,NO
0.1682,0.4049,YES
0.1975,0.1953,NO
0.3422,0.516,YES
0.1773,0.1772,NO
0.2514,0.4498,YES
0.1754,0.2256,NO
0.1301,0.3547,NO
0.3619,0.5289,NO
0.1715,0.242,NO
0.3452,1.0,YES
0.3259,0.5562,NO
0.258,1.0,YES
0.0709,0.3618,NO
0.0732,0.11599999999999999,NO
0.3094,1.0,YES
0.1091,0.6407,YES
0.0665,0.5589,YES
0.2941,1.0,YES
0.0664,0.4093,NO
0.0556,0.1287,NO
0.5229,1.0,YES
0.1003,0.3027,NO
0.3604,1.0,YES
0.08800000000000001,0.1702,NO
0.2859,0.3031,NO
0.1263,0.3856,NO
0.1497,0.21600000000000003,NO
0.1047,0.1567,NO
0.1031,0.4942,YES
0.1016,0.1583,NO
0.3066,1.0,YES
0.0639,0.304,NO
0.2147,1.0,YES
0.1277,0.3369,NO
0.0813,0.3547,NO
0.3135,0.5102,NO
0.1095,0.2335,NO
0.302,1.0,YES
0.2369,0.5562,NO
0.4263,1.0,YES
0.1151,0.3011,NO
0.0905,0.1995,NO
0.1028,1.0,YES
0.3566,0.6407,YES
0.2651,0.5962,YES
0.1542,0.6382,YES
0.094,0.344,NO
0.0554,0.1512,NO
0.2037,1.0,YES
0.1971,0.3027,NO
0.1126,0.4491,YES
0.1418,0.1702,NO
0.2488,0.3031,NO
0.2731,0.271,NO
