DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_20,Associated
0.0737,0.4481,NO
0.0652,0.317,NO
0.1144,0.33899999999999997,NO
0.2164,0.7542,NO
0.0671,0.8222,NO
0.0906,0.7801,NO
0.0589,0.6559,NO
0.0679,0.4377,NO
0.1689,0.2583,NO
0.2469,1.1892,YES
0.0616,0.1792,NO
0.33799999999999997,3.1148,YES
0.2427,0.7442,NO
0.2231,0.4981,NO
0.2223,0.2547,NO
0.1142,0.2854,NO
0.0706,0.3093,NO
0.1109,0.5934,NO
0.0747,0.6783,NO
0.2179,0.47600000000000003,NO
0.1147,0.643,NO
0.0779,2.3019,YES
0.0804,2.1008,YES
0.1668,3.2379,YES
0.24,1.6028,YES
0.1573,0.3982,NO
0.0716,1.5295,YES
0.1205,0.257,NO
0.1072,0.8805,YES
0.2444,0.47,YES
0.3362,0.6593,NO
0.1579,0.3601,NO
0.1148,0.4215,NO
0.1112,0.8812,NO
0.3947,1.4369,YES
0.0957,2.0813,YES
0.1364,0.47,NO
0.1056,0.1731,NO
0.0981,0.446,NO
0.1058,0.1965,NO
0.1797,0.3292,NO
0.1526,0.4932,NO
0.1551,0.2025,NO
0.2811,0.588,YES
0.0766,0.447,NO
0.1126,2.1345,YES
0.0341,0.6185,NO
0.3399,1.51,YES
0.0412,0.47700000000000004,NO
0.1212,0.1911,NO
0.0769,0.2746,NO
0.1235,0.1939,NO
0.0802,0.1141,NO
0.1903,0.5641,NO
0.1119,0.0437,NO
0.1008,0.5657,NO
0.0886,0.1589,NO
0.1534,0.0993,NO
0.1331,0.7231,NO
0.2865,0.6563,NO
0.1512,0.726,NO
0.1666,1.101,NO
0.1465,0.20199999999999999,NO
0.0509,0.1008,NO
0.2187,0.435,NO
0.4574,0.9447,YES
0.1603,0.5788,NO
0.2015,1.9845,YES
0.205,0.5418,NO
0.2168,0.4293,NO
0.2136,0.2309,NO
0.1919,0.209,NO
0.1533,0.3287,NO
0.1268,0.2953,NO
0.1947,0.7905,NO
0.1755,0.1431,NO
0.2202,0.7845,NO
0.4465,1.2296,YES
0.4252,1.5719,YES
0.3653,2.3971,YES
0.1771,1.1493,YES
0.1659,0.7618,NO
0.1927,1.0452,YES
0.1251,0.5487,NO
0.1303,0.4119,YES
0.1814,0.3824,YES
0.3356,0.1177,NO
0.1662,0.2302,NO
0.1507,0.0854,NO
0.1441,0.5124,NO
0.3435,1.2243,YES
0.1243,1.2473,YES
0.1731,0.1916,NO
0.0952,0.1151,NO
0.1364,0.138,NO
0.0887,0.0784,NO
0.2289,0.0674,NO
0.2088,0.2235,NO
0.2075,0.0817,NO
0.1923,0.4454,YES
0.0927,0.1193,NO
0.0821,1.2714,YES
0.0311,0.2405,NO
0.3081,1.2406,YES
0.0406,0.275,NO
0.1251,0.107,NO
0.091,0.1835,NO
0.11800000000000001,0.1276,NO
0.1053,0.0689,NO
0.2201,0.3529,NO
0.1351,0.0142,NO
0.1328,0.0896,NO
0.0724,0.713,NO
0.0244,0.1826,NO
0.1404,1.3840000000000001,YES
0.3348,1.6943,YES
0.2937,2.9618,YES
0.14300000000000002,2.4654,YES
0.0826,0.5289,NO
0.013000000000000001,0.2591,NO
0.2103,1.0188,YES
0.1395,0.5825,NO
0.1325,1.1277,YES
0.1443,0.6033,NO
0.2165,0.7421,NO
0.1934,0.8805,NO
0.1934,0.3549,NO
0.0572,0.2597,NO
0.2318,2.2593,YES
0.0556,0.3242,NO
0.3609,3.7791,YES
0.1417,0.3432,NO
0.255,3.6002,YES
0.0522,0.2581,NO
0.0677,0.8986,NO
0.1439,0.43,NO
0.0494,0.2629,NO
0.1715,1.4715,YES
0.0964,0.2127,NO
0.1343,1.0863,YES
0.1544,0.2878,NO
0.0732,0.1563,NO
0.1975,0.7113,NO
0.2582,0.5218,NO
0.1977,0.6071,NO
0.1701,1.2462,NO
0.1684,0.5141,NO
0.1225,0.2905,NO
0.1458,0.4999,NO
0.4028,1.0079,YES
0.1577,0.5259,NO
0.2904,2.6363,YES
0.1987,0.4765,NO
0.1756,0.295,NO
0.1689,0.1851,NO
0.054000000000000006,0.2681,NO
0.1469,0.1444,NO
0.0547,0.3895,NO
0.1082,0.5108,NO
0.2019,0.2335,NO
0.1293,0.4972,NO
0.3897,1.88,YES
0.3612,2.0264,YES
0.2791,2.9902,YES
0.2894,1.74,YES
0.2226,0.8987,NO
0.1753,1.6142,YES
0.0979,0.5384,NO
0.0985,0.6757,NO
0.0774,0.1944,NO
0.1069,0.6147,YES
0.3647,1.8708,YES
0.2531,2.6836,YES
0.1331,0.9508,YES
0.0885,0.4405,NO
0.0604,0.3069,NO
0.2068,0.4198,YES
0.2598,0.5003,NO
0.106,0.5443,YES
0.1459,0.263,NO
0.2252,0.5266,NO
0.2571,0.5771,NO
0.2375,0.2633,NO
0.1453,0.1798,NO
0.2245,2.48,YES
0.141,0.3538,NO
0.2623,2.9286,YES
0.142,0.3504,NO
0.2555,2.3381,YES
0.2049,0.1374,NO
0.2206,0.7014,NO
0.2228,0.3438,NO
0.1032,0.2963,NO
0.1461,0.7837,YES
0.1116,0.2984,NO
0.1326,0.6582,YES
0.1415,0.2892,NO
0.0745,0.1507,NO
0.2381,1.0019,NO
0.19,0.6723,NO
0.1547,0.6361,NO
0.1997,1.2573,NO
0.1653,0.4071,NO
0.1536,0.4789,NO
0.1999,0.616,NO
0.1989,1.0168,YES
0.2045,0.7397,NO
0.2447,1.7956,YES
0.2519,0.6604,NO
0.2036,0.6542,NO
0.2033,0.3102,NO
0.0533,0.3707,NO
0.105,0.3186,NO
0.055999999999999994,0.7138,NO
0.1113,0.7228,NO
0.2256,0.3752,NO
0.0989,0.7328,NO
0.1879,1.1274,YES
0.1445,1.9461,YES
0.1901,2.6169,YES
