DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_39,Associated
0.0737,0.113,NO
0.0652,0.0485,NO
0.1144,0.6856,NO
0.2164,0.2985,NO
0.0671,0.6339,NO
0.0906,0.6990000000000001,NO
0.0589,0.1502,NO
0.0679,0.0864,NO
0.1689,0.3874,NO
0.2469,0.6803,YES
0.0616,0.4618,NO
0.33799999999999997,0.49700000000000005,YES
0.2427,0.1576,NO
0.2231,0.3821,NO
0.2223,0.0513,NO
0.1142,0.1443,NO
0.0706,0.7651,NO
0.1109,0.1507,NO
0.0747,0.3755,NO
0.2179,0.0643,NO
0.1147,0.6189,NO
0.0779,0.9184,YES
0.0804,0.9109999999999999,YES
0.1668,0.9381,YES
0.24,1.8319,YES
0.1573,0.7246,NO
0.0716,0.8973,YES
0.1205,0.5325,NO
0.1072,1.6685,YES
0.2444,1.5726,YES
0.3362,0.4237,NO
0.1579,0.2256,NO
0.1148,0.3621,NO
0.1112,0.3529,NO
0.3947,0.3978,YES
0.0957,0.7859,YES
0.1364,0.49,NO
0.1056,0.2623,NO
0.0981,0.5042,NO
0.1058,0.245,NO
0.1797,0.4693,NO
0.1526,0.45399999999999996,NO
0.1551,0.2894,NO
0.2811,1.3172,YES
0.0766,0.5532,NO
0.1126,1.5657,YES
0.0341,0.3235,NO
0.3399,0.7287,YES
0.0412,0.4385,NO
0.1212,0.2225,NO
0.0769,0.2985,NO
0.1235,0.3612,NO
0.0802,0.3852,NO
0.1903,0.5032,NO
0.1119,0.3672,NO
0.1008,0.3296,NO
0.0886,0.303,NO
0.1534,0.1802,NO
0.1331,0.2928,NO
0.2865,0.2896,NO
0.1512,0.1505,NO
0.1666,0.1993,NO
0.1465,0.3468,NO
0.0509,0.3397,NO
0.2187,0.2564,NO
0.4574,1.6673,YES
0.1603,0.2822,NO
0.2015,1.021,YES
0.205,0.3238,NO
0.2168,0.601,NO
0.2136,0.0902,NO
0.1919,0.35700000000000004,NO
0.1533,0.3679,NO
0.1268,0.4423,NO
0.1947,0.3315,NO
0.1755,0.2914,NO
0.2202,0.2345,NO
0.4465,1.9485,YES
0.4252,1.801,YES
0.3653,1.8555,YES
0.1771,2.8385,YES
0.1659,0.2752,NO
0.1927,1.7917,YES
0.1251,0.2856,NO
0.1303,1.4251,YES
0.1814,1.3871,YES
0.3356,0.3996,NO
0.1662,0.4508,NO
0.1507,0.4027,NO
0.1441,0.5045,NO
0.3435,0.4988,YES
0.1243,1.1637,YES
0.1731,0.5009,NO
0.0952,0.2096,NO
0.1364,0.5736,NO
0.0887,0.2033,NO
0.2289,0.3311,NO
0.2088,0.3159,NO
0.2075,0.2832,NO
0.1923,0.7316,YES
0.0927,0.5659,NO
0.0821,1.3765,YES
0.0311,0.3243,NO
0.3081,1.14,YES
0.0406,0.2965,NO
0.1251,0.2747,NO
0.091,0.1294,NO
0.11800000000000001,0.3453,NO
0.1053,0.2302,NO
0.2201,0.6505,NO
0.1351,0.2821,NO
0.1328,0.5194,NO
0.0724,0.39899999999999997,NO
0.0244,0.3776,NO
0.1404,0.8135,YES
0.3348,1.286,YES
0.2937,2.9153,YES
0.14300000000000002,0.5081,YES
0.0826,0.4097,NO
0.013000000000000001,0.3047,NO
0.2103,0.4567,YES
0.1395,0.4796,NO
0.1325,0.5658,YES
0.1443,0.3293,NO
0.2165,0.8316,NO
0.1934,0.4352,NO
0.1934,0.3333,NO
0.0572,0.2202,NO
0.2318,2.7071,YES
0.0556,0.3626,NO
0.3609,2.1851,YES
0.1417,0.2966,NO
0.255,2.8956,YES
0.0522,0.4851,NO
0.0677,0.3782,NO
0.1439,0.5456,NO
0.0494,0.436,NO
0.1715,0.8346,YES
0.0964,0.6276,NO
0.1343,0.9126,YES
0.1544,0.7103,NO
0.0732,0.5827,NO
0.1975,0.8789,NO
0.2582,0.6119,NO
0.1977,0.7547,NO
0.1701,0.8305,NO
0.1684,0.46,NO
0.1225,0.4929,NO
0.1458,0.7440000000000001,NO
0.4028,1.7316,YES
0.1577,0.9728,NO
0.2904,1.0842,YES
0.1987,0.3431,NO
0.1756,0.6186,NO
0.1689,0.1103,NO
0.054000000000000006,0.7040000000000001,NO
0.1469,1.0256,NO
0.0547,0.8347,NO
0.1082,0.5045,NO
0.2019,0.4056,NO
0.1293,0.5438,NO
0.3897,1.9813,YES
0.3612,1.8487,YES
0.2791,2.0266,YES
0.2894,2.9389,YES
0.2226,1.0816,NO
0.1753,1.9771,YES
0.0979,0.9844,NO
0.0985,0.4205,NO
0.0774,0.4095,NO
0.1069,0.904,YES
0.3647,1.9627,YES
0.2531,3.6326,YES
0.1331,1.3249,YES
0.0885,0.4477,NO
