DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_LSA_46,Associated
0.0737,0.2407,NO
0.0652,0.2211,NO
0.1144,0.3648,NO
0.2164,0.2768,NO
0.0671,0.2627,NO
0.0906,0.4382,NO
0.0589,0.2075,NO
0.0679,0.0867,NO
0.1689,0.4612,NO
0.2469,0.8193,YES
0.0616,0.5167,NO
0.33799999999999997,0.4058,YES
0.2427,0.3682,NO
0.2231,0.2754,NO
0.2223,0.425,NO
0.1142,0.1417,NO
0.0706,0.3593,NO
0.1109,0.2504,NO
0.0747,0.337,NO
0.2179,0.27699999999999997,NO
0.1147,0.3188,NO
0.0779,0.5589999999999999,YES
0.0804,0.6901,YES
0.1668,0.6024,YES
0.24,0.3917,YES
0.1573,0.384,NO
0.0716,0.74,YES
0.1205,0.519,NO
0.1072,1.315,YES
0.2444,1.2815,YES
0.3362,0.2968,NO
0.1579,0.4509,NO
0.1148,0.4723,NO
0.1112,0.4908,NO
0.3947,1.4609999999999999,YES
0.0957,0.4184,YES
0.1364,0.4461,NO
0.1056,0.1551,NO
0.0981,0.3976,NO
0.1058,0.161,NO
0.1797,0.1147,NO
0.1526,0.1013,NO
0.1551,0.1011,NO
0.2811,0.34600000000000003,YES
0.0766,0.6304,NO
0.1126,1.0267,YES
0.0341,0.3206,NO
0.3399,1.6258,YES
0.0412,0.428,NO
0.1212,0.16399999999999998,NO
0.0769,0.3245,NO
0.1235,0.2849,NO
0.0802,0.2039,NO
0.1903,0.3526,NO
0.1119,0.26899999999999996,NO
0.1008,0.3037,NO
0.0886,0.2451,NO
0.1534,0.2454,NO
0.1331,0.5544,NO
0.2865,0.7312,NO
0.1512,0.7832,NO
0.1666,0.8162,NO
0.1465,0.3555,NO
0.0509,0.0663,NO
0.2187,0.6879,NO
0.4574,1.4,YES
0.1603,0.8672,NO
0.2015,0.7612,YES
0.205,0.326,NO
0.2168,0.2184,NO
0.2136,0.2465,NO
0.1919,0.3159,NO
0.1533,0.8194,NO
0.1268,0.3026,NO
0.1947,0.8148,NO
0.1755,0.2324,NO
0.2202,0.8096,NO
0.4465,1.6386,YES
0.4252,1.972,YES
0.3653,1.8330000000000002,YES
0.1771,1.3076,YES
0.1659,0.6715,NO
0.1927,1.2403,YES
0.1251,0.675,NO
0.1303,1.3019,YES
0.1814,1.2663,YES
0.3356,0.2695,NO
0.1662,0.1874,NO
0.1507,0.1667,NO
0.1441,0.3906,NO
0.3435,1.4658,YES
0.1243,0.4353,YES
0.1731,0.6141,NO
0.0952,0.3074,NO
0.1364,0.4985,NO
0.0887,0.2062,NO
0.2289,0.3829,NO
0.2088,0.2755,NO
0.2075,0.5059,NO
0.1923,0.3026,YES
0.0927,0.3328,NO
0.0821,0.9008,YES
0.0311,0.2427,NO
0.3081,1.5319,YES
0.0406,0.2931,NO
0.1251,0.1483,NO
0.091,0.1996,NO
0.11800000000000001,0.2135,NO
0.1053,0.2008,NO
0.2201,0.4351,NO
0.1351,0.4478,NO
0.1328,0.4674,NO
0.0724,0.1783,NO
0.0244,0.1046,NO
0.1404,0.8063,YES
0.3348,1.5762,YES
0.2937,1.474,YES
0.14300000000000002,0.9714,YES
0.0826,0.3683,NO
0.013000000000000001,0.0486,NO
0.2103,0.7312,YES
0.1395,0.1772,NO
0.1325,0.9265,YES
0.1443,0.1649,NO
0.2165,0.2757,NO
0.1934,0.2994,NO
0.1934,0.3284,NO
0.0572,0.21600000000000003,NO
0.2318,2.0757,YES
0.0556,0.3061,NO
0.3609,1.3714,YES
0.1417,0.2684,NO
0.255,1.6869999999999998,YES
0.0522,0.0959,NO
0.0677,0.4813,NO
0.1439,0.2335,NO
0.0494,0.1717,NO
0.1715,0.5581,YES
0.0964,0.4302,NO
0.1343,0.6112,YES
0.1544,0.3908,NO
0.0732,0.3487,NO
0.1975,0.6589,NO
0.2582,0.4086,NO
0.1977,0.6538,NO
0.1701,0.7752,NO
0.1684,0.6317,NO
0.1225,0.138,NO
0.1458,0.7191,NO
0.4028,2.3738,YES
0.1577,0.7463,NO
0.2904,1.5597,YES
0.1987,0.4523,NO
0.1756,0.3923,NO
0.1689,0.2544,NO
0.054000000000000006,0.3935,NO
0.1469,0.5704,NO
0.0547,0.5067,NO
0.1082,0.5081,NO
0.2019,0.5358,NO
0.1293,0.5189,NO
0.3897,2.5307,YES
0.3612,2.5736,YES
0.2791,2.5138,YES
0.2894,1.4682,YES
0.2226,0.5391,NO
0.1753,2.0264,YES
0.0979,0.7504,NO
0.0985,0.4054,NO
0.0774,0.2831,NO
0.1069,0.6264,YES
0.3647,1.4584,YES
0.2531,1.42,YES
0.1331,0.6838,YES
0.0885,0.2885,NO
0.0604,0.1059,NO
0.2068,0.3784,YES
0.2598,0.7954,NO
0.106,0.6473,YES
0.1459,0.4255,NO
0.2252,0.3126,NO
0.2571,0.2948,NO
0.2375,0.2907,NO
0.1453,0.2347,NO
0.2245,2.0768,YES
0.141,0.3967,NO
0.2623,1.8137,YES
0.142,0.3634,NO
0.2555,2.1127,YES
0.2049,0.6113,NO
0.2206,1.1048,NO
0.2228,0.8087,NO
0.1032,0.5115,NO
0.1461,0.4302,YES
0.1116,0.8036,NO
0.1326,0.379,YES
0.1415,0.3127,NO
0.0745,0.3728,NO
0.2381,0.4205,NO
0.19,0.2188,NO
0.1547,0.3872,NO
0.1997,0.5661,NO
0.1653,0.3772,NO
0.1536,0.1034,NO
0.1999,0.7155,NO
0.1989,2.156,YES
0.2045,0.7801,NO
0.2447,0.9381,YES
0.2519,0.2963,NO
0.2036,0.3362,NO
0.2033,0.3307,NO
0.0533,0.4109,NO
0.105,0.5097,NO
0.055999999999999994,0.4447,NO
0.1113,0.4697,NO
0.2256,0.3521,NO
0.0989,0.5528,NO
0.1879,1.8989,YES
0.1445,2.505,YES
0.1901,2.3787,YES
0.3108,1.515,YES
0.2405,0.8073,NO
0.1657,1.9163,YES
0.1331,0.6713,NO
0.0949,0.1887,NO
0.1339,0.2042,NO
0.22399999999999998,0.4784,NO
0.1967,0.3619,NO
0.1436,0.4524,NO
0.2079,0.7971,NO
0.1339,0.4459,NO
0.0967,0.0419,NO
0.2198,0.7691,NO
0.3428,1.9833,YES
0.2344,0.6838,NO
0.1736,0.9484,YES
0.1331,0.2865,NO
0.0735,0.3588,NO
0.0647,0.0895,NO
0.204,0.3923,NO
0.1327,0.5109,NO
0.1655,0.3516,NO
0.31,0.6786,NO
0.1309,0.2897,NO
0.2819,0.679,NO
0.4042,1.7983,YES
0.3296,1.9946,YES
0.4941,1.8972,YES
0.1783,1.4657,YES
0.193,0.7729,NO
0.2673,1.8949,YES
0.1726,0.8390000000000001,NO
0.1439,0.1433,NO
0.0769,0.1635,NO
0.1953,0.3231,NO
0.2342,0.1064,NO
0.2047,0.1369,NO
0.1823,0.6666,NO
0.1684,0.3004,NO
0.1204,0.0307,NO
0.1751,0.7296,NO
0.3579,1.9349,YES
0.1828,0.5605,NO
0.2083,0.9045,YES
0.2252,0.4202,NO
0.2041,0.3383,NO
0.2007,0.2612,NO
0.0498,0.3286,NO
0.1415,0.2782,NO
0.0515,0.2252,NO
0.1207,0.3497,NO
0.1912,0.1847,NO
0.14,0.245,NO
0.4038,1.7730000000000001,YES
0.3494,1.9951,YES
0.2799,1.8696,YES
0.2675,1.3819,YES
0.2206,0.6539,NO
0.2003,1.6722,YES
0.1168,0.7791,NO
0.0727,0.4577,NO
0.0714,0.379,NO
0.10800000000000001,0.6847,NO
0.2886,0.5836,NO
