DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_LSA_15,Associated
0.0737,1.162,NO
0.0652,0.8015,NO
0.1144,0.6961,NO
0.2164,1.4433,NO
0.0671,0.7142,NO
0.0906,1.6541,NO
0.0589,1.4702,NO
0.0679,0.4845,NO
0.1689,1.4208,NO
0.2469,2.6244,YES
0.0616,1.2546,NO
0.33799999999999997,2.397,YES
0.2427,1.3534,NO
0.2231,1.0105,NO
0.2223,0.5371,NO
0.1142,0.6588,NO
0.0706,1.5036,NO
0.1109,0.5581,NO
0.0747,1.115,NO
0.2179,0.7936,NO
0.1147,0.6809999999999999,NO
0.0779,2.6537,YES
0.0804,3.2151,YES
0.1668,2.6929,YES
0.24,2.4833,YES
0.1573,1.2770000000000001,NO
0.0716,2.5935,YES
0.1205,1.1309,NO
0.1072,3.0081,YES
0.2444,1.943,YES
0.3362,0.7683,NO
0.1579,0.9475,NO
0.1148,0.4597,NO
0.1112,1.3466,NO
0.3947,2.336,YES
0.0957,1.7977,YES
0.1364,0.8555,NO
0.1056,0.5907,NO
0.0981,0.8366,NO
0.1058,0.2667,NO
0.1797,1.1758,NO
0.1526,0.6895,NO
0.1551,0.6656,NO
0.2811,1.9373,YES
0.0766,0.4575,NO
0.1126,2.215,YES
0.0341,0.5306,NO
0.3399,1.93,YES
0.0412,0.2918,NO
0.1212,0.6309,NO
0.0769,0.7061,NO
0.1235,0.5219,NO
0.0802,0.5774,NO
0.1903,0.9554,NO
0.1119,1.2019,NO
0.1008,0.6405,NO
0.0886,1.5829,NO
0.1534,0.8633,NO
0.1331,1.0987,NO
0.2865,2.1005,NO
0.1512,0.958,NO
0.1666,2.2554,NO
0.1465,1.8666,NO
0.0509,0.5732,NO
0.2187,1.6474,NO
0.4574,3.5921,YES
0.1603,1.5696,NO
0.2015,3.2991,YES
0.205,1.6978,NO
0.2168,1.7284,NO
0.2136,0.7624,NO
0.1919,0.7666,NO
0.1533,2.1784,NO
0.1268,0.588,NO
0.1947,1.3796,NO
0.1755,0.7582,NO
0.2202,1.141,NO
0.4465,3.4031,YES
0.4252,3.9404,YES
