DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_SINGLE_LSA_14,Associated
0.0737,0.4141,NO
0.0652,0.8752,NO
0.1144,0.4152,NO
0.2164,0.8782,NO
0.0671,0.8603,NO
0.0906,0.9783,NO
0.0589,0.6735,NO
0.0679,0.5416,NO
0.1689,0.5557,NO
0.2469,2.7349,YES
0.0616,1.3401,NO
0.33799999999999997,2.6241,YES
0.2427,0.5165,NO
0.2231,1.0143,NO
0.2223,0.5049,NO
0.1142,0.6047,NO
0.0706,1.5913,NO
0.1109,0.5399,NO
0.0747,0.8071,NO
0.2179,0.9098,NO
0.1147,1.1705,NO
0.0779,1.9785,YES
0.0804,2.5772,YES
0.1668,2.7163,YES
0.24,2.7333,YES
0.1573,1.2318,NO
0.0716,1.9138,YES
0.1205,0.8420000000000001,NO
0.1072,1.4609,YES
0.2444,2.2529,YES
0.3362,0.4777,NO
0.1579,0.8674,NO
0.1148,0.5216,NO
0.1112,0.4788,NO
0.3947,2.6258,YES
0.0957,2.3453,YES
0.1364,0.6788,NO
0.1056,0.6906,NO
0.0981,0.5297,NO
0.1058,0.4788,NO
0.1797,0.5134,NO
0.1526,0.8513,NO
0.1551,0.8759,NO
0.2811,1.6621,YES
0.0766,0.96,NO
0.1126,2.3787,YES
0.0341,0.6473,NO
0.3399,2.4159,YES
0.0412,0.605,NO
0.1212,0.6806,NO
0.0769,0.9102,NO
0.1235,0.622,NO
0.0802,0.7757,NO
0.1903,0.474,NO
0.1119,0.3276,NO
0.1008,0.4174,NO
0.0886,0.4597,NO
0.1534,0.8632,NO
0.1331,0.5955,NO
0.2865,1.2387,NO
0.1512,1.2031,NO
0.1666,1.1159,NO
0.1465,0.7340000000000001,NO
0.0509,0.3335,NO
0.2187,0.5914,NO
0.4574,3.2430000000000003,YES
0.1603,0.914,NO
0.2015,2.7126,YES
0.205,0.3141,NO
0.2168,0.6096,NO
0.2136,0.413,NO
0.1919,0.7093,NO
0.1533,1.4793,NO
