DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_VSM_74,Associated
0.0737,0.1553,NO
0.0652,0.1548,NO
0.1144,0.0342,NO
0.2164,0.2061,NO
0.0671,0.1663,NO
0.0906,0.1986,NO
0.0589,0.1987,NO
0.0679,0.1548,NO
0.1689,0.1153,NO
0.2469,1.0,YES
0.0616,0.1412,NO
0.33799999999999997,0.27899999999999997,YES
0.2427,0.0957,NO
0.2231,0.1834,NO
0.2223,0.0229,NO
0.1142,0.1548,NO
0.0706,0.20600000000000002,NO
0.1109,0.1548,NO
0.0747,0.1843,NO
0.2179,0.0858,NO
0.1147,0.2083,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2254,NO
0.0716,1.0,YES
0.1205,0.1576,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.1659,NO
0.1579,0.1659,NO
0.1148,0.1659,NO
0.1112,0.1296,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.1296,NO
0.1056,0.0767,NO
0.0981,0.1659,NO
0.1058,0.1156,NO
0.1797,0.1766,NO
0.1526,0.0622,NO
0.1551,0.1766,NO
0.2811,1.0,YES
0.0766,0.1659,NO
0.1126,1.0,YES
0.0341,0.1659,NO
0.3399,0.3715,YES
0.0412,0.0742,NO
0.1212,0.1156,NO
0.0769,0.1156,NO
0.1235,0.0683,NO
0.0802,0.0602,NO
0.1903,0.1659,NO
0.1119,0.1156,NO
0.1008,0.1659,NO
0.0886,0.1553,NO
0.1534,0.0136,NO
0.1331,0.2137,NO
0.2865,0.2137,NO
0.1512,0.2137,NO
0.1666,0.1986,NO
0.1465,0.1987,NO
0.0509,0.076,NO
0.2187,0.141,NO
0.4574,1.0,YES
0.1603,0.2137,NO
0.2015,0.5256,YES
0.205,0.1625,NO
0.2168,0.1834,NO
0.2136,0.1625,NO
0.1919,0.0988,NO
0.1533,0.2137,NO
0.1268,0.0959,NO
0.1947,0.2137,NO
0.1755,0.0858,NO
0.2202,0.2083,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2254,NO
0.1927,1.0,YES
0.1251,0.2137,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.1692,NO
0.1662,0.1033,NO
0.1507,0.0995,NO
0.1441,0.1525,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.0654,NO
0.0952,0.0767,NO
0.1364,0.1692,NO
0.0887,0.066,NO
0.2289,0.2183,NO
0.2088,0.0753,NO
0.2075,0.2183,NO
0.1923,1.0,YES
0.0927,0.1138,NO
0.0821,1.0,YES
0.0311,0.0576,NO
0.3081,0.284,YES
0.0406,0.0742,NO
0.1251,0.0258,NO
0.091,0.106,NO
0.11800000000000001,0.0683,NO
0.1053,0.0602,NO
0.2201,0.1692,NO
0.1351,0.0913,NO
0.1328,0.0774,NO
0.0724,0.1508,NO
0.0244,0.1508,NO
0.1404,1.0,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.2985,YES
0.0826,0.1661,NO
0.013000000000000001,0.1508,NO
0.2103,0.2465,YES
0.1395,0.1531,NO
0.1325,1.0,YES
0.1443,0.0891,NO
0.2165,0.1477,NO
0.1934,0.2003,NO
0.1934,0.077,NO
0.0572,0.1508,NO
0.2318,1.0,YES
0.0556,0.1508,NO
0.3609,1.0,YES
0.1417,0.1481,NO
0.255,0.3497,YES
0.0522,0.1629,NO
0.0677,0.1531,NO
0.1439,0.2298,NO
0.0494,0.1531,NO
0.1715,1.0,YES
0.0964,0.2113,NO
0.1343,1.0,YES
0.1544,0.075,NO
0.0732,0.016,NO
0.1975,0.2524,NO
0.2582,0.2524,NO
0.1977,0.2524,NO
0.1701,0.1639,NO
0.1684,0.1694,NO
0.1225,0.1694,NO
0.1458,0.1639,NO
0.4028,1.0,YES
0.1577,0.2524,NO
0.2904,1.0,YES
0.1987,0.1844,NO
0.1756,0.1697,NO
0.1689,0.1844,NO
0.054000000000000006,0.1694,NO
0.1469,0.2524,NO
0.0547,0.0959,NO
0.1082,0.2524,NO
0.2019,0.0858,NO
0.1293,0.1498,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.2524,NO
0.1753,1.0,YES
0.0979,0.2524,NO
0.0985,0.0292,NO
0.0774,0.0214,NO
0.1069,0.2886,YES
0.3647,0.3672,YES
0.2531,0.3236,YES
0.1331,0.1422,YES
0.0885,0.11,NO
0.0604,0.0139,NO
0.2068,0.1054,YES
0.2598,0.2293,NO
0.106,0.2886,YES
0.1459,0.2548,NO
0.2252,0.0426,NO
0.2571,0.1632,NO
0.2375,0.0906,NO
0.1453,0.051,NO
0.2245,0.2955,YES
0.141,0.11,NO
0.2623,1.0,YES
0.142,0.11,NO
0.2555,0.247,YES
0.2049,0.2548,NO
0.2206,0.2548,NO
0.2228,0.2293,NO
0.1032,0.2293,NO
0.1461,0.2886,YES
0.1116,0.2548,NO
0.1326,0.2886,YES
0.1415,0.1755,NO
0.0745,0.1755,NO
0.2381,0.2395,NO
0.19,0.2395,NO
0.1547,0.2395,NO
0.1997,0.1986,NO
0.1653,0.1987,NO
0.1536,0.1809,NO
0.1999,0.1924,NO
0.1989,1.0,YES
0.2045,0.2395,NO
0.2447,1.0,YES
0.2519,0.2269,NO
0.2036,0.1834,NO
0.2033,0.2269,NO
0.0533,0.1809,NO
0.105,0.2395,NO
0.055999999999999994,0.1755,NO
0.1113,0.2395,NO
0.2256,0.1669,NO
0.0989,0.2083,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.2395,NO
0.1657,1.0,YES
0.1331,0.2395,NO
0.0949,0.1553,NO
0.1339,0.0776,NO
0.22399999999999998,0.1892,NO
0.1967,0.2338,NO
0.1436,0.1494,NO
0.2079,0.2188,NO
0.1339,0.1987,NO
0.0967,0.0797,NO
0.2198,0.2133,NO
0.3428,1.0,YES
0.2344,0.2188,NO
0.1736,0.3905,YES
0.1331,0.0957,NO
0.0735,0.1834,NO
0.0647,0.0797,NO
0.204,0.0988,NO
0.1327,0.20600000000000002,NO
0.1655,0.1197,NO
0.31,0.1843,NO
0.1309,0.1197,NO
0.2819,0.2338,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.2254,NO
0.2673,1.0,YES
0.1726,0.1576,NO
0.1439,0.0795,NO
0.0769,0.0169,NO
0.1953,0.2664,NO
0.2342,0.2664,NO
0.2047,0.2664,NO
0.1823,0.1743,NO
0.1684,0.1796,NO
0.1204,0.1796,NO
0.1751,0.1743,NO
0.3579,1.0,YES
0.1828,0.2664,NO
0.2083,1.0,YES
0.2252,0.2085,NO
0.2041,0.1697,NO
0.2007,0.2085,NO
0.0498,0.1796,NO
0.1415,0.2664,NO
0.0515,0.0959,NO
0.1207,0.2664,NO
0.1912,0.0858,NO
0.14,0.1498,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.2664,NO
0.2003,1.0,YES
0.1168,0.2664,NO
0.0727,0.1553,NO
0.0714,0.1348,NO
0.10800000000000001,0.2085,NO
0.2886,0.2085,NO
0.1427,0.2085,NO
0.0855,0.1986,NO
0.0605,0.1542,NO
0.0532,0.1348,NO
0.1421,0.107,NO
0.4397,1.0,YES
0.0607,0.2085,NO
0.2347,0.4994,YES
0.2118,0.0957,NO
0.2048,0.0847,NO
0.2045,0.0235,NO
0.0849,0.1348,NO
0.1035,0.2085,NO
0.0824,0.1542,NO
0.0975,0.2184,NO
0.1702,0.1542,NO
0.1518,0.2083,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.2085,NO
0.1128,1.0,YES
0.099,0.2085,NO
0.1069,0.1741,NO
0.0451,0.1628,NO
0.5095,0.3533,YES
0.1431,0.27899999999999997,YES
0.1227,0.27899999999999997,YES
0.2847,1.0,YES
0.2237,0.1628,NO
0.1065,0.1628,NO
0.3266,1.0,YES
0.0974,0.1253,NO
0.3289,1.0,YES
0.1059,0.1059,NO
0.2131,0.1834,NO
0.1496,0.1848,NO
0.1474,0.1834,NO
0.0902,0.1628,NO
0.0993,0.27899999999999997,YES
0.0875,0.1628,NO
0.2369,0.27899999999999997,YES
0.2129,0.1494,NO
0.1321,0.1621,YES
0.1271,0.1253,NO
0.08,0.1709,NO
0.3025,0.2493,NO
0.12,0.1253,NO
0.3399,1.0,YES
0.2516,0.24100000000000002,NO
0.2081,1.0,YES
0.1799,0.0727,NO
0.1547,0.0727,NO
0.3595,0.3192,YES
0.2156,0.3456,NO
0.1535,0.07,NO
0.4159,0.47700000000000004,YES
0.1827,0.0733,NO
0.1097,0.0733,NO
0.5448,0.47700000000000004,YES
0.191,0.1732,NO
0.4381,0.47700000000000004,YES
0.1528,0.0301,NO
0.3264,0.2875,NO
0.3203,0.1013,NO
0.2648,0.2875,NO
0.171,0.0733,NO
0.21899999999999997,0.141,NO
0.1398,0.0727,NO
0.3673,0.1277,NO
0.1451,0.0478,NO
0.2637,0.3456,NO
0.1991,0.0896,NO
0.1784,0.0896,NO
0.3767,0.0896,NO
0.1917,0.0896,NO
0.3794,0.47700000000000004,YES
0.3359,0.1732,NO
