DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_RAW_VSM_55,Associated
0.0737,0.3798,NO
0.0652,0.4564,NO
0.1144,0.6092,NO
0.2164,0.2694,NO
0.0671,0.3417,NO
0.0906,0.4758,NO
0.0589,0.4225,NO
0.0679,0.1935,NO
0.1689,0.517,NO
0.2469,0.8597,YES
0.0616,0.4405,NO
0.33799999999999997,1.3409,YES
0.2427,0.3012,NO
0.2231,0.5007,NO
0.2223,0.1001,NO
0.1142,0.2917,NO
0.0706,0.3775,NO
0.1109,0.3343,NO
0.0747,0.4772,NO
0.2179,0.3543,NO
0.1147,0.2721,NO
0.0779,1.0636,YES
0.0804,0.9144,YES
0.1668,1.4145,YES
0.24,1.6812,YES
0.1573,0.5315,NO
0.0716,0.7337,YES
0.1205,0.4866,NO
0.1072,1.6531,YES
0.2444,2.0882,YES
0.3362,0.6412,NO
0.1579,0.2923,NO
0.1148,0.1541,NO
0.1112,0.2487,NO
0.3947,1.3704,YES
0.0957,1.4112,YES
0.1364,0.4389,NO
0.1056,0.389,NO
0.0981,0.4192,NO
0.1058,0.2906,NO
0.1797,0.17300000000000001,NO
0.1526,0.5879,NO
0.1551,0.158,NO
0.2811,0.696,YES
0.0766,0.3376,NO
0.1126,1.585,YES
0.0341,0.2727,NO
0.3399,2.3294,YES
0.0412,0.1717,NO
0.1212,0.1991,NO
0.0769,0.096,NO
0.1235,0.3635,NO
0.0802,0.3072,NO
0.1903,0.5396,NO
0.1119,0.1751,NO
0.1008,0.6014,NO
0.0886,0.46399999999999997,NO
0.1534,0.2661,NO
0.1331,0.51,NO
0.2865,0.6239,NO
0.1512,0.6073,NO
0.1666,0.4959,NO
0.1465,0.2736,NO
0.0509,0.1587,NO
0.2187,0.4491,NO
0.4574,1.1808,YES
0.1603,0.3038,NO
0.2015,1.5233,YES
0.205,0.3798,NO
0.2168,0.7131,NO
0.2136,0.1186,NO
0.1919,0.2939,NO
0.1533,0.7435,NO
0.1268,0.3684,NO
0.1947,0.7935,NO
0.1755,0.2409,NO
0.2202,0.5239,NO
0.4465,1.3161,YES
0.4252,1.2121,YES
0.3653,1.6797,YES
0.1771,2.0178,YES
0.1659,0.4634,NO
0.1927,0.9166,YES
0.1251,0.4469,NO
0.1303,0.42700000000000005,YES
0.1814,1.1957,YES
0.3356,0.1953,NO
0.1662,0.3552,NO
0.1507,0.1819,NO
0.1441,0.0452,NO
0.3435,1.1159999999999999,YES
0.1243,0.2665,YES
0.1731,0.0311,NO
0.0952,0.1724,NO
0.1364,0.0644,NO
0.0887,0.2108,NO
0.2289,0.1243,NO
0.2088,0.3237,NO
0.2075,0.1115,NO
0.1923,0.4502,YES
0.0927,0.1919,NO
0.0821,0.4087,YES
0.0311,0.3508,NO
0.3081,1.251,YES
0.0406,0.2547,NO
0.1251,0.0716,NO
0.091,0.1311,NO
0.11800000000000001,0.2164,NO
0.1053,0.2121,NO
0.2201,0.1541,NO
0.1351,0.0609,NO
0.1328,0.0505,NO
0.0724,0.4622,NO
0.0244,0.2511,NO
0.1404,0.539,YES
0.3348,2.5384,YES
0.2937,1.9008,YES
0.14300000000000002,0.6525,YES
0.0826,0.5173,NO
0.013000000000000001,0.1578,NO
0.2103,0.8548,YES
0.1395,0.3061,NO
0.1325,0.6343,YES
0.1443,0.31,NO
0.2165,0.207,NO
0.1934,0.6185,NO
0.1934,0.0259,NO
0.0572,0.18899999999999997,NO
0.2318,2.6108,YES
0.0556,0.3589,NO
0.3609,2.1801,YES
0.1417,0.1298,NO
0.255,2.1082,YES
0.0522,0.44299999999999995,NO
0.0677,0.7027,NO
0.1439,0.653,NO
0.0494,0.3692,NO
0.1715,0.6817,YES
0.0964,0.2707,NO
0.1343,0.8156,YES
0.1544,0.5874,NO
0.0732,0.3767,NO
0.1975,0.6481,NO
0.2582,0.4067,NO
0.1977,0.405,NO
0.1701,0.737,NO
0.1684,0.5386,NO
0.1225,0.1463,NO
0.1458,0.5985,NO
0.4028,1.655,YES
0.1577,0.5686,NO
0.2904,1.8548,YES
0.1987,0.3703,NO
0.1756,0.56,NO
0.1689,0.0888,NO
0.054000000000000006,0.4353,NO
0.1469,0.804,NO
0.0547,0.3827,NO
0.1082,0.6295,NO
0.2019,0.4449,NO
0.1293,0.3258,NO
0.3897,2.0387,YES
0.3612,1.8513,YES
0.2791,2.0124,YES
0.2894,2.1803,YES
0.2226,0.6075,NO
0.1753,1.2774,YES
0.0979,0.5623,NO
0.0985,0.6801,NO
0.0774,0.4004,NO
0.1069,0.8409,YES
0.3647,3.3935,YES
0.2531,2.6956,YES
0.1331,0.7813,YES
0.0885,0.7101,NO
0.0604,0.1398,NO
0.2068,0.8869,YES
0.2598,0.6057,NO
0.106,0.8096,YES
0.1459,0.4495,NO
0.2252,0.4323,NO
0.2571,1.1299,NO
0.2375,0.1321,NO
0.1453,0.3571,NO
0.2245,2.9581,YES
0.141,0.4133,NO
0.2623,3.5479,YES
0.142,0.3042,NO
0.2555,3.3239,YES
0.2049,0.6701,NO
0.2206,0.81,NO
0.2228,0.8237,NO
0.1032,0.985,NO
0.1461,0.6745,YES
0.1116,0.6039,NO
0.1326,0.826,YES
0.1415,0.6321,NO
0.0745,0.4247,NO
0.2381,0.7290000000000001,NO
0.19,0.7305,NO
0.1547,0.6816,NO
0.1997,0.8301,NO
0.1653,0.6266,NO
0.1536,0.0839,NO
0.1999,0.586,NO
0.1989,2.022,YES
0.2045,0.5959,NO
0.2447,2.4835,YES
0.2519,0.5046,NO
0.2036,0.6955,NO
0.2033,0.133,NO
0.0533,0.5228,NO
0.105,0.9967,NO
0.055999999999999994,0.3791,NO
0.1113,0.8468,NO
0.2256,0.3608,NO
0.0989,0.4828,NO
0.1879,2.741,YES
0.1445,2.255,YES
0.1901,2.5809,YES
0.3108,3.2214,YES
0.2405,0.8201,NO
0.1657,1.8553,YES
0.1331,0.528,NO
0.0949,0.3763,NO
0.1339,0.2889,NO
0.22399999999999998,0.5432,NO
0.1967,0.4233,NO
0.1436,0.4245,NO
0.2079,0.4315,NO
0.1339,0.4421,NO
0.0967,0.0493,NO
0.2198,0.5537,NO
0.3428,1.1387,YES
0.2344,0.3979,NO
0.1736,1.1974,YES
0.1331,0.2898,NO
0.0735,0.3595,NO
0.0647,0.1079,NO
0.204,0.3347,NO
0.1327,0.5559,NO
0.1655,0.1904,NO
0.31,0.6823,NO
0.1309,0.2482,NO
0.2819,0.4159,NO
0.4042,1.7692,YES
0.3296,1.1265,YES
0.4941,1.2662,YES
0.1783,1.9655,YES
0.193,0.3769,NO
0.2673,1.4072,YES
0.1726,0.6307,NO
0.1439,0.3505,NO
0.0769,0.151,NO
0.1953,0.2817,NO
0.2342,0.5422,NO
0.2047,0.5306,NO
0.1823,0.6304,NO
0.1684,0.4326,NO
0.1204,0.021,NO
0.1751,0.6287,NO
0.3579,0.9756,YES
0.1828,0.6352,NO
0.2083,1.6727,YES
0.2252,0.3605,NO
0.2041,0.5772,NO
0.2007,0.10300000000000001,NO
0.0498,0.2413,NO
0.1415,0.9721,NO
0.0515,0.2187,NO
0.1207,0.5418,NO
0.1912,0.0862,NO
0.14,0.3466,NO
0.4038,1.8074,YES
0.3494,1.6232,YES
0.2799,1.8014,YES
0.2675,1.421,YES
0.2206,0.4849,NO
0.2003,0.9983,YES
0.1168,0.7061,NO
0.0727,0.6668,NO
0.0714,0.3674,NO
0.10800000000000001,0.6421,NO
0.2886,0.4134,NO
0.1427,0.5035,NO
0.0855,0.8684,NO
0.0605,0.4083,NO
0.0532,0.253,NO
0.1421,0.5561,NO
0.4397,1.8405,YES
0.0607,0.7002,NO
0.2347,2.3202,YES
0.2118,0.3987,NO
0.2048,0.6607,NO
0.2045,0.0883,NO
0.0849,0.4104,NO
0.1035,0.7455,NO
0.0824,0.5059,NO
0.0975,0.5847,NO
0.1702,0.2764,NO
0.1518,0.2294,NO
0.3372,2.1534,YES
0.3303,2.101,YES
0.314,2.5642,YES
0.1257,2.592,YES
0.1375,0.5447,NO
0.1128,1.2349,YES
0.099,0.6981,NO
0.1069,0.5217,NO
0.0451,0.3856,NO
0.5095,2.9696,YES
0.1431,0.3347,YES
0.1227,0.4578,YES
0.2847,1.609,YES
0.2237,0.8306,NO
0.1065,0.2015,NO
0.3266,3.7683,YES
0.0974,0.4429,NO
0.3289,2.4162,YES
0.1059,0.5783,NO
0.2131,0.0829,NO
0.1496,0.6668,NO
0.1474,0.0798,NO
0.0902,0.423,NO
0.0993,0.992,YES
0.0875,0.2991,NO
0.2369,0.7491,YES
0.2129,0.483,NO
0.1321,0.7166,YES
0.1271,0.8911,NO
0.08,0.4977,NO
0.3025,0.9076,NO
0.12,0.4273,NO
0.3399,2.4201,YES
0.2516,0.4751,NO
0.2081,3.0819,YES
0.1799,0.2408,NO
0.1547,0.2425,NO
0.3595,0.7753,YES
0.2156,0.1758,NO
0.1535,0.5882,NO
0.4159,0.9693,YES
0.1827,0.4689,NO
0.1097,0.1139,NO
0.5448,1.1957,YES
0.191,0.2835,NO
0.4381,1.2690000000000001,YES
0.1528,0.2357,NO
0.3264,0.2321,NO
0.3203,0.8445,NO
0.2648,0.2502,NO
0.171,0.1997,NO
0.21899999999999997,0.4698,NO
0.1398,0.2683,NO
0.3673,0.7376,NO
0.1451,0.1987,NO
0.2637,0.6232,NO
0.1991,0.3054,NO
0.1784,0.1841,NO
0.3767,0.4982,NO
0.1917,0.1887,NO
0.3794,0.7977,YES
0.3359,0.0428,NO
0.2874,1.7255,YES
0.0798,0.7757,NO
0.0364,0.3863,NO
0.2475,1.7408,YES
0.2794,2.7634,YES
0.2232,2.0409,YES
0.2213,1.2751,YES
0.1233,0.7946,NO
0.0474,0.2736,NO
0.2799,2.0504,YES
0.2328,0.3992,NO
0.2608,1.6075,YES
0.1095,0.2719,NO
0.2365,0.4562,NO
0.2061,1.2879,NO
0.2048,0.2099,NO
0.0456,0.4049,NO
0.1795,2.4922,YES
0.0442,0.4656,NO
0.27,3.5180000000000002,YES
0.1224,0.4307,NO
0.1913,3.3508,YES
0.2397,0.655,NO
0.2111,0.5312,NO
0.2935,0.6523,NO
0.1155,0.5579999999999999,NO
0.243,1.5608,YES
0.1959,0.6083,NO
0.198,1.8398,YES
0.1636,0.3852,NO
0.1646,0.2043,NO
0.3881,1.7312,YES
0.1762,0.3387,NO
0.1649,0.2233,NO
0.4197,0.8882,YES
0.1681,0.3581,NO
0.153,0.1231,NO
0.4738,1.9955,YES
0.159,0.4784,NO
0.493,0.982,YES
0.1456,0.4581,NO
0.2244,0.1157,NO
0.1542,0.5413,NO
0.1277,0.083,NO
0.1775,0.2511,NO
0.2106,0.7240000000000001,NO
0.1654,0.175,NO
0.3557,0.6355,NO
0.0902,0.0442,NO
0.2663,0.3402,NO
0.2218,0.5999,NO
0.1764,0.43,NO
0.3901,0.7407,NO
0.21600000000000003,0.2987,NO
0.402,1.4326,YES
0.3584,0.4156,NO
0.3239,1.8897,YES
0.0467,0.2847,NO
0.0184,0.1651,NO
0.0544,0.5217,YES
0.1967,2.3205,YES
0.1251,1.6256,YES
0.0526,0.4419,YES
0.0389,0.5041,NO
0.0098,0.0156,NO
0.1204,0.48,YES
0.1152,0.1421,NO
0.0434,0.391,YES
0.0994,0.1912,NO
0.171,0.2303,NO
0.1733,0.6259,NO
0.1785,0.061,NO
0.0632,0.1036,NO
0.1652,2.2982,YES
0.0614,0.1375,NO
0.1533,1.7819,YES
0.1347,0.1911,NO
0.1212,1.6795,YES
0.015,0.3304,NO
0.0714,0.6195,NO
0.0698,0.4905,NO
0.035,0.2953,NO
0.0672,0.3005,YES
0.0378,0.3016,NO
0.0637,0.4488,YES
0.3024,1.041,YES
0.0482,1.4402,YES
0.3634,0.436,NO
0.1548,0.285,NO
0.1459,0.1443,NO
0.1506,0.1888,NO
0.2394,1.3305,YES
0.3693,0.7285,YES
0.1404,0.265,NO
0.0758,0.2206,NO
0.1517,0.2543,NO
0.067,0.1493,NO
0.2131,0.2013,NO
0.16,0.7308,NO
0.1446,0.2058,NO
0.0844,0.5989,YES
0.095,0.2533,NO
0.2419,0.9411,YES
0.026000000000000002,0.2603,NO
0.2985,2.1182,YES
0.0377,0.1638,NO
0.102,0.0932,NO
0.0927,0.0412,NO
0.1259,0.1597,NO
0.1193,0.1115,NO
0.2177,0.523,NO
0.15,0.0655,NO
0.0996,0.3183,NO
0.0839,0.4459,NO
0.0672,0.3968,NO
0.3068,1.9427,YES
0.1154,0.6148,YES
0.0802,0.585,YES
0.3166,2.1005,YES
0.0868,0.8568,NO
0.0677,0.1774,NO
0.5456,2.9752,YES
0.0938,0.5117,NO
0.3771,2.8911,YES
0.0765,0.5081,NO
0.3042,0.2612,NO
0.1867,0.8743,NO
0.2024,0.213,NO
0.084,0.3879,NO
0.1127,1.6816,YES
0.0773,0.3208,NO
0.3002,0.9354,YES
0.0821,0.3046,NO
0.1969,0.5939,YES
0.1353,0.8185,NO
0.0942,0.5832,NO
0.3023,0.8194,NO
0.1177,0.332,NO
0.2966,2.497,YES
0.2621,0.354,NO
0.3631,2.7962,YES
0.1178,0.3959,NO
0.0474,0.3997,NO
0.4277,3.016,YES
0.2214,0.929,YES
0.2007,0.9364,YES
0.2467,1.8214,YES
0.2192,1.0478,NO
0.1165,0.1486,NO
0.3035,3.5121,YES
0.1886,0.5751,NO
0.2922,3.0645,YES
0.1088,0.3525,NO
0.2277,0.1249,NO
0.1763,0.7617,NO
0.1744,0.2138,NO
0.0948,0.4222,NO
0.152,1.7516,YES
0.0882,0.2568,NO
0.2267,1.2822,YES
0.1968,0.3375,NO
0.1574,1.1313,YES
0.2134,0.7605,NO
0.1846,0.3215,NO
0.3004,0.6885,NO
0.1322,0.4342,NO
0.3039,3.1309,YES
0.2341,0.3254,NO
0.2137,3.7917,YES
0.1342,0.322,NO
0.1099,0.2479,NO
0.526,2.4192,YES
0.1623,0.28800000000000003,YES
0.1996,0.3083,YES
0.3297,2.1764,YES
0.22699999999999998,0.7355,NO
0.1622,0.1132,NO
0.3372,3.3013,YES
0.1102,0.5904,NO
0.3901,2.8529,YES
0.1022,0.3517,NO
0.1483,0.102,NO
0.0862,0.6956,NO
0.0629,0.1284,NO
0.2034,0.3643,NO
0.1682,1.0395,YES
0.1975,0.2364,NO
0.3422,0.629,YES
0.1773,0.2356,NO
