DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_RAW_VSM_83,Associated
0.0737,0.1548,NO
0.0652,0.1687,NO
0.1144,0.1142,NO
0.2164,0.1453,NO
0.0671,0.1508,NO
0.0906,0.1423,NO
0.0589,0.1171,NO
0.0679,0.1548,NO
0.1689,0.1423,NO
0.2469,0.4371,YES
0.0616,0.102,NO
0.33799999999999997,1.0,YES
0.2427,0.2038,NO
0.2231,0.2038,NO
0.2223,0.2038,NO
0.1142,0.1687,NO
0.0706,0.1733,NO
0.1109,0.0647,NO
0.0747,0.1453,NO
0.2179,0.1687,NO
0.1147,0.1498,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,0.245,YES
0.1573,0.1171,NO
0.0716,1.0,YES
0.1205,0.1423,NO
0.1072,0.1792,YES
0.2444,0.3715,YES
0.3362,0.1405,NO
0.1579,0.0583,NO
0.1148,0.0583,NO
0.1112,0.1778,NO
0.3947,0.1615,YES
0.0957,0.1792,YES
0.1364,0.1405,NO
0.1056,0.0209,NO
0.0981,0.1318,NO
0.1058,0.0483,NO
0.1797,0.1835,NO
0.1526,0.1835,NO
0.1551,0.1835,NO
0.2811,0.3715,YES
0.0766,0.0583,NO
0.1126,0.0749,YES
0.0341,0.0365,NO
0.3399,0.3715,YES
0.0412,0.0171,NO
0.1212,0.0338,NO
0.0769,0.0425,NO
0.1235,0.0383,NO
0.0802,0.0227,NO
0.1903,0.0618,NO
0.1119,0.0381,NO
0.1008,0.1405,NO
0.0886,0.1686,NO
0.1534,0.1731,NO
0.1331,0.1452,NO
0.2865,0.2137,NO
0.1512,0.2137,NO
0.1666,0.2963,NO
0.1465,0.0756,NO
0.0509,0.092,NO
0.2187,0.2252,NO
0.4574,0.2297,YES
0.1603,0.1452,NO
0.2015,0.5081,YES
0.205,0.1625,NO
0.2168,0.1625,NO
0.2136,0.1625,NO
0.1919,0.1731,NO
0.1533,0.2137,NO
0.1268,0.0637,NO
0.1947,0.0605,NO
0.1755,0.1731,NO
0.2202,0.166,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.5256,YES
0.1771,0.1551,YES
0.1659,0.1694,NO
