DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_37,Associated
0.0737,0.2201,NO
0.0652,0.3133,NO
0.1144,0.1901,NO
0.2164,0.6139,NO
0.0671,0.3369,NO
0.0906,0.3464,NO
0.0589,0.2344,NO
0.0679,0.2201,NO
0.1689,0.2452,NO
0.2469,1.0,YES
0.0616,0.1766,NO
0.33799999999999997,1.0,YES
0.2427,0.3701,NO
0.2231,0.3574,NO
0.2223,0.3701,NO
0.1142,0.2201,NO
0.0706,0.4176,NO
0.1109,0.2886,NO
0.0747,0.1949,NO
0.2179,0.2508,NO
0.1147,0.2553,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.2322,NO
0.0716,1.0,YES
0.1205,0.2434,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.2853,NO
0.1579,0.2455,NO
0.1148,0.2664,NO
0.1112,0.2853,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2584,NO
0.1056,0.3066,NO
0.0981,0.2463,NO
0.1058,0.3066,NO
0.1797,0.397,NO
0.1526,0.397,NO
0.1551,0.397,NO
0.2811,1.0,YES
0.0766,0.2604,NO
0.1126,1.0,YES
0.0341,0.2664,NO
0.3399,1.0,YES
0.0412,0.2664,NO
0.1212,0.2082,NO
0.0769,0.2082,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.2584,NO
0.1119,0.3066,NO
0.1008,0.2853,NO
0.0886,0.1503,NO
0.1534,0.3133,NO
0.1331,0.3233,NO
0.2865,0.6139,NO
0.1512,0.3369,NO
0.1666,0.3464,NO
0.1465,0.2344,NO
0.0509,0.0804,NO
0.2187,0.2452,NO
0.4574,1.0,YES
0.1603,0.3471,NO
0.2015,1.0,YES
0.205,0.1924,NO
0.2168,0.1924,NO
0.2136,0.1924,NO
0.1919,0.1438,NO
0.1533,0.4176,NO
0.1268,0.2886,NO
0.1947,0.213,NO
0.1755,0.2508,NO
0.2202,0.1904,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2322,NO
0.1927,1.0,YES
0.1251,0.1932,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.4748,NO
0.1662,0.3514,NO
0.1507,0.3514,NO
0.1441,0.5089,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.5415,NO
0.0952,0.601,NO
0.1364,0.5415,NO
0.0887,0.601,NO
0.2289,0.7376,NO
0.2088,0.7124,NO
0.2075,0.7376,NO
0.1923,1.0,YES
0.0927,0.3514,NO
0.0821,1.0,YES
0.0311,0.2646,NO
0.3081,1.0,YES
0.0406,0.3514,NO
0.1251,0.4069,NO
0.091,0.4197,NO
0.11800000000000001,0.601,NO
0.1053,0.601,NO
0.2201,0.5415,NO
0.1351,0.601,NO
0.1328,0.4852,NO
0.0724,0.1663,NO
0.0244,0.2248,NO
0.1404,0.5483,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6847,YES
0.0826,0.1327,NO
0.013000000000000001,0.1663,NO
0.2103,0.5022,YES
0.1395,0.3019,NO
0.1325,0.6283,YES
0.1443,0.22399999999999998,NO
0.2165,0.2021,NO
0.1934,0.1873,NO
0.1934,0.2833,NO
0.0572,0.1663,NO
0.2318,1.0,YES
0.0556,0.1663,NO
0.3609,1.0,YES
0.1417,0.1663,NO
0.255,1.0,YES
0.0522,0.3725,NO
0.0677,0.3721,NO
0.1439,0.5265,NO
0.0494,0.3307,NO
0.1715,0.7068,YES
0.0964,0.4518,NO
0.1343,1.0,YES
0.1544,0.2719,NO
0.0732,0.3133,NO
0.1975,0.4056,NO
0.2582,0.6139,NO
0.1977,0.3369,NO
0.1701,0.4167,NO
0.1684,0.2344,NO
0.1225,0.2719,NO
0.1458,0.3573,NO
0.4028,1.0,YES
0.1577,0.4354,NO
0.2904,1.0,YES
0.1987,0.1137,NO
0.1756,0.1756,NO
0.1689,0.1275,NO
0.054000000000000006,0.2719,NO
0.1469,0.4176,NO
0.0547,0.2886,NO
0.1082,0.4137,NO
0.2019,0.2719,NO
0.1293,0.3054,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,0.9651,YES
0.2894,1.0,YES
0.2226,0.3573,NO
0.1753,1.0,YES
0.0979,0.4137,NO
0.0985,0.1425,NO
0.0774,0.2248,NO
0.1069,0.5483,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.6847,YES
0.0885,0.1153,NO
0.0604,0.1194,NO
0.2068,0.5022,YES
0.2598,0.6903,NO
0.106,0.6283,YES
0.1459,0.6903,NO
0.2252,0.4403,NO
0.2571,0.4403,NO
0.2375,0.4403,NO
0.1453,0.1194,NO
0.2245,1.0,YES
0.141,0.1194,NO
0.2623,1.0,YES
0.142,0.1473,NO
0.2555,1.0,YES
0.2049,0.6903,NO
0.2206,0.6903,NO
0.2228,0.5875,NO
0.1032,0.6903,NO
0.1461,0.7068,YES
0.1116,0.5875,NO
0.1326,1.0,YES
0.1415,0.1503,NO
0.0745,0.1856,NO
0.2381,0.6593,NO
0.19,0.6139,NO
0.1547,0.3369,NO
0.1997,0.6773,NO
0.1653,0.1963,NO
0.1536,0.1856,NO
0.1999,0.4239,NO
0.1989,1.0,YES
0.2045,0.7077,NO
0.2447,1.0,YES
0.2519,0.4406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.1856,NO
0.105,0.5133,NO
0.055999999999999994,0.1856,NO
0.1113,0.4343,NO
0.2256,0.2508,NO
0.0989,0.3295,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.4239,NO
0.1657,1.0,YES
0.1331,0.4328,NO
0.0949,0.1503,NO
0.1339,0.3133,NO
0.22399999999999998,0.5133,NO
0.1967,0.6139,NO
0.1436,0.3369,NO
0.2079,0.5273,NO
0.1339,0.2344,NO
0.0967,0.0932,NO
0.2198,0.3378,NO
0.3428,1.0,YES
0.2344,0.551,NO
0.1736,1.0,YES
0.1331,0.1567,NO
0.0735,0.1756,NO
0.0647,0.1275,NO
0.204,0.1438,NO
0.1327,0.4176,NO
0.1655,0.2886,NO
0.31,0.3382,NO
0.1309,0.2508,NO
0.2819,0.2566,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.4039,NO
0.2673,1.0,YES
0.1726,0.4039,NO
0.1439,0.2093,NO
0.0769,0.3133,NO
0.1953,0.6593,NO
0.2342,0.6139,NO
0.2047,0.3369,NO
0.1823,0.6773,NO
0.1684,0.2344,NO
0.1204,0.2093,NO
0.1751,0.2452,NO
0.3579,1.0,YES
0.1828,0.7077,NO
0.2083,1.0,YES
0.2252,0.2866,NO
0.2041,0.2866,NO
0.2007,0.2866,NO
0.0498,0.2093,NO
0.1415,0.5133,NO
0.0515,0.2886,NO
0.1207,0.4343,NO
0.1912,0.2508,NO
0.14,0.3295,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
0.2675,1.0,YES
0.2206,0.2322,NO
0.2003,1.0,YES
0.1168,0.3939,NO
0.0727,0.1503,NO
0.0714,0.3133,NO
0.10800000000000001,0.6593,NO
0.2886,0.6139,NO
0.1427,0.3369,NO
0.0855,0.6773,NO
0.0605,0.2344,NO
0.0532,0.1812,NO
0.1421,0.2452,NO
0.4397,1.0,YES
0.0607,0.7077,NO
0.2347,1.0,YES
0.2118,0.2593,NO
0.2048,0.2593,NO
0.2045,0.2593,NO
0.0849,0.1812,NO
0.1035,0.5133,NO
0.0824,0.2886,NO
0.0975,0.4343,NO
0.1702,0.2508,NO
0.1518,0.3335,NO
0.3372,1.0,YES
0.3303,1.0,YES
0.314,1.0,YES
0.1257,1.0,YES
0.1375,0.2322,NO
0.1128,1.0,YES
0.099,0.3939,NO
0.1069,0.2194,NO
0.0451,0.2607,NO
0.5095,1.0,YES
0.1431,0.6673,YES
0.1227,0.5116,YES
0.2847,1.0,YES
0.2237,0.3986,NO
0.1065,0.2194,NO
0.3266,1.0,YES
0.0974,0.7244,NO
0.3289,0.9537,YES
0.1059,0.196,NO
0.2131,0.5579,NO
0.1496,0.2959,NO
0.1474,0.3473,NO
0.0902,0.2557,NO
0.0993,0.6673,YES
0.0875,0.2194,NO
0.2369,0.6673,YES
0.2129,0.3901,NO
0.1321,0.3312,YES
0.1271,0.4243,NO
0.08,0.7244,NO
0.3025,0.7244,NO
0.12,0.3976,NO
0.3399,1.0,YES
0.2516,0.7244,NO
0.2081,1.0,YES
0.1799,0.2216,NO
0.1547,0.3233,NO
0.3595,1.0,YES
0.2156,0.1754,NO
0.1535,0.2599,NO
0.4159,1.0,YES
0.1827,0.4103,NO
0.1097,0.134,NO
0.5448,1.0,YES
0.191,0.2219,NO
0.4381,1.0,YES
0.1528,0.1414,NO
0.3264,0.5402,NO
0.3203,0.5402,NO
0.2648,0.5402,NO
0.171,0.1957,NO
0.21899999999999997,0.5205,NO
0.1398,0.0759,NO
0.3673,0.537,NO
0.1451,0.2986,NO
0.2637,0.3889,NO
0.1991,0.2695,NO
0.1784,0.2365,NO
0.3767,0.5719,NO
0.1917,0.3342,NO
0.3794,1.0,YES
0.3359,0.6436,NO
0.2874,1.0,YES
0.0798,0.1762,NO
0.0364,0.2716,NO
0.2475,0.8593,YES
0.2794,1.0,YES
0.2232,1.0,YES
0.2213,0.8399,YES
0.1233,0.326,NO
0.0474,0.1187,NO
0.2799,0.8593,YES
0.2328,0.8778,NO
0.2608,0.8399,YES
0.1095,0.8445,NO
0.2365,0.4794,NO
0.2061,0.3373,NO
0.2048,0.2984,NO
0.0456,0.1089,NO
0.1795,1.0,YES
0.0442,0.0879,NO
0.27,1.0,YES
0.1224,0.1608,NO
0.1913,1.0,YES
0.2397,0.8445,NO
0.2111,0.8778,NO
0.2935,0.8778,NO
0.1155,0.8445,NO
0.243,0.8593,YES
0.1959,0.8778,NO
0.198,0.982,YES
0.1636,0.0731,NO
0.1646,0.2596,NO
0.3881,1.0,YES
0.1762,0.5126,NO
0.1649,0.39299999999999996,NO
0.4197,0.6763,YES
0.1681,0.2276,NO
0.153,0.1381,NO
0.4738,1.0,YES
0.159,0.6038,NO
0.493,1.0,YES
0.1456,0.1633,NO
0.2244,0.5579,NO
0.1542,0.3363,NO
0.1277,0.3473,NO
0.1775,0.0829,NO
0.2106,0.5126,NO
0.1654,0.0459,NO
0.3557,0.5394,NO
0.0902,0.1871,NO
0.2663,0.3164,NO
0.2218,0.3536,NO
0.1764,0.6038,NO
0.3901,0.6038,NO
0.21600000000000003,0.3738,NO
0.402,1.0,YES
0.3584,0.6038,NO
0.3239,1.0,YES
0.0467,0.2091,NO
0.0184,0.2091,NO
0.0544,0.3483,YES
0.1967,0.9216,YES
0.1251,1.0,YES
0.0526,0.4202,YES
0.0389,0.1314,NO
0.0098,0.2091,NO
0.1204,0.3483,YES
0.1152,0.4207,NO
0.0434,0.498,YES
0.0994,0.4207,NO
0.171,0.7871,NO
0.1733,0.7602,NO
0.1785,0.7871,NO
0.0632,0.2091,NO
0.1652,0.9773,YES
0.0614,0.2009,NO
0.1533,1.0,YES
0.1347,0.2032,NO
0.1212,1.0,YES
0.015,0.3283,NO
0.0714,0.2937,NO
0.0698,0.4207,NO
0.035,0.4207,NO
0.0672,0.4337,YES
0.0378,0.4207,NO
0.0637,0.6136,YES
0.3024,1.0,YES
0.0482,1.0,YES
0.3634,0.2798,NO
0.1548,0.4952,NO
0.1459,0.3796,NO
0.1506,0.3391,NO
0.2394,1.0,YES
0.3693,1.0,YES
0.1404,0.2487,NO
0.0758,0.1012,NO
0.1517,0.3111,NO
0.067,0.1395,NO
0.2131,0.5915,NO
0.16,0.5915,NO
0.1446,0.5915,NO
0.0844,1.0,YES
0.095,0.4952,NO
0.2419,1.0,YES
0.026000000000000002,0.4952,NO
0.2985,1.0,YES
0.0377,0.2458,NO
0.102,0.1844,NO
0.0927,0.1843,NO
0.1259,0.2607,NO
0.1193,0.1637,NO
0.2177,0.35,NO
0.15,0.1746,NO
0.0996,0.4952,NO
0.0839,0.2216,NO
0.0672,0.3002,NO
0.3068,1.0,YES
0.1154,1.0,YES
0.0802,0.7667,YES
0.3166,1.0,YES
0.0868,0.4103,NO
0.0677,0.1381,NO
0.5456,1.0,YES
0.0938,0.2044,NO
0.3771,1.0,YES
0.0765,0.1361,NO
0.3042,0.5579,NO
0.1867,0.5147,NO
0.2024,0.5147,NO
0.084,0.2557,NO
0.1127,1.0,YES
0.0773,0.0896,NO
0.3002,1.0,YES
0.0821,0.3901,NO
0.1969,0.4963,YES
0.1353,0.3725,NO
0.0942,0.3721,NO
0.3023,0.5729,NO
0.1177,0.3738,NO
0.2966,1.0,YES
0.2621,0.5975,NO
0.3631,1.0,YES
