DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_VSM_63,Associated
0.0737,0.32,NO
0.0652,0.1493,NO
0.1144,0.2809,NO
0.2164,0.5644,NO
0.0671,0.2287,NO
0.0906,0.2707,NO
0.0589,0.3258,NO
0.0679,0.1819,NO
0.1689,0.2141,NO
0.2469,1.0,YES
0.0616,0.2887,NO
0.33799999999999997,1.0,YES
0.2427,0.2582,NO
0.2231,0.35200000000000004,NO
0.2223,0.2085,NO
0.1142,0.3282,NO
0.0706,0.1374,NO
0.1109,0.318,NO
0.0747,0.3529,NO
0.2179,0.1819,NO
0.1147,0.4378,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.314,NO
0.0716,1.0,YES
0.1205,0.1577,NO
0.1072,1.0,YES
0.2444,0.408,YES
0.3362,0.3151,NO
0.1579,0.2576,NO
0.1148,0.1261,NO
0.1112,0.3034,NO
0.3947,0.7571,YES
0.0957,1.0,YES
0.1364,0.3034,NO
0.1056,0.0908,NO
0.0981,0.3034,NO
0.1058,0.1939,NO
0.1797,0.2584,NO
0.1526,0.3413,NO
0.1551,0.1953,NO
0.2811,0.8269,YES
0.0766,0.2165,NO
0.1126,1.0,YES
0.0341,0.1359,NO
0.3399,1.0,YES
0.0412,0.1607,NO
0.1212,0.1939,NO
0.0769,0.2289,NO
0.1235,0.1939,NO
0.0802,0.1939,NO
0.1903,0.3034,NO
0.1119,0.2142,NO
0.1008,0.1431,NO
0.0886,0.3088,NO
0.1534,0.1441,NO
0.1331,0.2866,NO
0.2865,0.5644,NO
0.1512,0.3765,NO
0.1666,0.3427,NO
0.1465,0.3258,NO
0.0509,0.294,NO
0.2187,0.3753,NO
0.4574,1.0,YES
0.1603,0.2866,NO
0.2015,0.965,YES
0.205,0.2007,NO
0.2168,0.35200000000000004,NO
0.2136,0.1517,NO
0.1919,0.3167,NO
0.1533,0.3765,NO
0.1268,0.3069,NO
0.1947,0.3765,NO
0.1755,0.294,NO
0.2202,0.4224,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.7613,YES
0.1771,1.0,YES
0.1659,0.3753,NO
0.1927,1.0,YES
0.1251,0.2381,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.2455,NO
0.1662,0.2013,NO
0.1507,0.1173,NO
0.1441,0.2075,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.2341,NO
0.0952,0.316,NO
0.1364,0.2455,NO
0.0887,0.316,NO
0.2289,0.3157,NO
0.2088,0.3845,NO
0.2075,0.2386,NO
0.1923,0.4268,YES
0.0927,0.2013,NO
0.0821,1.0,YES
0.0311,0.1466,NO
0.3081,0.5838,YES
0.0406,0.1155,NO
0.1251,0.316,NO
0.091,0.316,NO
0.11800000000000001,0.316,NO
0.1053,0.316,NO
0.2201,0.228,NO
0.1351,0.316,NO
0.1328,0.1923,NO
0.0724,0.3011,NO
0.0244,0.2493,NO
0.1404,0.5033,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6382,YES
0.0826,0.344,NO
0.013000000000000001,0.2493,NO
0.2103,1.0,YES
0.1395,0.1787,NO
0.1325,0.4491,YES
0.1443,0.254,NO
0.2165,0.2986,NO
0.1934,0.3553,NO
0.1934,0.2412,NO
0.0572,0.1663,NO
0.2318,1.0,YES
0.0556,0.2493,NO
0.3609,1.0,YES
0.1417,0.304,NO
0.255,1.0,YES
0.0522,0.3369,NO
0.0677,0.254,NO
0.1439,0.4856,NO
0.0494,0.254,NO
0.1715,1.0,YES
0.0964,0.4444,NO
0.1343,0.4367,YES
0.1544,0.3331,NO
0.0732,0.3331,NO
0.1975,0.4052,NO
0.2582,0.5352,NO
0.1977,0.4528,NO
0.1701,0.4052,NO
0.1684,0.3331,NO
0.1225,0.3331,NO
0.1458,0.4528,NO
0.4028,1.0,YES
0.1577,0.4052,NO
0.2904,1.0,YES
0.1987,0.2548,NO
0.1756,0.3337,NO
0.1689,0.19699999999999998,NO
0.054000000000000006,0.3282,NO
0.1469,0.4528,NO
0.0547,0.3331,NO
0.1082,0.3613,NO
0.2019,0.1944,NO
0.1293,0.4528,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.4528,NO
0.1753,1.0,YES
0.0979,0.1977,NO
0.0985,0.3229,NO
0.0774,0.174,NO
0.1069,0.2644,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.3353,YES
0.0885,0.2651,NO
0.0604,0.174,NO
0.2068,0.5253,YES
0.2598,0.1373,NO
0.106,0.2359,YES
0.1459,0.2183,NO
0.2252,0.2568,NO
0.2571,0.42,NO
0.2375,0.2074,NO
0.1453,0.1493,NO
0.2245,1.0,YES
0.141,0.174,NO
0.2623,1.0,YES
0.142,0.1597,NO
0.2555,0.7878,YES
0.2049,0.2183,NO
0.2206,0.2183,NO
0.2228,0.2551,NO
0.1032,0.2183,NO
0.1461,0.5253,YES
0.1116,0.2509,NO
0.1326,0.2294,YES
0.1415,0.3496,NO
0.0745,0.1149,NO
0.2381,0.2748,NO
0.19,0.42700000000000005,NO
0.1547,0.42700000000000005,NO
0.1997,0.6333,NO
0.1653,0.4164,NO
0.1536,0.3096,NO
0.1999,0.42700000000000005,NO
0.1989,1.0,YES
0.2045,0.2748,NO
0.2447,1.0,YES
0.2519,0.3298,NO
0.2036,0.4018,NO
0.2033,0.2493,NO
0.0533,0.3096,NO
0.105,0.42700000000000005,NO
0.055999999999999994,0.3096,NO
0.1113,0.3844,NO
0.2256,0.3096,NO
0.0989,0.42700000000000005,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.42700000000000005,NO
0.1657,1.0,YES
0.1331,0.3347,NO
0.0949,0.3071,NO
0.1339,0.1374,NO
0.22399999999999998,0.3061,NO
0.1967,0.5644,NO
0.1436,0.3237,NO
0.2079,0.4569,NO
0.1339,0.3258,NO
0.0967,0.1133,NO
0.2198,0.3237,NO
0.3428,1.0,YES
0.2344,0.3905,NO
0.1736,1.0,YES
0.1331,0.2244,NO
0.0735,0.35200000000000004,NO
0.0647,0.1078,NO
0.204,0.3019,NO
0.1327,0.4156,NO
0.1655,0.2925,NO
0.31,0.3308,NO
0.1309,0.1069,NO
0.2819,0.4156,NO
0.4042,1.0,YES
0.3296,1.0,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.3237,NO
0.2673,1.0,YES
0.1726,0.3905,NO
0.1439,0.32,NO
0.0769,0.2636,NO
0.1953,0.2809,NO
0.2342,0.5077,NO
0.2047,0.4809,NO
0.1823,0.377,NO
0.1684,0.293,NO
0.1204,0.307,NO
0.1751,0.4809,NO
0.3579,1.0,YES
0.1828,0.2887,NO
0.2083,1.0,YES
0.2252,0.2244,NO
0.2041,0.3166,NO
0.2007,0.1078,NO
0.0498,0.3282,NO
0.1415,0.4809,NO
0.0515,0.318,NO
0.1207,0.3827,NO
0.1912,0.307,NO
0.14,0.4809,NO
0.4038,1.0,YES
0.3494,1.0,YES
0.2799,1.0,YES
