DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_87,Associated
0.0737,0.32,NO
0.0652,0.2574,NO
0.1144,0.5722,NO
0.2164,0.5644,NO
0.0671,0.31,NO
0.0906,0.6333,NO
0.0589,0.4164,NO
0.0679,0.1745,NO
0.1689,0.4753,NO
0.2469,1.0,YES
0.0616,0.1782,NO
0.33799999999999997,1.0,YES
0.2427,0.3353,NO
0.2231,0.35200000000000004,NO
0.2223,0.2085,NO
0.1142,0.3282,NO
0.0706,0.4327,NO
0.1109,0.318,NO
0.0747,0.3529,NO
0.2179,0.2574,NO
0.1147,0.3438,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,0.8236,YES
0.24,1.0,YES
0.1573,0.314,NO
0.0716,1.0,YES
0.1205,0.2156,NO
0.1072,1.0,YES
0.2444,0.408,YES
0.3362,0.2893,NO
0.1579,0.2796,NO
0.1148,0.2796,NO
0.1112,0.2113,NO
0.3947,0.7571,YES
0.0957,0.7333,YES
0.1364,0.2796,NO
0.1056,0.1939,NO
0.0981,0.2796,NO
0.1058,0.1939,NO
0.1797,0.3148,NO
0.1526,0.3413,NO
0.1551,0.1953,NO
0.2811,0.8269,YES
0.0766,0.2796,NO
0.1126,1.0,YES
0.0341,0.1687,NO
0.3399,1.0,YES
0.0412,0.127,NO
0.1212,0.1939,NO
0.0769,0.1939,NO
0.1235,0.1597,NO
0.0802,0.1939,NO
0.1903,0.2189,NO
0.1119,0.2142,NO
0.1008,0.2796,NO
0.0886,0.3088,NO
0.1534,0.1441,NO
0.1331,0.5722,NO
0.2865,0.5644,NO
0.1512,0.3753,NO
0.1666,0.6333,NO
0.1465,0.4164,NO
0.0509,0.1066,NO
0.2187,0.4753,NO
0.4574,1.0,YES
0.1603,0.3753,NO
0.2015,1.0,YES
0.205,0.3104,NO
0.2168,0.35200000000000004,NO
0.2136,0.1697,NO
0.1919,0.3167,NO
0.1533,0.4175,NO
0.1268,0.3069,NO
0.1947,0.3765,NO
0.1755,0.1316,NO
0.2202,0.3438,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,0.8236,YES
0.1771,1.0,YES
0.1659,0.303,NO
0.1927,1.0,YES
0.1251,0.3753,NO
0.1303,0.9153,YES
0.1814,1.0,YES
0.3356,0.2856,NO
0.1662,0.3559,NO
0.1507,0.3559,NO
0.1441,0.2479,NO
0.3435,0.3908,YES
0.1243,0.6779999999999999,YES
0.1731,0.3559,NO
0.0952,0.316,NO
0.1364,0.3559,NO
0.0887,0.2251,NO
0.2289,0.3845,NO
0.2088,0.285,NO
0.2075,0.2386,NO
0.1923,1.0,YES
0.0927,0.3559,NO
0.0821,0.904,YES
0.0311,0.2148,NO
0.3081,1.0,YES
0.0406,0.1617,NO
0.1251,0.316,NO
0.091,0.316,NO
0.11800000000000001,0.316,NO
0.1053,0.2251,NO
0.2201,0.2455,NO
0.1351,0.2251,NO
0.1328,0.3559,NO
0.0724,0.3229,NO
0.0244,0.2493,NO
0.1404,0.5033,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6382,YES
0.0826,0.344,NO
0.013000000000000001,0.1691,NO
0.2103,1.0,YES
0.1395,0.3816,NO
0.1325,1.0,YES
0.1443,0.2022,NO
0.2165,0.3877,NO
0.1934,0.3877,NO
0.1934,0.2412,NO
0.0572,0.2493,NO
0.2318,1.0,YES
0.0556,0.2254,NO
0.3609,1.0,YES
0.1417,0.2493,NO
0.255,1.0,YES
0.0522,0.3369,NO
0.0677,0.462,NO
0.1439,0.4856,NO
0.0494,0.2229,NO
0.1715,0.5820000000000001,YES
0.0964,0.2838,NO
0.1343,1.0,YES
0.1544,0.32,NO
0.0732,0.1493,NO
0.1975,0.3565,NO
0.2582,0.5352,NO
0.1977,0.3132,NO
0.1701,0.3946,NO
0.1684,0.2831,NO
0.1225,0.2102,NO
0.1458,0.4052,NO
