DIRECT_NA_NA_VSM,50Traced_NONETRACED_SUM_MULTI_VSM_72,Associated
0.0737,0.8607,NO
0.0652,0.3809,NO
0.1144,1.5263,NO
0.2164,1.6392,NO
0.0671,0.9246,NO
0.0906,2.2826,NO
0.0589,1.07,NO
0.0679,0.3254,NO
0.1689,1.0008,NO
0.2469,3.7522,YES
0.0616,1.5464,NO
0.33799999999999997,2.7388,YES
0.2427,1.5344,NO
0.2231,1.1019,NO
0.2223,0.419,NO
0.1142,0.7578,NO
0.0706,1.9480000000000002,NO
0.1109,0.7448,NO
0.0747,1.3604,NO
0.2179,0.4796,NO
0.1147,1.5831,NO
0.0779,3.2679,YES
0.0804,3.7412,YES
0.1668,3.4941,YES
0.24,2.5272,YES
0.1573,1.6142,NO
0.0716,2.6584,YES
0.1205,1.2908,NO
0.1072,1.2159,YES
0.2444,1.454,YES
0.3362,1.4299,NO
0.1579,0.6903,NO
0.1148,0.5710000000000001,NO
0.1112,1.5864,NO
0.3947,1.5337,YES
0.0957,1.6456,YES
0.1364,1.3185,NO
0.1056,0.8245,NO
0.0981,1.092,NO
0.1058,0.5063,NO
0.1797,1.1463,NO
0.1526,1.1092,NO
0.1551,0.8108,NO
0.2811,1.5525,YES
0.0766,0.6755,NO
0.1126,1.7071,YES
0.0341,0.703,NO
0.3399,1.6338,YES
0.0412,0.7373,NO
0.1212,0.705,NO
0.0769,1.1083,NO
0.1235,0.9536,NO
0.0802,0.599,NO
0.1903,1.2102,NO
0.1119,0.6561,NO
0.1008,0.8752,NO
0.0886,0.6679999999999999,NO
0.1534,0.4046,NO
0.1331,2.2589,NO
0.2865,1.1167,NO
0.1512,0.825,NO
0.1666,2.8335,NO
0.1465,1.212,NO
0.0509,0.2334,NO
0.2187,1.6556,NO
0.4574,3.647,YES
0.1603,2.2047,NO
0.2015,2.6787,YES
0.205,1.5964,NO
0.2168,0.9774,NO
0.2136,0.3383,NO
0.1919,0.6758,NO
0.1533,1.7131,NO
0.1268,0.6402,NO
0.1947,0.9972,NO
0.1755,0.44,NO
0.2202,1.2583,NO
0.4465,3.3549,YES
0.4252,3.8713,YES
0.3653,3.5375,YES
0.1771,2.5906,YES
0.1659,1.9243,NO
0.1927,2.8735,YES
0.1251,1.5490000000000002,NO
0.1303,1.6189,YES
0.1814,1.5963,YES
0.3356,0.4844,NO
0.1662,0.4493,NO
0.1507,0.2156,NO
0.1441,0.5847,NO
0.3435,1.1863,YES
0.1243,1.8609,YES
0.1731,0.6061,NO
0.0952,0.7111,NO
0.1364,0.4426,NO
0.0887,0.4453,NO
0.2289,0.6026,NO
0.2088,0.5838,NO
0.2075,0.5376,NO
0.1923,1.2145,YES
0.0927,0.4696,NO
0.0821,1.8737,YES
0.0311,0.1198,NO
0.3081,1.4371,YES
0.0406,0.1706,NO
0.1251,0.4347,NO
0.091,0.5197,NO
0.11800000000000001,0.637,NO
0.1053,0.3793,NO
0.2201,0.2188,NO
0.1351,0.4251,NO
0.1328,0.1596,NO
0.0724,1.5561,NO
0.0244,0.8235,NO
0.1404,2.2296,YES
0.3348,3.8573,YES
0.2937,2.8192,YES
0.14300000000000002,2.8737,YES
0.0826,0.5889,NO
0.013000000000000001,0.7827,NO
0.2103,2.3216,YES
0.1395,0.9926,NO
0.1325,2.8213,YES
0.1443,0.6761,NO
0.2165,1.456,NO
0.1934,0.9337,NO
0.1934,0.696,NO
0.0572,0.65,NO
0.2318,2.5328,YES
0.0556,0.8155,NO
0.3609,3.9646,YES
0.1417,0.8537,NO
0.255,4.2036,YES
0.0522,1.1073,NO
0.0677,1.3771,NO
0.1439,2.1469,NO
0.0494,0.8976,NO
0.1715,1.9777,YES
0.0964,1.3774,NO
0.1343,2.2984,YES
0.1544,0.8386,NO
0.0732,0.6104,NO
0.1975,1.5329,NO
0.2582,1.2818,NO
0.1977,0.6762,NO
0.1701,2.1726,NO
0.1684,1.4280000000000002,NO
0.1225,0.4338,NO
0.1458,1.1812,NO
0.4028,3.8685,YES
0.1577,1.5128,NO
0.2904,2.8867,YES
0.1987,1.5884,NO
0.1756,1.1774,NO
0.1689,0.4538,NO
0.054000000000000006,0.8839,NO
0.1469,1.7216,NO
0.0547,0.7664,NO
0.1082,0.9495,NO
0.2019,0.517,NO
0.1293,1.2517,NO
0.3897,3.4881,YES
0.3612,4.029,YES
0.2791,3.4589999999999996,YES
0.2894,2.6755,YES
0.2226,1.4654,NO
0.1753,2.5694,YES
0.0979,1.3734,NO
0.0985,1.0423,NO
0.0774,0.4867,NO
0.1069,1.3425,YES
0.3647,3.7273,YES
0.2531,2.6013,YES
0.1331,2.1361,YES
0.0885,0.6562,NO
0.0604,0.2905,NO
0.2068,1.4946,YES
0.2598,1.3389,NO
0.106,1.9349,YES
0.1459,1.0089,NO
0.2252,1.2204,NO
0.2571,0.8655,NO
0.2375,0.5175,NO
0.1453,0.4127,NO
0.2245,2.6501,YES
0.141,0.5133,NO
0.2623,3.7097,YES
0.142,0.4732,NO
0.2555,4.0001,YES
0.2049,1.5689,NO
0.2206,1.7135,NO
0.2228,2.0745,NO
0.1032,1.1840000000000002,NO
0.1461,1.5151,YES
0.1116,1.5626,NO
0.1326,1.6902,YES
0.1415,1.1505,NO
0.0745,0.6741,NO
0.2381,1.9528,NO
0.19,1.5525,NO
0.1547,1.0577,NO
0.1997,2.6069999999999998,NO
0.1653,1.4988,NO
0.1536,0.6869,NO
0.1999,1.6121,NO
0.1989,2.8295,YES
0.2045,1.9955,NO
0.2447,2.0937,YES
0.2519,1.8272,NO
0.2036,1.4094,NO
0.2033,1.0148,NO
0.0533,1.1677,NO
0.105,1.7165,NO
0.055999999999999994,1.1319,NO
0.1113,1.3828,NO
0.2256,0.9319,NO
0.0989,1.4311,NO
0.1879,2.8045,YES
0.1445,3.139,YES
0.1901,2.8394,YES
0.3108,1.9264,YES
0.2405,2.0584,NO
0.1657,2.5252,YES
0.1331,1.6701,NO
0.0949,0.7213,NO
0.1339,0.6682,NO
0.22399999999999998,1.7416,NO
0.1967,1.5931,NO
0.1436,0.7848,NO
0.2079,2.1789,NO
0.1339,1.0881,NO
0.0967,0.3767,NO
0.2198,1.4285,NO
0.3428,2.9449,YES
0.2344,1.9480000000000002,NO
0.1736,2.2673,YES
0.1331,1.2939,NO
0.0735,0.7999,NO
0.0647,0.1816,NO
0.204,0.6642,NO
0.1327,1.5879,NO
0.1655,0.769,NO
0.31,0.9034,NO
0.1309,0.5353,NO
0.2819,1.2891,NO
0.4042,2.6542,YES
0.3296,2.9678,YES
0.4941,3.0371,YES
0.1783,1.8676,YES
0.193,1.4016,NO
0.2673,2.423,YES
0.1726,1.6018,NO
0.1439,0.4985,NO
0.0769,0.3586,NO
0.1953,1.6999,NO
0.2342,1.1941,NO
0.2047,1.1767,NO
0.1823,2.1694,NO
0.1684,1.0512,NO
0.1204,0.1596,NO
0.1751,1.5282,NO
0.3579,3.1062,YES
0.1828,1.6949,NO
0.2083,2.4105,YES
0.2252,1.5573,NO
0.2041,1.1766,NO
0.2007,0.5091,NO
0.0498,0.4695,NO
0.1415,1.7607,NO
0.0515,0.428,NO
0.1207,1.1757,NO
0.1912,0.2805,NO
0.14,1.2939,NO
0.4038,3.085,YES
0.3494,3.4091,YES
0.2799,3.011,YES
0.2675,2.2315,YES
0.2206,1.5579,NO
0.2003,2.3238,YES
0.1168,1.351,NO
0.0727,0.7135,NO
0.0714,0.6199,NO
0.10800000000000001,1.4518,NO
0.2886,1.8395,NO
0.1427,1.0437,NO
0.0855,2.1014,NO
0.0605,1.3547,NO
0.0532,0.3905,NO
0.1421,0.8190000000000001,NO
0.4397,3.9643,YES
0.0607,1.3559,NO
0.2347,2.9075,YES
0.2118,1.5864,NO
0.2048,1.2886,NO
0.2045,0.429,NO
0.0849,0.7971,NO
0.1035,2.137,NO
0.0824,0.8122,NO
0.0975,1.4324,NO
0.1702,0.5666,NO
0.1518,1.6067,NO
0.3372,3.5177,YES
0.3303,3.9438,YES
0.314,3.5065,YES
0.1257,2.7194,YES
0.1375,1.4434,NO
0.1128,2.6751,YES
0.099,1.1389,NO
0.1069,0.7811,NO
0.0451,0.2786,NO
0.5095,4.3093,YES
0.1431,1.0622,YES
0.1227,1.2394,YES
0.2847,4.7287,YES
0.2237,0.9934,NO
0.1065,0.1295,NO
0.3266,3.355,YES
0.0974,1.3375,NO
0.3289,3.9561,YES
0.1059,0.494,NO
0.2131,2.0591,NO
0.1496,0.9575,NO
0.1474,0.6944,NO
0.0902,0.3044,NO
0.0993,0.7272,YES
0.0875,0.3902,NO
0.2369,1.7059,YES
0.2129,0.7090000000000001,NO
0.1321,2.1336,YES
0.1271,1.3494,NO
0.08,2.1032,NO
0.3025,2.0499,NO
0.12,1.3815,NO
0.3399,3.5797,YES
0.2516,2.2977,NO
0.2081,3.2977,YES
0.1799,1.2623,NO
0.1547,0.4658,NO
0.3595,3.9683,YES
0.2156,1.1897,NO
0.1535,1.0601,NO
0.4159,4.6571,YES
0.1827,1.1654,NO
0.1097,0.4413,NO
0.5448,4.3629,YES
0.191,1.1298,NO
0.4381,4.1264,YES
0.1528,0.5114,NO
0.3264,2.2213,NO
0.3203,0.701,NO
0.2648,0.4822,NO
0.171,0.544,NO
0.21899999999999997,0.7795,NO
0.1398,0.5434,NO
0.3673,1.8527,NO
0.1451,0.821,NO
0.2637,2.4959,NO
0.1991,1.1104,NO
0.1784,1.8459999999999999,NO
0.3767,2.161,NO
0.1917,1.1857,NO
0.3794,3.5318,YES
0.3359,2.016,NO
0.2874,3.937,YES
0.0798,1.4636,NO
0.0364,0.8252,NO
0.2475,3.0874,YES
0.2794,3.4561,YES
0.2232,2.5792,YES
0.2213,3.66,YES
0.1233,1.1449,NO
0.0474,0.647,NO
0.2799,3.0439,YES
0.2328,1.4278,NO
0.2608,3.6701,YES
0.1095,1.0853,NO
0.2365,1.5887,NO
0.2061,0.6298,NO
0.2048,0.5226,NO
0.0456,0.5877,NO
0.1795,2.408,YES
0.0442,0.8699,NO
0.27,3.4977,YES
0.1224,0.741,NO
0.1913,3.9424,YES
0.2397,1.652,NO
0.2111,1.9123,NO
0.2935,2.9124,NO
0.1155,1.2169,NO
0.243,2.5285,YES
0.1959,2.4645,NO
0.198,3.2508,YES
0.1636,0.807,NO
0.1646,0.3121,NO
0.3881,2.4207,YES
0.1762,0.9166,NO
0.1649,0.4785,NO
0.4197,2.5764,YES
0.1681,0.6552,NO
0.153,0.1145,NO
0.4738,2.3005,YES
0.159,1.1201,NO
0.493,2.7825,YES
0.1456,0.6287,NO
0.2244,1.3889,NO
0.1542,0.654,NO
0.1277,0.3342,NO
0.1775,0.275,NO
0.2106,0.6809,NO
0.1654,0.2316,NO
0.3557,0.95,NO
0.0902,0.2992,NO
0.2663,1.3408,NO
0.2218,1.0832,NO
0.1764,1.2991,NO
0.3901,1.52,NO
0.21600000000000003,0.8564,NO
0.402,1.9279,YES
0.3584,1.206,NO
0.3239,2.1631,YES
0.0467,1.2227,NO
0.0184,0.3431,NO
0.0544,0.6601,YES
0.1967,2.8682,YES
0.1251,1.9885,YES
0.0526,1.1183,YES
0.0389,0.2889,NO
0.0098,0.3178,NO
0.1204,1.4237,YES
0.1152,0.4128,NO
0.0434,1.392,YES
0.0994,0.462,NO
0.171,0.7215,NO
0.1733,0.5132,NO
0.1785,0.4959,NO
0.0632,0.2719,NO
0.1652,2.1379,YES
0.0614,0.4308,NO
0.1533,3.0574,YES
0.1347,0.3198,NO
0.1212,3.5839,YES
0.015,0.6554,NO
0.0714,0.5633,NO
0.0698,1.3223,NO
0.035,0.3762,NO
0.0672,1.0371,YES
0.0378,0.5655,NO
0.0637,1.0132,YES
0.3024,1.8603,YES
0.0482,1.8319,YES
0.3634,1.0431,NO
0.1548,0.5191,NO
0.1459,0.2904,NO
0.1506,1.2837,NO
0.2394,1.7359,YES
0.3693,2.3707,YES
0.1404,1.4801,NO
0.0758,0.9217,NO
0.1517,0.946,NO
0.067,0.6161,NO
0.2131,1.1026,NO
0.16,0.9804,NO
0.1446,0.6938,NO
0.0844,2.0292,YES
0.095,0.7321,NO
0.2419,2.4034,YES
