DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_VSM_64,Associated
0.0737,0.2574,NO
0.0652,0.2574,NO
0.1144,0.2323,NO
0.2164,0.5644,NO
0.0671,0.31,NO
0.0906,0.1938,NO
0.0589,0.2574,NO
0.0679,0.1745,NO
0.1689,0.2323,NO
0.2469,1.0,YES
0.0616,0.2323,NO
0.33799999999999997,1.0,YES
0.2427,0.3353,NO
0.2231,0.3555,NO
0.2223,0.3555,NO
0.1142,0.1056,NO
0.0706,0.36,NO
0.1109,0.2327,NO
0.0747,0.2323,NO
0.2179,0.1502,NO
0.1147,0.1995,NO
0.0779,0.83,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1354,NO
0.0716,0.3569,YES
0.1205,0.2323,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.2796,NO
0.1579,0.1791,NO
0.1148,0.2796,NO
0.1112,0.2113,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2796,NO
0.1056,0.1789,NO
0.0981,0.2796,NO
0.1058,0.1789,NO
0.1797,0.301,NO
0.1526,0.3413,NO
0.1551,0.1872,NO
0.2811,1.0,YES
0.0766,0.2044,NO
0.1126,1.0,YES
0.0341,0.2796,NO
0.3399,1.0,YES
0.0412,0.1652,NO
0.1212,0.2425,NO
0.0769,0.2456,NO
0.1235,0.2425,NO
0.0802,0.2425,NO
0.1903,0.2287,NO
0.1119,0.2142,NO
0.1008,0.2796,NO
0.0886,0.294,NO
0.1534,0.1493,NO
0.1331,0.3753,NO
0.2865,0.5644,NO
0.1512,0.3765,NO
0.1666,0.4162,NO
0.1465,0.294,NO
0.0509,0.0958,NO
0.2187,0.3753,NO
0.4574,1.0,YES
0.1603,0.3753,NO
0.2015,1.0,YES
0.205,0.2728,NO
0.2168,0.35200000000000004,NO
0.2136,0.2445,NO
0.1919,0.3282,NO
0.1533,0.4327,NO
0.1268,0.318,NO
0.1947,0.3753,NO
0.1755,0.1482,NO
0.2202,0.4378,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.314,NO
0.1927,0.5682,YES
0.1251,0.3753,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.3559,NO
0.1662,0.228,NO
0.1507,0.3559,NO
0.1441,0.2306,NO
0.3435,1.0,YES
0.1243,0.6779999999999999,YES
0.1731,0.3559,NO
0.0952,0.2251,NO
0.1364,0.3559,NO
0.0887,0.0764,NO
0.2289,0.3667,NO
0.2088,0.3667,NO
0.2075,0.2281,NO
0.1923,0.5161,YES
0.0927,0.1922,NO
0.0821,0.904,YES
0.0311,0.3559,NO
0.3081,0.5838,YES
0.0406,0.1617,NO
0.1251,0.2251,NO
0.091,0.2251,NO
0.11800000000000001,0.1854,NO
0.1053,0.2251,NO
0.2201,0.214,NO
0.1351,0.2251,NO
0.1328,0.3559,NO
0.0724,0.3011,NO
0.0244,0.2493,NO
0.1404,1.0,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6382,YES
0.0826,0.2651,NO
0.013000000000000001,0.1691,NO
0.2103,1.0,YES
0.1395,0.3816,NO
0.1325,1.0,YES
0.1443,0.2022,NO
0.2165,0.3877,NO
0.1934,0.3877,NO
0.1934,0.2412,NO
0.0572,0.2011,NO
0.2318,1.0,YES
0.0556,0.2254,NO
0.3609,1.0,YES
0.1417,0.304,NO
0.255,1.0,YES
0.0522,0.3369,NO
0.0677,0.5347,NO
0.1439,0.3056,NO
0.0494,0.0888,NO
