DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_SINGLE_LSA_4,Associated
0.0737,0.2626,NO
0.0652,0.2626,NO
0.1144,0.0997,NO
0.2164,0.3384,NO
0.0671,0.2874,NO
0.0906,0.1245,NO
0.0589,0.2626,NO
0.0679,0.1058,NO
0.1689,0.1818,NO
0.2469,0.6882,YES
0.0616,0.1818,NO
0.33799999999999997,1.0,YES
0.2427,0.2134,NO
0.2231,0.059000000000000004,NO
0.2223,0.1733,NO
0.1142,0.2626,NO
0.0706,0.5133,NO
0.1109,0.2626,NO
0.0747,0.4343,NO
0.2179,0.2626,NO
0.1147,0.3295,NO
0.0779,1.0,YES
0.0804,0.5954,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.1818,NO
0.0716,1.0,YES
0.1205,0.3939,NO
0.1072,1.0,YES
0.2444,1.0,YES
0.3362,0.4007,NO
0.1579,0.1038,NO
0.1148,0.0702,NO
0.1112,0.4007,NO
0.3947,1.0,YES
0.0957,0.405,YES
0.1364,0.4007,NO
0.1056,0.21100000000000002,NO
0.0981,0.4007,NO
0.1058,0.3066,NO
0.1797,0.0494,NO
0.1526,0.0369,NO
0.1551,0.0531,NO
0.2811,1.0,YES
0.0766,0.1188,NO
0.1126,1.0,YES
0.0341,0.1743,NO
0.3399,1.0,YES
0.0412,0.0763,NO
0.1212,0.3066,NO
0.0769,0.2082,NO
0.1235,0.3066,NO
0.0802,0.3066,NO
0.1903,0.4007,NO
0.1119,0.3066,NO
0.1008,0.133,NO
0.0886,0.2057,NO
0.1534,0.3133,NO
0.1331,0.1901,NO
0.2865,0.3895,NO
0.1512,0.3369,NO
0.1666,0.3464,NO
0.1465,0.2687,NO
0.0509,0.1058,NO
0.2187,0.1395,NO
0.4574,1.0,YES
0.1603,0.11,NO
0.2015,1.0,YES
0.205,0.2134,NO
0.2168,0.1924,NO
0.2136,0.1924,NO
0.1919,0.3249,NO
0.1533,0.5133,NO
0.1268,0.0898,NO
0.1947,0.4343,NO
0.1755,0.0623,NO
0.2202,0.3295,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.2322,NO
0.1927,1.0,YES
0.1251,0.3939,NO
0.1303,1.0,YES
0.1814,1.0,YES
0.3356,0.5415,NO
0.1662,0.34299999999999997,NO
0.1507,0.3722,NO
0.1441,0.5415,NO
0.3435,1.0,YES
0.1243,0.6166,YES
0.1731,0.5415,NO
0.0952,0.4069,NO
0.1364,0.5415,NO
0.0887,0.4069,NO
0.2289,0.647,NO
0.2088,0.7021,NO
0.2075,0.7021,NO
0.1923,1.0,YES
0.0927,0.3722,NO
0.0821,1.0,YES
0.0311,0.3722,NO
0.3081,1.0,YES
0.0406,0.2632,NO
0.1251,0.4069,NO
0.091,0.4069,NO
0.11800000000000001,0.4069,NO
0.1053,0.4069,NO
0.2201,0.5415,NO
0.1351,0.2963,NO
0.1328,0.4653,NO
0.0724,0.1709,NO
0.0244,0.1597,NO
0.1404,0.5483,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,0.6847,YES
0.0826,0.1724,NO
0.013000000000000001,0.0527,NO
0.2103,1.0,YES
0.1395,0.2044,NO
0.1325,1.0,YES
0.1443,0.22399999999999998,NO
0.2165,0.3493,NO
0.1934,0.379,NO
0.1934,0.379,NO
0.0572,0.0927,NO
0.2318,1.0,YES
0.0556,0.0921,NO
0.3609,1.0,YES
0.1417,0.2187,NO
0.255,0.8285,YES
0.0522,0.1733,NO
0.0677,0.3338,NO
0.1439,0.2164,NO
0.0494,0.1918,NO
0.1715,1.0,YES
0.0964,0.3518,NO
0.1343,0.5859,YES
0.1544,0.2169,NO
0.0732,0.3133,NO
0.1975,0.2268,NO
0.2582,0.4137,NO
0.1977,0.3369,NO
0.1701,0.3464,NO
0.1684,0.2687,NO
0.1225,0.2169,NO
0.1458,0.4137,NO
0.4028,1.0,YES
0.1577,0.4137,NO
0.2904,1.0,YES
0.1987,0.2451,NO
0.1756,0.2525,NO
0.1689,0.2525,NO
0.054000000000000006,0.3249,NO
0.1469,0.3158,NO
0.0547,0.2084,NO
0.1082,0.3043,NO
0.2019,0.2108,NO
0.1293,0.2053,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,1.0,YES
0.2894,1.0,YES
0.2226,0.4137,NO
0.1753,1.0,YES
0.0979,0.2424,NO
0.0985,0.1709,NO
0.0774,0.2183,NO
0.1069,0.4532,YES
0.3647,1.0,YES
0.2531,1.0,YES
0.1331,0.5660000000000001,YES
0.0885,0.1035,NO
0.0604,0.1194,NO
0.2068,0.8266,YES
0.2598,0.5884,NO
0.106,0.8266,YES
0.1459,0.3749,NO
0.2252,0.3948,NO
0.2571,0.3948,NO
0.2375,0.3938,NO
0.1453,0.2264,NO
0.2245,1.0,YES
0.141,0.1194,NO
0.2623,1.0,YES
0.142,0.2026,NO
0.2555,1.0,YES
0.2049,0.6968,NO
0.2206,0.6232,NO
0.2228,0.6968,NO
0.1032,0.3377,NO
0.1461,0.8266,YES
0.1116,0.462,NO
0.1326,0.4843,YES
0.1415,0.2148,NO
0.0745,0.2148,NO
0.2381,0.4239,NO
0.19,0.3384,NO
0.1547,0.1965,NO
0.1997,0.4239,NO
0.1653,0.2004,NO
0.1536,0.2148,NO
0.1999,0.4239,NO
0.1989,0.6882,YES
0.2045,0.4239,NO
0.2447,1.0,YES
0.2519,0.406,NO
0.2036,0.4406,NO
0.2033,0.4406,NO
0.0533,0.2148,NO
0.105,0.2646,NO
0.055999999999999994,0.2148,NO
0.1113,0.2239,NO
0.2256,0.2148,NO
0.0989,0.1699,NO
0.1879,1.0,YES
0.1445,0.5954,YES
0.1901,1.0,YES
0.3108,1.0,YES
0.2405,0.4239,NO
0.1657,1.0,YES
0.1331,0.2836,NO
0.0949,0.2057,NO
0.1339,0.3133,NO
0.22399999999999998,0.4039,NO
0.1967,0.3895,NO
0.1436,0.3315,NO
0.2079,0.3464,NO
0.1339,0.2116,NO
0.0967,0.1058,NO
0.2198,0.3349,NO
0.3428,0.8445,YES
0.2344,0.4039,NO
0.1736,1.0,YES
0.1331,0.2134,NO
0.0735,0.1756,NO
0.0647,0.1733,NO
0.204,0.3249,NO
0.1327,0.5133,NO
0.1655,0.0895,NO
0.31,0.4343,NO
0.1309,0.0905,NO
0.2819,0.3295,NO
0.4042,1.0,YES
0.3296,0.8945,YES
0.4941,1.0,YES
0.1783,1.0,YES
0.193,0.3349,NO
0.2673,1.0,YES
0.1726,0.4039,NO
0.1439,0.2057,NO
0.0769,0.3133,NO
0.1953,0.1901,NO
0.2342,0.3895,NO
0.2047,0.3369,NO
0.1823,0.3464,NO
0.1684,0.2687,NO
0.1204,0.1016,NO
0.1751,0.1729,NO
0.3579,1.0,YES
0.1828,0.1347,NO
0.2083,1.0,YES
0.2252,0.2729,NO
0.2041,0.2729,NO
0.2007,0.2722,NO
