DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_75,Associated
0.0737,0.3496,NO
0.0652,0.2852,NO
0.1144,0.5722,NO
0.2164,0.2323,NO
0.0671,0.2323,NO
0.0906,0.6333,NO
0.0589,0.2831,NO
0.0679,0.1133,NO
0.1689,0.4753,NO
0.2469,1.0,YES
0.0616,0.4964,NO
0.33799999999999997,0.5949,YES
0.2427,0.3104,NO
0.2231,0.3824,NO
0.2223,0.2206,NO
0.1142,0.2358,NO
0.0706,0.2323,NO
0.1109,0.2852,NO
0.0747,0.1402,NO
0.2179,0.2852,NO
0.1147,0.1055,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,0.8236,YES
0.24,1.0,YES
0.1573,0.4758,NO
0.0716,1.0,YES
0.1205,0.3251,NO
0.1072,1.0,YES
0.2444,0.6914,YES
0.3362,0.2893,NO
0.1579,0.2165,NO
0.1148,0.1652,NO
0.1112,0.2387,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.1922,NO
0.1056,0.1092,NO
0.0981,0.2069,NO
0.1058,0.0762,NO
0.1797,0.301,NO
0.1526,0.3148,NO
0.1551,0.1953,NO
0.2811,1.0,YES
0.0766,0.2165,NO
0.1126,0.904,YES
0.0341,0.2165,NO
0.3399,1.0,YES
0.0412,0.1398,NO
0.1212,0.1223,NO
0.0769,0.2456,NO
0.1235,0.1098,NO
0.0802,0.0824,NO
0.1903,0.1865,NO
0.1119,0.1151,NO
0.1008,0.1506,NO
0.0886,0.3496,NO
0.1534,0.294,NO
0.1331,0.5722,NO
0.2865,0.3753,NO
0.1512,0.3753,NO
0.1666,0.6333,NO
0.1465,0.3258,NO
0.0509,0.1133,NO
0.2187,0.4753,NO
0.4574,1.0,YES
0.1603,0.4964,NO
0.2015,1.0,YES
0.205,0.3104,NO
0.2168,0.3824,NO
0.2136,0.1697,NO
0.1919,0.2431,NO
0.1533,0.3753,NO
0.1268,0.294,NO
0.1947,0.3529,NO
0.1755,0.294,NO
0.2202,0.3078,NO
0.4465,1.0,YES
