DIRECT_NA_NA_VSM,50Traced_NONETRACED_MAX_MULTI_LSA_27,Associated
0.0737,0.1744,NO
0.0652,0.1819,NO
0.1144,0.1782,NO
0.2164,0.2804,NO
0.0671,0.1995,NO
0.0906,0.6333,NO
0.0589,0.4164,NO
0.0679,0.1819,NO
0.1689,0.2141,NO
0.2469,1.0,YES
0.0616,0.4964,NO
0.33799999999999997,1.0,YES
0.2427,0.3555,NO
0.2231,0.3824,NO
0.2223,0.3353,NO
0.1142,0.0528,NO
0.0706,0.3104,NO
0.1109,0.1585,NO
0.0747,0.1995,NO
0.2179,0.1819,NO
0.1147,0.3438,NO
0.0779,1.0,YES
0.0804,1.0,YES
0.1668,1.0,YES
0.24,1.0,YES
0.1573,0.4758,NO
0.0716,1.0,YES
0.1205,0.3251,NO
0.1072,0.9589,YES
0.2444,1.0,YES
0.3362,0.2893,NO
0.1579,0.2576,NO
0.1148,0.1652,NO
0.1112,0.3034,NO
0.3947,1.0,YES
0.0957,1.0,YES
0.1364,0.2796,NO
0.1056,0.1616,NO
0.0981,0.3034,NO
0.1058,0.1216,NO
0.1797,0.196,NO
0.1526,0.0944,NO
0.1551,0.0012,NO
0.2811,1.0,YES
0.0766,0.2796,NO
0.1126,0.8716,YES
0.0341,0.1687,NO
0.3399,1.0,YES
0.0412,0.2796,NO
0.1212,0.1939,NO
0.0769,0.2456,NO
0.1235,0.1939,NO
0.0802,0.1107,NO
0.1903,0.2268,NO
0.1119,0.1939,NO
0.1008,0.3034,NO
0.0886,0.3088,NO
0.1534,0.294,NO
0.1331,0.2297,NO
0.2865,0.3765,NO
0.1512,0.3765,NO
0.1666,0.6333,NO
0.1465,0.4164,NO
0.0509,0.1316,NO
0.2187,0.3028,NO
0.4574,0.9462,YES
0.1603,0.4964,NO
0.2015,0.7613,YES
0.205,0.3104,NO
0.2168,0.3824,NO
0.2136,0.1517,NO
0.1919,0.294,NO
0.1533,0.3765,NO
0.1268,0.3069,NO
0.1947,0.3765,NO
0.1755,0.294,NO
0.2202,0.3765,NO
0.4465,1.0,YES
0.4252,1.0,YES
0.3653,1.0,YES
0.1771,1.0,YES
0.1659,0.4758,NO
0.1927,1.0,YES
0.1251,0.3251,NO
0.1303,0.9153,YES
0.1814,1.0,YES
0.3356,0.2479,NO
0.1662,0.1499,NO
0.1507,0.1173,NO
0.1441,0.2862,NO
0.3435,1.0,YES
0.1243,1.0,YES
0.1731,0.2455,NO
0.0952,0.2069,NO
0.1364,0.2862,NO
0.0887,0.0771,NO
0.2289,0.172,NO
0.2088,0.3082,NO
0.2075,0.0442,NO
0.1923,0.5161,YES
0.0927,0.1177,NO
0.0821,0.904,YES
0.0311,0.2013,NO
0.3081,0.5838,YES
0.0406,0.2013,NO
0.1251,0.2251,NO
0.091,0.2251,NO
0.11800000000000001,0.2251,NO
0.1053,0.2187,NO
0.2201,0.2479,NO
0.1351,0.2251,NO
0.1328,0.2862,NO
0.0724,0.3011,NO
0.0244,0.2493,NO
0.1404,0.5033,YES
0.3348,1.0,YES
0.2937,1.0,YES
0.14300000000000002,1.0,YES
0.0826,0.344,NO
0.013000000000000001,0.2493,NO
0.2103,1.0,YES
0.1395,0.3816,NO
0.1325,0.4491,YES
0.1443,0.2147,NO
0.2165,0.3553,NO
0.1934,0.3553,NO
0.1934,0.2204,NO
0.0572,0.2011,NO
0.2318,1.0,YES
0.0556,0.2254,NO
0.3609,1.0,YES
0.1417,0.2011,NO
0.255,1.0,YES
0.0522,0.2147,NO
0.0677,0.5347,NO
0.1439,0.1944,NO
0.0494,0.2229,NO
0.1715,0.5820000000000001,YES
0.0964,0.1787,NO
0.1343,0.4367,YES
0.1544,0.3071,NO
0.0732,0.3331,NO
0.1975,0.1184,NO
0.2582,0.1712,NO
0.1977,0.31,NO
0.1701,0.3946,NO
0.1684,0.3331,NO
0.1225,0.3331,NO
0.1458,0.2127,NO
0.4028,0.9462,YES
0.1577,0.3093,NO
0.2904,0.9187,YES
0.1987,0.3166,NO
0.1756,0.3104,NO
0.1689,0.3166,NO
0.054000000000000006,0.272,NO
0.1469,0.2852,NO
0.0547,0.3011,NO
0.1082,0.2392,NO
0.2019,0.272,NO
0.1293,0.3078,NO
0.3897,1.0,YES
0.3612,1.0,YES
0.2791,0.6467,YES
0.2894,1.0,YES
0.2226,0.2964,NO
0.1753,0.6779,YES
0.0979,0.2101,NO
0.0985,0.3011,NO
0.0774,0.1168,NO
0.1069,0.5033,YES
0.3647,0.7449,YES
0.2531,0.6115,YES
0.1331,1.0,YES
0.0885,0.344,NO
0.0604,0.1327,NO
0.2068,1.0,YES
0.2598,0.433,NO
0.106,0.4491,YES
0.1459,0.4066,NO
0.2252,0.3108,NO
0.2571,0.3108,NO
0.2375,0.1929,NO
0.1453,0.1567,NO
0.2245,1.0,YES
0.141,0.1669,NO
0.2623,1.0,YES
0.142,0.1168,NO
0.2555,1.0,YES
0.2049,0.4576,NO
0.2206,0.462,NO
0.2228,0.2959,NO
0.1032,0.4576,NO
0.1461,0.5820000000000001,YES
0.1116,0.1633,NO
0.1326,0.4367,YES
0.1415,0.32,NO
0.0745,0.2988,NO
0.2381,0.2383,NO
0.19,0.2736,NO
0.1547,0.2386,NO
0.1997,0.42700000000000005,NO
0.1653,0.3056,NO
0.1536,0.2988,NO
0.1999,0.42700000000000005,NO
0.1989,1.0,YES
0.2045,0.3347,NO
0.2447,1.0,YES
0.2519,0.4316,NO
0.2036,0.4018,NO
0.2033,0.4316,NO
0.0533,0.2816,NO
0.105,0.42700000000000005,NO
0.055999999999999994,0.318,NO
0.1113,0.3529,NO
0.2256,0.2816,NO
0.0989,0.42700000000000005,NO
0.1879,1.0,YES
0.1445,1.0,YES
0.1901,0.7587,YES
0.3108,1.0,YES
0.2405,0.314,NO
0.1657,1.0,YES
0.1331,0.3347,NO
0.0949,0.3071,NO
0.1339,0.1027,NO
0.22399999999999998,0.3271,NO
0.1967,0.11800000000000001,NO
0.1436,0.31,NO
0.2079,0.6333,NO
0.1339,0.4164,NO
0.0967,0.1027,NO
0.2198,0.2886,NO
0.3428,0.9462,YES
0.2344,0.4964,NO
0.1736,0.4983,YES
0.1331,0.3104,NO
0.0735,0.3824,NO
0.0647,0.0237,NO
0.204,0.1596,NO
0.1327,0.1547,NO
0.1655,0.2925,NO
0.31,0.3246,NO
0.1309,0.1276,NO
0.2819,0.3438,NO
